Can you see items on your shelves or in your cabinets which you have not used for at least a year?	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	VERB PRON VERB NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN ADJ PRON VERB ADV VERB ADP ADV ADV DET NOUN
As all Sainsbury's wines, Vintage Selection or otherwise, are carefully described both on the bottle and on the shelf or rack ( and you can immediately spot the Vintage Selection area in your store because the wine is stored in special racks ), you can find something of the right character and desired sweetness with complete confidence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	identical	ADP DET PROPN NOUN PROPN PROPN CCONJ ADV VERB ADV VERB DET ADP DET NOUN CCONJ ADP DET NOUN CCONJ VERB PUNCT CCONJ PRON VERB ADV VERB DET PROPN PROPN NOUN ADP ADJ NOUN ADP DET NOUN VERB VERB ADP ADJ NOUN PUNCT PRON VERB VERB NOUN ADP DET ADJ NOUN CCONJ VERB NOUN ADP ADJ NOUN
He heard electrical impulses behind a large, old - fashioned enamelled flour bin on a high shelf in the kitchen and got out the step - ladder to investigate, bringing down the bin, which hit and broke a jar of clear honey in its descent ; he ended up with a mixture of flour and honey all over himself, the fridge and the floor.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-other	PRON VERB ADJ NOUN ADP DET ADJ ADJ PUNCT ADJ ADJ NOUN NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB PART DET NOUN PUNCT NOUN PART VERB VERB PART DET NOUN ADJ VERB CCONJ VERB DET NOUN ADP ADJ NOUN ADP ADJ NOUN PUNCT PRON VERB PART ADP DET NOUN ADP NOUN CCONJ NOUN ADV ADP PRON DET NOUN CCONJ DET NOUN
Rosa Guy is also very descriptive and emotional in her writing, one of my favourite descriptions is on pages 53–54 which tells us how Mrs Aimsley has all her glasses set out on shelves and the higher the shelf, the more expensive the glass and of course not being used to drinking out of glasses, Imamu takes the most expensive type from which to drink milk and syrup and after washing and drying it, he put it back on the shelf, but as he takes his hand away, the glass tips over and falls, smashing on the sink.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	PROPN PROPN VERB ADV ADV ADJ CCONJ ADJ ADP ADJ NOUN NUM ADP ADJ ADJ NOUN VERB ADP NOUN NUM ADJ VERB PRON ADV PROPN PROPN VERB ADJ ADJ NOUN VERB PART ADP NOUN CCONJ DET ADJ DET NOUN DET ADV ADJ DET NOUN CCONJ ADP NOUN ADV VERB VERB ADP VERB ADP ADP NOUN PROPN VERB DET ADV ADJ NOUN ADP ADJ PART VERB NOUN CCONJ NOUN CCONJ ADP VERB CCONJ VERB PRON PRON VERB PRON ADV ADP DET NOUN CCONJ ADP PRON VERB ADJ NOUN ADV DET NOUN VERB ADV CCONJ VERB VERB ADP DET NOUN
Try to put any such displays high up on the wall, on shelves or dressers away from prying fingers.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	on the shelf	literal	combined-inflection	VERB PART VERB DET ADJ NOUN ADJ PART ADP DET NOUN ADP NOUN CCONJ NOUN ADV ADP VERB NOUN
Of the forty of us who had survived so far, another twelve were weeded out and the rest of us sat there until 6.00 pm looking at the posters on the walls and reading the few tattered paperbacks which sat on the shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	ADP DET NOUN ADP PRON NOUN VERB VERB ADV ADV DET NUM VERB VERB PART CCONJ DET NOUN ADP PRON VERB ADV ADP NUM NOUN VERB ADP DET NOUN ADP DET NOUN CCONJ VERB DET ADJ ADJ NOUN ADJ VERB ADP DET NOUN
Well why don't you put it on the table or on the little table, it doesn't even fit on that shelf, does it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	on the shelf	literal	determiner-narrow	INTJ ADV VERB PRON VERB PRON ADP DET NOUN CCONJ ADP DET ADJ NOUN PRON VERB ADV VERB ADP DET NOUN VERB PRON
The basket of flowers was on the shelf behind them.	0 0 0 0 0 1 0 1 0 0	on the shelf	literal	identical	DET NOUN ADP NOUN VERB ADP DET NOUN ADP PRON
Books and files are classified by subject and arranged on shelves and in filing cabinets by the alphabetic class mark or alpha – numeric file code.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	NOUN CCONJ NOUN VERB VERB ADP NOUN CCONJ VERB ADP NOUN CCONJ ADP NOUN NOUN ADP DET ADJ NOUN NOUN CCONJ NOUN PUNCT ADJ NOUN NOUN
Don't keep toys on high shelves where children may be tempted to climb up to reach them.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	VERB VERB NOUN ADP ADJ NOUN ADV NOUN VERB VERB VERB PART VERB PART PART VERB PRON
On shelves to one side stood retorts containing limbs with the flesh still on them, floating in preserving fluid — human limbs, I supposed, but did not attempt to identify them.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADP NOUN ADP NUM NOUN VERB NOUN VERB NOUN ADP DET NOUN ADV ADP PRON VERB ADP VERB ADJ PUNCT NOUN NOUN PRON VERB CCONJ VERB ADV VERB PART VERB PRON
As a consequence there are books on many library shelves which may eventually have to be withdrawn, with or without litigation, not because of their content but because of their intent.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADP DET NOUN ADV VERB NOUN ADP ADJ NOUN NOUN ADJ VERB ADV VERB PART VERB VERB ADP CCONJ ADP NOUN ADV ADP ADP ADJ NOUN CCONJ ADP ADP ADJ NOUN
With the Apostles in mind, he has produced twelve wooden blocks, akin to children's bricks, and lined them up on shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	on the shelf	literal	combined-inflection	ADP DET PROPN ADP NOUN PRON VERB VERB NUM ADJ NOUN ADJ ADP NOUN NOUN CCONJ VERB PRON PART ADP NOUN
The tapes, the same ones I have back at Mr Shah's cumin - scented hotel, neatly stacked on a shelf made from a tea - chest draped with Somali cloth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	determiner-narrow	DET NOUN DET ADJ NOUN PRON VERB ADV ADP PROPN PROPN NOUN PUNCT ADJ NOUN ADV VERB ADP DET NOUN VERB ADP DET NOUN PUNCT NOUN VERB ADP ADJ NOUN
Since then be had put them on shelves around the room.	0 0 0 0 0 0 1 1 0 0 0	on the shelf	literal	combined-inflection	ADP ADV VERB VERB VERB PRON ADP NOUN ADP DET NOUN
But for the titles of the books on the shelves, however, Harry felt it would have served for the conduct of almost any other business than that of healing troubled minds.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	CCONJ ADP DET NOUN ADP DET NOUN ADP DET NOUN ADV PROPN VERB PRON VERB VERB VERB ADP DET NOUN ADP ADV DET ADJ NOUN ADP DET ADP NOUN VERB NOUN
They 're in the larder on the shelf right in front of you, about nose height, or somebody's nose height, I don't know which or not, but they 're right in the middle of the shelf.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	identical	PRON VERB ADP DET NOUN ADP DET NOUN NOUN ADP NOUN ADP PRON ADP NOUN NOUN CCONJ NOUN NOUN NOUN PRON VERB VERB ADJ CCONJ ADV CCONJ PRON VERB ADJ ADP DET NOUN ADP DET NOUN
There were speckly eggs in trays on the shelf, slabs of pale, oozy butter, and a big bowl of milk with a skin of cream on the top.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	identical	ADV VERB ADJ NOUN ADP NOUN ADP DET NOUN NOUN ADP ADJ ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN
They 're probably on the top shelf in the cupboard.	0 0 0 1 0 0 1 0 0 0	on the shelf	literal	insertion-other	PRON VERB ADV ADP DET ADJ NOUN ADP DET NOUN
Alongside these, the seasonal range of edible flowers is back on the shelves of stores causing great media and customer interest.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	ADP DET DET ADJ NOUN ADP ADJ NOUN VERB ADV ADP DET NOUN ADP NOUN VERB ADJ NOUN CCONJ NOUN NOUN
Clearly subject coverage is a matter of degree, and no public librarian ( nor any reasonable library user ) would expect to find works of a very specialized nature immediately available on the shelves of a small service point.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the shelf	literal	inflection	ADV ADJ NOUN VERB DET NOUN ADP NOUN CCONJ DET ADJ NOUN PUNCT CCONJ DET ADJ NOUN NOUN PUNCT VERB VERB PART VERB NOUN ADP DET ADV ADJ NOUN ADV ADJ ADP DET NOUN ADP DET ADJ NOUN NOUN
Considering that NFS version 3, which was a major re - do, is sitting on a shelf somewhere collecting dust because it failed to garner popular support, there will probably be some reluctance to call this puppy by the same name.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	determiner-narrow	VERB ADP PROPN NOUN NUM ADJ VERB DET ADJ NOUN PUNCT NOUN VERB VERB ADP DET NOUN ADV VERB NOUN ADP PRON VERB PART VERB ADJ NOUN ADV VERB ADV VERB DET NOUN PART VERB DET NOUN ADP DET ADJ NOUN
THE past couple of years has seen an explosion in the number of computing books on the shelves of even the most humble book shop.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the shelf	literal	inflection	DET ADJ NOUN ADP NOUN VERB VERB DET NOUN ADP DET NOUN ADP VERB NOUN ADP DET NOUN ADP ADV DET ADV ADJ NOUN NOUN
* Look for ideas on the shelves and in the catalogue of your library, in bibliographies, in anthologies and also in bookshops and publishers ' catalogues ( see p. 38 ).	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	PUNCT VERB ADP NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP ADJ NOUN ADP NOUN ADP NOUN CCONJ ADV ADP NOUN CCONJ NOUN PART NOUN PUNCT VERB NOUN NUM PUNCT
Twice I 've picked up goods on a shelf marked reduced and then found, because of the bar codes, I was charged full price at the pay - out desk.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	determiner-narrow	ADV PRON VERB VERB PART NOUN ADP DET NOUN NOUN VERB CCONJ ADV VERB ADP ADP DET NOUN NOUN PRON VERB VERB ADJ NOUN ADP DET NOUN PUNCT NOUN NOUN
Most of the cans on the grocery shelves of supermarkets are steel cans — the ones that contain soup, baked beans, rice, and vegetables.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADJ ADP DET NOUN ADP DET NOUN NOUN ADP NOUN VERB NOUN NOUN PUNCT DET NOUN ADJ VERB NOUN VERB NOUN NOUN CCONJ NOUN
It will pay you dividends, so long as you don't say " Silly old codgers " and put it on a top shelf.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	combined-other	PRON VERB VERB PRON NOUN ADV ADV ADP PRON VERB VERB PUNCT ADJ ADJ NOUN PUNCT CCONJ VERB PRON ADP DET ADJ NOUN
If you were to read the box of the Polyfilter, you would probably smile and put it back on the shelf — don't.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	on the shelf	literal	identical	ADP PRON VERB PART VERB DET NOUN ADP DET PROPN PRON VERB ADV VERB CCONJ VERB PRON ADV ADP DET NOUN PUNCT VERB
There are books and periodicals everywhere — on shelves, on tables, on the floor — posters and reproductions of modern paintings on the walls, parched - looking potted plants in the fireplace, a BBC micro and monitor on the desk, and beside it sheaves of dot - matrix typescript of early chapters of Domestic Angels and Unfortunate Females in various drafts.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADV VERB NOUN CCONJ NOUN ADV PUNCT ADP NOUN ADP NOUN ADP DET NOUN PUNCT NOUN CCONJ NOUN ADP ADJ NOUN ADP DET NOUN VERB PUNCT VERB ADJ NOUN ADP DET NOUN DET PROPN NOUN CCONJ VERB ADP DET NOUN CCONJ ADP PRON VERB ADP NOUN PUNCT NOUN NOUN ADP ADJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN ADP ADJ NOUN
For the medium - dry white, look for Anjou Blanc on the shelves.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	ADP DET NOUN PUNCT ADJ NOUN VERB ADP PROPN PROPN ADP DET NOUN
In fact, if there is an un - carpeted area, real water can be used in the play sink or a bowl, and ' meals ' can be followed by real washing up, sorting and restacking in cupboards or on shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	on the shelf	literal	combined-inflection	ADP NOUN ADP ADV VERB DET NOUN PUNCT VERB NOUN ADJ NOUN VERB VERB VERB ADP DET NOUN NOUN CCONJ DET NOUN CCONJ PUNCT NOUN PUNCT VERB VERB VERB ADP ADJ NOUN PART VERB CCONJ VERB ADP NOUN CCONJ ADP NOUN
A set of leather - bound novels by Thackeray and the Works of William Shakespeare in red morocco had gone, too, leaving obvious gaping holes on the shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	DET NOUN ADP NOUN PUNCT VERB NOUN ADP PROPN CCONJ DET PROPN ADP PROPN PROPN ADP ADJ NOUN VERB VERB ADV VERB ADJ ADJ NOUN ADP DET NOUN
Lead times are now 14 to 16 weeks, and TI has zero product on the shelf.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	identical	NOUN NOUN VERB ADV NUM PART NUM NOUN CCONJ PROPN VERB NUM NOUN ADP DET NOUN
