No, but they 're very nice you can take it from me	0 0 0 0 0 0 0 0 1 1 1 1	take it from me	figurative	identical	INTJ CCONJ PRON VERB ADV ADJ PRON VERB VERB PRON ADP PRON
I don't believe she heard me because she yawned, handed me the key and told me to hang it round my neck so that no one could take it from me.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	take it from me	literal	identical	PRON VERB VERB PRON VERB PRON ADP PRON VERB VERB PRON DET NOUN CCONJ VERB PRON PART VERB PRON VERB ADJ NOUN ADP ADP DET PRON VERB VERB PRON ADP PRON
‘ You take it from me, it's no good just telling them.	0 0 1 1 1 1 0 0 0 0 0 0	take it from me	figurative	identical	PUNCT PRON VERB PRON ADP PRON PRON DET ADJ ADV VERB PRON
‘ You may see science as the great God we 've all got to worship, but if we don't see it that way, and not many do, take it from me, you 'll have nothing to do your worshiping with.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	PUNCT PRON VERB VERB NOUN ADP DET ADJ PROPN PRON VERB DET VERB PART VERB CCONJ ADP PRON VERB VERB PRON DET NOUN CCONJ ADV ADJ VERB VERB PRON ADP PRON PRON VERB VERB NOUN PART VERB ADJ NOUN ADP
I 'm afraid sex ratio theory is complicated, but you 'll have to take it from me that Fisher solved the problem by showing that it would never be an individual self - interest.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	PRON VERB ADJ NOUN NOUN NOUN VERB VERB CCONJ PRON VERB VERB PART VERB PRON ADP PRON ADP PROPN VERB DET NOUN ADP VERB ADP PRON VERB ADV VERB DET ADJ NOUN PUNCT NOUN
Of course I 've sent specimens to Forensic but you can take it from me that he died of strychnine poisoning ; a fairly hefty dose but he 'd been living on borrowed time any way.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	ADV ADV PRON VERB VERB NOUN ADP PROPN CCONJ PRON VERB VERB PRON ADP PRON ADP PRON VERB ADP NOUN NOUN PUNCT DET ADV ADJ NOUN CCONJ PRON VERB VERB VERB ADP VERB NOUN DET NOUN
The rest of the specifications are in the specifications box — extract from them what is of interest to you, but take it from me that the machine is as well specified as any at this price.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	DET NOUN ADP DET NOUN VERB ADP DET NOUN NOUN PUNCT NOUN ADP PRON NOUN VERB ADP NOUN ADP PRON CCONJ VERB PRON ADP PRON ADP DET NOUN VERB ADV ADV VERB ADP DET ADP DET NOUN
Take it from me ; the average network station will not be up and running five minutes after you 've taken it out of the box.	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	case	VERB PRON ADP PRON PUNCT DET ADJ NOUN NOUN VERB ADV VERB ADV CCONJ VERB NUM NOUN ADP PRON VERB VERB PRON ADP ADP DET NOUN
This course is now going places, take it from me, and once the fixture log jam is solved I see happy days ahead.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	DET NOUN VERB ADV VERB NOUN VERB PRON ADP PRON CCONJ ADV DET ADJ NOUN NOUN VERB VERB PRON VERB ADJ NOUN ADV
‘ Well, take it from me, lady,’ his aggression was in full force, ‘ no one gets their hooks into me that —’	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	PUNCT INTJ VERB PRON ADP PRON VERB ADJ NOUN VERB ADP ADJ NOUN PUNCT DET NOUN VERB ADJ NOUN ADP PRON ADJ ADV
I 'm on to him, take it from me.’	0 0 0 0 0 1 1 1 1	take it from me	figurative	dashes	PRON VERB ADP ADP PRON VERB PRON ADP NOUN
I don't know how much Oliver's told you about the Shakespeare School, but take it from me that place is tacky : how it got its registered status I shudder to think.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	PRON VERB VERB ADV ADJ PROPN VERB PRON ADP DET PROPN PROPN CCONJ VERB PRON ADP PRON DET NOUN VERB ADJ PUNCT ADV PRON VERB ADJ ADJ NOUN PRON VERB PART VERB
You take it from me, ma'am.	0 1 1 1 1 0	take it from me	figurative	identical	PRON VERB PRON ADP PRON NOUN
I could go on about singing harmonics and endless sustain, but just take it from me that this amp covers the whole guitar tone palette from clean to mega - dirt with considerable ease.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	PRON VERB VERB PART ADP VERB NOUN CCONJ ADJ NOUN CCONJ ADV VERB PRON ADP PRON ADP DET NOUN VERB DET ADJ NOUN NOUN NOUN ADP ADJ ADP ADJ PUNCT NOUN ADP ADJ NOUN
I represent the other half and represented the area in which he now lives until the boundary commissioners so cruelly took it from me in 1983.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	take it from me	literal	inflection	PRON VERB DET ADJ NOUN CCONJ VERB DET NOUN ADP ADJ PRON ADV VERB ADP DET ADJ NOUN ADV ADV VERB PRON ADP PRON ADP NUM
' Take it from me, kid — ambushing's a lot better than smacking him in the snout.	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	case	PUNCT VERB PRON ADP PRON NOUN PUNCT VERB DET NOUN ADJ ADP VERB PRON ADP DET NOUN
He said, ‘ You can take it from me — he hanged himself.	0 0 0 0 0 1 1 1 1 0 0 0 0	take it from me	figurative	identical	PRON VERB PUNCT PRON VERB VERB PRON ADP PRON PUNCT PRON VERB PRON
So perhaps you 'll take it from me	0 0 0 0 1 1 1 1	take it from me	figurative	identical	ADV ADV PRON VERB VERB PRON ADP PRON
I know that it seem shard to believe now, but, take it from me, things will get better.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	take it from me	figurative	identical	PRON VERB ADP PRON VERB ADJ PART VERB ADV CCONJ VERB PRON ADP PRON NOUN VERB VERB ADJ
Look, I don't know why you imagine you have the right to start probing into my personal life, but take it from me that you haven't.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	take it from me	figurative	identical	VERB PRON VERB VERB ADV PRON VERB PRON VERB DET NOUN PART VERB VERB ADP ADJ ADJ NOUN CCONJ VERB PRON ADP PRON ADP PRON VERB
I don't propose to enter into a tutorial on the enhanced commands, but take it from me that you can manipulate how a program looks when it opens, and even feed keystrokes to it automatically, have it run macros, and so forth.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	PRON VERB VERB PART VERB ADP DET NOUN ADP DET ADJ NOUN CCONJ VERB PRON ADP PRON ADP PRON VERB VERB ADV DET NOUN VERB ADV PRON VERB CCONJ ADV VERB NOUN ADP PRON ADV VERB PRON VERB NOUN CCONJ ADV ADV
Just take it from me that it's not in your best interests to go hunting around for the ship.’	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	ADV VERB PRON ADP PRON ADP PRON ADV ADP ADJ ADJ NOUN PART VERB VERB PART ADP DET NOUN
Will the Prime Minister take it from me that all right - thinking people would like to congratulate him on escaping unbruised from the street fighting at Maastricht, where he met the heavies of Germany and France?	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	VERB DET PROPN PROPN VERB PRON ADP PRON ADP DET ADV PUNCT VERB NOUN VERB VERB PART VERB PRON ADP VERB VERB ADP DET NOUN NOUN ADP PROPN ADV PRON VERB DET NOUN ADP PROPN CCONJ PROPN
Take it from me, the job is as good as yours. '	1 1 1 1 0 0 0 0 0 0 0 0	take it from me	figurative	case	VERB PRON ADP PRON DET NOUN VERB ADV ADJ ADP PRON PUNCT
I 'm rather proud of it, yes, I think you can take it from me, Richard Lewis is one earthly executive we will be seeing up here.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	PRON VERB ADV ADJ ADP PRON INTJ PRON VERB PRON VERB VERB PRON ADP PRON PROPN PROPN VERB NUM ADJ NOUN PRON VERB VERB VERB PART ADV
Will the Secretary of State take it from me that the people of Northern Ireland will appreciate his expressions of sympathy and those of the hon. Member for Greenock and Port Glasgow ( Dr. Godman ), directed to those who suffered in the terrible massacre that took place last night and to the relatives of the person who was murdered this morning?	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	VERB DET PROPN ADP PROPN VERB PRON ADP PRON ADP DET NOUN ADP PROPN PROPN VERB VERB ADJ NOUN ADP NOUN CCONJ DET ADP DET NOUN PROPN ADP PROPN CCONJ PROPN PROPN PUNCT PROPN PROPN PUNCT VERB ADP DET NOUN VERB ADP DET ADJ NOUN ADJ VERB NOUN ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN NOUN VERB VERB DET NOUN
‘ Well, take it from me, she knows exactly what's she doing.	0 0 1 1 1 1 0 0 0 0 0 0	take it from me	figurative	identical	PUNCT INTJ VERB PRON ADP PRON PRON VERB ADV NOUN PRON VERB
