It was only three minutes down the road, and Jim always had a storehouse of odds and ends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	PRON VERB ADV NUM NOUN ADP DET NOUN CCONJ PROPN ADV VERB DET NOUN ADP NOUN CCONJ NOUN
With all his ladies and their different bodies, their different odds and ends.	0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	ADP ADJ ADJ NOUN CCONJ ADJ ADJ NOUN ADJ ADJ NOUN CCONJ NOUN
Mrs Brocklebank had created a little nest for herself in the basement where she put her clothes and her big black handbag, from which she was only rarely and reluctantly parted, and where she tucked away any odds and ends it was better Brock at home did not see.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	PROPN PROPN VERB VERB DET ADJ NOUN ADP PRON ADP DET NOUN ADV PRON VERB ADJ NOUN CCONJ ADJ ADJ ADJ NOUN ADP ADJ PRON VERB ADV ADV CCONJ ADV VERB CCONJ ADV PRON VERB PART DET NOUN CCONJ VERB PRON VERB ADJ PROPN ADP NOUN VERB ADV VERB
I do rather use the one, like me I 'd like two, cos I 've got one full of bits and pieces and the odds, odds and ends I keep	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	odds and ends	figurative	identical	PRON VERB ADV VERB DET NOUN ADP PRON PRON VERB VERB NUM ADP PRON VERB VERB NUM ADJ ADP NOUN CCONJ NOUN CCONJ DET NOUN NOUN CCONJ NOUN PRON VERB
Even a biscuit tin full of buttons and other odds and ends was finally put back in the pile of things to be kept because, as Granny said, ‘ You never know when they 'll come in handy.’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	ADV DET NOUN NOUN ADJ ADP NOUN CCONJ ADJ NOUN CCONJ NOUN VERB ADV VERB ADV ADP DET NOUN ADP NOUN PART VERB VERB ADP ADP PROPN VERB PUNCT PRON ADV VERB ADV PRON VERB VERB ADP NOUN
Some odds and ends.	0 1 1 1	odds and ends	figurative	identical	DET NOUN CCONJ NOUN
It was a cupboard used by the cleaners that contained a number of other odds and ends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	PRON VERB DET NOUN VERB ADP DET NOUN ADJ VERB DET NOUN ADP ADJ NOUN CCONJ NOUN
You will then still have enough material with which to create an attractive picture, rather than try to make a suitable design from a few odds and ends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	PRON VERB ADV ADV VERB ADJ NOUN ADP ADJ PART VERB DET ADJ NOUN ADV ADP VERB PART VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN
Like, you know, I saw like, what really, I 'd sat there, I mean like you say, I and I admit that I odds and ends that 'll probably take me about an hour in total	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	INTJ PRON VERB PRON VERB INTJ NOUN ADV PRON VERB VERB ADV PRON VERB INTJ PRON VERB PRON CCONJ PRON VERB ADP PRON VERB CCONJ VERB DET VERB ADV VERB PRON ADP DET NOUN ADP NOUN
I 've still got a few odds and ends that are late	0 0 0 0 0 0 1 1 1 0 0 0	odds and ends	figurative	identical	PRON VERB ADV VERB DET ADJ NOUN CCONJ NOUN ADJ VERB ADJ
Just as the inhabitants of the barrios here defend their pathetic shanties to the last, defying the well - meaning efforts of the authorities to relocate them, so the poor in intellect cling to whatever feeble idea they have been able to fashion out of the odds and ends they have foraged.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	odds and ends	figurative	identical	ADV ADP DET NOUN ADP DET NOUN ADV VERB ADJ ADJ NOUN ADP DET ADJ VERB DET ADV PUNCT VERB NOUN ADP DET NOUN PART VERB PRON CCONJ DET ADJ ADP NOUN VERB ADP ADJ ADJ NOUN PRON VERB VERB ADJ PART VERB ADP ADP DET NOUN CCONJ VERB PRON VERB VERB
It contained mainly socks, papers, a few odds and ends like hairbrushes, and a book called The Spy With No Trousers.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	PRON VERB ADV NOUN NOUN DET ADJ NOUN CCONJ VERB ADP NOUN CCONJ DET NOUN VERB DET PROPN ADP PROPN PROPN
Yeah, but you mean ano we can do the odds and ends but it's the it's the other one.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	odds and ends	figurative	identical	INTJ CCONJ PRON VERB CCONJ PRON VERB VERB DET NOUN CCONJ NOUN CCONJ PRON DET PRON DET ADJ NUM
He felt heavy, saturated, crammed with more or less repulsive odds and ends he neither wanted nor needed to know.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	odds and ends	figurative	identical	PRON VERB ADJ VERB VERB ADP ADJ CCONJ ADV ADJ NOUN CCONJ VERB PRON CCONJ VERB CCONJ VERB PART VERB
Just get a few odds and ends like you know	0 0 0 0 1 1 1 0 0 0	odds and ends	figurative	identical	ADV VERB DET ADJ NOUN CCONJ NOUN ADP PRON VERB
Yes, so I wondered whether if, I think we should take that up er, it does seem extraordinary that a big thing like that is, is sort of put in the odds and ends column.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	odds and ends	figurative	identical	INTJ ADV PRON VERB ADP ADP PRON VERB PRON VERB VERB DET PART INTJ PRON VERB VERB ADJ ADP DET ADJ NOUN ADP DET VERB VERB ADV ADV VERB ADP DET NOUN CCONJ VERB NOUN
He had found the agendas clogged with ‘ all sorts of odds and ends, trivia and red herrings’.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	odds and ends	figurative	identical	PRON VERB VERB DET NOUN VERB ADP PRON DET NOUN ADP NOUN CCONJ NOUN NOUN CCONJ ADJ PRON
Like tampons and plastic dustbin - liners and party - size packets of crisps and one hundred cocktail sticks and twelve cake - candles in various colours and photograph frames and steering - wheel covers in simulated leather and towel - holders and fabric - softeners and double - action air - fresheners to waft away those lingering kitchen smells and cute little boxes for awkward odds and ends and packs of cassettes and lockable petrol - caps and record - cleaners and telephone indexes slimming magazines potholders packs of name - labels artificial eyelashes make - up boxes anti - smoking mixture toy watches —’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	ADP NOUN CCONJ NOUN NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN NOUN ADP NOUN CCONJ NUM NUM NOUN NOUN CCONJ NUM NOUN PUNCT NOUN ADP ADJ NOUN CCONJ NOUN NOUN CCONJ VERB PUNCT NOUN NOUN ADP ADJ NOUN CCONJ NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN CCONJ ADJ PUNCT NOUN NOUN PUNCT NOUN PART VERB ADV DET VERB NOUN NOUN CCONJ ADJ ADJ NOUN ADP ADJ NOUN CCONJ NOUN CCONJ NOUN ADP NOUN CCONJ ADJ NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN CCONJ NOUN NOUN VERB NOUN NOUN NOUN ADP NOUN PUNCT NOUN ADJ NOUN VERB PUNCT PART NOUN ADV PUNCT VERB NOUN NOUN NOUN ADV
His mother had shown him lots of things, photographs and even odds and ends she 'd had as a child, but she 'd never shown him her wedding - dress.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	ADJ NOUN VERB VERB PRON NOUN ADP NOUN NOUN CCONJ ADV NOUN CCONJ VERB PRON VERB VERB ADP DET NOUN CCONJ PRON VERB ADV VERB PRON ADJ NOUN PUNCT NOUN
Er while you were working did you still try and get sort of like odds and ends and little bits of money?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	odds and ends	figurative	identical	INTJ ADP PRON VERB VERB VERB PRON ADV VERB CCONJ VERB ADV ADV INTJ NOUN CCONJ NOUN CCONJ ADJ NOUN ADP NOUN
Odds and ends	1 1 1	odds and ends	figurative	case	NOUN CCONJ NOUN
Therefore what is now called corporate this other income is the erm basically head office cost, there's things like profits on from our captive insurance er dividends which we didn't have it in fact last year we did the year before from Blackpool land, small profits from the sale of some shares at Fair and other odds and ends which I erm really don't make up a great deal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	ADV NOUN VERB ADV VERB ADJ DET ADJ NOUN VERB DET NOUN ADV NOUN NOUN NOUN ADV NOUN ADP NOUN PART ADP ADJ ADJ NOUN INTJ NOUN ADJ PRON VERB VERB PRON ADP NOUN ADJ NOUN PRON VERB DET NOUN ADV ADP PROPN NOUN ADJ NOUN ADP DET NOUN ADP DET NOUN ADP PROPN CCONJ ADJ NOUN CCONJ VERB ADJ PRON ADV ADV VERB VERB PART DET ADJ NOUN
Tabitha could see that many of the hangars were empty, or filled with equipment and odds and ends of machinery which were no longer ships, if they ever had been.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	PROPN VERB VERB ADP ADJ ADP DET NOUN VERB ADJ CCONJ VERB ADP NOUN CCONJ NOUN CCONJ NOUN ADP NOUN ADJ VERB ADV ADJ NOUN ADP PRON ADV VERB VERB
A few things remained in the bureau drawer ; the odds and ends that accumulate in drawers : an engagement diary for 1981 which had only a few entries ; an old wallet, empty except for an out - of - date RAC membership card.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	DET ADJ NOUN VERB ADP DET NOUN NOUN PUNCT DET NOUN CCONJ VERB ADJ VERB ADP NOUN PUNCT DET ADJ NOUN ADP NUM ADJ VERB ADV DET ADJ NOUN PUNCT DET ADJ NOUN ADJ ADP ADP DET ADJ PUNCT ADP PUNCT NOUN NOUN NOUN NOUN
Apart from the three subjects intensively taught, pupils may make up their timetables with scraps of non - examined, and therefore non - serious, odds and ends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	ADV ADP DET NUM NOUN ADV VERB NOUN VERB VERB PART ADJ NOUN ADP NOUN ADP ADJ PUNCT VERB CCONJ ADV ADJ PUNCT ADJ NOUN CCONJ NOUN
I mean, just a few odds and ends that you could do from your nice	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	odds and ends	figurative	identical	PRON VERB ADV DET ADJ NOUN CCONJ VERB ADP PRON VERB VERB ADP ADJ ADJ
Their guitar and bass bags feature 10 mm thick high - density foam with black nylon covering, soft pile interiors, heavyweight non - scratch zippers, zip - up pockets on the outside for odds and ends and a two - position shoulder strap.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	odds and ends	figurative	identical	ADJ NOUN CCONJ NOUN NOUN VERB NUM NOUN ADJ ADJ PUNCT NOUN NOUN ADP ADJ NOUN VERB ADJ ADJ NOUN ADJ ADJ PUNCT NOUN NOUN NOUN PUNCT PART NOUN ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ DET NUM PUNCT NOUN NOUN NOUN
Restless and dry - mouthed, they drove to the market to shop for odds and ends of food and drink as though the act of purchasing Pepsi Cola and crisps would somehow equate with eating and drinking them.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	NOUN CCONJ ADJ PUNCT ADJ PRON VERB ADP DET NOUN PART VERB ADP NOUN CCONJ NOUN ADP NOUN CCONJ NOUN ADP ADP DET NOUN ADP VERB PROPN PROPN CCONJ NOUN VERB ADV VERB ADP VERB CCONJ VERB PRON
Odds and ends	1 1 1	odds and ends	figurative	case	NOUN CCONJ NOUN
Ah most squads were on piece work but you might find that you had If it wasn't an apprentice squad, you might find that you had a squad of riveters who weren't on piece work, who simply went round doing any wee odds and ends that had	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	odds and ends	figurative	identical	INTJ ADJ NOUN VERB ADP NOUN NOUN CCONJ PRON VERB VERB ADP PRON VERB ADP PRON VERB DET NOUN NOUN PRON VERB VERB ADP PRON VERB DET NOUN ADP NOUN NOUN VERB ADP NOUN NOUN NOUN ADV VERB ADV VERB DET ADJ NOUN CCONJ NOUN ADJ VERB
a few odds and ends added to it?	0 0 1 1 1 0 0 0	odds and ends	figurative	identical	DET ADJ NOUN CCONJ VERB VERB ADP PRON
Farmer Olinton kept various farm implements on the ground floor, but up above, in the big loft there was only straw and some sacking and odds and ends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	PROPN PROPN VERB ADJ NOUN NOUN ADP DET NOUN NOUN CCONJ ADV ADV ADP DET ADJ NOUN ADV VERB ADV NOUN CCONJ DET NOUN CCONJ NOUN CCONJ NOUN
They won't mind odds - and - ends like us clearing off but they won't want to lose you.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	dashes	PRON VERB VERB NOUN PUNCT CCONJ PUNCT NOUN ADP PRON VERB PART CCONJ PRON VERB VERB PART VERB PRON
As she passed the back door she noticed that the lid had fallen off the dustbin and the fresh spring wind was playing havoc with the bits of paper and odds and ends that lay strewn on the tiled path.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	odds and ends	figurative	identical	ADP PRON VERB DET ADJ NOUN PRON VERB ADP DET NOUN VERB VERB ADP DET NOUN CCONJ DET ADJ NOUN NOUN VERB VERB NOUN ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ NOUN ADJ VERB VERB ADP DET ADJ NOUN
Dierdriu, thought her granddaughter, had probably gone noisily and wantonly along brightly lit corridors, brandishing torches, attended by half the Court, very likely conducting a few odds and ends of State business along the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	odds and ends	figurative	identical	PROPN VERB ADJ NOUN VERB ADV VERB ADJ CCONJ ADV ADP ADV VERB NOUN VERB NOUN VERB ADP ADJ DET PROPN ADV ADV VERB DET ADJ NOUN CCONJ NOUN ADP NOUN NOUN ADP DET NOUN
Wycliffe had a little room where he kept his books and papers, his photographs and odds and ends he valued.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	odds and ends	figurative	identical	PROPN VERB DET ADJ NOUN ADV PRON VERB ADJ NOUN CCONJ NOUN ADJ NOUN CCONJ NOUN CCONJ VERB PRON VERB
