' Every sailor has his own way of tying a knot.	0 0 0 0 0 0 0 0 1 0 1	tie the knot	literal	combined-inflection	PUNCT DET NOUN VERB ADJ ADJ NOUN ADP VERB DET NOUN	▁' ▁Every ▁sail or ▁has ▁his ▁own ▁way ▁of ▁ty ing ▁a ▁k not .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PUNCT DET NOUN NOUN VERB ADJ ADJ NOUN ADP VERB VERB DET NOUN NOUN NOUN
Many experts argue that the Persian knot makes it easier to produce intricate, curvilinear designs by enabling the weaver to tie more knot to the square inch, but this theory is by no means universally accepted in the carpet trade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	determiner-broad	ADJ NOUN VERB ADP DET ADJ NOUN VERB PRON ADJ PART VERB ADJ ADJ NOUN ADP VERB DET NOUN PART VERB ADJ NOUN ADP DET ADJ NOUN CCONJ DET NOUN VERB ADP DET NOUN ADV VERB ADP DET NOUN NOUN	▁Many ▁experts ▁argue ▁that ▁the ▁Persian ▁k not ▁makes ▁it ▁easier ▁to ▁produce ▁in tric ate , ▁cur vi linear ▁designs ▁by ▁enabling ▁the ▁we a ver ▁to ▁tie ▁more ▁k not ▁to ▁the ▁square ▁in ch , ▁but ▁this ▁theory ▁is ▁by ▁no ▁means ▁universal ly ▁accepted ▁in ▁the ▁carpet ▁trade .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB ADP DET ADJ NOUN NOUN VERB PRON ADJ PART VERB ADJ ADJ ADJ ADJ ADJ ADJ ADJ NOUN ADP VERB DET NOUN NOUN NOUN PART VERB ADJ NOUN NOUN ADP DET ADJ NOUN NOUN NOUN CCONJ DET NOUN VERB ADP DET NOUN ADV ADV VERB ADP DET NOUN NOUN NOUN
Tie a knot with end of the pink wool and the beginning of the yellow wool.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	VERB DET NOUN ADP NOUN ADP DET ADJ NOUN CCONJ DET NOUN ADP DET ADJ NOUN	▁T ie ▁a ▁k not ▁with ▁end ▁of ▁the ▁pink ▁wool ▁and ▁the ▁beginning ▁of ▁the ▁yellow ▁wool .	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN NOUN ADP NOUN ADP DET ADJ NOUN CCONJ DET NOUN ADP DET ADJ NOUN NOUN
Her prize was a trip to London to see Charles and Diana tying the knot.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	inflection	ADJ NOUN VERB DET NOUN ADP PROPN PART VERB PROPN CCONJ PROPN VERB DET NOUN	▁Her ▁prize ▁was ▁a ▁trip ▁to ▁London ▁to ▁see ▁Charles ▁and ▁D iana ▁ty ing ▁the ▁k not .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	ADJ NOUN VERB DET NOUN ADP PROPN PART VERB PROPN CCONJ PROPN PROPN VERB VERB DET NOUN NOUN NOUN
Most men have maternal teaching to thank for showing them how to tie knots, said the Guild of British Tie Makers.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	tie the knot	literal	deletion-determiner	ADJ NOUN VERB ADJ NOUN PART VERB ADP VERB PRON ADV PART VERB NOUN VERB DET PROPN ADP PROPN PROPN PROPN	▁Most ▁men ▁have ▁maternal ▁teaching ▁to ▁thank ▁for ▁showing ▁them ▁how ▁to ▁tie ▁knots , ▁said ▁the ▁Gui ld ▁of ▁British ▁T ie ▁Make rs .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB ADJ NOUN PART VERB ADP VERB PRON ADV PART VERB NOUN NOUN VERB DET PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN
The amount at the top that you need is just enough to tie a reef knot oh I 've forgot to show you a reef knot didn't I?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	DET NOUN ADP DET NOUN ADJ PRON VERB VERB ADV ADJ PART VERB DET NOUN NOUN INTJ PRON VERB VERB PART VERB PRON DET NOUN NOUN VERB PRON	▁The ▁amount ▁at ▁the ▁top ▁that ▁you ▁need ▁is ▁just ▁enough ▁to ▁tie ▁a ▁re ef ▁k not ▁ oh ▁I ▁' ve ▁for go t ▁to ▁show ▁you ▁a ▁re ef ▁k not ▁did n ' t ▁I ?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET NOUN ADJ PRON VERB VERB ADV ADJ PART VERB DET NOUN NOUN NOUN NOUN INTJ INTJ PRON VERB VERB VERB VERB VERB PART VERB PRON DET NOUN NOUN NOUN NOUN VERB VERB VERB VERB PRON PRON
If Midland does tie the knot with Hongkong and Shanghai Bank, it may need some help up the aisle.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	ADP PROPN VERB VERB DET NOUN ADP PROPN CCONJ PROPN PROPN PRON VERB VERB DET NOUN ADP DET NOUN	▁If ▁Mid land ▁does ▁tie ▁the ▁k not ▁with ▁Hong k ong ▁and ▁S hang hai ▁Bank , ▁it ▁may ▁need ▁some ▁help ▁up ▁the ▁a is le .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN VERB VERB DET NOUN NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PRON VERB VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN
Crew members can not steer or tie knots.	0 0 0 0 0 0 1 1	tie the knot	literal	deletion-determiner	NOUN NOUN VERB ADV VERB CCONJ VERB NOUN	▁C rew ▁members ▁can ▁not ▁steer ▁or ▁tie ▁knots .	0 0 0 0 0 0 0 1 1 1	NOUN NOUN NOUN VERB ADV VERB CCONJ VERB NOUN NOUN
The end of the halyard goes through the end goes through the end fitting and then we tie a little stopper knot in the end, then we bring the other end of the halyard down and make it up tight on this crease at the bottom of the mast.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	DET NOUN ADP DET NOUN VERB ADP DET NOUN VERB ADP DET NOUN ADJ CCONJ ADV PRON VERB DET ADJ NOUN NOUN ADP DET NOUN ADV PRON VERB DET ADJ NOUN ADP DET NOUN PART CCONJ VERB PRON PART ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN	▁The ▁end ▁of ▁the ▁ha ly ard ▁goes ▁through ▁the ▁end ▁goes ▁through ▁the ▁end ▁fitting ▁and ▁then ▁we ▁tie ▁a ▁little ▁stopper ▁k not ▁in ▁the ▁end , ▁then ▁we ▁bring ▁the ▁other ▁end ▁of ▁the ▁ha ly ard ▁down ▁and ▁make ▁it ▁up ▁tight ▁on ▁this ▁crease ▁at ▁the ▁bottom ▁of ▁the ▁mast .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET NOUN NOUN NOUN VERB ADP DET NOUN VERB ADP DET NOUN ADJ CCONJ ADV PRON VERB DET ADJ NOUN NOUN NOUN ADP DET NOUN NOUN ADV PRON VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN PART CCONJ VERB PRON PART ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN
' There must be a village somewhere, ' she insisted, tying a final knot and stepping back.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	tie the knot	literal	combined-inflection	PUNCT ADV VERB VERB DET NOUN ADV PUNCT PRON VERB VERB DET ADJ NOUN CCONJ VERB ADV	▁' ▁There ▁must ▁be ▁a ▁village ▁somewhere , ▁' ▁she ▁insisted , ▁ty ing ▁a ▁final ▁k not ▁and ▁stepping ▁back .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0	PUNCT ADV VERB VERB DET NOUN ADV ADV PUNCT PRON VERB VERB VERB VERB DET ADJ NOUN NOUN CCONJ VERB ADV ADV
IT 'S now possible to tie the knot in 14 different exotic locations in the new Kuoni Weddings brochure.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	PRON VERB ADV ADJ PART VERB DET NOUN ADP NUM ADJ ADJ NOUN ADP DET ADJ PROPN PROPN NOUN	▁IT ▁' S ▁now ▁possible ▁to ▁tie ▁the ▁k not ▁in ▁14 ▁different ▁ex otic ▁locations ▁in ▁the ▁new ▁Ku oni ▁We dding s ▁brochure .	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV ADJ PART VERB DET NOUN NOUN ADP NUM ADJ ADJ ADJ NOUN ADP DET ADJ PROPN PROPN PROPN PROPN PROPN NOUN NOUN
Father Pat Buckley, from Larne in Northern Ireland, has been to Scotland on three occasions to tie the knot for couples whom the church refuses to marry because one or both have been divorced.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	PROPN PROPN PROPN ADP PROPN ADP PROPN PROPN VERB VERB ADP PROPN ADP NUM NOUN PART VERB DET NOUN ADP NOUN NOUN DET NOUN VERB PART VERB ADP NUM CCONJ DET VERB VERB VERB	▁Father ▁Pat ▁B uck ley , ▁from ▁Lar ne ▁in ▁Northern ▁Ireland , ▁has ▁been ▁to ▁Scotland ▁on ▁three ▁occasions ▁to ▁tie ▁the ▁k not ▁for ▁couple s ▁whom ▁the ▁church ▁refuses ▁to ▁mar ry ▁because ▁one ▁or ▁both ▁have ▁been ▁divorce d .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN ADP PROPN PROPN PROPN VERB VERB ADP PROPN ADP NUM NOUN PART VERB DET NOUN NOUN ADP NOUN NOUN NOUN DET NOUN VERB PART VERB VERB ADP NUM CCONJ DET VERB VERB VERB VERB VERB
If you 're tying the knot at a registry office, this timeless style is ideal.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	ADP PRON VERB VERB DET NOUN ADP DET NOUN NOUN DET NOUN NOUN VERB ADJ	▁If ▁you ▁' re ▁ty ing ▁the ▁k not ▁at ▁a ▁registry ▁office , ▁this ▁time less ▁style ▁is ▁ideal .	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB VERB VERB DET NOUN NOUN ADP DET NOUN NOUN NOUN DET NOUN NOUN NOUN VERB ADJ ADJ
Billy Crystal has a perfect wife and beautiful daughter but feels rattrapped trying to support them, Daniel Stern is having an affair with a teenage supermarket assistant and has been reduced to pretending to sleep at social gatherings in order to avoid his nagging wife, and womanising Bruno Kirby has finally tied the knot with a glamorous bimbo half his age ( ‘ soon he 'll be dating sperm’, observes Crystal ) and agonises over whether he can stay faithful to her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	PROPN PROPN VERB DET ADJ NOUN CCONJ ADJ NOUN CCONJ VERB VERB VERB PART VERB PRON PROPN PROPN VERB VERB DET NOUN ADP DET ADJ NOUN NOUN CCONJ VERB VERB VERB ADP VERB PART VERB ADP ADJ NOUN ADP NOUN PART VERB ADJ ADJ NOUN CCONJ VERB PROPN PROPN VERB ADV VERB DET NOUN ADP DET ADJ NOUN ADJ ADJ NOUN PUNCT PUNCT ADV PRON VERB VERB VERB ADV VERB PROPN PUNCT CCONJ VERB ADP ADP PRON VERB VERB ADJ ADP PRON	▁B illy ▁C ry stal ▁has ▁a ▁perfect ▁wife ▁and ▁beautiful ▁daughter ▁but ▁feels ▁rat tra pped ▁trying ▁to ▁support ▁them , ▁Daniel ▁S tern ▁is ▁having ▁an ▁affair ▁with ▁a ▁te en age ▁super market ▁assistant ▁and ▁has ▁been ▁reduced ▁to ▁pretend ing ▁to ▁sleep ▁at ▁social ▁gathering s ▁in ▁order ▁to ▁avoid ▁his ▁n agging ▁wife , ▁and ▁woman ising ▁Brun o ▁K irb y ▁has ▁finally ▁tied ▁the ▁k not ▁with ▁a ▁gla mor ous ▁bi m bo ▁half ▁his ▁age ▁( ▁ ‘ ▁soon ▁he ▁' ll ▁be ▁ dating ▁sperm ’ , ▁observes ▁C ry stal ▁ ) ▁and ▁a gon ises ▁over ▁whether ▁he ▁can ▁stay ▁faithful ▁to ▁her .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB DET ADJ NOUN CCONJ ADJ NOUN CCONJ VERB VERB VERB VERB VERB PART VERB PRON PRON PROPN PROPN PROPN VERB VERB DET NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN CCONJ VERB VERB VERB ADP VERB VERB PART VERB ADP ADJ NOUN NOUN ADP NOUN PART VERB ADJ ADJ ADJ NOUN NOUN CCONJ VERB VERB PROPN PROPN PROPN PROPN PROPN VERB ADV VERB DET NOUN NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN ADJ ADJ NOUN PUNCT PUNCT PUNCT ADV PRON VERB VERB VERB VERB VERB ADV ADV ADV VERB PROPN PROPN PROPN PUNCT PUNCT CCONJ VERB VERB VERB ADP ADP PRON VERB VERB ADJ ADP PRON PRON
Tie a reef knot.	1 0 0 1	tie the knot	literal	combined-other	VERB DET NOUN NOUN	▁T ie ▁a ▁re ef ▁k not .	1 1 0 0 0 1 1 1	VERB VERB DET NOUN NOUN NOUN NOUN NOUN
I think you might do better to live with him for a while, before you actually tie the nuptial knot with someone who may be borrowing your knickers for the next 60 years.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	insertion-other	PRON VERB PRON VERB VERB ADJ PART VERB ADP PRON ADP DET NOUN ADP PRON ADV VERB DET ADJ NOUN ADP NOUN NOUN VERB VERB VERB ADJ NOUN ADP DET ADJ NUM NOUN	▁I ▁think ▁you ▁might ▁do ▁better ▁to ▁live ▁with ▁him ▁for ▁a ▁while , ▁before ▁you ▁actually ▁tie ▁the ▁n up tial ▁k not ▁with ▁someone ▁who ▁may ▁be ▁borrowing ▁your ▁k nic kers ▁for ▁the ▁next ▁60 ▁years .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB ADJ PART VERB ADP PRON ADP DET NOUN NOUN ADP PRON ADV VERB DET ADJ ADJ ADJ NOUN NOUN ADP NOUN NOUN VERB VERB VERB ADJ NOUN NOUN NOUN ADP DET ADJ NUM NOUN NOUN
The King lookalike couldn't help falling in love with Lynn Willoughby and yesterday they tied the knot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	inflection	DET PROPN NOUN VERB VERB VERB ADP NOUN ADP PROPN PROPN CCONJ NOUN PRON VERB DET NOUN	▁The ▁King ▁look a like ▁could n ' t ▁help ▁falling ▁in ▁love ▁with ▁L y nn ▁Will ough by ▁and ▁yesterday ▁they ▁tied ▁the ▁k not .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	DET PROPN NOUN NOUN NOUN VERB VERB VERB VERB VERB VERB ADP NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ NOUN PRON VERB DET NOUN NOUN NOUN
Tie a knot in one end of the cotton, so that it does not get pulled through the cup, and attach the other end to the button.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	VERB DET NOUN ADP NUM NOUN ADP DET NOUN ADP ADP PRON VERB ADV VERB VERB ADP DET NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN	▁T ie ▁a ▁k not ▁in ▁one ▁end ▁of ▁the ▁cotton , ▁so ▁that ▁it ▁does ▁not ▁get ▁pulled ▁through ▁the ▁cup , ▁and ▁attach ▁the ▁other ▁end ▁to ▁the ▁button .	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN NOUN ADP NUM NOUN ADP DET NOUN NOUN ADP ADP PRON VERB ADV VERB VERB ADP DET NOUN NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN NOUN
