Are women welcome there with open arms?	0 0 0 0 1 1 1	with open arms	figurative	identical	VERB NOUN VERB ADV ADP ADJ NOUN	▁Are ▁women ▁welcome ▁there ▁with ▁open ▁arms ?	0 0 0 0 1 1 1 1	VERB NOUN VERB ADV ADP ADJ NOUN NOUN
Mind, I welcomed them with open arms because it meant I could stay off school.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PROPN PRON VERB PRON ADP ADJ NOUN ADP PRON VERB PRON VERB VERB PART NOUN	▁Min d , ▁I ▁welcomed ▁them ▁with ▁open ▁arms ▁because ▁it ▁meant ▁I ▁could ▁stay ▁off ▁school .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PRON VERB PRON ADP ADJ NOUN ADP PRON VERB PRON VERB VERB PART NOUN NOUN
We heard from the Lord d'Aubigny that the Scottish Council is more than prepared to welcome Queen Margaret back with open arms.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	dashes	PRON VERB ADP DET PROPN PROPN ADP DET PROPN PROPN VERB ADJ ADP ADJ PART VERB PROPN PROPN ADV ADP ADJ NOUN	▁We ▁heard ▁from ▁the ▁Lord ▁d ' Aub ign y ▁that ▁the ▁Scottish ▁Council ▁is ▁more ▁than ▁prepared ▁to ▁welcome ▁Queen ▁Mar gar et ▁back ▁with ▁open ▁arms . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB ADP DET PROPN PROPN PROPN PROPN PROPN PROPN ADP DET PROPN PROPN VERB ADJ ADP ADJ PART VERB PROPN PROPN PROPN PROPN ADV ADP ADJ NOUN NOUN NOUN
Would you welcome them with open arms?	0 0 0 0 1 1 1	with open arms	figurative	identical	VERB PRON VERB PRON ADP ADJ NOUN	▁Would ▁you ▁welcome ▁them ▁with ▁open ▁arms ?	0 0 0 0 1 1 1 1	VERB PRON VERB PRON ADP ADJ NOUN NOUN
‘ But they 'll welcome him with open arms, bringing them medical aid.	0 0 0 0 0 0 1 1 1 0 0 0 0	with open arms	figurative	identical	PUNCT CCONJ PRON VERB VERB PRON ADP ADJ NOUN VERB PRON ADJ NOUN	▁ ‘ ▁But ▁they ▁' ll ▁welcome ▁him ▁with ▁open ▁arms , ▁bringing ▁them ▁medical ▁aid .	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	PUNCT PUNCT CCONJ PRON VERB VERB VERB PRON ADP ADJ NOUN NOUN VERB PRON ADJ NOUN NOUN
Today, it is easy to imagine that Romanians would indeed welcome Soviet forces with open arms as liberators.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	with open arms	figurative	identical	NOUN PRON VERB ADJ PART VERB ADP PROPN VERB ADV VERB ADJ NOUN ADP ADJ NOUN ADP NOUN	▁Today , ▁it ▁is ▁easy ▁to ▁imagine ▁that ▁Romanian s ▁would ▁indeed ▁welcome ▁Soviet ▁forces ▁with ▁open ▁arms ▁as ▁lib er ators .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	NOUN NOUN PRON VERB ADJ PART VERB ADP PROPN PROPN VERB ADV VERB ADJ NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN NOUN
Audiences have tired of Danish and German bands, though only three years ago they accepted them with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	NOUN VERB VERB ADP ADJ CCONJ ADJ NOUN ADP ADV NUM NOUN ADV PRON VERB PRON ADP ADJ NOUN	▁A udi ence s ▁have ▁tired ▁of ▁Danish ▁and ▁German ▁bands , ▁though ▁only ▁three ▁years ▁ago ▁they ▁accepted ▁them ▁with ▁open ▁arms .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN NOUN NOUN VERB VERB ADP ADJ CCONJ ADJ NOUN NOUN ADP ADV NUM NOUN ADV PRON VERB PRON ADP ADJ NOUN NOUN
Schools have welcomed such arrangements with open arms.	0 0 0 0 0 1 1 1	with open arms	figurative	identical	NOUN VERB VERB ADJ NOUN ADP ADJ NOUN	▁Schools ▁have ▁welcomed ▁such ▁arrangements ▁with ▁open ▁arms .	0 0 0 0 0 1 1 1 1	NOUN VERB VERB ADJ NOUN ADP ADJ NOUN NOUN
He has been welcomed back with open arms by team - mates who appreciate talent, courage and strong character — we will need all three qualities to overcome the Springboks.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PRON VERB VERB VERB PART ADP ADJ NOUN ADP NOUN PUNCT NOUN NOUN VERB NOUN NOUN CCONJ ADJ NOUN PUNCT PRON VERB VERB DET NUM NOUN PART VERB DET PROPN	▁He ▁has ▁been ▁welcomed ▁back ▁with ▁open ▁arms ▁by ▁team ▁- ▁mate s ▁who ▁appreciate ▁talent , ▁courage ▁and ▁strong ▁character ▁ — ▁we ▁will ▁need ▁all ▁three ▁qualities ▁to ▁overcome ▁the ▁Spring bo ks .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART ADP ADJ NOUN ADP NOUN PUNCT NOUN NOUN NOUN VERB NOUN NOUN NOUN CCONJ ADJ NOUN PUNCT PUNCT PRON VERB VERB DET NUM NOUN PART VERB DET PROPN PROPN PROPN PROPN
It seems to me that the trade unions are welcomed with open arms whenever money is needed and yet some don't want us to participate.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PRON VERB ADP PRON ADP DET NOUN NOUN VERB VERB ADP ADJ NOUN ADV NOUN VERB VERB CCONJ CCONJ DET VERB VERB PRON PART VERB	▁It ▁seems ▁to ▁me ▁that ▁the ▁trade ▁unions ▁are ▁welcomed ▁with ▁open ▁arms ▁whenever ▁money ▁is ▁needed ▁and ▁yet ▁some ▁don ' t ▁want ▁us ▁to ▁participate .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PRON ADP DET NOUN NOUN VERB VERB ADP ADJ NOUN ADV NOUN VERB VERB CCONJ CCONJ DET VERB VERB VERB VERB PRON PART VERB VERB
In the event, inhabitants of Štanjel, although they were certainly not unkind to him, did not exactly welcome him with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	ADP DET NOUN NOUN ADP PROPN ADP PRON VERB ADV ADV ADJ ADP PRON VERB ADV ADV VERB PRON ADP ADJ NOUN	▁In ▁the ▁event , ▁inhabitants ▁of ▁Š tan je l , ▁although ▁they ▁were ▁certainly ▁not ▁un kind ▁to ▁him , ▁did ▁not ▁exactly ▁welcome ▁him ▁with ▁open ▁arms .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP DET NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP PRON VERB ADV ADV ADJ ADJ ADP PRON PRON VERB ADV ADV VERB PRON ADP ADJ NOUN NOUN
He welcomed them with open arms, talked freely, played draughts with the younger and learned tables from the elder.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PRON VERB PRON ADP ADJ NOUN VERB ADV VERB NOUN ADP DET ADJ CCONJ VERB NOUN ADP DET NOUN	▁He ▁welcomed ▁them ▁with ▁open ▁arms , ▁talked ▁freely , ▁played ▁draught s ▁with ▁the ▁younger ▁and ▁learned ▁tables ▁from ▁the ▁e lder .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON ADP ADJ NOUN NOUN VERB ADV ADV VERB NOUN NOUN ADP DET ADJ CCONJ VERB NOUN ADP DET NOUN NOUN NOUN
When he hesitated Carrie ended, ‘ As your mother greeting me with open arms.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	ADV PRON VERB PROPN VERB PUNCT ADP ADJ NOUN VERB PRON ADP ADJ NOUN	▁When ▁he ▁hesitate d ▁Car rie ▁ended , ▁ ‘ ▁As ▁your ▁mother ▁greet ing ▁me ▁with ▁open ▁arms .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV PRON VERB VERB PROPN PROPN VERB VERB PUNCT PUNCT ADP ADJ NOUN VERB VERB PRON ADP ADJ NOUN NOUN
In the early days the communities as well as the state welcomed the mining companies with open arms, expecting to share in the bonanza promised by mining.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADP DET ADJ NOUN DET NOUN ADV ADV ADP DET NOUN VERB DET NOUN NOUN ADP ADJ NOUN VERB PART VERB ADP DET NOUN VERB ADP NOUN	▁In ▁the ▁early ▁days ▁the ▁communities ▁as ▁well ▁as ▁the ▁state ▁welcomed ▁the ▁mining ▁companies ▁with ▁open ▁arms , ▁expecting ▁to ▁share ▁in ▁the ▁b on anza ▁promised ▁by ▁mining .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN DET NOUN ADV ADV ADP DET NOUN VERB DET NOUN NOUN ADP ADJ NOUN NOUN VERB PART VERB ADP DET NOUN NOUN NOUN VERB ADP NOUN NOUN
It's also because many standard features on other packages which make repetitive jobs easier — like palettes, layer management and gradient fills — would be welcomed with open arms by Illustrator users.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	with open arms	figurative	identical	PRON ADV ADP ADJ ADJ NOUN ADP ADJ NOUN ADJ VERB ADJ NOUN ADJ PUNCT ADP NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT VERB VERB VERB ADP ADJ NOUN ADP PROPN NOUN	▁It ' s ▁also ▁because ▁many ▁standard ▁features ▁on ▁other ▁packages ▁which ▁make ▁repetitive ▁jobs ▁easier ▁ — ▁like ▁pale tte s , ▁layer ▁management ▁and ▁gradient ▁fill s ▁ — ▁would ▁be ▁welcomed ▁with ▁open ▁arms ▁by ▁Ill ust rator ▁users .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PRON PRON PRON ADV ADP ADJ ADJ NOUN ADP ADJ NOUN ADJ VERB ADJ NOUN ADJ PUNCT PUNCT ADP NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN PUNCT PUNCT VERB VERB VERB ADP ADJ NOUN ADP PROPN PROPN PROPN NOUN NOUN
While not everyone welcomed the regime with open arms, it is opportune to reflect on its effectiveness and to weigh up the costs and benefits of regulation of the profession by the profession.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADP ADV NOUN VERB DET NOUN ADP ADJ NOUN PRON VERB ADJ PART VERB ADP ADJ NOUN CCONJ PART VERB PART DET NOUN CCONJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN	▁While ▁not ▁everyone ▁welcomed ▁the ▁regime ▁with ▁open ▁arms , ▁it ▁is ▁opportune ▁to ▁reflect ▁on ▁its ▁effectiveness ▁and ▁to ▁weigh ▁up ▁the ▁costs ▁and ▁benefits ▁of ▁regulation ▁of ▁the ▁profession ▁by ▁the ▁profession .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV NOUN VERB DET NOUN ADP ADJ NOUN NOUN PRON VERB ADJ PART VERB ADP ADJ NOUN CCONJ PART VERB PART DET NOUN CCONJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN NOUN
So I went and saw a building contractor, friend of me Dads and er he welcomed me with open arms, he 'd just got a contract for building council houses down Dunson Street at Netherfield.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADV PRON VERB CCONJ VERB DET NOUN NOUN NOUN ADP PRON VERB CCONJ INTJ PRON VERB PRON ADP ADJ NOUN PRON VERB ADV VERB DET NOUN ADP VERB NOUN NOUN ADP PROPN PROPN ADP PROPN	▁So ▁I ▁went ▁and ▁saw ▁a ▁building ▁contractor , ▁friend ▁of ▁me ▁Da ds ▁and ▁er ▁he ▁welcomed ▁me ▁with ▁open ▁arms , ▁he ▁' d ▁just ▁got ▁a ▁contract ▁for ▁building ▁council ▁houses ▁down ▁Dun son ▁Street ▁at ▁N ether field .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB CCONJ VERB DET NOUN NOUN NOUN NOUN ADP PRON VERB VERB CCONJ INTJ PRON VERB PRON ADP ADJ NOUN NOUN PRON VERB VERB ADV VERB DET NOUN ADP VERB NOUN NOUN ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN
‘ This was equally true of the teachers, since they, together with the headmaster, could have decided to stop my research whenever they felt it threaten them ; equally, if they had accepted me with open arms it would have meant that the boys would not have trusted me greatly.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PUNCT DET VERB ADV ADJ ADP DET NOUN ADP PRON ADV ADP DET NOUN VERB VERB VERB PART VERB ADJ NOUN ADV PRON VERB PRON VERB PRON PUNCT ADV ADP PRON VERB VERB PRON ADP ADJ NOUN PRON VERB VERB VERB ADP DET NOUN VERB ADV VERB VERB PRON ADJ	▁ ‘ ▁This ▁was ▁equally ▁true ▁of ▁the ▁teachers , ▁since ▁they , ▁together ▁with ▁the ▁head master , ▁could ▁have ▁decided ▁to ▁stop ▁my ▁research ▁whenever ▁they ▁felt ▁it ▁threaten ▁them ▁ ; ▁equally , ▁if ▁they ▁had ▁accepted ▁me ▁with ▁open ▁arms ▁it ▁would ▁have ▁meant ▁that ▁the ▁boys ▁would ▁not ▁have ▁trust ed ▁me ▁greatly . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT DET VERB ADV ADJ ADP DET NOUN NOUN ADP PRON PRON ADV ADP DET NOUN NOUN NOUN VERB VERB VERB PART VERB ADJ NOUN ADV PRON VERB PRON VERB PRON PUNCT PUNCT ADV ADV ADP PRON VERB VERB PRON ADP ADJ NOUN PRON VERB VERB VERB ADP DET NOUN VERB ADV VERB VERB VERB PRON ADJ ADJ ADJ
Ms Alexander said : ‘ We would welcome with open arms anyone who would like to join us in our important fund raising work.’	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PROPN PROPN VERB PUNCT PUNCT PRON VERB VERB ADP ADJ NOUN NOUN NOUN VERB VERB PART VERB PRON ADP ADJ ADJ NOUN NOUN PROPN	▁Ms ▁Alexander ▁said ▁ : ▁ ‘ ▁We ▁would ▁welcome ▁with ▁open ▁arms ▁anyone ▁who ▁would ▁like ▁to ▁join ▁us ▁in ▁our ▁important ▁fund ▁raising ▁work . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PRON VERB VERB ADP ADJ NOUN NOUN NOUN VERB VERB PART VERB PRON ADP ADJ ADJ NOUN NOUN PROPN PROPN PROPN
