Now you can imagine with a little van that size the policeman thought he was taking the mickey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the mickey	figurative	inflection	ADV PRON VERB VERB ADP DET ADJ NOUN ADJ VERB DET NOUN VERB PRON VERB VERB DET NOUN
Criticised for looking miserable all the time, but others say his seriousness is a pretence and really he's just taking the mickey out of himself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the mickey	figurative	inflection	VERB ADP VERB ADJ ADJ DET NOUN CCONJ NOUN VERB ADJ NOUN VERB DET NOUN CCONJ ADV PRON ADV VERB DET NOUN ADP ADP PRON
Stretchered home in a plaster cast, Baxter reflected on his own part in his downfall, ‘ I probably took the mickey too much,’ he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	take the mickey	figurative	inflection	VERB ADV ADP DET NOUN NOUN PROPN VERB ADP ADJ ADJ NOUN ADP ADJ NOUN PUNCT PRON ADV VERB DET NOUN ADV NOUN PRON VERB
They 'd take the mickey out of him at school for that.	0 0 1 0 1 0 0 0 0 0 0 0	take the mickey	figurative	identical	PRON VERB VERB DET NOUN ADP ADP PRON ADP NOUN ADP DET
Abu Salim was a pain, which is why it was such a relief to take the mickey out of him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the mickey	figurative	identical	PROPN PROPN VERB DET NOUN ADJ VERB ADV PRON VERB ADJ DET NOUN PART VERB DET NOUN ADP ADP PRON
‘ He used to take the mickey out of me something awful.	0 0 0 0 1 0 1 0 0 0 0 0	take the mickey	figurative	identical	PUNCT PRON VERB PART VERB DET NOUN ADP ADP PRON NOUN ADJ
‘ All the older pros used to take the mickey out of us, but then one day in a practice match Ian went past Jim Cannon, who had been at the club for ages, and he didn't like it.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	identical	PUNCT ADJ DET ADJ NOUN VERB PART VERB DET NOUN ADP ADP PRON CCONJ ADV NUM NOUN ADP DET NOUN NOUN PROPN VERB ADP PROPN PROPN NOUN VERB VERB ADP DET NOUN ADP NOUN CCONJ PRON VERB VERB PRON
Also, if you catch the doc in a bad mood and he or she hears you taking the mickey, there are lots of particularly nasty cures which can be prescribed, such as :	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	ADV ADP PRON VERB DET NOUN ADP DET ADJ NOUN CCONJ PRON CCONJ PRON VERB PRON VERB DET NOUN ADV VERB NOUN ADP ADV ADJ NOUN ADJ VERB VERB VERB ADJ ADP PUNCT
I think someone was just taking the mickey and kept setting them off.	0 0 0 0 0 1 0 1 0 0 0 0 0	take the mickey	figurative	inflection	PRON VERB NOUN VERB ADV VERB DET NOUN CCONJ VERB VERB PRON PART
‘ I chose Dame Edna, because she takes the mickey out of fashion.	0 0 0 0 0 0 0 1 0 1 0 0 0	take the mickey	figurative	inflection	PUNCT PRON VERB PROPN PROPN ADP PRON VERB DET NOUN ADP ADP NOUN
Stop taking the mickey alright?	0 1 0 1 0	take the mickey	figurative	inflection	VERB VERB DET NOUN NOUN
So every time everybody goes past and goes how's your glow worm boy today and takes the mickey out of him!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the mickey	figurative	inflection	ADV DET NOUN NOUN VERB ADV CCONJ VERB ADV ADJ ADJ NOUN NOUN NOUN CCONJ VERB DET NOUN ADP ADP PRON
Mostly he always used to take the mickey out of the girls because they always used to talk about their boy - friends and what they were doing on different nights and that, because you see, most of them went out with boys from the same school, see, and he knew them.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	identical	ADV PRON ADV VERB PART VERB DET NOUN ADP ADP DET NOUN ADP PRON ADV VERB PART VERB ADP ADJ NOUN PUNCT NOUN CCONJ NOUN PRON VERB VERB ADP ADJ NOUN CCONJ ADP ADP PRON VERB ADJ ADP PRON VERB PART ADP NOUN ADP DET ADJ NOUN VERB CCONJ PRON VERB PRON
Are you taking the mickey?	0 0 1 0 1	take the mickey	figurative	inflection	VERB PRON VERB DET NOUN
what you suggested how she got in that, oh no you can't have that, well she kept coming and she kept aren't I a silly bitch, aren't I silly bitch Bill, and he looked she was taking the mickey out and he said well what, what's your daughter's name, she said Jane, as if he was puddled he said no what's that name?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	NOUN PRON VERB ADV PRON VERB ADP DET INTJ INTJ PRON VERB VERB DET INTJ PRON VERB VERB CCONJ PRON VERB VERB PRON DET ADJ NOUN VERB PRON ADJ NOUN PROPN CCONJ PRON VERB PRON VERB VERB DET NOUN PART CCONJ PRON VERB INTJ NOUN NOUN ADJ NOUN NOUN PRON VERB PROPN ADP ADP PRON VERB VERB PRON VERB INTJ NOUN DET NOUN
I just don't know what was wrong with it, I 've work, Jason said Ja we a subject turned to what he wore in bed Ja and Jason said nothing, right but he said when it's winter I wear my t - shirt and the pants and I cuddle up to my glow worm and we was all taking the mickey out of his glow worm, right so I 've come home and I read the paper and I 'll see glow worm in it, so I cut it out and give it to him and he stuck it up in the factory!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	PRON ADV VERB VERB NOUN VERB ADJ ADP PRON PRON VERB NOUN PROPN VERB PROPN PRON DET NOUN VERB ADP NOUN PRON VERB ADP NOUN PROPN CCONJ PROPN VERB NOUN INTJ CCONJ PRON VERB ADV PRON NOUN PRON VERB ADJ NOUN PUNCT NOUN CCONJ DET NOUN CCONJ PRON VERB PART ADP ADJ ADJ NOUN CCONJ PRON VERB ADV VERB DET NOUN ADP ADP ADJ ADJ NOUN INTJ ADV PRON VERB VERB ADV CCONJ PRON VERB DET NOUN CCONJ PRON VERB VERB VERB NOUN ADP PRON ADV PRON VERB PRON PART CCONJ VERB PRON ADP PRON CCONJ PRON VERB PRON PART ADP DET NOUN
If anyone takes the mickey I turn round and say I 've got a daughter. "	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	ADP NOUN VERB DET NOUN PRON VERB ADV CCONJ VERB PRON VERB VERB DET NOUN PUNCT
The former schoolteacher said : ‘ I don't take the mickey out of the contestants any more than I take it out of myself.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	identical	DET ADJ NOUN VERB PUNCT PUNCT PRON VERB VERB DET NOUN ADP ADP DET NOUN ADV ADV ADP PRON VERB PRON ADP ADP PRON
We take the mickey out of Mr Brown quite a lot, actually.	0 1 0 1 0 0 0 0 0 0 0 0	take the mickey	figurative	identical	PRON VERB DET NOUN ADP ADP PROPN PROPN ADJ DET NOUN ADV
Tired of Amiga and Mac users taking the mickey out of the pitiful beep your PC makes?	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	ADJ ADP PROPN CCONJ PROPN NOUN VERB DET NOUN ADP ADP DET ADJ NOUN ADJ NOUN VERB
I must stop taking the mickey out of Banbury United.	0 0 0 1 0 1 0 0 0 0	take the mickey	figurative	inflection	PRON VERB VERB VERB DET NOUN ADP ADP PROPN PROPN
It seemed odd that taking the ( gentle ) mickey out of women ( i.e. ourselves ) made some men ( not our Real Pals ) feel a bit got at …	0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	combined-inflection	PRON VERB ADJ ADP VERB DET PUNCT ADJ PUNCT NOUN ADP ADP NOUN PUNCT X PRON PUNCT VERB DET NOUN PUNCT ADV ADJ PROPN NOUN PUNCT VERB DET NOUN VERB ADP PUNCT
They they took the mickey out of him so much that he cried.	0 0 1 0 1 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	PRON PRON VERB DET NOUN ADP ADP PRON ADV ADV ADP PRON VERB
They would take the mickey out of me with sickening enthusiasm.	0 0 1 0 1 0 0 0 0 0 0	take the mickey	figurative	identical	PRON VERB VERB DET NOUN ADP ADP PRON ADP ADJ NOUN
When other people are taking the mickey out of someone else, try to imagine how they feel about it.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	ADV ADJ NOUN VERB VERB DET NOUN ADP ADP NOUN ADV VERB PART VERB ADV PRON VERB ADP PRON
One of the bigger problems was that Fergie believed I was taking the mickey out of him by either cheating or going soft and feigning injury.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	NUM ADP DET ADJ NOUN VERB ADP PROPN VERB PRON VERB VERB DET NOUN ADP ADP PRON ADP DET VERB CCONJ VERB ADJ CCONJ VERB NOUN
