I went into the garden where I made an H - shaped cut through to the nest with a spade.	0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	PRON VERB ADP DET NOUN ADV PRON VERB DET NOUN PUNCT VERB NOUN PART ADP DET NOUN ADP DET NOUN
A short report in the Financial Times for 19/20 December 1992 states that women who were sacked from a mushroom farm after refusing new contracts that they alleged had made cuts in their pay, had been given permission by the Court of Appeal on 18 December 1992 to carry out a leaflet campaign to persuade shoppers not to buy the farm's produce.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	DET ADJ NOUN ADP DET PROPN PROPN ADP NUM PROPN NUM NOUN ADP NOUN NOUN VERB VERB ADP DET NOUN NOUN ADP VERB ADJ NOUN ADP PRON VERB VERB VERB NOUN ADP ADJ NOUN VERB VERB VERB NOUN ADP DET PROPN ADP PROPN ADP NUM PROPN NUM PART VERB PART DET NOUN NOUN PART VERB NOUN ADV PART VERB DET NOUN NOUN
He made a three - inch cut in my hand	0 1 0 0 0 0 1 0 0 0	make the cut	literal	combined-inflection	PRON VERB DET NUM PUNCT NOUN NOUN ADP ADJ NOUN
Having answered his own question of whether he would make the cut, he proved himself capable of denying the one that he was a one - major wonder.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	identical	VERB VERB ADJ ADJ NOUN ADP ADP PRON VERB VERB DET NOUN PRON VERB PRON ADJ ADP VERB DET NOUN ADJ PRON VERB DET NUM PUNCT ADJ NOUN
Scrub the potatoes well and make a single cut along the top of each.	0 0 0 0 0 1 0 0 1 0 0 0 0 0	make the cut	literal	combined-other	VERB DET NOUN ADV CCONJ VERB DET ADJ NOUN ADP DET NOUN ADP DET
But Gordon Kennett, the 1979 world No 2, Stoke's Alan Grahame, an ex - British final runner - up, and Mel Taylor, a former Commonwealth finalist, failed to make the cut.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the cut	figurative	identical	CCONJ PROPN PROPN DET NUM NOUN NOUN NUM PROPN PROPN PROPN DET NUM PUNCT ADJ ADJ NOUN PUNCT NOUN CCONJ PROPN PROPN DET ADJ PROPN NOUN VERB PART VERB DET NOUN
The Fynn Valley professional has enjoyed little success so far this year — he has made the cut in just one tournament — and his latest downfall was in the Spanish Open where rounds of 76 and 73 kept him out of the prize money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	inflection	DET PROPN PROPN NOUN VERB VERB ADJ NOUN ADV ADV DET NOUN PUNCT PRON VERB VERB DET NOUN ADP ADV NUM NOUN PUNCT CCONJ ADJ ADJ NOUN VERB ADP DET PROPN PROPN ADV NOUN ADP NUM CCONJ NUM VERB PRON ADP ADP DET NOUN NOUN
When these investigations were concluded, the task forces briefed cabinet members on their responsibilities, suggested where funding cuts might be made and which bureaus might be closed while also advising on the hiring, firing and movement of personnel.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	misc	ADV DET NOUN VERB VERB DET NOUN NOUN VERB NOUN NOUN ADP ADJ NOUN VERB ADV NOUN NOUN VERB VERB VERB CCONJ ADJ NOUN VERB VERB VERB ADP ADV VERB ADP DET NOUN NOUN CCONJ NOUN ADP NOUN
Seve Ballesteros's failure to make the halfway cut at Westchester afforded him, and Jose Maria Olazabal, an early look at the course.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	insertion-other	PROPN PROPN NOUN PART VERB DET NOUN VERB ADP PROPN VERB PRON CCONJ PROPN PROPN PROPN DET ADJ NOUN ADP DET NOUN
He made substantial tax cuts, reducing the top rate of individual tax from 50 to 30 per cent and corporate tax from 45 to 40 per cent.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	PRON VERB ADJ NOUN NOUN VERB DET ADJ NOUN ADP ADJ NOUN ADP NUM PART NUM NOUN NOUN CCONJ ADJ NOUN ADP NUM PART NUM NOUN NOUN
Here is my way of making ' cut and sew ' buttonholes, I find it especially useful on difficult yarns, for example, bouclés.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	ADV VERB ADJ NOUN ADP VERB PUNCT NOUN CCONJ VERB PUNCT NOUN PRON VERB PRON ADV ADJ ADP ADJ NOUN ADP NOUN NOUN
Never before had there been as many as nine of his members in a Masters field and every one of them made the cut.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the cut	figurative	inflection	ADV ADV VERB ADV VERB ADV ADJ ADP NUM ADP ADJ NOUN ADP DET PROPN NOUN CCONJ DET NUM ADP PRON VERB DET NOUN
The first cut — of 3 per cent— was made on July l after the industry's watchdog, Ofgas, threatened court action over excess profits.	0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	misc	DET ADJ NOUN PUNCT ADP NUM ADP NOUN VERB VERB ADP PROPN NOUN ADP DET NOUN NOUN PROPN VERB NOUN NOUN ADP ADJ NOUN
NIGEL MANSELL, the Formula One world champion, failed to make the halfway cut in the South Australian Open golf championship at Royal Adelaide yesterday.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	insertion-other	PROPN PROPN DET PROPN NUM NOUN NOUN VERB PART VERB DET NOUN VERB ADP DET PROPN PROPN PROPN NOUN NOUN ADP PROPN PROPN NOUN
He also made the cut in the Deposit Guaranty Classic, which is a ‘ grabbing’ tournament played opposite The Masters in which it is nigh impossible to miss the cut.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	inflection	PRON ADV VERB DET NOUN ADP DET PROPN PROPN PROPN ADJ VERB DET NOUN NOUN NOUN VERB ADP DET PROPN ADP ADJ PRON VERB ADJ ADJ PART VERB DET NOUN
Make cuts into this paper circle to a depth of 5 cm ( 2inches ) all the way round.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	VERB NOUN ADP DET NOUN NOUN ADP DET NOUN ADP NUM NOUN PUNCT NUM PUNCT ADJ DET NOUN ADV
The knife blade makes the cut, but the budding knife handle has a thin wedge - shaped end that is used, on turning the knife round, to open the cut.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	inflection	DET NOUN NOUN VERB DET NOUN CCONJ DET VERB NOUN NOUN VERB DET ADJ NOUN PUNCT VERB NOUN ADJ VERB VERB ADP VERB DET NOUN ADV PART VERB DET NOUN
During 1990 and the first half of 1991 relations altered dramatically with the Soviet Union, which, struggling with momentous internal political and economic problems, made major cuts in its aid programme to Vietnam, and a cutback in the Soviet naval and air base at Cam Ranh Bay ; in October 1990 the Soviet ambassador to Vietnam announced that the Soviet Union had started to withdraw its troops from the base.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	ADP NUM CCONJ DET ADJ NOUN ADP NUM NOUN VERB ADV ADP DET PROPN PROPN ADJ VERB ADP ADJ ADJ ADJ CCONJ ADJ NOUN VERB ADJ NOUN ADP ADJ NOUN NOUN ADP PROPN CCONJ DET NOUN ADP DET ADJ ADJ CCONJ NOUN NOUN ADP PROPN PROPN PROPN PUNCT ADP PROPN NUM DET ADJ NOUN ADP PROPN VERB ADP DET PROPN PROPN VERB VERB PART VERB ADJ NOUN ADP DET NOUN
He made the cut by three strokes, and in qualifying for the final two rounds he has already guaranteed himself a place on next season's growing satellite tour, Europe's golfing second division.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	inflection	PRON VERB DET NOUN ADP NUM NOUN CCONJ ADP VERB ADP DET ADJ NUM NOUN PRON VERB ADV VERB PRON DET NOUN ADP ADJ NOUN VERB NOUN NOUN PROPN VERB ADJ NOUN
Meanwhile MPs and councillors from Gloucestershire have asked the Local Government Minister to give the county enough money to prevent it having to make cuts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	make the cut	figurative	deletion-determiner	ADV NOUN CCONJ NOUN ADP PROPN VERB VERB DET ADJ PROPN PROPN PART VERB DET NOUN ADJ NOUN PART VERB PRON VERB PART VERB NOUN
We made the cut, but he was so bad - tempered he wouldn't speak to me, and sometimes I just didn't know what to do for the best.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	inflection	PRON VERB DET NOUN CCONJ PRON VERB ADV ADJ PUNCT VERB PRON VERB VERB ADP PRON CCONJ ADV PRON ADV VERB VERB NOUN PART VERB ADP DET ADJ
A similar fate befell councillors in Liverpool who, although not rate - capped at the time, delayed setting a rate on the grounds that they would otherwise have to make large spending cuts or impose rate rises ( contrary to the ruling Labour group's manifesto commitments ) to maintain expenditure within the block - grant regime ( Parkinson, 1985 ; Travers, 1986, especially 164–77 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	DET ADJ NOUN NOUN NOUN ADP PROPN NOUN ADP ADV NOUN PUNCT VERB ADP DET NOUN VERB VERB DET NOUN ADP DET NOUN ADP PRON VERB ADV VERB PART VERB ADJ NOUN NOUN CCONJ VERB NOUN NOUN PUNCT ADJ ADP DET VERB PROPN NOUN NOUN NOUN PUNCT PART VERB NOUN ADP DET NOUN PUNCT NOUN NOUN PUNCT PROPN NUM PUNCT NOUN NUM ADV NUM PUNCT
New revolt fears as Tories poised to make cuts	0 0 0 0 0 0 0 1 1	make the cut	figurative	deletion-determiner	ADJ NOUN NOUN ADP PROPN VERB PART VERB NOUN
Wound the stem 12–15 in from its tip by making a long cut to form a tongue.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	make the cut	literal	combined-inflection	VERB DET NOUN NUM ADP ADP ADJ NOUN ADP VERB DET ADJ NOUN PART VERB DET NOUN
Make a small cut and then try to pull the gall to pieces bit by bit.	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-other	VERB DET ADJ NOUN CCONJ ADV VERB PART VERB DET NOUN ADP NOUN NOUN ADP NOUN
A laser ' knife ' has many advantages over the scalpel — it can make a much finer cut, and causes less bleeding.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	make the cut	literal	combined-other	DET NOUN PUNCT NOUN PUNCT VERB ADJ NOUN ADP DET NOUN PUNCT PRON VERB VERB DET ADV ADJ NOUN CCONJ VERB ADJ NOUN
If Di Haine's Smooth Escort makes the cut for the Grand National at Aintree tomorrow he could be worth a sporting each - way bet as his trainer has always maintained he was made for the marathon.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	inflection	ADP PROPN PROPN PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN ADP PROPN NOUN PRON VERB VERB ADJ DET NOUN DET PUNCT NOUN NOUN ADP ADJ NOUN VERB ADV VERB PRON VERB VERB ADP DET NOUN
The chain is connected to the handle at the tightest position, the handles pulled together — and hey presto— you 've made a clean cut!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	make the cut	literal	combined-inflection	DET NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN DET NOUN VERB ADV PUNCT CCONJ INTJ VERB PRON VERB VERB DET ADJ NOUN
We made the cut in 1970 for my first British Open with Tom, but a bad last round put him down the field.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	inflection	PRON VERB DET NOUN ADP NUM ADP ADJ ADJ PROPN PROPN ADP PROPN CCONJ DET ADJ ADJ NOUN VERB PRON ADP DET NOUN
They cite the UGC's decision on how to make cuts in university spending in 1981.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	make the cut	literal	deletion-determiner	PRON VERB DET PROPN NOUN ADP ADV PART VERB NOUN ADP NOUN NOUN ADP NUM
After I made the cut I folded back the turf ( still using the spade ) and saw the nest.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	inflection	ADP PRON VERB DET NOUN PRON VERB PART DET NOUN PUNCT ADV VERB DET NOUN PUNCT CCONJ VERB DET NOUN
However, his putting has also troubled him and his first objective is to make the cut, which Ballesteros failed to do the year after both his victories.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	identical	ADV ADJ NOUN VERB ADV VERB PRON CCONJ ADJ ADJ NOUN VERB PART VERB DET NOUN ADJ PROPN VERB PART VERB DET NOUN ADP DET ADJ NOUN
The cut may be made with little or no apparent awareness, the patient suddenly discovering that she has cut herself and at the same time experiencing a sense of relief.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	misc	DET NOUN VERB VERB VERB ADP ADJ CCONJ DET ADJ NOUN DET NOUN ADV VERB ADP PRON VERB VERB PRON CCONJ ADP DET ADJ NOUN VERB DET NOUN ADP NOUN
keyhole surgery, where surgeons operate through small punctures in the skin instead of making a large cut, viewing their patients ' organs via an endoscope and watching the process on a screen	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	NOUN NOUN ADV NOUN VERB ADP ADJ NOUN ADP DET NOUN ADV ADP VERB DET ADJ NOUN VERB ADJ NOUN PART NOUN ADP DET NOUN CCONJ VERB DET NOUN ADP DET NOUN
Always make cuts at a slightly sloping angle — as shown in the sketch, and never at an angle that would allow rain, dew, and heavy moisture to lie on the open cut.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	deletion-determiner	ADV VERB NOUN ADP DET ADV VERB NOUN PUNCT ADP VERB ADP DET NOUN CCONJ ADV ADP DET NOUN ADJ VERB VERB NOUN NOUN CCONJ ADJ NOUN PART VERB ADP DET ADJ NOUN
Some others also plan to make cuts.	0 0 0 0 0 1 1	make the cut	literal	deletion-determiner	DET NOUN ADV VERB PART VERB NOUN
At this point, technique becomes personal preference : you can either make the cut in the stock first and then prepare the bud for insertion, or prepare the bud, put it into your mouth ( handle protruding ) to keep the cut surface wet, make the stock cut and slip the bud in straight away.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	identical	ADP DET NOUN NOUN VERB ADJ NOUN PUNCT PRON VERB ADV VERB DET NOUN ADP DET NOUN ADV CCONJ ADV VERB DET NOUN ADP NOUN CCONJ VERB DET NOUN VERB PRON ADP ADJ NOUN PUNCT VERB VERB PUNCT PART VERB DET NOUN NOUN ADJ VERB DET NOUN NOUN CCONJ VERB DET NOUN ADP ADV ADV
Again, always use a very sharp blade to make any cuts.	0 0 0 0 0 0 0 0 1 0 1	make the cut	literal	determiner-broad	ADV ADV VERB DET ADV ADJ NOUN PART VERB DET NOUN
You had to clean these fish out, and put about eight snotches in each one — bring a knife down the side of the herren, and make cuts about three - quarters of an inch apart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	make the cut	literal	deletion-determiner	PRON VERB PART VERB DET NOUN PART CCONJ VERB ADV NUM NOUN ADP DET NUM PUNCT VERB DET NOUN ADP DET NOUN ADP DET NOUN CCONJ VERB NOUN ADV NUM PUNCT NOUN ADP DET NOUN ADV
Churchill hoped to make a start towards the reconciliation of these objectives with an already over - burdened economy by making cuts to the defence programme he had inherited from Labour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	PROPN VERB PART VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP DET ADV ADV PUNCT VERB NOUN ADP VERB NOUN ADP DET NOUN NOUN PRON VERB VERB ADP PROPN
