so you didn't make the grade	0 0 0 1 0 1	make the grade	figurative	identical	ADV PRON VERB VERB DET NOUN
PRE - SEASON thoughts on the prospects of newcomers Durham making the grade were borne out in the early weeks.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	make the grade	figurative	inflection	NOUN PUNCT NOUN NOUN ADP DET NOUN ADP NOUN PROPN VERB DET NOUN VERB VERB PART ADP DET ADJ NOUN
Ironically, the best hope for change lies in the failure of so many new drugs to make the grade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	ADV DET ADJ NOUN ADP NOUN VERB ADP DET NOUN ADP ADV ADJ ADJ NOUN PART VERB DET NOUN
His fears of not making the grade evaporated when ITV talent scouts spotted him wrestling on the amateur circuit.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	inflection	ADJ NOUN ADP ADV VERB DET NOUN VERB ADV PROPN NOUN ADV VERB PRON VERB ADP DET ADJ NOUN
On it are written the details of over 30 schoolboy and YTS players, all signed by the Quakers with a chance of making the grade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	inflection	ADP PRON VERB VERB DET NOUN ADP ADP NUM NOUN CCONJ PROPN NOUN DET VERB ADP DET PROPN ADP DET NOUN ADP VERB DET NOUN
Tempting, but the truth so far is that in equities the machines aren't quite making the required grade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	make the grade	figurative	combined-inflection	ADJ CCONJ DET NOUN ADV ADV VERB ADP ADP NOUN DET NOUN VERB ADV VERB DET ADJ NOUN
In fact, the gurus of the East teach that the goldfish might well have been your great, great grandmother in a previous existence if she did not make the grade as a human being.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	make the grade	figurative	identical	ADP NOUN DET NOUN ADP DET PROPN NOUN ADP DET NOUN VERB ADV VERB VERB ADJ ADJ ADJ NOUN ADP DET ADJ NOUN ADP PRON VERB ADV VERB DET NOUN ADP DET ADJ NOUN
I don't think I 'll make the grade if I try to play professional baseball.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	make the grade	figurative	identical	PRON VERB VERB PRON VERB VERB DET NOUN ADP PRON VERB PART VERB ADJ NOUN
Then the firm are given one year to make the grade.	0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	ADV DET NOUN VERB VERB NUM NOUN PART VERB DET NOUN
I mean you 're going with me now if I don't make the grade at the interview	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	make the grade	figurative	identical	PRON VERB PRON VERB VERB ADP PRON ADV ADP PRON VERB VERB DET NOUN ADP DET NOUN
I roared in head first, like a schoolboy boxer who won't make the grade.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	PRON VERB ADP NOUN ADV ADP DET NOUN NOUN NOUN VERB VERB DET NOUN
courses are also such that a substantial number of candidates never make the grade.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	NOUN VERB ADV ADJ ADP DET ADJ NOUN ADP NOUN ADV VERB DET NOUN
Hank was fun, even if it did look as if he would never make Grade 12 and never earn much.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	make the grade	literal	combined-other	PROPN VERB ADJ ADV ADP PRON VERB VERB ADP ADP PRON VERB ADV VERB PROPN NUM CCONJ ADV VERB ADJ
SHOULD Selkirk fail to make the grade and drop out for a fourth spell in Division II, they will at least on this occasion descend with honour.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	VERB PROPN VERB PART VERB DET NOUN CCONJ VERB PART ADP DET ADJ NOUN ADP PROPN PROPN PRON VERB ADP ADJ ADP DET NOUN VERB ADP NOUN
At Test level, he scarcely made the grade, averaging 19 with the bat and 40 with the ball.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	inflection	ADP PROPN NOUN PRON ADV VERB DET NOUN VERB NUM ADP DET NOUN CCONJ NUM ADP DET NOUN
Buying a horse with clean x - ray plates a ) avoids buying trouble, and b ) if the horse does not make the grade, and you need to sell, there is less chance of running into problems during the next purchaser's vetting.!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	VERB DET NOUN ADP ADJ SYM PUNCT NOUN NOUN DET PUNCT NOUN VERB NOUN CCONJ PUNCT PUNCT ADP DET NOUN VERB ADV VERB DET NOUN CCONJ PRON VERB PART VERB ADV VERB ADJ NOUN ADP VERB ADP NOUN ADP DET ADJ NOUN NOUN
Emma Nicholson's Private Member's Bill against hackers, which failed to make the grade in the last session of Parliament, required anyone who entered a computer to his or anyone else's advantage, or to another's prejudice, to be charged with a serious offence, with a maximum penalty of 10 years.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	PROPN PROPN PROPN PROPN PROPN ADP NOUN ADJ VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP PROPN VERB NOUN NOUN VERB DET NOUN ADP ADJ CCONJ NOUN ADV NOUN CCONJ ADP DET NOUN PART VERB VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADP NUM NOUN
So they didn't make the grade?	0 0 0 1 0 1	make the grade	figurative	identical	ADV PRON VERB VERB DET NOUN
It became an aloof, lonely personal fight to make the grade.	0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	PRON VERB DET ADJ ADJ ADJ NOUN PART VERB DET NOUN
If the candidate makes the grade in the Hawk, where he learns to handle fast jets and basic skills in bombing and dogfighting, he is posted to a Tactical Weapons Unit where these skills are honed.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	inflection	ADP DET NOUN VERB DET NOUN ADP DET PROPN ADV PRON VERB PART VERB ADJ NOUN CCONJ ADJ NOUN ADP NOUN CCONJ NOUN PRON VERB VERB ADP DET PROPN PROPN PROPN ADV DET NOUN VERB ADJ
He did not quite make the grade and said he was happy to come home after missing all last year.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	PRON VERB ADV ADV VERB DET NOUN CCONJ VERB PRON VERB ADJ PART VERB ADV ADP VERB DET ADJ NOUN
It decided me that I wasn't going to be good enough to make the grade.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	PRON VERB PRON ADP PRON VERB VERB PART VERB ADJ ADV PART VERB DET NOUN
A large, ungainly and abrasive man, he was not the sort of material to make the grade in the SAS in the normal way, but Stirling obviously had his reasons for taking him on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	DET ADJ ADV CCONJ ADJ NOUN PRON VERB ADV DET NOUN ADP NOUN PART VERB DET NOUN ADP DET PROPN ADP DET ADJ NOUN CCONJ PROPN ADV VERB ADJ NOUN ADP VERB PRON PART
into reality, he is quite likely to make the grade.	0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	ADP NOUN PRON VERB ADV ADJ PART VERB DET NOUN
THERE will be another feather in the cap for Stirling County's pioneering youth policy this weekend as a stand - off makes the grade at the highest level.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	make the grade	figurative	inflection	ADV VERB VERB DET NOUN ADP DET NOUN ADP PROPN PROPN ADJ NOUN NOUN DET NOUN ADP DET VERB PUNCT NOUN VERB DET NOUN ADP DET ADJ NOUN
into reality, he is quite likely to make the grade.	0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	ADP NOUN PRON VERB ADV ADJ PART VERB DET NOUN
He was the first son of Northern Dancer to make the grade on this side of the Atlantic.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	make the grade	figurative	identical	PRON VERB DET ADJ NOUN ADP PROPN PROPN PART VERB DET NOUN ADP DET NOUN ADP DET PROPN
Another Merseyside pub to make the grade is Terry and Margaret Nelson's Seven Stars in Thornton Hough.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	DET PROPN NOUN PART VERB DET NOUN VERB PROPN CCONJ PROPN PROPN PROPN PROPN ADP PROPN PROPN
WITH a meaningless tournament offering a first prize of $ 2 million, tennis finally made the grade as a cuckoo's nest this week.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	make the grade	figurative	inflection	ADP DET ADJ NOUN VERB DET ADJ NOUN ADP SYM NUM NUM NOUN ADV VERB DET NOUN ADP DET NOUN NOUN DET NOUN
This is my last season, Jez, and I just haven't made the grade.	0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	inflection	DET VERB ADJ ADJ NOUN PROPN CCONJ PRON ADV VERB VERB DET NOUN
More likely in statistical terms is that it will close down even earlier due to judicious coaches ' or managers ' recommendations on the inadequacy of the majority of aspirants ‘ to make the grade’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	dashes	ADV ADJ ADP ADJ NOUN VERB ADP PRON VERB VERB PART ADV ADV ADJ ADP ADJ NOUN PART CCONJ NOUN PART NOUN ADP DET NOUN ADP DET NOUN ADP NOUN PART PART VERB DET NOUN
McMurdo never made the grade but like many Scots his early interest in the game ignited a flame of passion for football that has never been extinguished.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	inflection	PROPN ADV VERB DET NOUN CCONJ ADP ADJ PROPN ADJ ADJ NOUN ADP DET NOUN VERB DET NOUN ADP NOUN ADP NOUN ADJ VERB ADV VERB VERB
That was why she was making the grade as a jockey.	0 0 0 0 0 1 0 1 0 0 0	make the grade	figurative	inflection	DET VERB ADV PRON VERB VERB DET NOUN ADP DET NOUN
One back - bench MP summed up the mood of the Scottish parliamentary party, saying : ‘ If he doesn't make the grade by the end of the year then there's no way I 'd vote for him again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	NUM ADJ PUNCT NOUN PROPN VERB PART DET NOUN ADP DET ADJ ADJ NOUN VERB PUNCT PUNCT ADP PRON VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN ADV ADV DET NOUN PRON VERB VERB ADP PRON ADV
Similarly, other Rowdies who have been shown to have given long service through organizing or chant leading might also have a chance of making the grade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	inflection	ADV ADJ NOUN NOUN VERB VERB VERB PART VERB VERB ADJ NOUN ADP NOUN CCONJ NOUN VERB VERB ADV VERB DET NOUN ADP VERB DET NOUN
If you are unfortunate enough not to make the grade in a new and elevated position, you do not have an automatic right to return to your old job, although in a minority of cases you may be able to negotiate an agreement that this should happen.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	ADP PRON VERB ADJ ADV ADV PART VERB DET NOUN ADP DET ADJ CCONJ ADJ NOUN PRON VERB ADV VERB DET ADJ NOUN PART VERB ADP ADJ ADJ NOUN ADP ADP DET NOUN ADP NOUN PRON VERB VERB ADJ PART VERB DET NOUN ADJ DET VERB VERB
See how they turned in they are, you will never make the grade!’	0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	dashes	VERB ADV PRON VERB PART PRON VERB PRON VERB ADV VERB DET NOUN
The line - up for the fourth Grand Slam Finals of the Vauxhall Indoor Tennis Trophy reflects a mixture of old and new, as former champions Queen's Club make the grade for the fourth time, whilst Royal Berkshire earn a place in the last four for the first time in their debut Trophy season.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	DET NOUN PUNCT NOUN ADP DET ADJ PROPN PROPN PROPN ADP DET PROPN PROPN PROPN PROPN VERB DET NOUN ADP ADJ CCONJ ADJ ADP ADJ NOUN PROPN PROPN VERB DET NOUN ADP DET ADJ NOUN ADP PROPN PROPN VERB DET NOUN ADP DET ADJ NUM ADP DET ADJ NOUN ADP ADJ NOUN NOUN NOUN
There are, however, two — perhaps three — who might eventually make the grade.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	ADV VERB ADV NUM PUNCT ADV NUM PUNCT NOUN VERB ADV VERB DET NOUN
This, I am assured, is not merely ‘ the most comprehensive lifestyle and financial program one can apply for’(will I make the grade? ) but is ‘ most distinctive’ for the ‘ philosophy it represents’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	DET PRON VERB VERB VERB ADV ADV PUNCT DET ADV ADJ NOUN CCONJ ADJ NOUN PRON VERB VERB NOUN PRON VERB DET NOUN PUNCT CCONJ VERB DET ADJ ADJ ADP DET ADJ NOUN PRON VERB
To cut a long story short, he couldn't make the grade so he ended up as a pharmacist in the business his father bought for him as a going concern.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	PART VERB DET ADJ NOUN ADJ PRON VERB VERB DET NOUN ADV PRON VERB PART ADP DET NOUN ADP DET NOUN ADJ NOUN VERB ADP PRON ADP DET VERB NOUN
Three cheers for our kids who made the grade	0 0 0 0 0 0 1 0 1	make the grade	figurative	inflection	NUM NOUN ADP ADJ NOUN NOUN VERB DET NOUN
In the dining room, team photographs were ranged along the wall : I recognized Brian in one of them ; I myself had never made the grade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	inflection	ADP DET NOUN NOUN NOUN NOUN VERB VERB ADP DET NOUN PUNCT PRON VERB PROPN ADP NUM ADP PRON PUNCT PRON PRON VERB ADV VERB DET NOUN
Nevertheless, uppermost in the minds of Verity Lambert and David Whitaker, as they read through their copies of the camera script, must be thoughts of how heads could roll if this story ultimately fails to make the grade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	ADV ADJ ADP DET NOUN ADP PROPN PROPN CCONJ PROPN PROPN ADP PRON VERB ADP ADJ NOUN ADP DET NOUN NOUN VERB VERB NOUN ADP ADV NOUN VERB VERB ADP DET NOUN ADV VERB PART VERB DET NOUN
Yes, some people don't make the grade.	0 0 0 0 1 0 1	make the grade	figurative	identical	INTJ DET NOUN VERB VERB DET NOUN
And what happened if you failed to make the grade?	0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	CCONJ NOUN VERB ADP PRON VERB PART VERB DET NOUN
Taxing work, determination, application, steadfastness, resilience : these were some of the qualities needed to make the grade as a sportsmen even at the more modest levels.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	VERB NOUN NOUN NOUN NOUN NOUN PUNCT DET VERB DET ADP DET NOUN VERB PART VERB DET NOUN ADP DET NOUN ADV ADP DET ADV ADJ NOUN
