My father had bought the farm at an auction, at what turned out to be an inflated price.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	inflection	ADJ NOUN VERB VERB DET NOUN ADP DET NOUN ADP NOUN VERB PART PART VERB DET ADJ NOUN	▁My ▁father ▁had ▁bought ▁the ▁farm ▁at ▁an ▁auction , ▁at ▁what ▁turned ▁out ▁to ▁be ▁an ▁inflated ▁price .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB DET NOUN ADP DET NOUN NOUN ADP NOUN VERB PART PART VERB DET ADJ NOUN NOUN
However carefully you are prepared, buying a farm can be an exciting and hectic experience, and there is always the danger of making a subjective judgement or acting on impulse ; it is here that experienced friends are invaluable.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	ADV ADV PRON VERB ADJ VERB DET NOUN VERB VERB DET ADJ CCONJ ADJ NOUN CCONJ ADV VERB ADV DET NOUN ADP VERB DET ADJ NOUN CCONJ VERB ADP NOUN PUNCT PRON VERB ADV ADJ ADJ NOUN VERB ADJ	▁However ▁carefully ▁you ▁are ▁prepared , ▁buying ▁a ▁farm ▁can ▁be ▁an ▁excit ing ▁and ▁he ctic ▁experience , ▁and ▁there ▁is ▁always ▁the ▁danger ▁of ▁making ▁a ▁subject ive ▁judgement ▁or ▁acting ▁on ▁impulse ▁ ; ▁it ▁is ▁here ▁that ▁experienced ▁friends ▁are ▁in val u able .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB ADJ ADJ VERB DET NOUN VERB VERB DET ADJ ADJ CCONJ ADJ ADJ NOUN NOUN CCONJ ADV VERB ADV DET NOUN ADP VERB DET ADJ ADJ NOUN CCONJ VERB ADP NOUN PUNCT PUNCT PRON VERB ADV ADJ ADJ NOUN VERB ADJ ADJ ADJ ADJ ADJ
She had bought a farm at Willowdale, Ontario.	0 0 1 0 1 0 0 0	buy the farm	literal	combined-inflection	PRON VERB VERB DET NOUN ADP PROPN PROPN	▁She ▁had ▁bought ▁a ▁farm ▁at ▁Will ow d ale , ▁On t ario .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
It is possible to jump in at the deep end, buy a farm, and teach yourself, learning by your mistakes.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	buy the farm	literal	determiner-narrow	PRON VERB ADJ PART VERB PART ADP DET ADJ NOUN VERB DET NOUN CCONJ VERB PRON VERB ADP ADJ NOUN	▁It ▁is ▁possible ▁to ▁jump ▁in ▁at ▁the ▁deep ▁end , ▁buy ▁a ▁farm , ▁and ▁teach ▁yourself , ▁learning ▁by ▁your ▁mistakes .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB ADJ PART VERB PART ADP DET ADJ NOUN NOUN VERB DET NOUN NOUN CCONJ VERB PRON PRON VERB ADP ADJ NOUN NOUN
It is therefore prudent for a newcomer to spend considerable time and effort acquiring the skills before taking the plunge by buying a farm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	buy the farm	literal	combined-inflection	PRON VERB ADV ADJ ADP DET NOUN PART VERB ADJ NOUN CCONJ NOUN VERB DET NOUN ADP VERB DET NOUN ADP VERB DET NOUN	▁It ▁is ▁therefore ▁prudent ▁for ▁a ▁new com er ▁to ▁spend ▁considerable ▁time ▁and ▁effort ▁acquiring ▁the ▁skills ▁before ▁taking ▁the ▁plunge ▁by ▁buying ▁a ▁farm .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADV ADJ ADP DET NOUN NOUN NOUN PART VERB ADJ NOUN CCONJ NOUN VERB DET NOUN ADP VERB DET NOUN ADP VERB DET NOUN NOUN
Just bought the farm and	0 1 0 1 0	buy the farm	literal	inflection	ADV VERB DET NOUN CCONJ	▁Just ▁bought ▁the ▁farm ▁and	0 1 0 1 0	ADV VERB DET NOUN CCONJ
The rich shrimp cultivators then buy the farms at throwaway prices, creating widespread landlessness and unemployment ( as shrimp farming requires fewer workers than rice ).	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	inflection	DET ADJ NOUN NOUN ADV VERB DET NOUN ADP NOUN NOUN VERB ADJ ADJ CCONJ NOUN PUNCT ADP NOUN NOUN VERB ADJ NOUN ADP NOUN PUNCT	▁The ▁rich ▁shrimp ▁cultivat ors ▁then ▁buy ▁the ▁farms ▁at ▁throw a way ▁prices , ▁creating ▁widespread ▁land lessness ▁and ▁unemployment ▁( ▁as ▁shrimp ▁farming ▁requires ▁fewer ▁workers ▁than ▁rice ▁ ).	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN NOUN ADV VERB DET NOUN ADP NOUN NOUN NOUN NOUN NOUN VERB ADJ ADJ ADJ CCONJ NOUN PUNCT ADP NOUN NOUN VERB ADJ NOUN ADP NOUN PUNCT PUNCT
In March of that year he sailed back to Ontario where he bought a farm, the land of which is now part of the city of Brantford.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	ADP PROPN ADP DET NOUN PRON VERB ADV ADP PROPN ADV PRON VERB DET NOUN DET NOUN ADP ADJ VERB ADV NOUN ADP DET NOUN ADP PROPN	▁In ▁March ▁of ▁that ▁year ▁he ▁sail ed ▁back ▁to ▁On t ario ▁where ▁he ▁bought ▁a ▁farm , ▁the ▁land ▁of ▁which ▁is ▁now ▁part ▁of ▁the ▁city ▁of ▁B rant ford .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN ADP DET NOUN PRON VERB VERB ADV ADP PROPN PROPN PROPN ADV PRON VERB DET NOUN NOUN DET NOUN ADP ADJ VERB ADV NOUN ADP DET NOUN ADP PROPN PROPN PROPN PROPN
The popular fantasy ambitions focus on this conflict : one is to run one's own business and the second is to manage or buy a farm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	buy the farm	literal	determiner-narrow	DET ADJ NOUN NOUN VERB ADP DET NOUN PUNCT NOUN VERB PART VERB PRON ADJ NOUN CCONJ DET NOUN VERB PART VERB CCONJ VERB DET NOUN	▁The ▁popular ▁fan t asy ▁ambitions ▁focus ▁on ▁this ▁conflict ▁ : ▁one ▁is ▁to ▁run ▁one ' s ▁own ▁business ▁and ▁the ▁second ▁is ▁to ▁manage ▁or ▁buy ▁a ▁farm .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET ADJ NOUN NOUN NOUN NOUN VERB ADP DET NOUN PUNCT PUNCT NOUN VERB PART VERB PRON PRON PRON ADJ NOUN CCONJ DET NOUN VERB PART VERB CCONJ VERB DET NOUN NOUN
President Robert Mugabe announced on April 30th that the government is to buy 70 big commercial farms, covering 190,000 hectares, as the first step in a plan to redistribute some 5 m hectares of white - owned land to blacks.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	PROPN PROPN PROPN VERB ADP PROPN NOUN ADP DET NOUN VERB PART VERB NUM ADJ ADJ NOUN VERB NUM NOUN ADP DET ADJ NOUN ADP DET NOUN PART VERB DET NUM NOUN NOUN ADP ADV PUNCT VERB NOUN ADP NOUN	▁President ▁Robert ▁Mu ga be ▁announced ▁on ▁April ▁30 th ▁that ▁the ▁government ▁is ▁to ▁buy ▁70 ▁big ▁commercial ▁farms , ▁covering ▁19 0,000 ▁hectares , ▁as ▁the ▁first ▁step ▁in ▁a ▁plan ▁to ▁re distribut e ▁some ▁5 ▁m ▁hectares ▁of ▁white ▁- ▁owned ▁land ▁to ▁black s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB ADP PROPN NOUN NOUN ADP DET NOUN VERB PART VERB NUM ADJ ADJ NOUN NOUN VERB NUM NUM NOUN NOUN ADP DET ADJ NOUN ADP DET NOUN PART VERB VERB VERB DET NUM NOUN NOUN ADP ADV PUNCT VERB NOUN ADP NOUN NOUN NOUN
Oh yes, this is what the big business people, why they run far why one of the big business people used to buy farms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	buy the farm	literal	deletion-determiner	INTJ INTJ DET VERB NOUN DET ADJ NOUN NOUN ADV PRON VERB ADV ADV NUM ADP DET ADJ NOUN NOUN VERB PART VERB NOUN	▁O h ▁yes , ▁this ▁is ▁what ▁the ▁big ▁business ▁people , ▁why ▁they ▁run ▁far ▁why ▁one ▁of ▁the ▁big ▁business ▁people ▁used ▁to ▁buy ▁farms .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	INTJ INTJ INTJ INTJ DET VERB NOUN DET ADJ NOUN NOUN NOUN ADV PRON VERB ADV ADV NUM ADP DET ADJ NOUN NOUN VERB PART VERB NOUN NOUN
Leviticus Cauldhame, my father's eldest brother, emigrated to South Africa and bought a farm there in 1954.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	buy the farm	literal	combined-inflection	PROPN PROPN ADJ NOUN ADJ NOUN VERB ADP PROPN PROPN CCONJ VERB DET NOUN ADV ADP NUM	▁Levi tic us ▁Ca ul d ham e , ▁my ▁father ' s ▁el d est ▁brother , ▁e migrate d ▁to ▁South ▁Africa ▁and ▁bought ▁a ▁farm ▁there ▁in ▁1954 .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN NOUN ADJ ADJ ADJ NOUN NOUN VERB VERB VERB ADP PROPN PROPN CCONJ VERB DET NOUN ADV ADP NUM NUM
