The bottom drawer you can put this in.	0 1 1 0 0 0 0 0	bottom drawer	literal	identical	DET ADJ NOUN PRON VERB VERB DET PART	▁The ▁bottom ▁draw er ▁you ▁can ▁put ▁this ▁in .	0 1 1 1 0 0 0 0 0 0	DET ADJ NOUN NOUN PRON VERB VERB DET PART PART
Yes, the bottom drawer is half full and you can put things in them, alright?	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	bottom drawer	literal	identical	INTJ DET ADJ NOUN VERB ADV ADJ CCONJ PRON VERB VERB NOUN ADP PRON INTJ	▁Yes , ▁the ▁bottom ▁draw er ▁is ▁half ▁full ▁and ▁you ▁can ▁put ▁things ▁in ▁them , ▁al right ?	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ DET ADJ NOUN NOUN VERB ADV ADJ CCONJ PRON VERB VERB NOUN ADP PRON PRON INTJ INTJ INTJ
while directly above I bend to a bottom drawer	0 0 0 0 0 0 0 1 1	bottom drawer	literal	identical	ADP ADV ADP PRON VERB ADP DET ADJ NOUN	▁while ▁directly ▁above ▁I ▁be nd ▁to ▁a ▁bottom ▁draw er	0 0 0 0 0 0 0 0 1 1 1	ADP ADV ADP PRON VERB VERB ADP DET ADJ NOUN NOUN
Taking Peter's agreement for granted, he opened one of the bottom drawers of the desk and removed an envelope file.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	bottom drawer	literal	inflection	VERB PROPN NOUN ADP VERB PRON VERB NUM ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB DET NOUN NOUN	▁Taking ▁Peter ' s ▁agreement ▁for ▁granted , ▁he ▁opened ▁one ▁of ▁the ▁bottom ▁draw ers ▁of ▁the ▁desk ▁and ▁removed ▁an ▁envelope ▁file .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	VERB PROPN PROPN PROPN NOUN ADP VERB VERB PRON VERB NUM ADP DET ADJ NOUN NOUN ADP DET NOUN CCONJ VERB DET NOUN NOUN NOUN
He pulled out the bottom drawer, grabbed all the leaflets from the estate agents, all the newspaper cuttings of houses for sale, and threw them on the floor.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bottom drawer	literal	identical	PRON VERB PART DET ADJ NOUN VERB ADJ DET NOUN ADP DET NOUN NOUN ADJ DET NOUN NOUN ADP NOUN ADP NOUN CCONJ VERB PRON ADP DET NOUN	▁He ▁pulled ▁out ▁the ▁bottom ▁draw er , ▁g rab bed ▁all ▁the ▁leaflet s ▁from ▁the ▁estate ▁agents , ▁all ▁the ▁newspaper ▁cutting s ▁of ▁houses ▁for ▁sale , ▁and ▁threw ▁them ▁on ▁the ▁floor .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART DET ADJ NOUN NOUN NOUN VERB VERB VERB ADJ DET NOUN NOUN ADP DET NOUN NOUN NOUN ADJ DET NOUN NOUN NOUN ADP NOUN ADP NOUN NOUN CCONJ VERB PRON ADP DET NOUN NOUN
It was again the bottom drawer in which he found most of interest.	0 0 0 0 1 1 0 0 0 0 0 0 0	bottom drawer	literal	identical	PRON VERB ADV DET ADJ NOUN ADP ADJ PRON VERB ADJ ADP NOUN	▁It ▁was ▁again ▁the ▁bottom ▁draw er ▁in ▁which ▁he ▁found ▁most ▁of ▁interest .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB ADV DET ADJ NOUN NOUN ADP ADJ PRON VERB ADJ ADP NOUN NOUN
The other women hadn't pulled something out of a bottom drawer to come to the classes.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	bottom drawer	literal	identical	DET ADJ NOUN VERB VERB NOUN ADP ADP DET ADJ NOUN PART VERB ADP DET NOUN	▁The ▁other ▁women ▁had n ' t ▁pulled ▁something ▁out ▁of ▁a ▁bottom ▁draw er ▁to ▁come ▁to ▁the ▁classes .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	DET ADJ NOUN VERB VERB VERB VERB VERB NOUN ADP ADP DET ADJ NOUN NOUN PART VERB ADP DET NOUN NOUN
Charles Frederick, we know, had used his capital to set up his little tobacconist's business in Cumberland Street ; Emily Jane probably used hers to swell her bottom drawer, and William … well, in a moment of cavalier abandon, he dabbled in running a chandler's shop there in Brunswick Place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bottom drawer	figurative	identical	PROPN PROPN PRON VERB VERB VERB ADJ NOUN PART VERB PART ADJ ADJ NOUN NOUN ADP PROPN PROPN PUNCT PROPN PROPN ADV VERB PRON PART VERB ADJ ADJ NOUN CCONJ PROPN PUNCT INTJ ADP DET NOUN ADP ADJ NOUN PRON VERB ADP VERB DET NOUN NOUN ADV ADP PROPN PROPN	▁Charles ▁Fred e rick , ▁we ▁know , ▁had ▁used ▁his ▁capital ▁to ▁set ▁up ▁his ▁little ▁tobacco n ist ' s ▁business ▁in ▁C umber land ▁Street ▁ ; ▁Em ily ▁Jan e ▁probably ▁used ▁her s ▁to ▁s well ▁her ▁bottom ▁draw er , ▁and ▁William ▁... ▁well , ▁in ▁a ▁moment ▁of ▁ca val ier ▁abandon , ▁he ▁da bb led ▁in ▁running ▁a ▁ch and ler ' s ▁shop ▁there ▁in ▁Brun s wick ▁Place .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PRON VERB VERB VERB VERB ADJ NOUN PART VERB PART ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN ADV VERB PRON PRON PART VERB VERB ADJ ADJ NOUN NOUN NOUN CCONJ PROPN PUNCT INTJ INTJ ADP DET NOUN ADP ADJ ADJ ADJ NOUN NOUN PRON VERB VERB VERB ADP VERB DET NOUN NOUN NOUN NOUN NOUN NOUN ADV ADP PROPN PROPN PROPN PROPN PROPN
It's right in the bottom drawer	0 0 0 0 1 1	bottom drawer	literal	identical	PRON ADJ ADP DET ADJ NOUN	▁It ' s ▁right ▁in ▁the ▁bottom ▁draw er	0 0 0 0 0 0 1 1 1	PRON PRON PRON ADJ ADP DET ADJ NOUN NOUN
In the large bottom drawer on that side there were two books — one, a medical encyclopedia and the other, a technical work on the human endocrine system.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bottom drawer	literal	identical	ADP DET ADJ ADJ NOUN ADP DET NOUN ADV VERB NUM NOUN PUNCT NUM DET ADJ NOUN CCONJ DET ADJ DET ADJ NOUN ADP DET ADJ NOUN NOUN	▁In ▁the ▁large ▁bottom ▁draw er ▁on ▁that ▁side ▁there ▁were ▁two ▁books ▁ — ▁one , ▁a ▁medical ▁en cyclo ped ia ▁and ▁the ▁other , ▁a ▁technical ▁work ▁on ▁the ▁human ▁endocrine ▁system .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ ADJ NOUN NOUN ADP DET NOUN ADV VERB NUM NOUN PUNCT PUNCT NUM NUM DET ADJ NOUN NOUN NOUN NOUN CCONJ DET ADJ ADJ DET ADJ NOUN ADP DET ADJ NOUN NOUN NOUN
The fisher girls were paid pennies for packing the barrels but this was still enough, if they were lucky in health and spirit, to buy bonnets and lace to take back to Lewis at the end of the season for dreamy bottom drawers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	bottom drawer	figurative	inflection	DET NOUN NOUN VERB VERB NOUN ADP VERB DET NOUN CCONJ DET VERB ADV ADJ ADP PRON VERB ADJ ADP NOUN CCONJ NOUN PART VERB NOUN CCONJ NOUN PART VERB ADV ADP PROPN ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN	▁The ▁fish er ▁girls ▁were ▁paid ▁pen nie s ▁for ▁packing ▁the ▁barrel s ▁but ▁this ▁was ▁still ▁enough , ▁if ▁they ▁were ▁luck y ▁in ▁health ▁and ▁spirit , ▁to ▁buy ▁bonnet s ▁and ▁lace ▁to ▁take ▁back ▁to ▁Le wi s ▁at ▁the ▁end ▁of ▁the ▁season ▁for ▁dream y ▁bottom ▁draw ers .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN NOUN NOUN VERB VERB NOUN NOUN NOUN ADP VERB DET NOUN NOUN CCONJ DET VERB ADV ADJ ADJ ADP PRON VERB ADJ ADJ ADP NOUN CCONJ NOUN NOUN PART VERB NOUN NOUN CCONJ NOUN PART VERB ADV ADP PROPN PROPN PROPN ADP DET NOUN ADP DET NOUN ADP ADJ ADJ ADJ NOUN NOUN NOUN
He kept them in his bottom right - hand drawer.	0 0 0 0 0 1 0 0 0 1	bottom drawer	literal	combined-other	PRON VERB PRON ADP ADJ ADJ ADJ PUNCT NOUN NOUN	▁He ▁kept ▁them ▁in ▁his ▁bottom ▁right ▁- ▁hand ▁draw er .	0 0 0 0 0 1 0 0 0 1 1 1	PRON VERB PRON ADP ADJ ADJ ADJ PUNCT NOUN NOUN NOUN NOUN
Someone had trapped folded paper in the bottom drawer and removed the handles so it could no longer be opened except, perhaps, by a very strong man.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bottom drawer	literal	identical	NOUN VERB VERB VERB NOUN ADP DET ADJ NOUN CCONJ VERB DET NOUN ADP PRON VERB ADV ADV VERB VERB ADP ADV ADP DET ADV ADJ NOUN	▁Some one ▁had ▁trapped ▁fold ed ▁paper ▁in ▁the ▁bottom ▁draw er ▁and ▁removed ▁the ▁handles ▁so ▁it ▁could ▁no ▁longer ▁be ▁opened ▁except , ▁perhaps , ▁by ▁a ▁very ▁strong ▁man .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB VERB VERB VERB NOUN ADP DET ADJ NOUN NOUN CCONJ VERB DET NOUN ADP PRON VERB ADV ADV VERB VERB ADP ADP ADV ADV ADP DET ADV ADJ NOUN NOUN
and er, then we had a bit, but er everything in the bottom drawer there, those are all playing alright	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	bottom drawer	literal	identical	CCONJ INTJ ADV PRON VERB DET NOUN CCONJ INTJ NOUN ADP DET ADJ NOUN ADV DET VERB DET VERB INTJ	▁and ▁er , ▁then ▁we ▁had ▁a ▁bit , ▁but ▁er ▁everything ▁in ▁the ▁bottom ▁draw er ▁there , ▁those ▁are ▁all ▁playing ▁al right	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	CCONJ INTJ INTJ ADV PRON VERB DET NOUN NOUN CCONJ INTJ NOUN ADP DET ADJ NOUN NOUN ADV ADV DET VERB DET VERB INTJ INTJ
He argued that I can not know that my diary is in the ( closed ) bottom drawer of my desk unless I have reason to believe that my experience makes that proposition probable ; we can suppose, perhaps, that my relevant experience is that I remember having put the diary there five minutes ago and that I do not remember having touched the drawer since, together with my general knowledge of the consistent behaviour of the experienced world.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bottom drawer	literal	identical	PRON VERB ADP PRON VERB ADV VERB ADP ADJ NOUN VERB ADP DET PUNCT ADJ PUNCT ADJ NOUN ADP ADJ NOUN ADP PRON VERB NOUN PART VERB ADP ADJ NOUN VERB ADP NOUN ADJ PUNCT PRON VERB VERB ADV ADP ADJ ADJ NOUN VERB ADP PRON VERB VERB VERB DET NOUN ADV NUM NOUN ADV CCONJ ADP PRON VERB ADV VERB VERB VERB DET NOUN ADP ADV ADP ADJ ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN	▁He ▁argued ▁that ▁I ▁can ▁not ▁know ▁that ▁my ▁di ary ▁is ▁in ▁the ▁( ▁closed ▁ ) ▁bottom ▁draw er ▁of ▁my ▁desk ▁unless ▁I ▁have ▁reason ▁to ▁believe ▁that ▁my ▁experience ▁makes ▁that ▁proposition ▁probable ▁ ; ▁we ▁can ▁suppose , ▁perhaps , ▁that ▁my ▁relevant ▁experience ▁is ▁that ▁I ▁remember ▁having ▁put ▁the ▁di ary ▁there ▁five ▁minutes ▁ago ▁and ▁that ▁I ▁do ▁not ▁remember ▁having ▁touched ▁the ▁draw er ▁since , ▁together ▁with ▁my ▁general ▁knowledge ▁of ▁the ▁consistent ▁behaviour ▁of ▁the ▁experienced ▁world .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PRON VERB ADV VERB ADP ADJ NOUN NOUN VERB ADP DET PUNCT ADJ PUNCT PUNCT ADJ NOUN NOUN ADP ADJ NOUN ADP PRON VERB NOUN PART VERB ADP ADJ NOUN VERB ADP NOUN ADJ PUNCT PUNCT PRON VERB VERB VERB ADV ADV ADP ADJ ADJ NOUN VERB ADP PRON VERB VERB VERB DET NOUN NOUN ADV NUM NOUN ADV CCONJ ADP PRON VERB ADV VERB VERB VERB DET NOUN NOUN ADP ADP ADV ADP ADJ ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN NOUN
