Is your radio receiving equipment up to scratch?’	0 0 0 0 0 1 1 1	up to scratch	figurative	dashes	VERB ADJ NOUN VERB NOUN ADP ADP NOUN
This set the new tone of the UK's argument : everything possible was being done and therefore any breaches of European law should be disregarded while ‘ things were brought up to scratch’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	dashes	DET VERB DET ADJ NOUN ADP DET PROPN NOUN PUNCT NOUN ADJ VERB VERB VERB CCONJ ADV DET NOUN ADP ADJ NOUN VERB VERB VERB ADP PUNCT NOUN VERB VERB PART ADP VERB
It had cost £ 0.75 million to bring just one ward up to scratch.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PRON VERB VERB SYM NUM NUM PART VERB ADV NUM NOUN ADP ADP NOUN
The couple told stunned housing officials that the three - bedroom flat simply was not up to scratch for their needs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up to scratch	figurative	identical	DET NOUN VERB ADJ NOUN NOUN ADP DET NUM PUNCT NOUN ADJ ADV VERB ADV ADP PART VERB ADP ADJ NOUN
I hope to leave work in a month's time and get myself up to scratch with my reading.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up to scratch	figurative	identical	PRON VERB PART VERB NOUN ADP DET NOUN NOUN CCONJ VERB PRON PART PART VERB ADP ADJ NOUN
and they 've got to keep them up to scratch	0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	CCONJ PRON VERB VERB PART VERB PRON PART ADP NOUN
And although regulations stipulate the number of toilets and washbasins in schools, over a third of the schools surveyed didn't come up to scratch because of an inadequate number of toilets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	up to scratch	figurative	identical	CCONJ ADP NOUN VERB DET NOUN ADP NOUN CCONJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN VERB VERB VERB PART PART VERB ADP ADP DET ADJ NOUN ADP NOUN
‘ They should judge him purely on his ability as a player and what they are actually saying is that their man - management techniques aren't up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PUNCT PRON VERB VERB PRON ADV ADP ADJ NOUN ADP DET NOUN CCONJ NOUN PRON VERB ADV VERB VERB ADP ADJ NOUN PUNCT NOUN NOUN VERB ADP PART VERB
The self - styled Brahmin of the Banal kept my fear - levels up to scratch by manifesting himself unexpectedly.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	up to scratch	figurative	identical	DET NOUN PUNCT VERB PROPN ADP DET PROPN VERB ADJ NOUN PUNCT NOUN PART ADP NOUN ADP VERB PRON ADV
Bottom up to scratch?’	0 1 1 1	up to scratch	figurative	dashes	ADJ ADP ADP NOUN
He was told to strip for a medical examination but he wasn't up to scratch and failed, and so never got his chance.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PRON VERB VERB PART VERB ADP DET ADJ NOUN CCONJ PRON VERB ADP PART NOUN CCONJ VERB CCONJ ADV ADV VERB ADJ NOUN
Well this is very much responsibilities placed on us to ensure that the care practices in residential schools, boarding schools, are up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	INTJ DET VERB ADV ADJ NOUN VERB ADP PRON PART VERB ADP DET NOUN NOUN ADP ADJ NOUN VERB NOUN VERB ADP PART NOUN
You will sit anxiously on an undersized chair at parents ' evening, asking a teacher whether the child's reading is really up to scratch and shouldn't he be on Blue Book Three by now?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PRON VERB VERB ADV ADP DET ADJ NOUN ADP NOUN PART NOUN VERB DET NOUN ADP DET NOUN NOUN VERB ADV ADP ADP NOUN CCONJ VERB PRON VERB ADP PROPN PROPN NUM ADP ADV
However Sun has been playing with the long overdue part for many months now, working closely with Texas Instruments Inc to get the thing up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADV PROPN VERB VERB VERB ADP DET ADJ ADJ NOUN ADP ADJ NOUN ADV VERB ADV ADP PROPN PROPN PROPN PART VERB DET NOUN ADP ADP NOUN
I think if we are going to go into the next century with any real chance of providing proper education and training in the sixteen to nineteen age range, we need to do the job properly, and frankly I think the offer in Banbury at the moment is not up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PRON VERB ADP PRON VERB VERB PART VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADP VERB ADJ NOUN CCONJ NOUN ADP DET NUM PART NUM NOUN NOUN PRON VERB PART VERB DET NOUN ADV CCONJ ADV PRON VERB DET NOUN ADP PROPN ADP DET NOUN VERB ADV ADP PART NOUN
‘ Joining the ERM is not a prize to be given to our partners when they come up to scratch, but a benefit to ourselves if only we would take it,’ he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PUNCT VERB DET PROPN VERB ADV DET NOUN PART VERB VERB ADP ADJ NOUN ADV PRON VERB PART ADP NOUN CCONJ DET NOUN ADP PRON ADP ADV PRON VERB VERB PRON PRON VERB
However, while the clean side of things is fine, the Laney's distorted sounds fail to come up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADV ADP DET ADJ NOUN ADP NOUN VERB ADJ DET PROPN ADJ NOUN VERB PART VERB PART ADP NOUN
Incidentally, I trust that the fretwire used is up to scratch ; I 've recently seen a few Korean guitars with very soft fretwire which would probably need a re - fret after only a short time.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	ADV PRON VERB ADP DET NOUN VERB VERB ADP PART NOUN PUNCT PRON VERB ADV VERB DET ADJ ADJ NOUN ADP ADV ADJ NOUN ADJ VERB ADV VERB DET NOUN PUNCT NOUN ADP ADV DET ADJ NOUN
Got ta bring him up to scratch.	0 0 0 0 1 1 1	up to scratch	figurative	identical	VERB PART VERB PRON PART ADP NOUN
The inquiry will take up to three years but councillors are determined to make sure properties come up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	DET NOUN VERB VERB PART PART NUM NOUN CCONJ NOUN VERB VERB PART VERB ADJ NOUN VERB PART ADP NOUN
says the seas at Blackpool and Southport aren't up to scratch, but it's given Formby a clean bill of health.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	VERB DET NOUN ADP PROPN CCONJ PROPN VERB ADP PART VERB CCONJ PRON VERB PROPN DET ADJ NOUN ADP NOUN
Project manager Nick Schulkins maintains that, although ten of the crew are from the RAF : ‘ if any of the boys are not quite up to scratch, we 'll replace them with professionals.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	up to scratch	figurative	identical	NOUN NOUN PROPN PROPN VERB ADP ADP NUM ADP DET NOUN VERB ADP DET PROPN PUNCT PUNCT ADP DET ADP DET NOUN VERB ADV ADV PART ADP NOUN PRON VERB VERB PRON ADP NOUN
If they don't come up to scratch, we can complain to their professional body and seek redress.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	ADP PRON VERB VERB PART ADP NOUN PRON VERB VERB ADP ADJ ADJ NOUN CCONJ VERB NOUN
The FLA should draw up a development plan with every Football League club to bring its ground up to scratch over an agreed time period.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	up to scratch	figurative	identical	DET PROPN VERB VERB PART DET NOUN NOUN ADP DET PROPN PROPN NOUN PART VERB ADJ NOUN PART PART VERB PART DET VERB NOUN NOUN
I sensed that they approved of him whole - heartedly, and that by comparison I was no longer the blue - eyed boy of the family : I did not come up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PRON VERB ADP PRON VERB ADP PRON ADJ PUNCT ADV CCONJ ADP ADP NOUN PRON VERB ADV ADV DET ADJ PUNCT ADJ NOUN ADP DET NOUN PUNCT PRON VERB ADV VERB PART ADP NOUN
So it hasn't actually failed, it's just not up to scratch.	0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADV PRON VERB ADV VERB PRON ADV ADV ADP PART NOUN
We 're always on the lookout for really great Megatape games, so if you think your game comes up to scratch, send it in!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up to scratch	figurative	identical	PRON VERB ADV ADP DET NOUN ADP ADV ADJ PROPN NOUN CCONJ ADP PRON VERB ADJ NOUN VERB PART ADP NOUN VERB PRON PART
Llansantffraid boss Graham Breeze paid tribute to the band of helpers who have worked tirelessly behind the scenes to bring the ground up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADJ NOUN PROPN PROPN VERB NOUN ADP DET NOUN ADP NOUN NOUN VERB VERB ADV ADP DET NOUN PART VERB DET NOUN PART ADP NOUN
Benchmark tests are commonly used to give the reader some idea of how well a PC performs — is it fast, slow, or average, is its video performance up to scratch, what sort of speed does the hard disk go at, and that kind of thing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	ADJ NOUN VERB ADV VERB PART VERB DET NOUN DET NOUN ADP ADV ADV DET NOUN VERB PUNCT VERB PRON ADJ ADJ CCONJ ADJ VERB ADJ NOUN NOUN ADP ADP NOUN NOUN NOUN ADP NOUN VERB DET ADJ NOUN VERB ADP CCONJ DET NOUN ADP NOUN
There were engine fitters, electricians, riggers and er course there were sheet metal workers as well working in aluminium and pop rivets er there was er also a government inspection department and a works inspection department and er things and da the Air Ministry had to be very up to scratch you know erm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up to scratch	figurative	identical	ADV VERB NOUN NOUN NOUN NOUN CCONJ INTJ NOUN ADV VERB NOUN NOUN NOUN ADV ADV VERB ADP NOUN CCONJ NOUN NOUN INTJ ADV VERB INTJ ADV DET NOUN NOUN NOUN CCONJ DET NOUN NOUN NOUN CCONJ INTJ NOUN CCONJ PROPN DET PROPN PROPN VERB PART VERB ADV ADP PART VERB PRON VERB NOUN
Brenda ( seventeen, Jamaican parents ) commented that in Jamaica she had been teased as a " foreigner " because her Creole was not up to scratch : Oh, they call you all — " English gyal, come here English gyal! " yeh, my sister ' ad it all, my sister ain't English, my sister's Jamaican, because she come over here when she was young, when she went back over there they were callin ' her English gyal, the lot [ ] but when she, she ain't forget nothin', she can still speak it so she open her mouth and they say sorry [ ri ]!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PROPN PUNCT NUM ADJ NOUN PUNCT VERB ADP ADP PROPN PRON VERB VERB VERB ADP DET PUNCT NOUN PUNCT ADP ADJ PROPN VERB ADV ADP PART VERB PUNCT INTJ PRON VERB PRON DET PUNCT PUNCT ADJ NOUN VERB ADV ADJ NOUN PUNCT INTJ ADJ NOUN PUNCT NOUN PRON DET ADJ NOUN VERB PROPN ADJ NOUN PROPN ADP PRON VERB PART ADV ADV PRON VERB ADJ ADV PRON VERB ADV ADV ADV PRON VERB NOUN PUNCT ADJ ADJ NOUN DET NOUN PUNCT PUNCT CCONJ ADV PRON PRON VERB VERB NOUN PRON VERB ADV VERB PRON ADV PRON VERB ADJ NOUN CCONJ PRON VERB INTJ PUNCT INTJ PUNCT
Did he mean to let Ned know that he had not found her up to scratch and then, after so much humiliation, deliver her over to the Dallams?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	VERB PRON VERB PART VERB PROPN VERB ADP PRON VERB ADV VERB PRON PART ADP NOUN CCONJ ADV ADP ADV ADJ NOUN VERB PRON PART ADP DET PROPN
He was speaking slowly and carefully, as if he wondered after all whether her English was up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PRON VERB VERB ADV CCONJ ADV ADP ADP PRON VERB ADV ADV ADP ADJ PROPN VERB ADV PART NOUN
His basic method became a generic term in the English language, and his special contribution was to develop an economical way of bringing and keeping existing roads up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADJ ADJ NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN VERB PART VERB DET ADJ NOUN ADP VERB CCONJ VERB VERB NOUN ADP ADP NOUN
Within that two years, any time within that two years you can basically be given the sack for not coming up to the grade or not coming up to scratch or sometimes they prolong your pr probation for another six months so instead of being a probationer constable for two years you 're a probationer constable for two and a half years.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	ADP DET NUM NOUN DET NOUN ADP DET NUM NOUN PRON VERB ADV VERB VERB DET NOUN ADP ADV VERB PART ADP DET NOUN CCONJ ADV VERB PART ADP NOUN CCONJ ADV PRON VERB ADJ ADJ NOUN ADP DET NUM NOUN ADV ADV ADP VERB DET NOUN NOUN ADP NUM NOUN PRON VERB DET NOUN NOUN ADP NUM CCONJ DET NOUN NOUN
They do not forget what they have been taught in the past, and as long as their basic work is kept up to scratch ( i.e. suppleness on each rein, general willingness to work, and obedience ), the rest falls into place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PRON VERB ADV VERB NOUN PRON VERB VERB VERB ADP DET NOUN CCONJ ADV ADV ADP ADJ ADJ NOUN VERB VERB PART ADP NOUN PUNCT X NOUN ADP DET NOUN ADJ NOUN PART VERB CCONJ NOUN PUNCT DET NOUN VERB ADP NOUN
‘ It may seem healthy enough, but it's no use if what's up here —’ he tapped his head —‘isn't up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PUNCT PRON VERB VERB ADJ ADV CCONJ PRON DET NOUN ADP NOUN ADV ADV ADV PRON VERB ADJ NOUN VERB PART ADP NOUN
Well the R Y A is Britain's National Authority for the sport of sailing, simple as that, we look after every aspect of sailing and powerboating but our particular role in training is to set the syllabi pre to the courses, to train the instructors and to make sure the standard of teaching in every centre is up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	INTJ DET NOUN PROPN PROPN VERB PROPN PROPN PROPN ADP DET NOUN ADP NOUN ADJ ADP DET PRON VERB ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ ADJ ADJ NOUN ADP NOUN VERB PART VERB DET X NOUN ADP DET NOUN PART VERB DET NOUN CCONJ PART VERB ADJ DET NOUN ADP NOUN ADP DET NOUN VERB ADP PART NOUN
‘ Knowing Phillip and Arthur, they would never have tolerated fools gladly and Meli was certainly up to scratch intellectually — although towards the end, she was very frail.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PUNCT PROPN PROPN CCONJ PROPN PRON VERB ADV VERB VERB NOUN ADV CCONJ PROPN VERB ADV ADP PART VERB ADV PUNCT ADP ADP DET NOUN PRON VERB ADV ADJ
He said, with deliberate care, ‘ But of course, my dear, if you feel we are not coming up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PRON VERB ADP ADJ NOUN PUNCT CCONJ ADP NOUN ADJ NOUN ADP PRON VERB PRON VERB ADV VERB PART ADP NOUN
A preview will tell you what the software can do at the moment — we don't go too heavily on any minor bugs or inconsistencies at the preview stage, but we do criticise bad design and form an opinion about whether the software will be up to scratch when it gets released.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	up to scratch	figurative	identical	DET NOUN VERB VERB PRON NOUN DET NOUN VERB VERB ADP DET NOUN PUNCT PRON VERB VERB ADV ADV ADP DET ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN CCONJ PRON VERB VERB ADJ NOUN CCONJ VERB DET NOUN ADP ADP DET NOUN VERB VERB ADP PART VERB ADV PRON VERB VERB
And the worst branches have been given the, the, the stiffer targets to get them up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	CCONJ DET ADJ NOUN VERB VERB VERB DET DET DET ADJ NOUN PART VERB PRON PART ADP NOUN
Now since coming back from retirement in ninteen eighty seven, you 're unbeaten in twenty - two fights, twenty - one by knockouts, a lot of people have said that those fighters weren't up to scratch — what would you say to that?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	up to scratch	figurative	identical	ADV ADP VERB ADV ADP NOUN ADP ADJ NUM NUM PRON VERB ADJ ADP NUM PUNCT NUM NOUN NUM PUNCT NUM ADP NOUN DET NOUN ADP NOUN VERB VERB ADP DET NOUN VERB ADP PART NOUN PUNCT NOUN VERB PRON VERB ADP DET
The hotels and transport system are simply not up to scratch at the moment.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	up to scratch	figurative	identical	DET NOUN CCONJ NOUN NOUN VERB ADV ADV ADP PART VERB ADP DET NOUN
Little departures from established norms keep cropping up all over the program, forcing you to refer either to on - line help or the manual, neither of which, frankly, is up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADJ NOUN ADP VERB NOUN VERB VERB PART ADV ADP DET NOUN VERB PRON PART VERB ADV ADP ADP PUNCT NOUN NOUN CCONJ DET NOUN DET ADP ADJ ADV VERB ADP PART NOUN
If your faithful old fridge, freezer or washing machine isn't looking quite up to scratch, why not give it a face - lift with a fresh coat of paint from an aerosol spray	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	ADP ADJ ADJ ADJ NOUN NOUN CCONJ NOUN NOUN VERB VERB ADV ADV ADP NOUN ADV ADV VERB PRON DET NOUN PUNCT NOUN ADP DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN
And if your if your vetting doesn't come up to scratch, then you can be terminated, it's in your contract.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	CCONJ ADP ADJ ADP ADJ NOUN VERB VERB PART ADP NOUN ADV PRON VERB VERB VERB PRON ADP ADJ NOUN
The EC itself has not attached environmental conditions in the cases of Poland and Hungary, but Carlo Ripa di Meana, the EC Environment Commissioner, has insisted that a sum ( still to be agreed ) must be set aside to bring the East's environment up to scratch and there are proposals for training environmental managers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	DET PROPN PRON VERB ADV VERB ADJ NOUN ADP DET NOUN ADP PROPN CCONJ PROPN CCONJ PROPN PROPN ADP PROPN DET PROPN PROPN PROPN VERB VERB ADP DET NOUN PUNCT ADV PART VERB VERB PUNCT VERB VERB VERB ADV PART VERB DET PROPN NOUN PART PART NOUN CCONJ ADV VERB NOUN ADP VERB ADJ NOUN
A lot of people have said that those fighters weren't up to scratch, they weren't the most hard - hitting of fighters — what would you say to that?	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	DET NOUN ADP NOUN VERB VERB ADP DET NOUN VERB ADP PART NOUN PRON VERB DET ADV ADV PUNCT NOUN ADP NOUN PUNCT NOUN VERB PRON VERB ADP DET
