The boys climbed up the tree faster than a pack of squirrels.	0 0 0 1 0 1 0 0 0 0 0 0	up a tree	literal	determiner-narrow	DET NOUN VERB ADP DET NOUN ADV ADP DET NOUN ADP NOUN
If there had been a man up the tree on the night of Mary Connon's death — and a conversation with Kathy Grogan earlier that morning had convinced him, though her interpretation of the written word might be naively literal, there was nothing wrong with her senses, then that man could have been there for only one of three purposes.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	determiner-narrow	ADP ADV VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP PROPN PROPN NOUN PUNCT CCONJ DET NOUN ADP PROPN PROPN ADV DET NOUN VERB VERB PRON ADP ADJ NOUN ADP DET VERB NOUN VERB VERB ADV ADJ ADV VERB NOUN ADJ ADP ADJ NOUN ADV DET NOUN VERB VERB VERB ADV ADP ADV NUM ADP NUM NOUN
The monkeys jumped south to avoid Fitz, but Macho was there and rushed up a tree to block the route, while Ulysse, anticipating Macho's move, rushed into a tree east of both Fitz and Macho.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	identical	DET NOUN VERB ADV PART VERB PROPN CCONJ PROPN VERB ADV CCONJ VERB PART DET NOUN PART VERB DET NOUN ADP PROPN VERB PROPN NOUN VERB ADP DET NOUN NOUN ADP CCONJ PROPN CCONJ PROPN
Kendo, Brutus, Darwin and the dominant females Ondine and Loukoum climbed up Fitz's tree.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	up a tree	literal	combined-other	PROPN PROPN PROPN CCONJ DET ADJ NOUN PROPN CCONJ PROPN VERB ADP PROPN NOUN
3 Eddie climbed 38 metres up a tree that was 53 metres high.	0 0 0 0 0 1 0 1 0 0 0 0 0	up a tree	literal	identical	NUM PROPN VERB NUM NOUN PART DET NOUN ADJ VERB NUM NOUN ADJ
There's aids and he's chasing the bum and the bum's running and the aids is going come on you little bastard and he's going leave me alone and so he runs up a tree and there's a bird there and he's got all bones on him, he's a s witch doctor and the bird goes, and the bird goes, what's a matter?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	identical	ADV NOUN CCONJ PRON VERB DET NOUN CCONJ DET NOUN NOUN CCONJ DET NOUN VERB VERB VERB ADP PRON ADJ NOUN CCONJ PRON VERB VERB PRON ADJ CCONJ ADV PRON VERB PART DET NOUN CCONJ ADV DET NOUN ADV CCONJ PRON VERB DET NOUN ADP PRON PRON DET PART NOUN NOUN CCONJ DET NOUN VERB CCONJ DET NOUN VERB NOUN DET NOUN
. Or you can build up a tree.	0 0 0 0 0 1 0 1	up a tree	literal	identical	PUNCT CCONJ PRON VERB VERB PART DET NOUN
Now I 'm aware that many parents bring their children for baptism from reasons of superstition or custom or anything you like I 'm reminded of a certain tax gatherer who, inspired by sheer idle curiosity, climbed a tree curiosity maybe took him up the tree but it was the grace of God that brought him down.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	determiner-narrow	ADV PRON VERB ADJ ADP ADJ NOUN VERB ADJ NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ NOUN CCONJ NOUN PRON VERB PRON VERB VERB ADP DET ADJ NOUN NOUN NOUN VERB ADP ADJ ADJ NOUN VERB DET NOUN NOUN ADV VERB PRON ADP DET NOUN CCONJ PRON VERB DET NOUN ADP PROPN ADJ VERB PRON PART
' Up the tree?	0 1 0 1	up a tree	literal	combined-other	PUNCT ADP DET NOUN
Little Billy and Don Mini climbed back up the tree to where all the other Minpins were gathered.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	up a tree	literal	determiner-narrow	PROPN PROPN CCONJ PROPN PROPN VERB ADV PART DET NOUN ADP ADV ADJ DET ADJ PROPN VERB VERB
She 'll go up up the path and all I could see was this cat, and it was hanging on for dear life up this big tree and there	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0	up a tree	literal	combined-other	PRON VERB VERB PART ADP DET NOUN CCONJ DET PRON VERB VERB VERB DET NOUN CCONJ PRON VERB VERB PART ADP ADJ NOUN ADP DET ADJ NOUN CCONJ ADV
I had taken a couple of slices of bread up the tree with me, with the intention of feeding small pieces of pinched flake into their midst to see if they would accept them.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up a tree	literal	determiner-narrow	PRON VERB VERB DET NOUN ADP NOUN ADP NOUN ADP DET NOUN ADP PRON ADP DET NOUN ADP VERB ADJ NOUN ADP VERB NOUN ADP ADJ NOUN PART VERB ADP PRON VERB VERB PRON
