Most seven year olds sleep for about ten hours at a stretch.	0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	ADJ NUM NOUN NOUN VERB ADP ADV NUM NOUN ADP DET NOUN
Jim Magilton, who has our vote as man of the match, had the champions at full stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	literal	inflection	PROPN PROPN NOUN VERB ADJ NOUN ADP NOUN ADP DET NOUN VERB DET NOUN ADP ADJ NOUN
So are you gon na have to restrict training in er operational flights jaguar at a stretch just to stretch out the hours?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	at a stretch	figurative	identical	CCONJ VERB PRON VERB PART VERB PART VERB NOUN ADP INTJ ADJ NOUN NOUN ADP DET NOUN ADV PART VERB PART DET NOUN
His line was that he 'd lost contact with Malcolm because he could only stand to be with him for so long at a stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	ADJ NOUN VERB ADP PRON VERB VERB NOUN ADP PROPN ADP PRON VERB ADV VERB PART VERB ADP PRON ADP ADV ADV ADP DET NOUN
The bunting was strewn, the green shoots already recovering the banks, nerves were at full stretch preparing for the balloon to go up.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	at a stretch	figurative	inflection	DET NOUN VERB VERB DET ADJ NOUN ADV VERB DET NOUN NOUN VERB ADP ADJ NOUN VERB ADP DET NOUN PART VERB PART
Baskets for carrying your tackle box, reels, bait, flasks, sandwiches, etc., and for sitting on, are, I suppose, fine if you fish for only two or three hours at a stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	NOUN ADP VERB ADJ NOUN NOUN NOUN NOUN NOUN NOUN X CCONJ ADP VERB PART VERB PRON VERB ADV ADP PRON VERB ADP ADV NUM CCONJ NUM NOUN ADP DET NOUN
Many rabbits spend all their lives in the same place and never run more than a hundred yards at a stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	ADJ NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ ADV VERB ADJ ADP DET NUM NOUN ADP DET NOUN
City were competing well in mid - field and keeping their opponents at full stretch, but after twenty four minutes, Shenley pulled level as Paul Armitage crossed into goalkeeper Steve Roberts, but he lost possession as he collided with Andy King and allowed Rob Blackmore to get a touch and send it over the line.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	inflection	NOUN VERB VERB ADV ADP ADJ PUNCT NOUN CCONJ VERB ADJ NOUN ADP ADJ NOUN CCONJ ADP NUM NUM NOUN PROPN VERB NOUN ADP PROPN PROPN VERB ADP NOUN PROPN PROPN CCONJ PRON VERB NOUN ADP PRON VERB ADP PROPN PROPN CCONJ VERB PROPN PROPN PART VERB DET NOUN CCONJ VERB PRON ADP DET NOUN
Mr Ebbert said : ' While the UK market improved only slightly and there was some softening of continental markets, a combination of record UK market share and increased export business kept our production plants at full stretch. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	at a stretch	figurative	inflection	PROPN PROPN VERB PUNCT PUNCT ADP DET PROPN NOUN VERB ADV ADV CCONJ ADV VERB DET NOUN ADP ADJ NOUN DET NOUN ADP NOUN PROPN NOUN NOUN CCONJ VERB NOUN NOUN VERB ADJ NOUN NOUN ADP ADJ NOUN PUNCT
And leaping into the saddle he raced back to Grimspound, Nero at full stretch, the Devil laughing and snapping at his heels as he went.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	inflection	CCONJ VERB ADP DET NOUN PRON VERB ADV ADP PROPN PROPN ADP ADJ NOUN DET PROPN VERB CCONJ VERB ADP ADJ NOUN ADP PRON VERB
Certainly it's one small car which I can drive for several hours at a stretch and step out feeling refreshed.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	at a stretch	figurative	identical	ADV PRON NUM ADJ NOUN ADJ PRON VERB VERB ADP ADJ NOUN ADP DET NOUN CCONJ VERB PART NOUN VERB
‘ To begin with I was distressed to find that I couldn't extract more than ten words from Dowayos at a stretch …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	at a stretch	literal	identical	PUNCT PART VERB ADP PRON VERB ADJ PART VERB ADP PRON VERB VERB ADJ ADP NUM NOUN ADP NOUN ADP DET NOUN PUNCT
I needed the money and it sounded O.K. But sitting around for hours at a stretch without a word from anybody I was able to do a lot of thinking.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	identical	PRON VERB DET NOUN CCONJ PRON VERB PROPN CCONJ VERB PART ADP NOUN ADP DET NOUN ADP DET NOUN ADP NOUN PRON VERB ADJ PART VERB DET NOUN ADP NOUN
He was used to paddling it for miles at a stretch.	0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	PRON VERB VERB ADP VERB PRON ADP NOUN ADP DET NOUN
' Possibly because the new ventilation system I 've recently supervised being installed in a factory in one of the Arab Emirates has proved so successful that I have orders for two more, or possibly because I 've just spent four weeks at full stretch in a very hot country with very little relaxation and deserve a holiday — but more probably because I own a majority stockholding in the company I bought cheap and built up to its present eminence, which gives me the position of chairman and managing director and full autonomy in deciding what I do, where I do it and with whom. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	inflection	PUNCT ADV ADP DET ADJ NOUN NOUN PRON VERB ADV VERB VERB VERB ADP DET NOUN ADP NUM ADP DET PROPN PROPN VERB VERB ADV ADJ ADP PRON VERB NOUN ADP NUM ADJ CCONJ ADV ADP PRON VERB ADV VERB NUM NOUN ADP ADJ NOUN ADP DET ADV ADJ NOUN ADP ADV ADJ NOUN CCONJ VERB DET NOUN PUNCT CCONJ ADV ADV ADP PRON VERB DET NOUN VERB ADP DET NOUN PRON VERB ADJ CCONJ VERB ADP ADP ADJ ADJ NOUN ADJ VERB PRON DET NOUN ADP NOUN CCONJ NOUN NOUN CCONJ ADJ NOUN ADP VERB NOUN PRON VERB ADV PRON VERB PRON CCONJ ADP NOUN PUNCT
He knew the details of ident laws and rationing for every country in Europe, he had mastered Dutch and French, and he still could not get a pipe to burn for more than three minutes at a stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	PRON VERB DET NOUN ADP NOUN NOUN CCONJ VERB ADP DET NOUN ADP PROPN PRON VERB VERB PROPN CCONJ PROPN CCONJ PRON ADV VERB ADV VERB DET NOUN PART VERB ADP ADJ ADP NUM NOUN ADP DET NOUN
Misconception number two is that a Taiwanese factory represents some kind of ecologically disastrous sweatshop, with underpaid conscripts breathing dust and fumes and churning out rubbish guitars for eighteen hours at a stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	NOUN NOUN NUM VERB ADP DET ADJ NOUN VERB DET NOUN ADP ADV ADJ NOUN ADP ADJ NOUN VERB NOUN CCONJ NOUN CCONJ VERB PART ADJ NOUN ADP NUM NOUN ADP DET NOUN
Sometimes the actors went back up to their dressing - rooms for an hour at a stretch while she and Geoffrey stood in for them, posing languidly at the fireplace or leaning back on the settee, twirling empty wine glasses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	identical	ADV DET NOUN VERB ADV ADP ADP ADJ NOUN PUNCT NOUN ADP DET NOUN ADP DET NOUN ADP PRON CCONJ PROPN VERB PART ADP PRON VERB ADV ADP DET NOUN CCONJ VERB ADV ADP DET NOUN VERB ADJ NOUN NOUN
Dry batteries for fencer units are outrageously expensive, so I have resorted to an old tractor battery, trickle - charged by a windmill made from a bicycle wheel with its dynamo hub : it cost nothing and worked without trouble for a year at a stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	ADJ NOUN ADP NOUN NOUN VERB ADV ADJ CCONJ PRON VERB VERB ADP DET ADJ NOUN NOUN NOUN PUNCT VERB ADP DET NOUN VERB ADP DET NOUN NOUN ADP ADJ NOUN NOUN PUNCT PRON VERB NOUN CCONJ VERB ADP NOUN ADP DET NOUN ADP DET NOUN
I was looking then only at an empty stretch of spaceport beyond the comm - booth that she 'd called from.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	literal	combined-other	PRON VERB VERB ADV ADV ADP DET ADJ NOUN ADP NOUN ADP DET ADJ PUNCT NOUN ADP PRON VERB VERB ADP
His shoulder hit the floor with a thud that knocked the wind out of him but he managed to get one hand under the vase at full stretch and slithered across the marble floor juggling the smooth - glazed porcelain above his head.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	inflection	ADJ NOUN VERB DET NOUN ADP DET NOUN ADJ VERB DET NOUN ADP ADP PRON CCONJ PRON VERB PART VERB NUM NOUN ADP DET NOUN ADP ADJ NOUN CCONJ VERB ADP DET NOUN NOUN VERB DET ADV PUNCT VERB NOUN ADP ADJ NOUN
Mr Ebbert said : ' While the UK market improved only slightly and there was some softening of continental markets, a combination of record UK market share and increased export business kept our production plants at full stretch. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	at a stretch	figurative	inflection	PROPN PROPN VERB PUNCT PUNCT ADP DET PROPN NOUN VERB ADV ADV CCONJ ADV VERB DET NOUN ADP ADJ NOUN DET NOUN ADP NOUN PROPN NOUN NOUN CCONJ VERB NOUN NOUN VERB ADJ NOUN NOUN ADP ADJ NOUN PUNCT
I 'll go along with some radical improvement to the turbo - ram - jet engine concept ; perhaps a boost in top speed up to Mach 3.5, even 4 at a stretch of the imagination.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	at a stretch	figurative	identical	PRON VERB VERB PART ADP DET ADJ NOUN ADP DET NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN PUNCT ADV DET NOUN ADP ADJ NOUN PART ADP PROPN NUM ADV NUM ADP DET NOUN ADP DET NOUN
An obvious answer is to have this basic groundwork done by a much smaller group who would meet more regularly and for longer periods at a stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	DET ADJ NOUN VERB PART VERB DET ADJ NOUN VERB ADP DET ADV ADJ NOUN NOUN VERB VERB ADV ADV CCONJ ADP ADJ NOUN ADP DET NOUN
Then she swiped me right across the nose, claws at full stretch.	0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	literal	inflection	ADV PRON VERB PRON ADV ADP DET NOUN NOUN ADP ADJ NOUN
Ten whole words out of you at a stretch!	0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	NUM ADJ NOUN ADP ADP PRON ADP DET NOUN
However, looking at the underlined stretches, which are those showing one or more grammatical, lexical or phonological features of Creole origin, it is apparent that Carol uses far more creole forms than Joan.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	literal	combined-inflection	ADV VERB ADP DET ADJ NOUN ADJ VERB DET VERB NUM CCONJ ADV ADJ ADJ CCONJ ADJ NOUN ADP PROPN NOUN PRON VERB ADJ ADP PROPN VERB ADV ADJ ADJ NOUN ADP PROPN
David as a child ‘ sustained my own idea’ of Roderick Random, the scapegrace selfish hero of this picaresque novel, ‘ for a month at a stretch’, could see Roderick's faithful servant Strap at the wicket of Blunderstone church, and when Micawber went to the King's Bench, remembered Roderick's imprisonment for debt ( chap.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	dashes	PROPN ADP DET NOUN PUNCT VERB ADJ ADJ PROPN ADP PROPN PROPN DET NOUN ADJ NOUN ADP DET ADJ NOUN PUNCT ADP DET NOUN ADP DET NOUN VERB VERB PROPN ADJ NOUN PROPN ADP DET NOUN ADP PROPN NOUN CCONJ ADV PROPN VERB ADP DET PROPN PROPN VERB PROPN NOUN ADP NOUN PUNCT NOUN
The legs and knees take a belt — — you are, after all, suffering most of the strains of downhill skiing and for longer at a stretch — but the distance travelled more than makes up for that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	identical	DET NOUN CCONJ NOUN VERB DET NOUN PUNCT PUNCT PRON VERB ADV ADV VERB ADJ ADP DET NOUN ADP NOUN NOUN CCONJ ADP ADJ ADP DET NOUN PUNCT CCONJ DET NOUN VERB ADJ ADP VERB PART ADP DET
