" Yes, quite … you've got the picture — time to go! "	0 0 0 0 0 1 0 1 0 0 0 0 0	get the picture	figurative	inflection	PUNCT INTJ ADV PUNCT PRON VERB DET NOUN PUNCT NOUN PART VERB PUNCT
You 're probably getting the picture by now— Russan is a typical product of the 80s.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	inflection	PRON VERB ADV VERB DET NOUN ADP ADJ PROPN VERB DET ADJ NOUN ADP DET NOUN
Also, employers are constantly employing new staff so the return on selection has to be calculated over a longer period of time to get a true picture of the effects of selection methods.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	get the picture	figurative	combined-other	ADV NOUN VERB ADV VERB ADJ NOUN ADP DET NOUN ADP NOUN VERB PART VERB VERB ADP DET ADJ NOUN ADP NOUN PART VERB DET ADJ NOUN ADP DET NOUN ADP NOUN NOUN
And erm there's a lot they 've they 've they 've done some television work on him and anyway er in nineteen O three, he came over in the you know about in nineteen hundred with his family and I 've got a picture of them in that's where he came from in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	CCONJ ADV ADV DET NOUN PRON VERB PRON VERB PRON VERB VERB DET NOUN NOUN ADP PRON CCONJ INTJ INTJ ADP NUM INTJ NUM PRON VERB PART ADP DET PRON VERB ADP ADP NUM NUM ADP ADJ NOUN CCONJ PRON VERB VERB DET NOUN ADP PRON ADP DET ADV PRON VERB ADP ADP
For instance someone with a sore throat may well also have a fever and you will get a fuller picture by looking at the remedies in both sections.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	get the picture	figurative	combined-other	ADP NOUN NOUN ADP DET ADJ NOUN VERB ADV ADV VERB DET NOUN CCONJ PRON VERB VERB DET ADJ NOUN ADP VERB ADP DET NOUN ADP DET NOUN
You get yes you do you get pictures of pop stars and that in The	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	get the picture	literal	deletion-determiner	PRON VERB INTJ PRON VERB PRON VERB NOUN ADP NOUN NOUN CCONJ ADP ADP DET
I get my picture in the paper — just a little one — with every article I write.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	determiner-broad	PRON VERB ADJ NOUN ADP DET NOUN PUNCT ADV DET ADJ NUM PUNCT ADP DET NOUN PRON VERB
erm And I 've got a picture in here somewhere, which I 'll pass round.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	INTJ CCONJ PRON VERB VERB DET NOUN ADP ADV ADV ADJ PRON VERB VERB ADV
By comparing objects in museums with those mentioned in inventories or seen in old drawings and photographs, we expect to get a fuller picture of domestic life in Scotland than we can find in any one source alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	combined-other	ADP VERB NOUN ADP NOUN ADP DET VERB ADP NOUN CCONJ VERB ADP ADJ NOUN CCONJ NOUN PRON VERB PART VERB DET ADJ NOUN ADP ADJ NOUN ADP PROPN ADP PRON VERB VERB ADP DET NUM NOUN ADJ
When I got into Holloway they have them little forms and they 've got pictures of a body with all arrows and everything, and where I had any bruises the doctor put these marks.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	ADV PRON VERB ADP PROPN PRON VERB PRON ADJ NOUN CCONJ PRON VERB VERB NOUN ADP DET NOUN ADP DET NOUN CCONJ NOUN CCONJ ADV PRON VERB DET NOUN DET NOUN VERB DET NOUN
They knew I was catching the plane ; they came running in from all over the place with their big zoom lenses and what they want is : the butterfly's wings are broken, so let's get a picture of her face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	get the picture	literal	determiner-narrow	PRON VERB PRON VERB VERB DET NOUN PUNCT PRON VERB VERB ADV ADP ADV ADP DET NOUN ADP ADJ ADJ ADJ NOUN CCONJ NOUN PRON VERB VERB PUNCT DET NOUN NOUN VERB VERB ADV VERB VERB DET NOUN ADP ADJ NOUN
Get a picture and then	1 0 1 0 0	get the picture	literal	combined-other	VERB DET NOUN CCONJ ADV
‘ Just trying to get the picture, old boy.’	0 0 0 0 1 0 1 0 0	get the picture	figurative	identical	PUNCT ADV VERB PART VERB DET NOUN ADJ NOUN
Parents are not concerned about other children but their own and the photo may well stir up some resentment which can best be countered by inviting the press in on a regular basis and ensuring that as many children as possible get their picture in the paper.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	get the picture	literal	determiner-broad	NOUN VERB ADV ADJ ADP ADJ NOUN CCONJ ADJ ADJ CCONJ DET NOUN VERB ADV VERB PART DET NOUN ADJ VERB ADV VERB VERB ADP VERB DET NOUN PART ADP DET ADJ NOUN CCONJ VERB ADP ADP ADJ NOUN ADP ADJ VERB ADJ NOUN ADP DET NOUN
Yet how can we get a picture of the way in which it is possible to accept both that a task is done by rules ( for it is certainly not done randomly ) and yet the performer has no access whatever to the rules?	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	determiner-narrow	ADV ADV VERB PRON VERB DET NOUN ADP DET NOUN ADP ADJ PRON VERB ADJ PART VERB DET ADP DET NOUN VERB VERB ADP NOUN PUNCT ADP PRON VERB ADV ADV VERB ADV PUNCT CCONJ ADV DET NOUN VERB DET NOUN ADJ ADP DET NOUN
Erm, Derek said, and Derek said that erm that he now hoping you 'd go down and stay when they get naughty pictures!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	get the picture	literal	determiner-broad	PROPN PROPN VERB CCONJ PROPN VERB ADP NOUN ADP PRON ADV VERB PRON VERB VERB PART CCONJ VERB ADV PRON VERB ADJ NOUN
By placing radon gas detectors in homes the scientists are getting a clear picture of the problem around the country.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	get the picture	figurative	combined-inflection	ADP VERB ADJ NOUN NOUN ADP NOUN DET NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN
Erm tt whether that's appropriate, you know, I 'm thinking of it as a first appointment just to get a general picture whereas you might be coming back to stir his memory for referrals by saying er, you know, er you mentioned here you 're a member of the squash club, do you remember I said I 'd be looking for introductions, maybe we 'll learn whether at the beginning of the second appointment you jog the memory there er you know in other words what I 'm do doing is keeping that in my mind, that you are remembering the squash club or whatever club it may be and use that later, although I didn't er elaborate on it at that, that er because I think you can go off at a tangent	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	combined-other	NOUN ADP ADP DET ADJ PRON VERB PRON VERB VERB ADP PRON ADP DET ADJ NOUN ADV PART VERB DET ADJ NOUN ADP PRON VERB VERB VERB ADV PART VERB ADJ NOUN ADP NOUN ADP VERB INTJ PRON VERB INTJ PRON VERB ADV PRON VERB DET NOUN ADP DET NOUN NOUN VERB PRON VERB PRON VERB PRON VERB VERB VERB ADP NOUN ADV PRON VERB VERB ADP ADP DET NOUN ADP DET ADJ NOUN PRON VERB DET NOUN ADV INTJ PRON VERB ADP ADJ NOUN NOUN PRON NOUN VERB VERB VERB VERB DET ADP ADJ NOUN ADP PRON VERB VERB DET NOUN NOUN CCONJ ADJ NOUN PRON VERB VERB CCONJ VERB DET ADV ADP PRON VERB INTJ VERB ADP PRON ADP DET ADP INTJ ADP PRON VERB PRON VERB VERB PART ADP DET NOUN
I have to get a picture of those feet!	0 0 0 1 0 1 0 0 0	get the picture	literal	determiner-narrow	PRON VERB PART VERB DET NOUN ADP DET NOUN
If you talk to women in the sort of project where she's working, I think you do get a very strong picture of people who have very little confidence in themselves and certainly think that education is not for them, and if you then look at projects like second chance for women, there's a range of access projects, particularly for for people who want to get back into education when they think that they 've had precious little chance to get anything out of education when they were at school themselves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	combined-other	ADP PRON VERB ADP NOUN ADP DET NOUN ADP NOUN ADV PRON VERB PRON VERB PRON VERB VERB DET ADV ADJ NOUN ADP NOUN NOUN VERB ADV ADJ NOUN ADP PRON CCONJ ADV VERB ADP NOUN VERB ADV ADP PRON CCONJ ADP PRON ADV VERB ADP NOUN ADP ADJ NOUN ADP NOUN ADV DET NOUN ADP NOUN NOUN ADV ADP ADP NOUN NOUN VERB PART VERB ADV ADP NOUN ADV PRON VERB ADP PRON VERB VERB ADJ ADJ NOUN PART VERB NOUN ADP ADP NOUN ADV PRON VERB ADP NOUN PRON
Er I was, I think I 've got pictures about it somewhere or tha that was in the Evening Star not so very many years ago.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	INTJ PRON VERB PRON VERB PRON VERB VERB NOUN ADP PRON ADV CCONJ VERB DET VERB ADP DET PROPN PROPN ADV ADV ADV ADJ NOUN ADV
In contrast, P. A. Firby and C. F. Gardiner's Surface Topology is accessible, includes vector fields and the homotopy group, and it's got pictures!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	get the picture	literal	combined-inflection	ADP NOUN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN VERB ADJ VERB NOUN NOUN CCONJ DET NOUN NOUN CCONJ PRON VERB NOUN
Yeah I 've got a picture of Hugh with one end of a decontaminate poster.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	INTJ PRON VERB VERB DET NOUN ADP PROPN ADP NUM NOUN ADP DET ADJ NOUN
But they 've got a picture of sunlight, cloud and all things like that.	0 0 0 1 0 1 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	CCONJ PRON VERB VERB DET NOUN ADP NOUN NOUN CCONJ DET NOUN ADP DET
' I 've got so many pictures that I thought I 'd have a clear out ', she explains, surrounded by the sale items which represent months of hard work.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	PUNCT PRON VERB VERB ADV ADJ NOUN ADJ PRON VERB PRON VERB VERB DET ADJ PART PUNCT PRON VERB VERB ADP DET NOUN NOUN ADJ VERB NOUN ADP ADJ NOUN
cos Jo got a picture of my head when I was sleeping and a close up	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	ADP PROPN VERB DET NOUN ADP ADJ NOUN ADV PRON VERB VERB CCONJ DET NOUN PART
They 've got pictures of it, of him preparing all greased up.	0 0 1 1 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	PRON VERB VERB NOUN ADP PRON ADP PRON VERB DET VERB PART
' I can't get that picture out of my mind.	0 0 0 1 0 1 0 0 0 0	get the picture	literal	determiner-narrow	PUNCT PRON VERB VERB DET NOUN ADP ADP ADJ NOUN
He or she is trying to get a very clear picture of what you can do so that they can place you accurately and not send you on too many pointless interviews.	0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	combined-other	PRON CCONJ PRON VERB VERB PART VERB DET ADV ADJ NOUN ADP NOUN PRON VERB VERB ADP ADP PRON VERB VERB PRON ADV CCONJ ADV VERB PRON ADP ADV ADJ ADJ NOUN
' I like to get pictures as if the horse is about to blink or breathe, the nostrils about to expand or contract, the legs about to break into a trot or canter. '	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	deletion-determiner	PUNCT PRON VERB PART VERB NOUN ADP ADP DET NOUN VERB ADJ PART VERB CCONJ NOUN DET NOUN ADJ PART VERB CCONJ NOUN DET NOUN PART PART VERB ADP DET NOUN CCONJ NOUN PUNCT
Oh, how much is it to get the pictures, I mean	0 0 0 0 0 0 1 0 1 0 0	get the picture	literal	inflection	INTJ ADV ADJ VERB PRON PART VERB DET NOUN PRON VERB
Viewers in this country do get a fair picture of the debates and other proceedings in our House.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	get the picture	figurative	combined-other	NOUN ADP DET NOUN VERB VERB DET ADJ NOUN ADP DET NOUN CCONJ ADJ NOUN ADP ADJ PROPN
' I wonder, Inspector, if we might ask you one or two questions to get a clear picture, as it were? '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	get the picture	figurative	combined-other	PUNCT PRON VERB PROPN ADP PRON VERB VERB PRON NUM CCONJ NUM NOUN PART VERB DET ADJ NOUN ADP PRON VERB PUNCT
And I know they are hoping to have a talk to you, too, because all of us here at Burleigh realize how important it is to get a — ah — total picture of the child, of his problems, his hopes, his ambitions, his — ah — ah — Hmmm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	combined-other	CCONJ PRON VERB PRON VERB VERB PART VERB DET NOUN ADP PRON ADV ADP DET ADP PRON ADV ADP PROPN VERB ADV ADJ PRON VERB PART VERB DET PUNCT INTJ PUNCT ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADJ NOUN ADJ NOUN ADJ PUNCT INTJ PUNCT INTJ PUNCT NOUN
It might help us to get the full picture if we could talk to your wife.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	get the picture	figurative	insertion-other	PRON VERB VERB PRON PART VERB DET ADJ NOUN ADP PRON VERB VERB ADP ADJ NOUN
It is sometimes necessary to invert one's own view, one's own attitudes and even one's own moral values in order to get a clear picture of the total situation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	get the picture	figurative	combined-other	PRON VERB ADV ADJ PART VERB PRON ADJ NOUN PRON ADJ NOUN CCONJ ADV PRON ADJ ADJ NOUN ADP NOUN PART VERB DET ADJ NOUN ADP DET ADJ NOUN
Normally I like looking through books — you know, if they got nice pictures and that in them, but I dunno — I just ain't very interested at the moment.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	ADV PRON VERB VERB ADP NOUN PUNCT PRON VERB ADP PRON VERB ADJ NOUN CCONJ ADP ADP PRON CCONJ PRON VERB PUNCT PRON ADV VERB ADV ADJ ADP DET NOUN
We 've got pictures.	0 0 1 1	get the picture	literal	combined-inflection	PRON VERB VERB NOUN
Thing is though, you get an ov overall picture	0 0 0 0 1 0 0 0 1	get the picture	figurative	combined-other	NOUN VERB ADV PRON VERB DET DET ADJ NOUN
And if Pickerings does come through he might just get his picture on the wall.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	get the picture	literal	determiner-broad	CCONJ ADP PROPN VERB VERB ADP PRON VERB ADV VERB ADJ NOUN ADP DET NOUN
I would expect to get the broad picture and highlights and examples of.	0 0 0 0 1 0 0 1 0 0 0 0 0	get the picture	figurative	insertion-other	PRON VERB VERB PART VERB DET ADJ NOUN CCONJ NOUN CCONJ NOUN ADP
Apart from the eighteenth - century country house atmosphere evoked by the writing, we get also a very clear picture of the manner in which these potted meats were presented and a substantial hint as to the devising of other permutations and combinations of poultry, game and meat for potting :	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	combined-other	ADV ADP DET ADJ PUNCT NOUN NOUN NOUN NOUN VERB ADP DET NOUN PRON VERB ADV DET ADV ADJ NOUN ADP DET NOUN ADP ADJ DET VERB NOUN VERB VERB CCONJ DET ADJ NOUN ADP ADP DET NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN NOUN CCONJ NOUN ADP VERB PUNCT
You get a much more complete picture.	0 1 0 0 0 0 1	get the picture	figurative	combined-other	PRON VERB DET ADV ADV ADJ NOUN
According to these employers it was teachers who needed WE more than pupils, so that they could get a picture of what engineering was really like ( as opposed to media misrepresentations — strikes, redundancies, etc. ) and so put across a ' good image ' of engineering, hopefully attracting the ' brighter pupils'into the industry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	determiner-narrow	VERB ADP DET NOUN PRON VERB NOUN NOUN VERB PRON ADJ ADP NOUN ADP ADP PRON VERB VERB DET NOUN ADP NOUN NOUN VERB ADV INTJ PUNCT ADP VERB ADP NOUN NOUN PUNCT NOUN NOUN X PUNCT CCONJ ADV VERB PART DET PUNCT ADJ NOUN PUNCT ADP NOUN ADV VERB DET PUNCT ADJ NOUN DET NOUN
' So he shot at you first? ' the Colonel enquired, trying to get the whole picture straight to his satisfaction.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	get the picture	figurative	insertion-other	PUNCT ADV PRON VERB ADP PRON ADV PUNCT DET PROPN VERB VERB PART VERB DET ADJ NOUN ADV ADP ADJ NOUN
I got a picture of one if you want it.	0 1 0 1 0 0 0 0 0 0	get the picture	literal	combined-inflection	PRON VERB DET NOUN ADP NUM ADP PRON VERB PRON
I 've taken suspects to the police station when I haven't been able to break them down, and I 've told my inspector exactly what's happened, he's got the whole picture and then he's closed the door and called the man in, closed the door.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	figurative	combined-inflection	PRON VERB VERB NOUN ADP DET NOUN NOUN ADV PRON VERB VERB ADJ PART VERB PRON PART CCONJ PRON VERB VERB ADJ NOUN ADV NOUN VERB PRON VERB DET ADJ NOUN CCONJ ADV PRON VERB DET NOUN CCONJ VERB DET NOUN PART VERB DET NOUN
We 've got pictures from the super eight film of the assassination if you want.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	PRON VERB VERB NOUN ADP DET ADJ NUM NOUN ADP DET NOUN ADP PRON VERB
' The figures are a movable feast, but they show how important it is for anonymised prevalence testing to get under way so we can get a true picture of infection in the population. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	get the picture	figurative	combined-other	PUNCT DET NOUN VERB DET ADJ NOUN CCONJ PRON VERB ADV ADJ PRON VERB ADP ADJ NOUN NOUN PART VERB ADP NOUN ADP PRON VERB VERB DET ADJ NOUN ADP NOUN ADP DET NOUN PUNCT
