Drama had, from the word go, a very definite appeal for the young Pigott Smith.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	from the word go	figurative	identical	PROPN VERB ADP DET NOUN VERB DET ADV ADJ NOUN ADP DET ADJ PROPN PROPN	▁Dr ama ▁had , ▁from ▁the ▁word ▁go , ▁a ▁very ▁definite ▁appeal ▁for ▁the ▁young ▁Pig ott ▁Smith .	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB ADP DET NOUN VERB VERB DET ADV ADJ NOUN ADP DET ADJ PROPN PROPN PROPN PROPN
From the word go the eventual winners from Sligo / Mullingar knew that their task would not be easy when they encountered Dundalk.	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	from the word go	figurative	case	ADP DET NOUN VERB DET ADJ NOUN ADP PROPN SYM PROPN VERB ADP ADJ NOUN VERB ADV VERB ADJ ADV PRON VERB PROPN	▁From ▁the ▁word ▁go ▁the ▁eventual ▁winner s ▁from ▁S lig o ▁/ ▁M ulling ar ▁knew ▁that ▁their ▁task ▁would ▁not ▁be ▁easy ▁when ▁they ▁encountered ▁D und alk .	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN VERB DET ADJ NOUN NOUN ADP PROPN PROPN PROPN SYM PROPN PROPN PROPN VERB ADP ADJ NOUN VERB ADV VERB ADJ ADV PRON VERB PROPN PROPN PROPN PROPN
From the word go she was knocking on doors, visiting and sharing the platform ministry every Sunday.	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	from the word go	figurative	case	ADP DET NOUN VERB PRON VERB VERB ADP NOUN VERB CCONJ VERB DET NOUN NOUN DET PROPN	▁From ▁the ▁word ▁go ▁she ▁was ▁knock ing ▁on ▁doors , ▁visiting ▁and ▁sharing ▁the ▁platform ▁ministry ▁every ▁Sunday .	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN VERB PRON VERB VERB VERB ADP NOUN NOUN VERB CCONJ VERB DET NOUN NOUN DET PROPN PROPN
It was a nightmare from the word go.	0 0 0 0 1 0 1 1	from the word go	figurative	identical	PRON VERB DET NOUN ADP DET NOUN VERB	▁It ▁was ▁a ▁nightmare ▁from ▁the ▁word ▁go .	0 0 0 0 1 0 1 1 1	PRON VERB DET NOUN ADP DET NOUN VERB VERB
This is partially true because there are some behaviours that are intact from the word go.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	DET VERB ADV ADJ ADP ADV VERB DET NOUN ADJ VERB ADJ ADP DET NOUN VERB	▁This ▁is ▁partially ▁true ▁because ▁there ▁are ▁some ▁behaviour s ▁that ▁are ▁intact ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	DET VERB ADV ADJ ADP ADV VERB DET NOUN NOUN ADJ VERB ADJ ADP DET NOUN VERB VERB
Yes erm, it was very obvious from the word go that they didn't want us.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	from the word go	figurative	identical	INTJ INTJ PRON VERB ADV ADJ ADP DET NOUN VERB ADP PRON VERB VERB PRON	▁Yes ▁er m , ▁it ▁was ▁very ▁obvious ▁from ▁the ▁word ▁go ▁that ▁they ▁did n ' t ▁want ▁us .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ INTJ PRON VERB ADV ADJ ADP DET NOUN VERB ADP PRON VERB VERB VERB VERB VERB PRON PRON
I knew it was a deliberate attempt from the word go to bring the band down.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	from the word go	figurative	identical	PRON VERB PRON VERB DET ADJ NOUN ADP DET NOUN VERB PART VERB DET NOUN PART	▁I ▁knew ▁it ▁was ▁a ▁deliberate ▁attempt ▁from ▁the ▁word ▁go ▁to ▁bring ▁the ▁band ▁down .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	PRON VERB PRON VERB DET ADJ NOUN ADP DET NOUN VERB PART VERB DET NOUN PART PART
Clive, who is an active CPRW member, felt it was vital that environmental groups took a very tough line with the industry right from the word go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	ADJ NOUN VERB DET ADJ PROPN NOUN VERB PRON VERB ADJ ADP ADJ NOUN VERB DET ADV ADJ NOUN ADP DET NOUN ADV ADP DET NOUN VERB	▁C live , ▁who ▁is ▁an ▁active ▁C PR W ▁member , ▁felt ▁it ▁was ▁vital ▁that ▁environmental ▁groups ▁took ▁a ▁very ▁tough ▁line ▁with ▁the ▁industry ▁right ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADJ ADJ ADJ NOUN VERB DET ADJ PROPN PROPN PROPN NOUN NOUN VERB PRON VERB ADJ ADP ADJ NOUN VERB DET ADV ADJ NOUN ADP DET NOUN ADV ADP DET NOUN VERB VERB
From the word go.	1 0 1 1	from the word go	figurative	case	ADP DET NOUN VERB	▁From ▁the ▁word ▁go .	1 0 1 1 1	ADP DET NOUN VERB VERB
' In the one - day game you have to be positive and go for it from the word go.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0	from the word go	figurative	misc	PUNCT ADP DET NUM PUNCT NOUN NOUN PRON VERB PART VERB ADJ CCONJ VERB ADP PRON ADP DET NOUN VERB	▁' ▁In ▁the ▁one ▁- ▁day ▁game ▁you ▁have ▁to ▁be ▁positive ▁and ▁go ▁for ▁it ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0	PUNCT ADP DET NUM PUNCT NOUN NOUN PRON VERB PART VERB ADJ CCONJ VERB ADP PRON ADP DET NOUN VERB VERB
At the County Ground, the wolves were on the prowl right from the word go.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	ADP DET PROPN PROPN DET NOUN VERB ADP DET NOUN ADV ADP DET NOUN VERB	▁At ▁the ▁County ▁Ground , ▁the ▁w ol ves ▁were ▁on ▁the ▁pro wl ▁right ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP DET PROPN PROPN PROPN DET NOUN NOUN NOUN VERB ADP DET NOUN NOUN ADV ADP DET NOUN VERB VERB
‘ The key is train them properly from the word go,’ Steve emphasised.	0 0 0 0 0 0 0 1 0 1 1 0 0	from the word go	figurative	dashes	PUNCT DET NOUN VERB VERB PRON ADV ADP DET NOUN PROPN PROPN VERB	▁ ‘ ▁The ▁key ▁is ▁train ▁them ▁properly ▁from ▁the ▁word ▁go , ’ ▁Ste ve ▁emphasised .	0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0	PUNCT PUNCT DET NOUN VERB VERB PRON ADV ADP DET NOUN PROPN PROPN PROPN PROPN PROPN VERB VERB
I recall I think we possibly planned to use strings right from the word go and David, without my knowledge, went to Paul Buckmaster and asked whether he was interested in writing the string parts.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	from the word go	figurative	identical	PRON VERB PRON VERB PRON ADV VERB PART VERB NOUN ADV ADP DET NOUN VERB CCONJ PROPN ADP ADJ NOUN VERB ADP PROPN PROPN CCONJ VERB ADP PRON VERB ADJ ADP VERB DET NOUN NOUN	▁I ▁recall ▁I ▁think ▁we ▁possibly ▁planned ▁to ▁use ▁string s ▁right ▁from ▁the ▁word ▁go ▁and ▁David , ▁without ▁my ▁knowledge , ▁went ▁to ▁Paul ▁B uck master ▁and ▁asked ▁whether ▁he ▁was ▁interested ▁in ▁writing ▁the ▁string ▁parts .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB PRON ADV VERB PART VERB NOUN NOUN ADV ADP DET NOUN VERB CCONJ PROPN PROPN ADP ADJ NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN CCONJ VERB ADP PRON VERB ADJ ADP VERB DET NOUN NOUN NOUN
Anna adored Simon from the word go.	0 0 0 1 0 1 1	from the word go	figurative	identical	PROPN VERB PROPN ADP DET NOUN VERB	▁An na ▁ad or ed ▁Simon ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 1 0 1 1 1	PROPN PROPN VERB VERB VERB PROPN ADP DET NOUN VERB VERB
So he's, he's really got to get it right from the word go.	0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	ADV PRON PRON ADV VERB PART VERB PRON ADJ ADP DET NOUN VERB	▁So ▁he ' s , ▁he ' s ▁really ▁got ▁to ▁get ▁it ▁right ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADV PRON PRON PRON PRON PRON PRON PRON ADV VERB PART VERB PRON ADJ ADP DET NOUN VERB VERB
The vibrant ‘ Zoo Station’ kicked everything off and right from the word go it was going to be something special.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	from the word go	figurative	identical	DET ADJ PUNCT PROPN PROPN VERB NOUN PART CCONJ ADV ADP DET NOUN VERB PRON VERB VERB PART VERB NOUN ADJ	▁The ▁vi b rant ▁ ‘ ▁Zo o ▁Station ’ ▁kick ed ▁everything ▁off ▁and ▁right ▁from ▁the ▁word ▁go ▁it ▁was ▁going ▁to ▁be ▁something ▁special .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	DET ADJ ADJ ADJ PUNCT PUNCT PROPN PROPN PROPN PROPN VERB VERB NOUN PART CCONJ ADV ADP DET NOUN VERB PRON VERB VERB PART VERB NOUN ADJ ADJ
I know I probably could of had one right from the word go	0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	PRON VERB PRON ADV VERB VERB VERB NUM NOUN ADP DET NOUN VERB	▁I ▁know ▁I ▁probably ▁could ▁of ▁had ▁one ▁right ▁from ▁the ▁word ▁go	0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB PRON ADV VERB VERB VERB NUM NOUN ADP DET NOUN VERB
Many take the view that there should be timetabling at the start of legislation to enable it to be seen that Members are dealing with all parts of legislation from the word go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	ADJ VERB DET NOUN ADP ADV VERB VERB VERB ADP DET NOUN ADP NOUN PART VERB PRON PART VERB VERB ADP NOUN VERB VERB ADP DET NOUN ADP NOUN ADP DET NOUN VERB	▁Many ▁take ▁the ▁view ▁that ▁there ▁should ▁be ▁time ta bling ▁at ▁the ▁start ▁of ▁legislation ▁to ▁enable ▁it ▁to ▁be ▁seen ▁that ▁Members ▁are ▁dealing ▁with ▁all ▁parts ▁of ▁legislation ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADJ VERB DET NOUN ADP ADV VERB VERB VERB VERB VERB ADP DET NOUN ADP NOUN PART VERB PRON PART VERB VERB ADP NOUN VERB VERB ADP DET NOUN ADP NOUN ADP DET NOUN VERB VERB
There wasn't gon na be single parent families with three children, er living above an old age pensioner who 'd been in there from the word go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	ADV VERB VERB PART VERB ADJ NOUN NOUN ADP NUM NOUN INTJ VERB ADP DET ADJ NOUN NOUN NOUN VERB VERB ADV ADV ADP DET NOUN VERB	▁There ▁was n ' t ▁ gon ▁na ▁be ▁single ▁parent ▁families ▁with ▁three ▁children , ▁er ▁living ▁above ▁an ▁old ▁age ▁pensioner ▁who ▁' d ▁been ▁in ▁there ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADV VERB VERB VERB VERB VERB VERB PART VERB ADJ NOUN NOUN ADP NUM NOUN NOUN INTJ VERB ADP DET ADJ NOUN NOUN NOUN VERB VERB VERB ADV ADV ADP DET NOUN VERB VERB
