New York and Dallas both failed to get off the ground, either financially or politically.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	get off the ground	figurative	identical	PROPN PROPN CCONJ PROPN DET VERB PART VERB ADP DET NOUN CCONJ ADV CCONJ ADV
The electronics and publishing projects never got off the ground.	0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	DET NOUN CCONJ NOUN NOUN ADV VERB ADP DET NOUN
That long - anticipated non - profit X trade association, the X Industry Association, brainchild of The X Business Group, is getting off the ground : it's picked itself a chairman in David Harris of Adobe Systems Inc and the board includes Peter Winston of Xhibition, Peter Shaw of AGE Logic Inc, Stephen King of Tektronix, Brian Fitzgerald of Digital Equipment Corp and Michael Harrigan of Network Computing Devices Inc and Anil Malhotra of IXI Ltd ; members include Applied Digital Data Systems, Grafpoint, Hummingbird, Kinesix, Non Standard Logics, Omron, Shographics, TeleSoft, Visual Edge and Walker, Richer & Quinn ; the new body is to market, promote and educate in the name of X, leaving the X Consortium, while it still exists, to grapple with the technical issues.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	DET ADV PUNCT VERB ADJ PUNCT NOUN NOUN NOUN NOUN DET PROPN PROPN PROPN NOUN ADP DET PROPN PROPN PROPN VERB VERB PART DET NOUN PUNCT PRON VERB PRON DET NOUN ADP PROPN PROPN ADP PROPN PROPN PROPN CCONJ DET NOUN VERB PROPN PROPN ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN CCONJ PROPN PROPN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN ADP PROPN PROPN PUNCT NOUN VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ PROPN CCONJ PROPN PROPN CCONJ PROPN PUNCT DET ADJ NOUN VERB ADP NOUN VERB CCONJ VERB ADP DET NOUN ADP NOUN VERB DET PROPN PROPN ADP PRON ADV VERB PART VERB ADP DET ADJ NOUN
Passenger transport in order to promote the new transportation erm policies of the to get off the ground erm during the erm previous council.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	get off the ground	figurative	identical	NOUN NOUN ADP NOUN PART VERB DET ADJ NOUN NOUN NOUN ADP DET PART VERB ADP DET NOUN NOUN ADP DET ADJ ADJ NOUN
He smiled a slow smile and pointed out callously, ‘ The chances are that your business will never get off the ground and I 'll end up cheated of the money you owe me.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	identical	PRON VERB DET ADJ NOUN CCONJ VERB PART ADV PUNCT DET NOUN VERB ADP ADJ NOUN VERB ADV VERB ADP DET NOUN CCONJ PRON VERB VERB PART VERB ADP DET NOUN PRON VERB NOUN
High structural unemployment makes alternative thinking about labour intensivity, for example more acceptable ; with less money available, small scale and community based schemes, using local resources and motivated by indigenous imagination stand far more chance of getting off the ground, provided they can obtain the right kind of encouragement and support.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	ADJ ADJ NOUN VERB ADJ NOUN ADP ADJ NOUN ADP NOUN ADV ADJ PUNCT ADP ADJ NOUN ADJ ADJ NOUN CCONJ NOUN VERB NOUN VERB ADJ NOUN CCONJ VERB ADP ADJ NOUN VERB ADV ADJ NOUN ADP VERB PART DET NOUN VERB PRON VERB VERB DET ADJ NOUN ADP NOUN CCONJ NOUN
Other considerations were his wanting to make another American film and because the project had got off the ground due to its big Hollywood stars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	get off the ground	figurative	inflection	ADJ NOUN VERB ADJ NOUN PART VERB DET ADJ NOUN CCONJ ADP DET NOUN VERB VERB ADP DET NOUN ADP ADP ADJ ADJ PROPN NOUN
The group was slow to get off the ground, despite an encouraging article about the group in the Rotherham Advertiser.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	identical	DET NOUN VERB ADJ PART VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET PROPN PROPN
‘ The whole thing might not have ever got off the ground if Maxi Priest hadn't been in the same room as them when I called up.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	PUNCT DET ADJ NOUN VERB ADV VERB ADV VERB ADP DET NOUN ADP PROPN PROPN VERB VERB ADP DET ADJ NOUN ADP PRON ADV PRON VERB PART
But recently a lot more interesting projects, such as the University of the Third Age ( address on page 148 ) had got off the ground, and she was enjoying two of the courses being run locally.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	CCONJ ADV DET NOUN ADV ADJ NOUN ADJ ADP DET PROPN ADP DET PROPN PROPN PUNCT NOUN ADP NOUN NUM PUNCT VERB VERB ADP DET NOUN CCONJ PRON VERB VERB NUM ADP DET NOUN VERB VERB ADV
I think they 've got off the ground and they 've shown a lot of initiative.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	PRON VERB PRON VERB VERB ADP DET NOUN CCONJ PRON VERB VERB DET NOUN ADP NOUN
For example, Tui sunt coeli ( track 6 ) never quite gets off the ground and Hodie christus natus est ( track 10 ) is blessed with very little joy, its rhythmic energy sadly undermined by a rather uncommitted style of singing.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	ADP NOUN PROPN NOUN NOUN PUNCT VERB NUM PUNCT ADV ADV VERB ADP DET NOUN CCONJ PROPN NOUN NOUN NOUN PUNCT VERB NUM PUNCT VERB VERB ADP ADV ADJ NOUN ADJ ADJ NOUN ADV VERB ADP DET ADV ADJ NOUN ADP NOUN
Attempts to revive the buyout of United Airlines are meeting with little enthusiasm on Wall Street and a new bid — possibly with the support of Jay Pritzker, the Chicago financier — is unlikely to get off the ground before early 1990.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	get off the ground	figurative	identical	NOUN PART VERB DET NOUN ADP PROPN PROPN VERB VERB ADP ADJ NOUN ADP PROPN PROPN CCONJ DET ADJ NOUN PUNCT ADV ADP DET NOUN ADP PROPN PROPN DET PROPN NOUN PUNCT VERB ADJ PART VERB ADP DET NOUN ADP ADJ NUM
‘ If it ever gets made,’ says Howard, ‘ because I don't think it's ever going to get off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	identical	PUNCT ADP PRON ADV VERB NOUN VERB PROPN PUNCT ADP PRON VERB VERB PRON ADV VERB PART VERB ADP DET NOUN
‘ My singing career sort of got off the ground through the show too because it was when a few of us from the show got together to sing at a benefit concert for a football club in Australia that I first publicly sang ‘ The Locomotion.’	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	PUNCT ADJ NOUN NOUN NOUN ADV VERB ADP DET NOUN ADP DET NOUN ADV ADP PRON VERB ADV DET ADJ ADP PRON ADP DET NOUN VERB ADV PART VERB ADP DET NOUN NOUN ADP DET NOUN NOUN ADP PROPN ADJ PRON ADV ADV VERB PUNCT DET PROPN
Erm but I you know I don't know that that was a got off the ground very well.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	get off the ground	figurative	inflection	INTJ CCONJ PRON PRON VERB PRON VERB VERB ADP DET VERB DET VERB ADP DET NOUN ADV ADV
And so the Blue Skies project — or to use its more prosaic name, the Venture Research Unit, got off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	CCONJ ADV DET PROPN PROPN NOUN PUNCT CCONJ PART VERB ADJ ADJ ADJ NOUN DET PROPN PROPN PROPN VERB ADP DET NOUN
As many practitioners know only too well, many pleas in mitigation would hardly get off the ground if they were not able to point to the possibility of the accused losing his job if he were sent to prison or were to have his driving licence suspended.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	identical	ADP ADJ NOUN VERB ADV ADV ADV ADJ NOUN ADP NOUN VERB ADV VERB ADP DET NOUN ADP PRON VERB ADV ADJ PART VERB ADP DET NOUN ADP DET VERB VERB ADJ NOUN ADP PRON VERB VERB ADP NOUN CCONJ VERB PART VERB ADJ VERB NOUN VERB
In strictly layman's terms, the amount of additional engine - weight and fuel that any supersonic aircraft could get off the ground would give a few minutes of sub - orbital time, if that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	literal	identical	ADP ADV ADJ NOUN DET NOUN ADP ADJ NOUN PUNCT NOUN CCONJ NOUN ADJ DET ADJ NOUN VERB VERB ADP DET NOUN VERB VERB DET ADJ NOUN ADP NOUN PUNCT ADJ NOUN ADP DET
With this vital flaw, and with Ruggero Raimondi also failing to make much of an impact as the comically menacing Bey, the performance never gets off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	ADP DET ADJ NOUN CCONJ ADP PROPN PROPN ADV VERB PART VERB ADJ ADP DET NOUN ADP DET ADV ADJ PROPN DET NOUN ADV VERB ADP DET NOUN
The way in which community care projects get off the ground quickly is to have a small project team of three or four people with the task of steering it through from start to finish, working under the guidance of a strong chairman.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	identical	DET NOUN ADP ADJ NOUN NOUN NOUN VERB ADP DET NOUN ADV VERB PART VERB DET ADJ NOUN NOUN ADP NUM CCONJ NUM NOUN ADP DET NOUN ADP VERB PRON PART ADP NOUN ADP NOUN VERB ADP DET NOUN ADP DET ADJ NOUN
The paper would need a minimum circulation of 300,000 to make money, and with an annual expenditure of £ 13.3 million would make an annual profit of £ 6.4 million if it reached a circulation of 500,000 But the idea never got off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	DET NOUN VERB VERB DET ADJ NOUN ADP NUM PART VERB NOUN CCONJ ADP DET ADJ NOUN ADP SYM NUM NUM VERB VERB DET ADJ NOUN ADP SYM NUM NUM ADP PRON VERB DET NOUN ADP NUM CCONJ DET NOUN ADV VERB ADP DET NOUN
Third parties interested in moving product into the Peoples ' Republic of China on the back of this new Unix System Labs joint venture, Unix System Technology China Ltd ( UX No 411 ), should get in touch with USL's Far East operation, Unix System Laboratories Pacific, until such time as the China unit actually gets off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	ADJ NOUN ADJ ADP VERB NOUN ADP DET PROPN PART PROPN ADP PROPN ADP DET NOUN ADP DET ADJ PROPN PROPN PROPN ADJ NOUN PROPN PROPN PROPN PROPN PROPN PUNCT PROPN DET NUM PUNCT VERB VERB ADP NOUN ADP PROPN PROPN PROPN NOUN PROPN PROPN PROPN PROPN ADP ADJ NOUN ADP DET PROPN NOUN ADV VERB ADP DET NOUN
These enabled his pupils to get off the ground and many began imitating the set of motifs he introduced into his illustrations.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	identical	DET VERB ADJ NOUN PART VERB ADP DET NOUN CCONJ ADJ VERB VERB DET NOUN ADP NOUN PRON VERB ADP ADJ NOUN
It got off the ground in Berlin in 1982 despite an atmosphere of increasing pressure on funds for all forms of higher education in Berlin as elsewhere in West Germany.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	PRON VERB ADP DET NOUN ADP PROPN ADP NUM ADP DET NOUN ADP VERB NOUN ADP NOUN ADP DET NOUN ADP ADJ NOUN ADP PROPN ADP ADV ADP PROPN PROPN
They are to share in a grant of around £ 12,500 donated by the Ireland Fund in Canada to help new integrated projects get off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	identical	PRON VERB PART VERB ADP DET NOUN ADP ADV SYM NUM VERB ADP DET PROPN PROPN ADP PROPN PART VERB ADJ VERB NOUN VERB ADP DET NOUN
An earlier plan to build a new home in conjunction with a housing association on the Chevet Hey site in Prices Lane, Wrexham, failed to get off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	identical	DET ADJ NOUN PART VERB DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN ADP DET PROPN PROPN NOUN ADP PROPN PROPN PROPN VERB PART VERB ADP DET NOUN
There is a difference between a project which never gets off the ground and one which suddenly goes bad.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	get off the ground	figurative	inflection	ADV VERB DET NOUN ADP DET NOUN ADJ ADV VERB ADP DET NOUN CCONJ NOUN ADJ ADV VERB ADJ
But there can not be an infinite series of causes stretching back endlessly ; for in that case, no matter how far back we were to look, we should never find a beginning of the whole process, and that in turn would make it quite impossible to understand how it could ever have got off the ground, let alone reached its present state.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	get off the ground	figurative	inflection	CCONJ ADV VERB ADV VERB DET ADJ NOUN ADP NOUN VERB ADV ADV PUNCT ADP ADP DET NOUN ADV ADV ADV ADV ADV PRON VERB PART VERB PRON VERB ADV VERB DET NOUN ADP DET ADJ NOUN CCONJ ADP ADP NOUN VERB VERB PRON ADV ADJ PART VERB ADV PRON VERB ADV VERB VERB ADP DET NOUN VERB ADV VERB ADJ ADJ NOUN
That long - anticipated non - profit X trade association, the X Industry Association, brainchild of The X Business Group, is getting off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	DET ADV PUNCT VERB ADJ PUNCT NOUN NOUN NOUN NOUN DET PROPN PROPN PROPN NOUN ADP DET PROPN PROPN PROPN VERB VERB PART DET NOUN
In the process, job evaluation could terminally undermine clinical grading, making a new system virtually redundant before it has even got off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	ADP DET NOUN NOUN NOUN VERB ADV VERB ADJ NOUN VERB DET ADJ NOUN ADV ADJ ADP PRON VERB ADV VERB ADP DET NOUN
This clash between the old rivals seldom got off the ground in terms of entertainment value, but the more adventurous team won the day.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	DET NOUN ADP DET ADJ NOUN ADV VERB ADP DET NOUN ADP NOUN ADP NOUN NOUN CCONJ DET ADV ADJ NOUN VERB DET NOUN
The government in London was kept well informed of what was happening and the rebellion might never have got off the ground but for the effects of the Act of Union of the Two Kingdoms of England and Scotland, which came into effect on 1 May 1707.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	DET NOUN ADP PROPN VERB VERB ADV VERB ADP NOUN VERB VERB CCONJ DET NOUN VERB ADV VERB VERB ADP DET NOUN CCONJ ADP DET NOUN ADP DET PROPN ADP PROPN ADP DET PROPN PROPN ADP PROPN CCONJ PROPN ADJ VERB ADP NOUN ADP NUM PROPN NUM
The International Centre, which gets off the ground officially with a ministerial blessing ( jokes aside ) at its launch next week, won't be booking anyone into any conferences in Nice, the Gambia or Malta.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	DET PROPN PROPN ADJ VERB ADP DET NOUN ADV ADP DET ADJ NOUN PUNCT NOUN ADV PUNCT ADP ADJ NOUN ADJ NOUN VERB VERB VERB NOUN ADP DET NOUN ADP PROPN DET PROPN CCONJ PROPN
As the head of science put it : I think once it gets off the ground and we have got the library and the integrated studies and study skills teaching in a central resource area for the whole school, I think then, people are going to have to start seriously appraising the way they teach and I think that can only be a good thing.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	ADP DET NOUN ADP NOUN VERB PRON PUNCT PRON VERB ADP PRON VERB ADP DET NOUN CCONJ PRON VERB VERB DET NOUN CCONJ DET VERB NOUN CCONJ NOUN NOUN VERB ADP DET ADJ NOUN NOUN ADP DET ADJ NOUN PRON VERB ADV NOUN VERB VERB PART VERB PART VERB ADV VERB DET NOUN PRON VERB CCONJ PRON VERB DET VERB ADV VERB DET ADJ NOUN
And Russia is, after all, where the first English joint - stock company, of the sort whose shares we would recognise on the market today, got off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	CCONJ PROPN VERB ADV ADV ADV DET ADJ ADJ ADJ PUNCT NOUN NOUN ADP DET NOUN ADJ NOUN PRON VERB VERB ADP DET NOUN NOUN VERB ADP DET NOUN
Ian Waterhouse is with us, probably wondering how on earth these meetings get off the ground at all.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	get off the ground	figurative	identical	PROPN PROPN VERB ADP PRON ADV VERB ADV ADP NOUN DET NOUN VERB ADP DET NOUN ADV ADV
This is because such schemes are taking a long time to get off the ground and because employers generally recruit from non - local networks ( see also Ladbury and Mira - Smith in this volume ).	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	identical	DET VERB ADP ADJ NOUN VERB VERB DET ADJ NOUN PART VERB ADP DET NOUN CCONJ ADP NOUN ADV VERB ADP ADJ PUNCT ADJ NOUN PUNCT VERB ADV PROPN CCONJ PROPN PUNCT PROPN ADP DET NOUN PUNCT
Method b ) home produced mailing lists, which was CPRE's single most successful recruitment method between January and June 1992, did not really get off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	identical	PROPN PUNCT PUNCT NOUN VERB NOUN NOUN ADJ VERB PROPN ADJ ADV ADJ NOUN NOUN ADP PROPN CCONJ PROPN NUM VERB ADV ADV VERB ADP DET NOUN
The ICTY was slow in getting off the ground.	0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	DET PROPN VERB ADJ ADP VERB PART DET NOUN
Eva left the room in a state of shock, saddened by the prospect of leaving the ICO just as the new initiatives were getting off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	inflection	PROPN VERB DET NOUN ADP DET NOUN ADP NOUN VERB ADP DET NOUN ADP VERB DET PROPN ADV ADP DET ADJ NOUN VERB VERB ADP DET NOUN
Had the Norton - logoed products got off the ground, sales could have reached millions.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	get off the ground	figurative	inflection	VERB DET PROPN PUNCT VERB NOUN VERB ADP DET NOUN NOUN VERB VERB VERB NOUN
In September, O'Brien called a meeting in an attempt to establish a Derry branch of the association but it never got off the ground ; indeed even at the height of the civil rights movement NICRA had branches in north and south County Derry but in the city itself the principal civil rights organisation was the DCAC, which although affiliated to NICRA, was completely autonomous.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	inflection	ADP PROPN PROPN VERB DET NOUN ADP DET NOUN PART VERB DET ADJ NOUN ADP DET NOUN CCONJ PRON ADV VERB ADP DET NOUN PUNCT ADV ADV ADP DET NOUN ADP DET ADJ NOUN NOUN NOUN VERB NOUN ADP NOUN CCONJ PROPN PROPN PROPN CCONJ ADP DET NOUN PRON DET ADJ ADJ NOUN NOUN VERB DET PROPN ADJ ADP VERB ADP PROPN VERB ADV ADJ
Somehow, he had never thought that Hess had had this in him, he 'd never thought the flight would ever — to coin a phrase — get off the ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	get off the ground	figurative	identical	ADV PRON VERB ADV VERB ADP PROPN VERB VERB DET ADP PRON PRON VERB ADV VERB DET NOUN VERB ADV PUNCT PART VERB DET NOUN PUNCT VERB ADP DET NOUN
The trouble was that the paper never seemed to get off the ground, which was typical of the Big Flame and ‘ Beyond the Fragments’ approach.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	get off the ground	figurative	identical	DET NOUN VERB ADP DET NOUN ADV VERB PART VERB ADP DET NOUN ADJ VERB ADJ ADP DET PROPN PROPN CCONJ PUNCT ADP DET PROPN NOUN
The latest talks, which began with a meeting planned between the flight attendants union and management on Wednesday to discuss a new labour contract are not expected to produce firm proposals and the next bid for United Airlines may not get off the ground until well into 1990.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	get off the ground	figurative	identical	DET ADJ NOUN ADJ VERB ADP DET NOUN VERB ADP DET NOUN NOUN NOUN CCONJ NOUN ADP PROPN PART VERB DET ADJ NOUN NOUN VERB ADV VERB PART VERB ADJ NOUN CCONJ DET ADJ NOUN ADP PROPN PROPN VERB ADV VERB ADP DET NOUN ADP ADV ADP NUM
