We 'll not allow these unelected faceless Tory supporters to keep the public in the dark.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	keep someone in the dark	figurative	combined-other	PRON VERB ADV VERB DET ADJ NOUN PROPN NOUN PART VERB DET NOUN ADP DET NOUN	▁We ▁' ll ▁not ▁allow ▁these ▁un elected ▁face less ▁To ry ▁supporters ▁to ▁keep ▁the ▁public ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1	PRON VERB VERB ADV VERB DET ADJ ADJ NOUN NOUN PROPN PROPN NOUN PART VERB DET NOUN ADP DET NOUN NOUN
' They keep the calves in the dark so that the flesh is whiter. '	0 0 1 0 1 1 0 1 0 0 0 0 0 0 0	keep someone in the dark	literal	combined-other	PUNCT PRON VERB DET NOUN ADP DET NOUN ADP ADP DET NOUN VERB ADJ PUNCT	▁' ▁They ▁keep ▁the ▁calves ▁in ▁the ▁dark ▁so ▁that ▁the ▁flesh ▁is ▁white r . ▁'	0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB DET NOUN ADP DET NOUN ADP ADP DET NOUN VERB ADJ ADJ ADJ PUNCT
But why couldn't he rid himself of the eerie sensation that it had already happened, that everyone knew except him, that he was being deliberately kept in the dark?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1	keep someone in the dark	figurative	combined-inflection	CCONJ ADV VERB PRON VERB PRON ADP DET ADJ NOUN ADJ PRON VERB ADV VERB ADP NOUN VERB ADP PRON ADP PRON VERB VERB ADV VERB ADP DET NOUN	▁But ▁why ▁could n ' t ▁he ▁rid ▁himself ▁of ▁the ▁e er ie ▁sensation ▁that ▁it ▁had ▁already ▁happened , ▁that ▁everyone ▁knew ▁except ▁him , ▁that ▁he ▁was ▁being ▁deliberately ▁kept ▁in ▁the ▁dark ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1	CCONJ ADV VERB VERB VERB VERB PRON VERB PRON ADP DET ADJ ADJ ADJ NOUN ADJ PRON VERB ADV VERB VERB ADP NOUN VERB ADP PRON PRON ADP PRON VERB VERB ADV VERB ADP DET NOUN NOUN
BIRMINGHAM CITY manager Terry Cooper yesterday claimed that chairman Samesh Kumar kept him in the dark about the club being put up for sale.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PROPN PROPN NOUN PROPN PROPN NOUN VERB ADP NOUN PROPN PROPN VERB PRON ADP DET NOUN ADP DET NOUN VERB VERB PART ADP NOUN	▁B IR M ING HAM ▁C ITY ▁manager ▁Terr y ▁Cooper ▁yesterday ▁claimed ▁that ▁chairman ▁Sam esh ▁Ku mar ▁kept ▁him ▁in ▁the ▁dark ▁about ▁the ▁club ▁being ▁put ▁up ▁for ▁sale .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN PROPN PROPN PROPN NOUN VERB ADP NOUN PROPN PROPN PROPN PROPN VERB PRON ADP DET NOUN ADP DET NOUN VERB VERB PART ADP NOUN NOUN
Holiday Which? says it is concerned that consumers are being kept in the dark about the links between travel agents and the tour operators.	0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PROPN PROPN VERB PRON VERB ADJ ADP NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN NOUN	▁Hol i day ▁Which ? ▁says ▁it ▁is ▁concerned ▁that ▁consumers ▁are ▁being ▁kept ▁in ▁the ▁dark ▁about ▁the ▁links ▁between ▁travel ▁agents ▁and ▁the ▁to ur ▁operators .	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB PRON VERB ADJ ADP NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN NOUN NOUN NOUN
to find out why she's being kept in the dark and	0 0 0 0 1 0 1 1 0 1 0	keep someone in the dark	figurative	combined-inflection	PART VERB PART ADV PRON VERB VERB ADP DET NOUN CCONJ	▁to ▁find ▁out ▁why ▁she ' s ▁being ▁kept ▁in ▁the ▁dark ▁and	0 0 0 0 1 1 1 0 1 1 0 1 0	PART VERB PART ADV PRON PRON PRON VERB VERB ADP DET NOUN CCONJ
‘ The national interest’ was also a rebuff to congressmen, who could not afford to be critical of it, even when they already knew it as grounds to keep them in the dark.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	keep someone in the dark	figurative	objective	PUNCT DET ADJ NOUN VERB ADV DET NOUN ADP NOUN NOUN VERB ADV VERB PART VERB ADJ ADP PRON ADV ADV PRON ADV VERB PRON ADP NOUN PART VERB PRON ADP DET NOUN	▁ ‘ ▁The ▁national ▁interest ’ ▁was ▁also ▁a ▁re b uff ▁to ▁congress men , ▁who ▁could ▁not ▁afford ▁to ▁be ▁critical ▁of ▁it , ▁even ▁when ▁they ▁already ▁knew ▁it ▁as ▁grounds ▁to ▁keep ▁them ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	PUNCT PUNCT DET ADJ NOUN NOUN VERB ADV DET NOUN NOUN NOUN ADP NOUN NOUN NOUN NOUN VERB ADV VERB PART VERB ADJ ADP PRON PRON ADV ADV PRON ADV VERB PRON ADP NOUN PART VERB PRON ADP DET NOUN NOUN
So we were kept in the dark about the radiation leaking from the shattered reactor at Chernobyl – and blowing in the winds over northern Europe.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	ADV PRON VERB VERB ADP DET NOUN ADP DET NOUN VERB ADP DET ADJ NOUN ADP PROPN PUNCT CCONJ VERB ADP DET NOUN ADP ADJ PROPN	▁So ▁we ▁were ▁kept ▁in ▁the ▁dark ▁about ▁the ▁radiation ▁leak ing ▁from ▁the ▁sh atter ed ▁reactor ▁at ▁Chernobyl ▁ – ▁and ▁blow ing ▁in ▁the ▁wind s ▁over ▁northern ▁Europe .	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP DET ADJ ADJ ADJ NOUN ADP PROPN PUNCT PUNCT CCONJ VERB VERB ADP DET NOUN NOUN ADP ADJ PROPN PROPN
Sometimes it looked very much as if the Japanese government itself was kept in the dark by officials from the Tokyo Electric ~ Power ~ Company ( TEPCO ), owners of the nuclear power ~ plants that are leaking radiation into land, sea, and sky.	0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	ADV PRON VERB ADV ADV ADP ADP DET ADJ NOUN PRON VERB VERB ADP DET NOUN ADP NOUN ADP DET PROPN PROPN PUNCT NOUN PUNCT PROPN PUNCT PROPN PUNCT NOUN ADP DET ADJ NOUN PUNCT NOUN ADJ VERB VERB NOUN ADP NOUN NOUN CCONJ NOUN	▁Sometimes ▁it ▁looked ▁very ▁much ▁as ▁if ▁the ▁Japanese ▁government ▁itself ▁was ▁kept ▁in ▁the ▁dark ▁by ▁officials ▁from ▁the ▁Tokyo ▁Electric ▁ ~ ▁Power ▁ ~ ▁Company ▁( ▁T EP CO ▁ ), ▁owners ▁of ▁the ▁nuclear ▁power ▁ ~ ▁plants ▁that ▁are ▁leak ing ▁radiation ▁into ▁land , ▁sea , ▁and ▁sky .	0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB ADV ADV ADP ADP DET ADJ NOUN PRON VERB VERB ADP DET NOUN ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT NOUN PUNCT PUNCT PROPN PUNCT PROPN PROPN PROPN PUNCT PUNCT NOUN ADP DET ADJ NOUN PUNCT PUNCT NOUN ADJ VERB VERB VERB NOUN ADP NOUN NOUN NOUN NOUN CCONJ NOUN NOUN
He's disgusted at the way the workforce has been kept in the dark about its future.	0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0	keep someone in the dark	figurative	combined-inflection	PRON VERB ADP DET NOUN DET NOUN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN	▁He ' s ▁dis gus ted ▁at ▁the ▁way ▁the ▁workforce ▁has ▁been ▁kept ▁in ▁the ▁dark ▁about ▁its ▁future .	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0	PRON PRON PRON VERB VERB VERB ADP DET NOUN DET NOUN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN
Fifth bottom is quite enough for the chairman and the manager to continue their policy of keeping the fans in the dark.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	keep someone in the dark	figurative	combined-inflection	ADJ NOUN VERB ADV ADJ ADP DET NOUN CCONJ DET NOUN PART VERB ADJ NOUN ADP VERB DET NOUN ADP DET NOUN	▁Fifth ▁bottom ▁is ▁quite ▁enough ▁for ▁the ▁chairman ▁and ▁the ▁manager ▁to ▁continue ▁their ▁policy ▁of ▁keeping ▁the ▁fans ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1	ADJ NOUN VERB ADV ADJ ADP DET NOUN CCONJ DET NOUN PART VERB ADJ NOUN ADP VERB DET NOUN ADP DET NOUN NOUN
' Woody tends to keep people in the dark about everything.	0 0 0 0 1 1 1 0 1 0 0	keep someone in the dark	figurative	combined-other	PUNCT NOUN VERB PART VERB NOUN ADP DET NOUN ADP NOUN	▁' ▁Wood y ▁tend s ▁to ▁keep ▁people ▁in ▁the ▁dark ▁about ▁everything .	0 0 0 0 0 0 1 1 1 0 1 0 0 0	PUNCT NOUN NOUN VERB VERB PART VERB NOUN ADP DET NOUN ADP NOUN NOUN
People living near the mosque at the junction of Princes Road and Bow Street say they have been kept in the dark about the reasons for recent building work.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	NOUN VERB ADP DET NOUN ADP DET NOUN ADP PROPN PROPN CCONJ PROPN PROPN VERB PRON VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN	▁People ▁living ▁near ▁the ▁mo s que ▁at ▁the ▁junction ▁of ▁Prince s ▁Road ▁and ▁B ow ▁Street ▁say ▁they ▁have ▁been ▁kept ▁in ▁the ▁dark ▁about ▁the ▁reasons ▁for ▁recent ▁building ▁work .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0	NOUN VERB ADP DET NOUN NOUN NOUN ADP DET NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB PRON VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN NOUN
He responded to claims that the Shetland public were being kept in the dark about the facts of the Braer grounding by saying that MAIB inquiries were held in private to allow people to speak more freely.	0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PRON VERB ADP NOUN ADP DET PROPN NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP DET PROPN VERB ADP VERB ADP PROPN NOUN VERB VERB ADP ADJ PART VERB NOUN PART VERB ADV ADV	▁He ▁responded ▁to ▁claims ▁that ▁the ▁Shetland ▁public ▁were ▁being ▁kept ▁in ▁the ▁dark ▁about ▁the ▁facts ▁of ▁the ▁Bra er ▁ground ing ▁by ▁saying ▁that ▁MAI B ▁inquiries ▁were ▁held ▁in ▁private ▁to ▁allow ▁people ▁to ▁speak ▁more ▁freely .	0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP NOUN ADP DET PROPN NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN VERB VERB ADP VERB ADP PROPN PROPN NOUN VERB VERB ADP ADJ PART VERB NOUN PART VERB ADV ADV ADV
Holiday Which? says it is concerned that consumers are being kept in the dark about the links between travel agents and the tour operators.	0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PROPN PROPN VERB PRON VERB ADJ ADP NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN NOUN	▁Hol i day ▁Which ? ▁says ▁it ▁is ▁concerned ▁that ▁consumers ▁are ▁being ▁kept ▁in ▁the ▁dark ▁about ▁the ▁links ▁between ▁travel ▁agents ▁and ▁the ▁to ur ▁operators .	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB PRON VERB ADJ ADP NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN NOUN NOUN NOUN
‘ I admit that the family wanted to keep you in the dark.	0 0 0 0 0 0 0 0 1 1 1 0 1	keep someone in the dark	figurative	objective	PUNCT PRON VERB ADP DET NOUN VERB PART VERB PRON ADP DET NOUN	▁ ‘ ▁I ▁admit ▁that ▁the ▁family ▁wanted ▁to ▁keep ▁you ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	PUNCT PUNCT PRON VERB ADP DET NOUN VERB PART VERB PRON ADP DET NOUN NOUN
It was true, then : for reasons of her own, Heather had kept Cunningham in the dark.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	keep someone in the dark	figurative	combined-inflection	PRON VERB ADJ ADV PUNCT ADP NOUN ADP ADJ ADJ PROPN VERB VERB PROPN ADP DET NOUN	▁It ▁was ▁true , ▁then ▁ : ▁for ▁reasons ▁of ▁her ▁own , ▁He ather ▁had ▁kept ▁C unning ham ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1	PRON VERB ADJ ADJ ADV PUNCT PUNCT ADP NOUN ADP ADJ ADJ ADJ PROPN PROPN VERB VERB PROPN PROPN PROPN ADP DET NOUN NOUN
But the more bizarre fact about the Chernobyl disaster, we now know, is that Mikhail ~ Gorbachev, General ~ Secretary of the Communist ~ Party of the Soviet ~ Union, was also kept in the dark about the magnitude of the disaster.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	CCONJ DET ADV ADJ NOUN ADP DET PROPN NOUN PRON ADV VERB VERB ADP PROPN PUNCT PROPN PROPN PUNCT PROPN ADP DET PROPN PUNCT PROPN ADP DET PROPN PUNCT PROPN VERB ADV VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN	▁But ▁the ▁more ▁bi zar re ▁fact ▁about ▁the ▁Chernobyl ▁disaster , ▁we ▁now ▁know , ▁is ▁that ▁Mi kh ail ▁ ~ ▁G orbach ev , ▁General ▁ ~ ▁Secretary ▁of ▁the ▁Commun ist ▁ ~ ▁Party ▁of ▁the ▁Soviet ▁ ~ ▁Union , ▁was ▁also ▁kept ▁in ▁the ▁dark ▁about ▁the ▁magnitude ▁of ▁the ▁disaster .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	CCONJ DET ADV ADJ ADJ ADJ NOUN ADP DET PROPN NOUN NOUN PRON ADV VERB VERB VERB ADP PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT PROPN ADP DET PROPN PROPN PUNCT PUNCT PROPN ADP DET PROPN PUNCT PUNCT PROPN PROPN VERB ADV VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN
It wasn't right for a man in his position to be kept in the dark.	0 0 0 0 0 1 0 0 0 0 0 1 1 0 1	keep someone in the dark	figurative	combined-inflection	PRON VERB ADJ ADP DET NOUN ADP ADJ NOUN PART VERB VERB ADP DET NOUN	▁It ▁was n ' t ▁right ▁for ▁a ▁man ▁in ▁his ▁position ▁to ▁be ▁kept ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1	PRON VERB VERB VERB VERB ADJ ADP DET NOUN ADP ADJ NOUN PART VERB VERB ADP DET NOUN NOUN
