Well I can run three miles.	0 0 0 1 0 1	run a mile	literal	determiner-broad	INTJ PRON VERB VERB NUM NOUN	▁Well ▁I ▁can ▁run ▁three ▁miles .	0 0 0 1 0 1 1	INTJ PRON VERB VERB NUM NOUN NOUN
A further six months and I could run thirty miles with little stiffness afterwards.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	run a mile	literal	determiner-broad	DET ADJ NUM NOUN CCONJ PRON VERB VERB NUM NOUN ADP ADJ NOUN ADV	▁A ▁further ▁six ▁months ▁and ▁I ▁could ▁run ▁thirty ▁miles ▁with ▁little ▁stiffness ▁afterwards .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	DET ADJ NUM NOUN CCONJ PRON VERB VERB NUM NOUN ADP ADJ NOUN ADV ADV
' I used to run two or three miles — now I do six or seven and my Leeds trainer Terry O'Neill struggles to keep up on his mountain bike that has 12 gears! '	0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	PUNCT PRON VERB PART VERB NUM CCONJ NUM NOUN PUNCT ADV PRON VERB NUM CCONJ NUM CCONJ ADJ PROPN NOUN PROPN PROPN VERB PART VERB PART ADP ADJ NOUN NOUN ADJ VERB NUM NOUN PUNCT	▁' ▁I ▁used ▁to ▁run ▁two ▁or ▁three ▁miles ▁ — ▁now ▁I ▁do ▁six ▁or ▁seven ▁and ▁my ▁Le ed s ▁train er ▁Terr y ▁O ' Neil l ▁struggle s ▁to ▁keep ▁up ▁on ▁his ▁mountain ▁bi ke ▁that ▁has ▁12 ▁gears ! ▁'	0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB PART VERB NUM CCONJ NUM NOUN PUNCT PUNCT ADV PRON VERB NUM CCONJ NUM CCONJ ADJ PROPN PROPN PROPN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB PART VERB PART ADP ADJ NOUN NOUN NOUN ADJ VERB NUM NOUN NOUN PUNCT
The biggest risk factor of all is an inherited predisposition, which is why life insurance salesmen run a mile when they hear that your dad died of a coronary at 35.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	figurative	identical	DET ADJ NOUN NOUN ADP DET VERB DET VERB NOUN ADJ VERB ADV NOUN NOUN NOUN VERB DET NOUN ADV PRON VERB ADP ADJ NOUN VERB ADP DET ADJ ADP NUM	▁The ▁biggest ▁risk ▁factor ▁of ▁all ▁is ▁an ▁inherited ▁predispos ition , ▁which ▁is ▁why ▁life ▁insurance ▁sales men ▁run ▁a ▁ mile ▁when ▁they ▁hear ▁that ▁your ▁da d ▁died ▁of ▁a ▁ coronary ▁at ▁35 .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN ADP DET VERB DET VERB NOUN NOUN NOUN ADJ VERB ADV NOUN NOUN NOUN NOUN VERB DET NOUN NOUN ADV PRON VERB ADP ADJ NOUN NOUN VERB ADP DET ADJ ADJ ADP NUM NUM
For hundreds of years, human ~ beings were convinced that it was impossible to run a mile in less than four minutes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	run a mile	literal	identical	ADP NOUN ADP NOUN ADJ PUNCT NOUN VERB VERB ADP PRON VERB ADJ PART VERB DET NOUN ADP ADJ ADP NUM NOUN	▁For ▁hundreds ▁of ▁years , ▁human ▁ ~ ▁beings ▁were ▁convinced ▁that ▁it ▁was ▁impossible ▁to ▁run ▁a ▁ mile ▁in ▁less ▁than ▁four ▁minutes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	ADP NOUN ADP NOUN NOUN ADJ PUNCT PUNCT NOUN VERB VERB ADP PRON VERB ADJ PART VERB DET NOUN NOUN ADP ADJ ADP NUM NOUN NOUN
You could run a mile, but you 're too disciplined and responsible for that.	0 0 1 0 1 0 0 0 0 0 0 0 0 0	run a mile	figurative	identical	PRON VERB VERB DET NOUN CCONJ PRON VERB ADV ADJ CCONJ ADJ ADP DET	▁You ▁could ▁run ▁a ▁ mile , ▁but ▁you ▁' re ▁too ▁discipline d ▁and ▁responsible ▁for ▁that .	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET NOUN NOUN NOUN CCONJ PRON VERB VERB ADV ADJ ADJ CCONJ ADJ ADP DET DET
These shoes have run 2500 miles!	0 0 0 1 0 1	run a mile	literal	determiner-broad	DET NOUN VERB VERB NUM NOUN	▁These ▁shoes ▁have ▁run ▁2500 ▁miles !	0 0 0 1 0 1 1	DET NOUN VERB VERB NUM NOUN NOUN
Initially they both showed signs of running a mile and denying all knowledge, but by cunningly playing on their male pride, their desire to believe they were ‘ a better man’ than their rival, she made each one mad with jealousy of the other, and finally had her pick of which she preferred, leading him up the aisle of the Methodist Chapel well before the bulge began to show.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	figurative	inflection	ADV PRON DET VERB NOUN ADP VERB DET NOUN CCONJ VERB DET NOUN CCONJ ADP ADV VERB ADP ADJ ADJ NOUN ADJ NOUN PART VERB PRON VERB PRON DET ADJ NOUN ADP ADJ NOUN PRON VERB DET NUM ADJ ADP NOUN ADP DET ADJ CCONJ ADV VERB ADJ NOUN ADP ADJ PRON VERB VERB PRON ADP DET NOUN ADP DET PROPN PROPN ADV ADP DET NOUN VERB PART VERB	▁Initially ▁they ▁both ▁showed ▁signs ▁of ▁running ▁a ▁ mile ▁and ▁deny ing ▁all ▁knowledge , ▁but ▁by ▁c unning ly ▁playing ▁on ▁their ▁male ▁pride , ▁their ▁desire ▁to ▁believe ▁they ▁were ▁ ‘ ▁a ▁better ▁man ’ ▁than ▁their ▁rival , ▁she ▁made ▁each ▁one ▁mad ▁with ▁jealous y ▁of ▁the ▁other , ▁and ▁finally ▁had ▁her ▁pick ▁of ▁which ▁she ▁preferred , ▁leading ▁him ▁up ▁the ▁a is le ▁of ▁the ▁Method ist ▁Chap el ▁well ▁before ▁the ▁ bul ge ▁began ▁to ▁show .	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON DET VERB NOUN ADP VERB DET NOUN NOUN CCONJ VERB VERB DET NOUN NOUN CCONJ ADP ADV ADV ADV VERB ADP ADJ ADJ NOUN NOUN ADJ NOUN PART VERB PRON VERB PRON PRON DET ADJ NOUN NOUN ADP ADJ NOUN NOUN PRON VERB DET NUM ADJ ADP NOUN NOUN ADP DET ADJ ADJ CCONJ ADV VERB ADJ NOUN ADP ADJ PRON VERB VERB VERB PRON ADP DET NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN ADV ADP DET NOUN NOUN NOUN VERB PART VERB VERB
‘ She would have run a mile,’ said Robert.	0 0 0 0 1 0 1 0 0	run a mile	literal	dashes	PUNCT PRON VERB VERB VERB DET NOUN VERB PROPN	▁ ‘ ▁She ▁would ▁have ▁run ▁a ▁ mile , ’ ▁said ▁Robert .	0 0 0 0 0 1 0 1 1 1 1 0 0 0	PUNCT PUNCT PRON VERB VERB VERB DET NOUN NOUN NOUN NOUN VERB PROPN PROPN
It also, in those days was mileage for the tyres was paid on the number of miles run per tyre, so at the end of the month you could record, you knew what tyres were on a certain bus, you knew of how many miles that bus had done, so you recorded that particular tyre on that bus had run so many miles and it was that that we paid for our tyres that way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	PRON ADV ADP DET NOUN VERB NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP NOUN VERB ADP NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB PRON VERB NOUN NOUN VERB ADP DET ADJ NOUN PRON VERB ADP ADV ADJ NOUN ADP NOUN VERB VERB ADV PRON VERB ADP ADJ NOUN ADP DET NOUN VERB VERB ADV ADJ NOUN CCONJ PRON VERB ADP ADP PRON VERB ADP ADJ NOUN DET NOUN	▁It ▁also , ▁in ▁those ▁days ▁was ▁ mile age ▁for ▁the ▁tyres ▁was ▁paid ▁on ▁the ▁number ▁of ▁miles ▁run ▁per ▁tyre , ▁so ▁at ▁the ▁end ▁of ▁the ▁month ▁you ▁could ▁record , ▁you ▁knew ▁what ▁tyres ▁were ▁on ▁a ▁certain ▁bus , ▁you ▁knew ▁of ▁how ▁many ▁miles ▁that ▁bus ▁had ▁done , ▁so ▁you ▁recorded ▁that ▁particular ▁tyre ▁on ▁that ▁bus ▁had ▁run ▁so ▁many ▁miles ▁and ▁it ▁was ▁that ▁that ▁we ▁paid ▁for ▁our ▁tyres ▁that ▁way .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV ADV ADP DET NOUN VERB NOUN NOUN NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP NOUN VERB ADP NOUN NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB VERB PRON VERB NOUN NOUN VERB ADP DET ADJ NOUN NOUN PRON VERB ADP ADV ADJ NOUN ADP NOUN VERB VERB VERB ADV PRON VERB ADP ADJ NOUN ADP DET NOUN VERB VERB ADV ADJ NOUN CCONJ PRON VERB ADP ADP PRON VERB ADP ADJ NOUN DET NOUN NOUN
These shoes have run 25,000 miles!	0 0 0 1 0 1	run a mile	literal	combined-inflection	DET NOUN VERB VERB NUM NOUN	▁These ▁shoes ▁have ▁run ▁2 5,000 ▁miles !	0 0 0 1 0 0 1 1	DET NOUN VERB VERB NUM NUM NOUN NOUN
considering her exercise routine. She runs eight miles a day around Richmond Park, goes jazz dancing three times a week, and hill running regularly.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	VERB ADJ NOUN NOUN PRON VERB NUM NOUN DET NOUN ADP PROPN PROPN VERB NOUN VERB NUM NOUN DET NOUN CCONJ NOUN VERB ADV	▁considering ▁her ▁exercise ▁routine . ▁She ▁runs ▁eight ▁miles ▁a ▁day ▁around ▁R ich mond ▁Park , ▁goes ▁ja zz ▁d ancing ▁three ▁times ▁a ▁week , ▁and ▁hill ▁running ▁regularly .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADJ NOUN NOUN NOUN PRON VERB NUM NOUN DET NOUN ADP PROPN PROPN PROPN PROPN PROPN VERB NOUN NOUN VERB VERB NUM NOUN DET NOUN NOUN CCONJ NOUN VERB ADV ADV
Well you 'd run a mile	0 0 0 1 0 1	run a mile	figurative	identical	INTJ PRON VERB VERB DET NOUN	▁Well ▁you ▁' d ▁run ▁a ▁ mile	0 0 0 0 1 0 1 1	INTJ PRON VERB VERB VERB DET NOUN NOUN
I run 45 miles a day, drink Peruvian spring water an ' live on a diet of nuts.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	determiner-broad	PRON VERB NUM NOUN DET NOUN VERB ADJ NOUN NOUN DET PUNCT NOUN ADP DET NOUN ADP NOUN	▁I ▁run ▁45 ▁miles ▁a ▁day , ▁drink ▁Peru vian ▁spring ▁water ▁an ▁' ▁live ▁on ▁a ▁diet ▁of ▁nuts .	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NUM NOUN DET NOUN NOUN VERB ADJ ADJ NOUN NOUN DET PUNCT NOUN ADP DET NOUN ADP NOUN NOUN
You have to understand why Larry Parks runs live miles to work, why Fiona Isaacs is always smiling and Barry Greystone is always failing.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	PRON VERB PART VERB ADV PROPN PROPN VERB VERB NOUN ADP VERB ADV PROPN PROPN VERB ADV VERB CCONJ PROPN PROPN VERB ADV VERB	▁You ▁have ▁to ▁understand ▁why ▁L arry ▁Park s ▁runs ▁live ▁miles ▁to ▁work , ▁why ▁Fi ona ▁Is a ac s ▁is ▁always ▁s mil ing ▁and ▁Bar ry ▁Gre y stone ▁is ▁always ▁failing .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB ADV PROPN PROPN PROPN PROPN VERB VERB NOUN ADP VERB VERB ADV PROPN PROPN PROPN PROPN PROPN PROPN VERB ADV VERB VERB VERB CCONJ PROPN PROPN PROPN PROPN PROPN VERB ADV VERB VERB
Tell her we all do the breast - stroke, refuse at water jumps, hit the bullseye once in a blue moon and get blisters when we run more than half a mile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1	run a mile	literal	insertion-other	VERB PRON PRON DET VERB DET NOUN PUNCT NOUN VERB ADP NOUN NOUN VERB DET NOUN ADV ADP DET ADJ NOUN CCONJ VERB NOUN ADV PRON VERB ADJ ADP ADJ DET NOUN	▁Tell ▁her ▁we ▁all ▁do ▁the ▁breast ▁- ▁stroke , ▁refuse ▁at ▁water ▁jump s , ▁hit ▁the ▁bull s ey e ▁once ▁in ▁a ▁blue ▁mo on ▁and ▁get ▁blisters ▁when ▁we ▁run ▁more ▁than ▁half ▁a ▁ mile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1	VERB PRON PRON DET VERB DET NOUN PUNCT NOUN NOUN VERB ADP NOUN NOUN NOUN NOUN VERB DET NOUN NOUN NOUN NOUN ADV ADP DET ADJ NOUN NOUN CCONJ VERB NOUN ADV PRON VERB ADJ ADP ADJ DET NOUN NOUN NOUN
