The wind that you experience blowing in your face when moving.	0 0 0 0 0 0 1 1 1 0 0	in your face	literal	identical	DET NOUN ADJ PRON VERB VERB ADP ADJ NOUN ADV VERB	▁The ▁wind ▁that ▁you ▁experience ▁blow ing ▁in ▁your ▁face ▁when ▁moving .	0 0 0 0 0 0 0 1 1 1 0 0 0	DET NOUN ADJ PRON VERB VERB VERB ADP ADJ NOUN ADV VERB VERB
By late morning the air was on fire ; to open the door on to the roof terrace was to feel in your face a blast of heat as strong as that from a blazing kiln.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	in your face	literal	identical	ADP ADJ NOUN DET NOUN VERB ADP NOUN PUNCT PART VERB DET NOUN ADP ADP DET ADJ NOUN VERB PART VERB ADP ADJ NOUN DET NOUN ADP NOUN ADV ADJ ADP DET ADP DET VERB NOUN	▁By ▁late ▁morning ▁the ▁air ▁was ▁on ▁fire ▁ ; ▁to ▁open ▁the ▁door ▁on ▁to ▁the ▁roof ▁ter race ▁was ▁to ▁feel ▁in ▁your ▁face ▁a ▁blast ▁of ▁heat ▁as ▁strong ▁as ▁that ▁from ▁a ▁bl az ing ▁kiln .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN DET NOUN VERB ADP NOUN PUNCT PUNCT PART VERB DET NOUN ADP ADP DET ADJ NOUN NOUN VERB PART VERB ADP ADJ NOUN DET NOUN ADP NOUN ADV ADJ ADP DET ADP DET VERB VERB VERB NOUN NOUN
For example, the mice stop gnawing, scamper down your arm, cock their legs and piss in your face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in your face	literal	identical	ADP NOUN DET NOUN VERB VERB VERB ADV ADJ NOUN VERB ADJ NOUN CCONJ VERB ADP ADJ NOUN	▁For ▁example , ▁the ▁mice ▁stop ▁ gna wing , ▁sca mper ▁down ▁your ▁arm , ▁ cock ▁their ▁legs ▁and ▁p is s ▁in ▁your ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP NOUN NOUN DET NOUN VERB VERB VERB VERB VERB VERB VERB ADV ADJ NOUN NOUN VERB VERB ADJ NOUN CCONJ VERB VERB VERB ADP ADJ NOUN NOUN
It's still an essentially traditional Strat sound, but with just that extra bit of in - your - face mid - range bite to drive the amp harder.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0	in your face	figurative	dashes	PRON ADV DET ADV ADJ PROPN NOUN CCONJ ADP ADV DET ADJ NOUN ADP ADP PUNCT ADJ PUNCT NOUN ADJ PUNCT NOUN NOUN PART VERB DET NOUN ADV	▁It ' s ▁still ▁an ▁essentially ▁traditional ▁Stra t ▁sound , ▁but ▁with ▁just ▁that ▁extra ▁bit ▁of ▁in ▁- ▁your ▁- ▁face ▁mid ▁- ▁range ▁bit e ▁to ▁drive ▁the ▁a mp ▁harder .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON ADV DET ADV ADJ PROPN PROPN NOUN NOUN CCONJ ADP ADV DET ADJ NOUN ADP ADP PUNCT ADJ PUNCT NOUN ADJ PUNCT NOUN NOUN NOUN PART VERB DET NOUN NOUN ADV ADV
ONE THING Smashing Pumpkins have in common with shoe - gazers — they have their fingers in many pies — in the way the vocals aren't necessarily in - your - face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1	in your face	figurative	dashes	NUM NOUN PROPN NOUN VERB ADP ADJ ADP NOUN PUNCT NOUN PUNCT PRON VERB ADJ NOUN ADP ADJ NOUN PUNCT ADP DET NOUN DET NOUN VERB ADV ADP PUNCT ADJ PUNCT NOUN	▁ONE ▁T H ING ▁S ma shing ▁Pumpkin s ▁have ▁in ▁common ▁with ▁shoe ▁- ▁g az ers ▁ — ▁they ▁have ▁their ▁fingers ▁in ▁many ▁p ies ▁ — ▁in ▁the ▁way ▁the ▁voca ls ▁are n ' t ▁necessarily ▁in ▁- ▁your ▁- ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1	NUM NOUN NOUN NOUN PROPN PROPN PROPN NOUN NOUN VERB ADP ADJ ADP NOUN PUNCT NOUN NOUN NOUN PUNCT PUNCT PRON VERB ADJ NOUN ADP ADJ NOUN NOUN PUNCT PUNCT ADP DET NOUN DET NOUN NOUN VERB VERB VERB VERB ADV ADP PUNCT ADJ PUNCT NOUN NOUN
American Kit Hollerbach's in - your - face humour plays both sides of the pond.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	in your face	figurative	dashes	PROPN PROPN PROPN ADP PUNCT ADJ PUNCT NOUN NOUN VERB DET NOUN ADP DET NOUN	▁American ▁K it ▁Hol ler bach ' s ▁in ▁- ▁your ▁- ▁face ▁h umour ▁plays ▁both ▁sides ▁of ▁the ▁pond .	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP PUNCT ADJ PUNCT NOUN NOUN NOUN VERB DET NOUN ADP DET NOUN NOUN
Which is not to say that popular humour in the States is particularly nice : in recent years there has been a great demand for in - your - face racist, ethnic and misogynist stuff, as typified on the respectable side by Jackie Mason and on the unholy by Andrew Dice Clay.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	figurative	dashes	ADJ VERB ADV PART VERB ADP ADJ NOUN ADP DET PROPN VERB ADV ADJ PUNCT ADP ADJ NOUN ADV VERB VERB DET ADJ NOUN ADP ADP PUNCT ADJ PUNCT NOUN NOUN ADJ CCONJ ADJ NOUN ADP VERB ADP DET ADJ NOUN ADP PROPN PROPN CCONJ ADP DET NOUN ADP PROPN PROPN PROPN	▁Which ▁is ▁not ▁to ▁say ▁that ▁popular ▁h umour ▁in ▁the ▁States ▁is ▁particularly ▁nice ▁ : ▁in ▁recent ▁years ▁there ▁has ▁been ▁a ▁great ▁demand ▁for ▁in ▁- ▁your ▁- ▁face ▁racis t , ▁ethnic ▁and ▁mis og yn ist ▁stuff , ▁as ▁ typ ified ▁on ▁the ▁respect able ▁side ▁by ▁Jack ie ▁Mas on ▁and ▁on ▁the ▁un ho ly ▁by ▁Andrew ▁D ice ▁C lay .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ VERB ADV PART VERB ADP ADJ NOUN NOUN ADP DET PROPN VERB ADV ADJ PUNCT PUNCT ADP ADJ NOUN ADV VERB VERB DET ADJ NOUN ADP ADP PUNCT ADJ PUNCT NOUN NOUN NOUN NOUN ADJ CCONJ ADJ ADJ ADJ ADJ NOUN NOUN ADP VERB VERB VERB ADP DET ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN CCONJ ADP DET NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN
The first truly mind - boggling band to come straight outta Ipswich, BLEACH are subversive, anti - artwank, cathartic and in - your - face with a FULL STOP.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	in your face	figurative	dashes	DET ADJ ADV NOUN PUNCT VERB NOUN PART VERB ADV NOUN PROPN PROPN VERB ADJ ADV PUNCT NOUN ADJ CCONJ ADP PUNCT ADJ PUNCT NOUN ADP DET ADJ NOUN	▁The ▁first ▁truly ▁mind ▁- ▁bog g ling ▁band ▁to ▁come ▁straight ▁out ta ▁I ps wich , ▁ BLE ACH ▁are ▁sub vers ive , ▁anti ▁- ▁art wan k , ▁cat har tic ▁and ▁in ▁- ▁your ▁- ▁face ▁with ▁a ▁FU LL ▁STO P .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	DET ADJ ADV NOUN PUNCT VERB VERB VERB NOUN PART VERB ADV NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADJ ADJ ADJ ADJ ADV PUNCT NOUN NOUN NOUN NOUN ADJ ADJ ADJ CCONJ ADP PUNCT ADJ PUNCT NOUN ADP DET ADJ ADJ NOUN NOUN NOUN
Everything is just totally dry and in your face and I like that.’	0 0 0 0 0 0 1 1 1 0 0 0 0	in your face	figurative	identical	NOUN VERB ADV ADV ADJ CCONJ ADP ADJ NOUN CCONJ PRON VERB PUNCT	▁Everything ▁is ▁just ▁totally ▁dry ▁and ▁in ▁your ▁face ▁and ▁I ▁like ▁that . ’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	NOUN VERB ADV ADV ADJ CCONJ ADP ADJ NOUN CCONJ PRON VERB PUNCT PUNCT PUNCT
Where this wins over the dancefloor bandwagon jumpers is in its upfront and in your face approach rather than being docile.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	in your face	figurative	identical	ADV DET VERB ADP DET ADJ NOUN NOUN VERB ADP ADJ NOUN CCONJ ADP ADJ NOUN NOUN ADV ADP VERB ADJ	▁Where ▁this ▁win s ▁over ▁the ▁dance floor ▁band w agon ▁jump ers ▁is ▁in ▁its ▁up front ▁and ▁in ▁your ▁face ▁approach ▁rather ▁than ▁being ▁doc ile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	ADV DET VERB VERB ADP DET ADJ ADJ NOUN NOUN NOUN NOUN NOUN VERB ADP ADJ NOUN NOUN CCONJ ADP ADJ NOUN NOUN ADV ADP VERB ADJ ADJ ADJ
‘ Still getting angry when someone throws some truth in your face?’ he jeered.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	in your face	figurative	dashes	PUNCT ADV VERB ADJ ADV NOUN VERB DET NOUN ADP ADJ NOUN PRON VERB	▁ ‘ ▁Still ▁gett ing ▁angry ▁when ▁someone ▁throw s ▁some ▁truth ▁in ▁your ▁face ? ’ ▁he ▁je ered .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	PUNCT PUNCT ADV VERB VERB ADJ ADV NOUN VERB VERB DET NOUN ADP ADJ NOUN NOUN NOUN PRON VERB VERB VERB
J is angry, but he realises that you haven't got to get totally in - your - face to get a serious message across.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	in your face	figurative	dashes	PROPN VERB ADJ CCONJ PRON VERB ADP PRON VERB VERB PART VERB ADV ADP PUNCT ADJ PUNCT NOUN PART VERB DET ADJ NOUN ADP	▁J ▁is ▁angry , ▁but ▁he ▁realise s ▁that ▁you ▁have n ' t ▁got ▁to ▁get ▁totally ▁in ▁- ▁your ▁- ▁face ▁to ▁get ▁a ▁serious ▁message ▁across .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	PROPN VERB ADJ ADJ CCONJ PRON VERB VERB ADP PRON VERB VERB VERB VERB VERB PART VERB ADV ADP PUNCT ADJ PUNCT NOUN PART VERB DET ADJ NOUN ADP ADP
‘ It is kind in you to make such a pretence, but I saw the compassion in your face, and I am grateful for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	in your face	literal	identical	PUNCT PRON VERB ADV ADV PRON PART VERB ADJ DET NOUN CCONJ PRON VERB DET NOUN ADP ADJ NOUN CCONJ PRON VERB ADJ ADP PRON	▁ ‘ ▁It ▁is ▁kind ▁in ▁you ▁to ▁make ▁such ▁a ▁pre tence , ▁but ▁I ▁saw ▁the ▁compassion ▁in ▁your ▁face , ▁and ▁I ▁am ▁grateful ▁for ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB ADV ADV PRON PART VERB ADJ DET NOUN NOUN NOUN CCONJ PRON VERB DET NOUN ADP ADJ NOUN NOUN CCONJ PRON VERB ADJ ADP PRON PRON
