Perhaps he could produce chapter and verse evidence of such incidents.	0 0 0 0 1 1 1 0 0 0 0	chapter and verse	figurative	identical	ADV PRON VERB VERB NOUN CCONJ NOUN NOUN ADP ADJ NOUN	▁Perhaps ▁he ▁could ▁produce ▁chapter ▁and ▁ verse ▁evidence ▁of ▁such ▁incidents .	0 0 0 0 1 1 1 1 0 0 0 0 0	ADV PRON VERB VERB NOUN CCONJ NOUN NOUN NOUN ADP ADJ NOUN NOUN
The message behind ‘ How to open and operate a small restaurant’— a series of six lectures in Chester organised by Leith's School of Food and Wine — may well be chapter and verse on ‘ how not to’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	chapter and verse	figurative	identical	DET NOUN ADP PRON ADV PART VERB CCONJ VERB DET NOUN NOUN DET NOUN ADP NUM NOUN ADP PROPN VERB ADP PROPN PROPN ADP PROPN CCONJ PROPN PUNCT VERB ADV VERB NOUN CCONJ NOUN ADP PUNCT ADV ADV VERB	▁The ▁message ▁behind ▁ ‘ ▁How ▁to ▁open ▁and ▁operate ▁a ▁small ▁restaurant ’— ▁a ▁series ▁of ▁six ▁lecture s ▁in ▁Chest er ▁organised ▁by ▁Le ith ' s ▁School ▁of ▁Food ▁and ▁Wine ▁ — ▁may ▁well ▁be ▁chapter ▁and ▁ verse ▁on ▁ ‘ ▁how ▁not ▁to ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	DET NOUN ADP PRON PRON ADV PART VERB CCONJ VERB DET NOUN NOUN NOUN DET NOUN ADP NUM NOUN NOUN ADP PROPN PROPN VERB ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN CCONJ PROPN PUNCT PUNCT VERB ADV VERB NOUN CCONJ NOUN NOUN ADP PUNCT PUNCT ADV ADV VERB VERB VERB
Trust the colonel to give him chapter and verse.	0 0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	VERB DET NOUN PART VERB PRON NOUN CCONJ NOUN	▁Trust ▁the ▁colon el ▁to ▁give ▁him ▁chapter ▁and ▁ verse .	0 0 0 0 0 0 0 1 1 1 1 1	VERB DET NOUN NOUN PART VERB PRON NOUN CCONJ NOUN NOUN NOUN
The ‘ sources’ give chapter and verse for everything, pre and post marriage : her ambition, his indecision, the clothes, rows, sexual proclivities, confidants et al.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	identical	DET PRON NOUN VERB NOUN CCONJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN PUNCT ADJ NOUN ADJ NOUN DET NOUN NOUN ADJ NOUN NOUN PROPN PROPN	▁The ▁ ‘ ▁sources ’ ▁give ▁chapter ▁and ▁ verse ▁for ▁everything , ▁pre ▁and ▁post ▁marriage ▁ : ▁her ▁ambition , ▁his ▁in decision , ▁the ▁clothes , ▁rows , ▁sexual ▁pro cl iv ities , ▁confi d ants ▁et ▁al .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PRON PRON NOUN NOUN VERB NOUN CCONJ NOUN NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT PUNCT ADJ NOUN NOUN ADJ NOUN NOUN NOUN DET NOUN NOUN NOUN NOUN ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN PROPN PROPN PROPN
Whenever she felt nervous she had a tendency to chatter, but there was no need to give chapter and verse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	ADV PRON VERB ADJ PRON VERB DET NOUN PART NOUN CCONJ ADV VERB DET NOUN PART VERB NOUN CCONJ NOUN	▁Whenever ▁she ▁felt ▁nervous ▁she ▁had ▁a ▁tendency ▁to ▁ch atter , ▁but ▁there ▁was ▁no ▁need ▁to ▁give ▁chapter ▁and ▁ verse .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV PRON VERB ADJ PRON VERB DET NOUN PART NOUN NOUN NOUN CCONJ ADV VERB DET NOUN PART VERB NOUN CCONJ NOUN NOUN NOUN
Certainly we shouldn't re - issue anything until after the next meeting but erm, having the procedures we have finished with so far, in their latest form probably helpful, even if it's only you whose has the master copy Simon right so when we need some reference, we have got that chapter and verse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	ADV PRON VERB VERB PUNCT VERB NOUN ADP ADP DET ADJ NOUN CCONJ NOUN VERB DET NOUN PRON VERB VERB ADP ADV ADV ADP ADJ ADJ NOUN ADV ADJ ADV ADP PRON ADV PRON ADJ VERB DET NOUN NOUN PROPN ADV ADV ADV PRON VERB DET NOUN PRON VERB VERB DET NOUN CCONJ NOUN	▁Certainly ▁we ▁should n ' t ▁re ▁- ▁issue ▁anything ▁until ▁after ▁the ▁next ▁meeting ▁but ▁er m , ▁having ▁the ▁procedures ▁we ▁have ▁finished ▁with ▁so ▁far , ▁in ▁their ▁latest ▁form ▁probably ▁helpful , ▁even ▁if ▁it ' s ▁only ▁you ▁whose ▁has ▁the ▁master ▁copy ▁Simon ▁right ▁so ▁when ▁we ▁need ▁some ▁reference , ▁we ▁have ▁got ▁that ▁chapter ▁and ▁ verse .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV PRON VERB VERB VERB VERB VERB PUNCT VERB NOUN ADP ADP DET ADJ NOUN CCONJ NOUN NOUN NOUN VERB DET NOUN PRON VERB VERB ADP ADV ADV ADV ADP ADJ ADJ NOUN ADV ADJ ADJ ADV ADP PRON PRON PRON ADV PRON ADJ VERB DET NOUN NOUN PROPN ADV ADV ADV PRON VERB DET NOUN NOUN PRON VERB VERB DET NOUN CCONJ NOUN NOUN NOUN
Like, for instance, chapter and verse here.	0 0 0 1 1 1 0	chapter and verse	figurative	identical	INTJ ADP NOUN NOUN CCONJ NOUN ADV	▁Like , ▁for ▁instance , ▁chapter ▁and ▁ verse ▁here .	0 0 0 0 0 1 1 1 1 0 0	INTJ INTJ ADP NOUN NOUN NOUN CCONJ NOUN NOUN ADV ADV
He then goes on to list and classify a lengthy and diverse list : visions, dreams, voices, discussions, parables, speeches, proverbs, rituals, laws, songs, drama, poetry, letters, ciphers, anthologies, history, records and stories, and for each he gives chapter and verse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	chapter and verse	figurative	identical	PRON ADV VERB PART PART VERB CCONJ VERB DET ADJ CCONJ ADJ NOUN PUNCT NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN CCONJ ADP DET PRON VERB NOUN CCONJ NOUN	▁He ▁then ▁goes ▁on ▁to ▁list ▁and ▁classify ▁a ▁lengthy ▁and ▁diverse ▁list ▁ : ▁visions , ▁dreams , ▁voice s , ▁discussions , ▁ parable s , ▁speeches , ▁prove rb s , ▁ritual s , ▁laws , ▁so ng s , ▁drama , ▁poet ry , ▁letters , ▁ci pher s , ▁an th ologie s , ▁history , ▁records ▁and ▁stories , ▁and ▁for ▁each ▁he ▁gives ▁chapter ▁and ▁ verse .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON ADV VERB PART PART VERB CCONJ VERB DET ADJ CCONJ ADJ NOUN PUNCT PUNCT NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN CCONJ ADP DET PRON VERB NOUN CCONJ NOUN NOUN NOUN
A couple more re verses er in Two Corinthians, five fifteen, and one John chapter two and verse two.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	chapter and verse	literal	insertion-other	DET NOUN ADJ VERB ADP INTJ ADP NUM PROPN NUM NUM CCONJ NUM PROPN NOUN NUM CCONJ NOUN NUM	▁A ▁couple ▁more ▁re ▁ verse s ▁er ▁in ▁Two ▁Cor in th ians , ▁five ▁fifteen , ▁and ▁one ▁John ▁chapter ▁two ▁and ▁ verse ▁two .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0	DET NOUN ADJ VERB ADP ADP ADP INTJ ADP NUM PROPN PROPN PROPN PROPN PROPN NUM NUM NUM CCONJ NUM PROPN NOUN NUM CCONJ NOUN NOUN NUM NUM
They would have dug out his file from the Ministry of Defence, and got chapter and verse on his time in the army.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	chapter and verse	figurative	identical	PRON VERB VERB VERB PART ADJ NOUN ADP DET PROPN ADP PROPN CCONJ VERB NOUN CCONJ NOUN ADP ADJ NOUN ADP DET NOUN	▁They ▁would ▁have ▁du g ▁out ▁his ▁file ▁from ▁the ▁Ministry ▁of ▁Defence , ▁and ▁got ▁chapter ▁and ▁ verse ▁on ▁his ▁time ▁in ▁the ▁army .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB PART ADJ NOUN ADP DET PROPN ADP PROPN PROPN CCONJ VERB NOUN CCONJ NOUN NOUN ADP ADJ NOUN ADP DET NOUN NOUN
Right at the outset, perhaps we can read a verse from one Timo, er two Timothy, chapter one and verse twelve and Paul says there, he's come almost to the end of his life, he's, he will shortly be, taken out and will be executed and he says, for this reason I also suffer these things.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	ADV ADP DET NOUN ADV PRON VERB VERB DET NOUN ADP NUM PROPN INTJ NUM PROPN NOUN NUM CCONJ NOUN NUM CCONJ PROPN VERB ADV PRON VERB ADV ADP DET NOUN ADP ADJ NOUN PRON PRON VERB ADV VERB VERB PART CCONJ VERB VERB VERB CCONJ PRON VERB ADP DET NOUN PRON ADV VERB DET NOUN	▁Right ▁at ▁the ▁outset , ▁perhaps ▁we ▁can ▁read ▁a ▁ verse ▁from ▁one ▁T imo , ▁er ▁two ▁T imo th y , ▁chapter ▁one ▁and ▁ verse ▁twelve ▁and ▁Paul ▁says ▁there , ▁he ' s ▁come ▁almost ▁to ▁the ▁end ▁of ▁his ▁life , ▁he ' s , ▁he ▁will ▁shortly ▁be , ▁taken ▁out ▁and ▁will ▁be ▁executed ▁and ▁he ▁says , ▁for ▁this ▁reason ▁I ▁also ▁suffer ▁these ▁things .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP DET NOUN NOUN ADV PRON VERB VERB DET NOUN NOUN ADP NUM PROPN PROPN PROPN INTJ NUM PROPN PROPN PROPN PROPN PROPN NOUN NUM CCONJ NOUN NOUN NUM CCONJ PROPN VERB ADV ADV PRON PRON PRON VERB ADV ADP DET NOUN ADP ADJ NOUN NOUN PRON PRON PRON PRON PRON VERB ADV VERB VERB VERB PART CCONJ VERB VERB VERB CCONJ PRON VERB VERB ADP DET NOUN PRON ADV VERB DET NOUN NOUN
Chapter and Verse is probably most effective with smaller classes — where there is a chance for open discussion — but many of the activities, and of course the texts themselves will be relevant to students in larger classes or those working on their own.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	case	NOUN CCONJ PROPN VERB ADV ADV ADJ ADP ADJ NOUN PUNCT ADV ADV VERB DET NOUN ADP ADJ NOUN PUNCT CCONJ ADJ ADP DET NOUN CCONJ ADP NOUN DET NOUN PRON VERB VERB ADJ ADP NOUN ADP ADJ NOUN CCONJ DET VERB ADP ADJ ADJ	▁Chapter ▁and ▁Ver se ▁is ▁probably ▁most ▁effective ▁with ▁smaller ▁classes ▁ — ▁where ▁there ▁is ▁a ▁chance ▁for ▁open ▁discussion ▁ — ▁but ▁many ▁of ▁the ▁activities , ▁and ▁of ▁course ▁the ▁texts ▁themselves ▁will ▁be ▁relevant ▁to ▁students ▁in ▁larger ▁classes ▁or ▁those ▁working ▁on ▁their ▁own .	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN CCONJ PROPN PROPN VERB ADV ADV ADJ ADP ADJ NOUN PUNCT PUNCT ADV ADV VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT CCONJ ADJ ADP DET NOUN NOUN CCONJ ADP NOUN DET NOUN PRON VERB VERB ADJ ADP NOUN ADP ADJ NOUN CCONJ DET VERB ADP ADJ ADJ ADJ
He failed to quote chapter and verse when Apricot asked him to, and then said it was a personal matter, in any case : if he was going into the priesthood he 'd rather do it celibate.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	identical	PRON VERB PART VERB NOUN CCONJ NOUN ADV PROPN VERB PRON ADP CCONJ ADV VERB PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT ADP PRON VERB VERB ADP DET NOUN PRON VERB ADV VERB PRON VERB	▁He ▁failed ▁to ▁quote ▁chapter ▁and ▁ verse ▁when ▁Apr ico t ▁asked ▁him ▁to , ▁and ▁then ▁said ▁it ▁was ▁a ▁personal ▁matter , ▁in ▁any ▁case ▁ : ▁if ▁he ▁was ▁going ▁into ▁the ▁priest hood ▁he ▁' d ▁rather ▁do ▁it ▁ce liba te .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB NOUN CCONJ NOUN NOUN ADV PROPN PROPN PROPN VERB PRON ADP ADP CCONJ ADV VERB PRON VERB DET ADJ NOUN NOUN ADP DET NOUN PUNCT PUNCT ADP PRON VERB VERB ADP DET NOUN NOUN PRON VERB VERB ADV VERB PRON VERB VERB VERB VERB
