This in no way limited the cut - and - thrust of political disagreement.	0 0 0 0 0 0 1 0 1 0 1 0 0 0	cut and thrust	figurative	dashes	DET ADP DET NOUN VERB DET NOUN PUNCT CCONJ PUNCT NOUN ADP ADJ NOUN	▁This ▁in ▁no ▁way ▁limited ▁the ▁cut ▁- ▁and ▁- ▁thrust ▁of ▁political ▁disagreement .	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	DET ADP DET NOUN VERB DET NOUN PUNCT CCONJ PUNCT NOUN ADP ADJ NOUN NOUN
Last night Brian Walsh, the Yorkshire chairman, did his best to put a block on the whole sorry business, but not before enterprising Guardian hacks were able to obtain a leaked copy of a classic example of the high - class cut and thrust of the debate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADJ NOUN PROPN PROPN DET PROPN NOUN VERB ADJ ADJ PART VERB DET NOUN ADP DET ADJ ADJ NOUN CCONJ ADV ADP ADJ PROPN NOUN VERB ADJ PART VERB DET VERB NOUN ADP DET ADJ NOUN ADP DET ADJ PUNCT NOUN NOUN CCONJ NOUN ADP DET NOUN	▁Last ▁night ▁Brian ▁W al sh , ▁the ▁Yorkshire ▁chairman , ▁did ▁his ▁best ▁to ▁put ▁a ▁block ▁on ▁the ▁whole ▁sorry ▁business , ▁but ▁not ▁before ▁enter pris ing ▁Guard ian ▁h ack s ▁were ▁able ▁to ▁obtain ▁a ▁leak ed ▁copy ▁of ▁a ▁classic ▁example ▁of ▁the ▁high ▁- ▁class ▁cut ▁and ▁thrust ▁of ▁the ▁debate .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADJ NOUN PROPN PROPN PROPN PROPN PROPN DET PROPN NOUN NOUN VERB ADJ ADJ PART VERB DET NOUN ADP DET ADJ ADJ NOUN NOUN CCONJ ADV ADP ADJ ADJ ADJ PROPN PROPN NOUN NOUN NOUN VERB ADJ PART VERB DET VERB VERB NOUN ADP DET ADJ NOUN ADP DET ADJ PUNCT NOUN NOUN CCONJ NOUN ADP DET NOUN NOUN
Don't worry about some Strangelove of a character turning your innocent little toy into a satellite vaporiser, theory has it that military research is second rate because you can not do good research behind screens of secrecy and away from the cut and thrust of peer review.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	VERB VERB ADP DET PROPN ADP DET NOUN VERB ADJ ADJ ADJ NOUN ADP DET NOUN NOUN NOUN VERB PRON ADP ADJ NOUN VERB ADJ NOUN ADP PRON VERB ADV VERB ADJ NOUN ADP NOUN ADP NOUN CCONJ ADV ADP DET NOUN CCONJ NOUN ADP NOUN NOUN	▁Don ' t ▁worry ▁about ▁some ▁St range lov e ▁of ▁a ▁character ▁turning ▁your ▁innocent ▁little ▁to y ▁into ▁a ▁satellite ▁vapor iser , ▁theory ▁has ▁it ▁that ▁military ▁research ▁is ▁second ▁rate ▁because ▁you ▁can ▁not ▁do ▁good ▁research ▁behind ▁screens ▁of ▁secrecy ▁and ▁away ▁from ▁the ▁cut ▁and ▁thrust ▁of ▁peer ▁review .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	VERB VERB VERB VERB ADP DET PROPN PROPN PROPN PROPN ADP DET NOUN VERB ADJ ADJ ADJ NOUN NOUN ADP DET NOUN NOUN NOUN NOUN NOUN VERB PRON ADP ADJ NOUN VERB ADJ NOUN ADP PRON VERB ADV VERB ADJ NOUN ADP NOUN ADP NOUN CCONJ ADV ADP DET NOUN CCONJ NOUN ADP NOUN NOUN NOUN
Cut and thrust.	1 1 1	cut and thrust	figurative	case	VERB CCONJ NOUN	▁Cut ▁and ▁thrust .	1 1 1 1	VERB CCONJ NOUN NOUN
Though we find him joining the cut and thrust of conference debate, or delivering polemical lectures, we also glimpse a man apart, and in an intellect of such stature, it is tempting to describe him as aloof.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	ADP PRON VERB PRON VERB DET NOUN CCONJ NOUN ADP NOUN NOUN CCONJ VERB ADJ NOUN PRON ADV VERB DET NOUN ADV CCONJ ADP DET NOUN ADP ADJ NOUN PRON VERB ADJ PART VERB PRON ADP ADJ	▁Though ▁we ▁find ▁him ▁joining ▁the ▁cut ▁and ▁thrust ▁of ▁conference ▁debate , ▁or ▁delivering ▁pol emic al ▁lecture s , ▁we ▁also ▁glim ps e ▁a ▁man ▁apart , ▁and ▁in ▁an ▁in tel lect ▁of ▁such ▁statu re , ▁it ▁is ▁tempt ing ▁to ▁describe ▁him ▁as ▁a lo of .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB PRON VERB DET NOUN CCONJ NOUN ADP NOUN NOUN NOUN CCONJ VERB ADJ ADJ ADJ NOUN NOUN NOUN PRON ADV VERB VERB VERB DET NOUN ADV ADV CCONJ ADP DET NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN PRON VERB ADJ ADJ PART VERB PRON ADP ADJ ADJ ADJ ADJ
Their ability to produce a full - sized poster in less than four hours gave an unprecedented flexibility to the two big parties in the cut and thrust of the campaign.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADJ NOUN PART VERB DET ADJ PUNCT ADJ NOUN ADP ADJ ADP NUM NOUN VERB DET ADJ NOUN ADP DET NUM ADJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN	▁The ir ▁ability ▁to ▁produce ▁a ▁full ▁- ▁sized ▁post er ▁in ▁less ▁than ▁four ▁hours ▁gave ▁an ▁unprecedented ▁flexibility ▁to ▁the ▁two ▁big ▁parties ▁in ▁the ▁cut ▁and ▁thrust ▁of ▁the ▁campaign .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADJ ADJ NOUN PART VERB DET ADJ PUNCT ADJ NOUN NOUN ADP ADJ ADP NUM NOUN VERB DET ADJ NOUN ADP DET NUM ADJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN NOUN
Such cut - and - thrust politicking has always been Mr Brown's speciality.	0 1 0 1 0 1 0 0 0 0 0 0 0	cut and thrust	figurative	dashes	ADJ VERB PUNCT CCONJ PUNCT NOUN NOUN VERB ADV VERB PROPN PROPN NOUN	▁Such ▁cut ▁- ▁and ▁- ▁thrust ▁politic king ▁has ▁always ▁been ▁Mr ▁Brown ' s ▁special ity .	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADJ VERB PUNCT CCONJ PUNCT NOUN NOUN NOUN VERB ADV VERB PROPN PROPN PROPN PROPN NOUN NOUN NOUN
‘ In the cut and thrust of the film world?’ she queried bitterly.	0 0 0 1 1 1 0 0 0 0 0 0 0	cut and thrust	figurative	identical	PUNCT ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP PRON VERB ADV	▁ ‘ ▁In ▁the ▁cut ▁and ▁thrust ▁of ▁the ▁film ▁world ? ’ ▁she ▁que ried ▁bitter ly .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP ADP ADP PRON VERB VERB ADV ADV ADV
Hillary will be called the Presidential Partner — and she intends to make her own mark in the cut and thrust of American political and national life.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	cut and thrust	figurative	identical	PROPN VERB VERB VERB DET PROPN PROPN PUNCT CCONJ PRON VERB PART VERB ADJ ADJ NOUN ADP DET NOUN CCONJ NOUN ADP ADJ ADJ CCONJ ADJ NOUN	▁Hill ary ▁will ▁be ▁called ▁the ▁President ial ▁Partner ▁ — ▁and ▁she ▁intends ▁to ▁make ▁her ▁own ▁mark ▁in ▁the ▁cut ▁and ▁thrust ▁of ▁American ▁political ▁and ▁national ▁life .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PROPN PROPN VERB VERB VERB DET PROPN PROPN PROPN PUNCT PUNCT CCONJ PRON VERB PART VERB ADJ ADJ NOUN ADP DET NOUN CCONJ NOUN ADP ADJ ADJ CCONJ ADJ NOUN NOUN
The steering is direct and precise, enabling you to hustle along briskly without effort, qualities which help to disguise the lack of power at your disposal in cut and thrust traffic.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	cut and thrust	figurative	identical	DET NOUN VERB ADJ CCONJ ADJ VERB PRON PART VERB ADV ADV ADP NOUN NOUN ADJ VERB PART VERB DET NOUN ADP NOUN ADP ADJ NOUN ADP NOUN CCONJ VERB NOUN	▁The ▁steering ▁is ▁direct ▁and ▁precise , ▁enabling ▁you ▁to ▁hu s tle ▁along ▁b risk ly ▁without ▁effort , ▁qualities ▁which ▁help ▁to ▁disguise ▁the ▁lack ▁of ▁power ▁at ▁your ▁disposal ▁in ▁cut ▁and ▁thrust ▁traffic .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	DET NOUN VERB ADJ CCONJ ADJ ADJ VERB PRON PART VERB VERB VERB ADV ADV ADV ADV ADP NOUN NOUN NOUN ADJ VERB PART VERB DET NOUN ADP NOUN ADP ADJ NOUN ADP NOUN CCONJ VERB NOUN NOUN
Oo ar, Jim me lad, it's cut - and - thrust duelling onboard the pirate ship	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	cut and thrust	figurative	dashes	INTJ ADP PROPN PRON VERB PRON VERB PUNCT CCONJ PUNCT NOUN VERB ADP DET NOUN NOUN	▁Oo ▁ar , ▁J im ▁me ▁la d , ▁it ' s ▁cut ▁- ▁and ▁- ▁thrust ▁du elling ▁on board ▁the ▁pir ate ▁ship	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	INTJ ADP ADP PROPN PROPN PRON VERB VERB VERB PRON PRON PRON VERB PUNCT CCONJ PUNCT NOUN VERB VERB ADP ADP DET NOUN NOUN NOUN
He has thus learned what qualities are necessary to run a business both under the bureaucratic yoke of government red tape and in the cut and thrust of the world of international competition.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	cut and thrust	figurative	identical	PRON VERB ADV VERB ADJ NOUN VERB ADJ PART VERB DET NOUN CCONJ ADP DET ADJ NOUN ADP NOUN ADJ NOUN CCONJ ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP ADJ NOUN	▁He ▁has ▁thus ▁learned ▁what ▁qualities ▁are ▁necessary ▁to ▁run ▁a ▁business ▁both ▁under ▁the ▁bureaucra tic ▁yoke ▁of ▁government ▁red ▁tape ▁and ▁in ▁the ▁cut ▁and ▁thrust ▁of ▁the ▁world ▁of ▁international ▁competition .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PRON VERB ADV VERB ADJ NOUN VERB ADJ PART VERB DET NOUN CCONJ ADP DET ADJ ADJ NOUN ADP NOUN ADJ NOUN CCONJ ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN
After all, he 'd always clearly preferred the ruthless cut and thrust of the business world to that of marriage and domesticity — his freedom to that of commitment.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	ADV ADV PRON VERB ADV ADV VERB DET ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN ADP DET ADP NOUN CCONJ NOUN PUNCT ADJ NOUN ADP DET ADP NOUN	▁After ▁all , ▁he ▁' d ▁always ▁clearly ▁preferred ▁the ▁ru th less ▁cut ▁and ▁thrust ▁of ▁the ▁business ▁world ▁to ▁that ▁of ▁marriage ▁and ▁domestic ity ▁ — ▁his ▁freedom ▁to ▁that ▁of ▁commitment .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV PRON VERB VERB ADV ADV VERB DET ADJ ADJ ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN ADP DET ADP NOUN CCONJ NOUN NOUN PUNCT PUNCT ADJ NOUN ADP DET ADP NOUN NOUN
