The right hon. Gentleman might look close to home before he makes that general assertion.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	close to home	figurative	identical	DET ADJ NOUN PROPN VERB VERB ADV ADP NOUN ADP PRON VERB DET ADJ NOUN
‘ In our case, I think people were looking further afield for education without realising that they had a very good facility close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	literal	identical	PUNCT ADP ADJ NOUN PRON VERB NOUN VERB VERB ADV ADV ADP NOUN ADP VERB ADP PRON VERB DET ADV ADJ NOUN ADV ADP NOUN
Unable to practise, he turned to teaching at Cheltenham School of Architecture close to the home he had designed and substantially built at Malvern, despite his affliction, and became deputy principal.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close to home	literal	insertion-determiner	ADJ PART VERB PRON VERB ADP NOUN ADP PROPN PROPN ADP PROPN ADV ADP DET NOUN PRON VERB VERB CCONJ ADV VERB ADP PROPN ADP ADJ NOUN CCONJ VERB ADJ NOUN
We could see the growth of cottage industries again, with people working either in their homes or close to their homes, with very good communication facilities between them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	close to home	literal	combined-inflection	PRON VERB VERB DET NOUN ADP NOUN NOUN ADV ADP NOUN VERB CCONJ ADP ADJ NOUN CCONJ ADV ADP ADJ NOUN ADP ADV ADJ NOUN NOUN ADP PRON
This involved at least 1000 colliery and ' temporary ' dwellings and was achieved without any of the controversy associated with the Category D policy in County Durham ( see Blackman, 1987 ), largely because residents got good modern dwellings close to their original homes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	close to home	literal	combined-inflection	DET VERB ADP ADJ NUM NOUN CCONJ PUNCT ADJ PUNCT NOUN CCONJ VERB VERB ADP DET ADP DET NOUN VERB ADP DET PROPN ADJ NOUN ADP PROPN PROPN PUNCT VERB PROPN NUM PUNCT ADV ADP NOUN VERB ADJ ADJ NOUN ADV ADP ADJ ADJ NOUN
‘ Youthful folly’ struck unpleasantly close to home.	0 0 0 0 0 1 1 1	close to home	figurative	identical	PUNCT ADJ DET VERB ADV ADJ ADP NOUN
One such problem is particularly close to home for many of my Gravesham constituents.	0 0 0 0 0 1 1 1 0 0 0 0 0 0	close to home	figurative	identical	NUM ADJ NOUN VERB ADV ADJ ADP NOUN ADP ADJ ADP ADJ PROPN NOUN
If he is interested in looking close to home, he should note the fact that while unemployment in my constituency has, tragically, gone up by the figure he mentioned in the course of the past 12 months, it has gone up in his constituency by 110 per cent.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close to home	figurative	identical	ADP PRON VERB ADJ ADP VERB ADV ADP NOUN PRON VERB VERB DET NOUN ADP ADP NOUN ADP ADJ NOUN VERB ADV VERB PART ADP DET NOUN PRON VERB ADP DET NOUN ADP DET ADJ NUM NOUN PRON VERB VERB PART ADP ADJ NOUN ADP NUM NOUN NOUN
A full report on the LA riots appears on p72, and there's a news story that's closer to home on p44.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	close to home	figurative	misc	DET ADJ NOUN ADP DET PROPN NOUN VERB ADP NOUN CCONJ ADV DET NOUN NOUN ADJ ADJ PART NOUN ADP NOUN
It would have been rather too close to home.	0 0 0 0 0 0 1 1 1	close to home	figurative	identical	PRON VERB VERB VERB ADV ADV ADJ ADP NOUN
They must have been waiting in a car, as neither wore an overcoat and both were suddenly there smack in front of me, blocking the pavement, tantalizingly close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	literal	identical	PRON VERB VERB VERB VERB ADP DET NOUN ADP DET VERB DET NOUN CCONJ DET VERB ADV ADV NOUN ADP NOUN ADP PRON VERB DET NOUN ADV ADJ ADP NOUN
Esther had already whetted his appetite, and it was close enough to his parents ' home for him to return there for lunch each day.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0	close to home	literal	combined-other	PROPN VERB ADV VERB ADJ NOUN CCONJ PRON VERB ADJ ADV ADP ADJ NOUN PART NOUN ADP PRON PART VERB ADV ADP NOUN DET NOUN
Why else had he come up to Tucker's for fags when he could have got them closer to home?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	literal	misc	ADV ADV VERB PRON VERB PART ADP PROPN ADP NOUN ADV PRON VERB VERB VERB PRON ADJ ADP NOUN
In the past, Scotland's architects might find commissions close to home — such as England.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	close to home	literal	identical	ADP DET NOUN PROPN NOUN VERB VERB NOUN ADJ ADP NOUN PUNCT ADJ ADP PROPN
The place was fairly close to his parents ' home and possibly had been chosen for that reason.	0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0	close to home	literal	combined-other	DET NOUN VERB ADV ADJ ADP ADJ NOUN PART NOUN CCONJ ADV VERB VERB VERB ADP DET NOUN
But according to his campaign manager Mr Brian Fisk, it's all much closer to home than it was in 1966.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	close to home	figurative	misc	CCONJ VERB ADP ADJ NOUN NOUN PROPN PROPN PROPN PRON ADV ADV ADJ PART NOUN ADP PRON VERB ADP NUM
But this shift of emphasis was not due to any direct influence from the Formalists whom, as I have said, the New Critics did not know ; it was due to the influence of a figure much closer to home, the poet T.S.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	close to home	figurative	misc	CCONJ DET NOUN ADP NOUN VERB ADV ADJ ADP DET ADJ NOUN ADP DET PROPN NOUN ADP PRON VERB VERB DET PROPN PROPN VERB ADV VERB PUNCT PRON VERB ADJ ADP DET NOUN ADP DET NOUN ADV ADJ ADP NOUN DET NOUN PROPN
It is important, however, to have a source of money close to home.	0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	figurative	identical	PRON VERB ADJ ADV PART VERB DET NOUN ADP NOUN ADV ADP NOUN
And even if you 're parking it in your driveway or close to your home, lock and secure it at all times.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	close to home	literal	insertion-other	CCONJ ADV ADP PRON VERB VERB PRON ADP ADJ NOUN CCONJ VERB ADP ADJ NOUN VERB CCONJ VERB PRON ADP DET NOUN
She was close to her home in Iona street when the man threatened her with a handgun, and then made off with a small sum of money.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close to home	literal	insertion-other	PRON VERB ADJ ADP ADJ NOUN ADP PROPN NOUN ADV DET NOUN VERB PRON ADP DET NOUN CCONJ ADV VERB PART ADP DET ADJ NOUN ADP NOUN
ICAS welcomed the review but also said it was a timely reminder of archaic and unnecessary burdens in the UK tax system and urged an independent examination by a working party of all interested bodies to tackle problems close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	figurative	identical	NOUN VERB DET NOUN CCONJ ADV VERB PRON VERB DET ADJ NOUN ADP ADJ CCONJ ADJ NOUN ADP DET PROPN NOUN NOUN CCONJ VERB DET ADJ NOUN ADP DET VERB NOUN ADP DET ADJ NOUN PART VERB NOUN ADJ ADP NOUN
As an example close to home, it would be a sanction much more powerful than an SEC if, as head of audit of my firm, I was called in to that panel to be told that if my firm wanted the institutional shareholders to vote their proxies in favour of our being reappointed auditors to this or that company, we would have to mend our ways in some respect.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close to home	figurative	identical	ADP DET NOUN ADV ADP NOUN PRON VERB VERB DET NOUN ADV ADV ADJ ADP DET PROPN ADP ADP NOUN ADP NOUN ADP ADJ NOUN PRON VERB VERB PART ADP DET NOUN PART VERB VERB ADP ADP ADJ NOUN VERB DET ADJ NOUN PART VERB ADJ NOUN ADP NOUN ADP ADJ VERB VERB NOUN ADP DET CCONJ DET NOUN PRON VERB VERB PART VERB ADJ NOUN ADP DET NOUN
Two weeks later, Clare bought the short lease of a small shop in the Pimlico Road, close to Mrs Gooden's home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	close to home	literal	combined-other	NUM NOUN ADV PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN ADV ADP PROPN PROPN NOUN
My own recent arrest, while obeying the terms of a permit and standing peacefully on a street in lower Manhattan, brought the reality of this crackdown close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	figurative	identical	ADJ ADJ ADJ NOUN ADP VERB DET NOUN ADP DET NOUN CCONJ VERB ADV ADP DET NOUN ADP ADJ PROPN VERB DET NOUN ADP DET NOUN ADV ADP NOUN
So he booked in at the John Radcliffe Cardiac Unit … close to his home in Marlow.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	close to home	literal	insertion-other	ADV PRON VERB PART ADP DET PROPN PROPN PROPN PROPN PUNCT ADV ADP ADJ NOUN ADP PROPN
There was a time when this entire hillside had been covered in forest but, being closest to home, the trees had been felled one after another for building and firewood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	close to home	literal	misc	ADV VERB DET NOUN ADV DET ADJ NOUN VERB VERB VERB ADP NOUN CCONJ VERB ADJ ADP NOUN DET NOUN VERB VERB VERB NUM ADP DET ADP NOUN CCONJ NOUN
THE last bogeyman but five or six, in that line of third - world menaces who give the United States a sense of purpose, lives uncomfortably close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	literal	identical	DET ADJ NOUN CCONJ NUM CCONJ NUM ADP DET NOUN ADP ADJ PUNCT NOUN NOUN NOUN VERB DET PROPN PROPN DET NOUN ADP NOUN NOUN ADV ADV ADP NOUN
If you don't have a garage, park as close to your home as possible, preferably somewhere where you can easily observe the car.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	close to home	literal	insertion-other	ADP PRON VERB VERB DET NOUN NOUN ADV ADV ADP ADJ NOUN ADP ADJ ADV ADV ADV PRON VERB ADV VERB DET NOUN
‘ Too much emotional hassle, too close to home?’	0 0 0 0 0 0 1 1 1	close to home	figurative	dashes	PUNCT ADV ADJ ADJ NOUN ADV ADJ ADP NOUN
And if the Soviet leader kept silent in Peking in May, as hundreds of thousands shouted his name during the demonstrations at Tiananmen, he seems the more likely to say nothing which might inflame passions so comparatively close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	figurative	identical	CCONJ ADP DET ADJ NOUN VERB ADJ ADP PROPN ADP PROPN ADP NOUN ADP NOUN VERB ADJ NOUN ADP DET NOUN ADP PROPN PRON VERB DET ADV ADJ PART VERB NOUN ADJ VERB VERB NOUN ADV ADV ADJ ADP NOUN
But today's hunt was close to home.	0 0 0 0 1 1 1	close to home	figurative	identical	CCONJ NOUN NOUN VERB ADJ ADP NOUN
