Like Walker, Gould is adamant that his team's form isn't just a flash in the pan.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	ADP PROPN PROPN VERB ADJ ADP ADJ NOUN NOUN VERB ADV DET NOUN ADP DET NOUN
The fact is that he had much to do with the development of that car, that he worked hard, drove cleanly and finished steadily : those are the marks of a real champion rather than a flash in the pan.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	DET NOUN VERB ADP PRON VERB ADJ PART VERB ADP DET NOUN ADP DET NOUN ADP PRON VERB ADV VERB ADV CCONJ VERB ADV PUNCT DET VERB DET NOUN ADP DET ADJ NOUN ADV ADP DET NOUN ADP DET NOUN
One of our Committee members, the Rev. Ray Arnold, gave a short address and dedication, saying that enterprises like this one can so easily be a flash in the pan, but this one has surmounted its problems so far and achieved much.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	flash in the pan	figurative	identical	NUM ADP ADJ PROPN NOUN DET PROPN PROPN PROPN VERB DET ADJ NOUN CCONJ NOUN VERB ADP NOUN ADP DET NOUN VERB ADV ADV VERB DET NOUN ADP DET NOUN CCONJ DET NOUN VERB VERB ADJ NOUN ADV ADV CCONJ VERB ADV
Mr Crowe emphasised the achievement was no flash in the pan but the result of continuous improvement over several years.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	flash in the pan	figurative	identical	PROPN PROPN VERB DET NOUN VERB DET NOUN ADP DET NOUN CCONJ DET NOUN ADP ADJ NOUN ADP ADJ NOUN
MIKE HOOPER is hoping his surprise European Cup Winners ' Cup call - up on Wednesday night is not just a flash in the pan.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	PROPN PROPN VERB VERB ADJ ADJ PROPN PROPN PROPN PART PROPN NOUN PUNCT NOUN ADP PROPN NOUN VERB ADV ADV DET NOUN ADP DET NOUN
There have been plenty of oddball flash - in - the - pan media stars in US popular culture before Suleman.	0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0	flash in the pan	figurative	dashes	ADV VERB VERB ADJ ADP NOUN NOUN PUNCT ADP PUNCT DET PUNCT NOUN NOUN NOUN ADP PROPN ADJ NOUN ADP PROPN
Boxtree's children's list might be accused of flash in the pan publishing — some flash, some pan.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	flash in the pan	figurative	identical	PROPN NOUN NOUN VERB VERB VERB ADP NOUN ADP DET NOUN NOUN PUNCT DET NOUN DET NOUN
I don't, I think it was just a flash in the pan.	0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	PRON VERB PRON VERB PRON VERB ADV DET NOUN ADP DET NOUN
‘ She is no short term flash in the pan.	0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	PUNCT PRON VERB DET ADJ NOUN NOUN ADP DET NOUN
Loiseau goes to the Burgundy market to select produce like the wild asparagus he serves, buttered and flashed in a pan with lobster.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	flash in the pan	literal	combined-inflection	PROPN VERB ADP DET PROPN NOUN PART VERB NOUN ADP DET ADJ NOUN PRON VERB VERB CCONJ VERB ADP DET NOUN ADP NOUN
Gould is obviously delighted by his team's form and convinced it's no flash in the pan.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	PROPN VERB ADV VERB ADP ADJ NOUN NOUN CCONJ VERB PRON DET NOUN ADP DET NOUN
In earlier years, is it true that you attended a Senior Management Seminar as a representative of the International Sports Company,(Dunlop, Slazenger, Carlton, Litesome ), and stated that you had the two finest wooden rackets in the world and that you had no intention of following the fibreglass and graphite racket trend as it was all a flash in the pan?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	ADP ADJ NOUN VERB PRON ADJ ADP PRON VERB DET PROPN PROPN PROPN ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PUNCT CCONJ VERB ADP PRON VERB DET NUM ADJ ADJ NOUN ADP DET NOUN CCONJ ADP PRON VERB DET NOUN ADP VERB DET NOUN CCONJ NOUN NOUN NOUN ADP PRON VERB ADJ DET NOUN ADP DET NOUN
And they still keep on sending not just one flash in the pan you know.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	flash in the pan	figurative	identical	CCONJ PRON ADV VERB PART VERB ADV ADV NUM NOUN ADP DET NOUN PRON VERB
