Special teaching and therapy, plenty of encouragement and stimulation can work wonders.	0 0 0 0 0 0 0 0 0 0 1 1	work wonders	figurative	identical	ADJ NOUN CCONJ NOUN NOUN ADP NOUN CCONJ NOUN VERB VERB NOUN
If the frame appears to be in reasonably good condition, you may find that you work wonders by just giving it a proper clean.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	work wonders	figurative	identical	ADP DET NOUN VERB PART VERB ADP ADV ADJ NOUN PRON VERB VERB ADP PRON VERB NOUN ADP ADV VERB PRON DET ADJ NOUN
And as Brigitte Bardot has shown recently, even the glow of a new love affair can work wonders.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	work wonders	figurative	identical	CCONJ ADP PROPN PROPN VERB VERB ADV ADV DET NOUN ADP DET ADJ NOUN NOUN VERB VERB NOUN
A change of bit ( not necessarily a stronger one ) often works wonders and this combined with correct suppling work can transform the way of going of many horses.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	work wonders	figurative	inflection	DET NOUN ADP NOUN PUNCT ADV ADV DET ADJ NUM PUNCT ADV VERB NOUN CCONJ DET VERB ADP ADJ NOUN NOUN VERB VERB DET NOUN ADP VERB ADP ADJ NOUN
Repetition can work wonders	0 0 1 1	work wonders	figurative	identical	NOUN VERB VERB NOUN
However, as we have seen in Chapter 3, clinical aromatherapy ( without the use of massage ) can work wonders if applied in a holistic rather than a symptomatic way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	work wonders	figurative	identical	ADV ADP PRON VERB VERB ADP NOUN NUM ADJ NOUN PUNCT ADP DET NOUN ADP NOUN PUNCT VERB VERB NOUN ADP VERB ADP DET NOUN ADV ADP DET ADJ NOUN
Also the er the erm these Doctor something pills er she advised me to take them because of these pains I had and er but a lot of people thought they wold work wonders you know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	work wonders	figurative	identical	ADV DET INTJ DET NOUN DET NOUN NOUN NOUN INTJ PRON VERB PRON PART VERB PRON ADP ADP DET NOUN PRON VERB CCONJ INTJ CCONJ DET NOUN ADP NOUN VERB PRON VERB NOUN NOUN PRON VERB
Air power will not make much difference ; aircraft can work wonders in a high - tech modern war, but preventing a sudden sprint out of the trees is not one of them.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	work wonders	figurative	identical	NOUN NOUN VERB ADV VERB ADJ NOUN PUNCT NOUN VERB VERB NOUN ADP DET ADJ PUNCT NOUN ADJ NOUN CCONJ VERB DET ADJ NOUN ADP ADP DET NOUN VERB ADV NUM ADP PRON
Sometimes the estimates are discordant, but a little practice will work wonders, and variable star work has become an important branch of modern amateur astronomy.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	work wonders	figurative	identical	ADV DET NOUN VERB ADJ CCONJ DET ADJ NOUN VERB VERB NOUN CCONJ ADJ NOUN NOUN VERB VERB DET ADJ NOUN ADP ADJ ADJ NOUN
A good cut can work wonders at creating the illusion of body and bounce.	0 0 0 0 1 1 0 0 0 0 0 0 0 0	work wonders	figurative	identical	DET ADJ NOUN VERB VERB NOUN ADP VERB DET NOUN ADP NOUN CCONJ NOUN
JOHN BARNES last night promised England manager Graham Taylor : ‘ Give me a licence to attack and I 'll work wonders for you.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	work wonders	figurative	identical	PROPN PROPN ADJ NOUN VERB PROPN NOUN PROPN PROPN PUNCT PUNCT VERB PRON DET NOUN PART VERB CCONJ PRON VERB VERB NOUN ADP NOUN
The coach is also a great help in controlling anxiety, and the right kind of pep talk can work wonders.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	work wonders	figurative	identical	DET NOUN VERB ADV DET ADJ NOUN ADP VERB NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN VERB VERB NOUN
