The shoulder belays and cricket sweaters were intended to look the part.	0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	DET NOUN NOUN CCONJ NOUN NOUN VERB VERB PART VERB DET NOUN	▁The ▁shoulder ▁be lay s ▁and ▁cri cke t ▁sweat ers ▁were ▁intended ▁to ▁look ▁the ▁part .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN VERB VERB PART VERB DET NOUN NOUN
Nick Cave looks the part.	0 0 1 0 1	look the part	figurative	inflection	PROPN PROPN VERB DET NOUN	▁N ick ▁C ave ▁looks ▁the ▁part .	0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN VERB DET NOUN NOUN
‘ I just don't look the part.	0 0 0 0 1 0 1	look the part	figurative	identical	PUNCT PRON ADV VERB VERB DET NOUN	▁ ‘ ▁I ▁just ▁don ' t ▁look ▁the ▁part .	0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT PRON ADV VERB VERB VERB VERB DET NOUN NOUN
It was, she discovered, easier to look the part than to feel it.	0 0 0 0 0 0 1 0 1 0 0 0 0	look the part	figurative	identical	PRON VERB PRON VERB ADJ PART VERB DET NOUN ADP PART VERB PRON	▁It ▁was , ▁she ▁discovered , ▁easier ▁to ▁look ▁the ▁part ▁than ▁to ▁feel ▁it .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PRON VERB VERB PRON VERB VERB ADJ PART VERB DET NOUN ADP PART VERB PRON PRON
The bride might have been educated, might have travelled, might speak English well, but she would wear gold and henna, she would dress and look the part of an Al Ain bride.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	look the part	figurative	identical	DET NOUN VERB VERB VERB VERB VERB VERB VERB VERB VERB PROPN ADV CCONJ PRON VERB VERB NOUN CCONJ NOUN PRON VERB VERB CCONJ VERB DET NOUN ADP DET PROPN PROPN ADV	▁The ▁br ide ▁might ▁have ▁been ▁educated , ▁might ▁have ▁travelled , ▁might ▁speak ▁English ▁well , ▁but ▁she ▁would ▁wear ▁gold ▁and ▁h enna , ▁she ▁would ▁ dress ▁and ▁look ▁the ▁part ▁of ▁an ▁Al ▁A in ▁br ide .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB VERB VERB VERB VERB VERB VERB VERB VERB VERB VERB PROPN ADV ADV CCONJ PRON VERB VERB NOUN CCONJ NOUN NOUN NOUN PRON VERB VERB VERB CCONJ VERB DET NOUN ADP DET PROPN PROPN PROPN ADV ADV ADV
But I have to look the part.	0 0 0 0 1 0 1	look the part	figurative	identical	CCONJ PRON VERB PART VERB DET NOUN	▁But ▁I ▁have ▁to ▁look ▁the ▁part .	0 0 0 0 1 0 1 1	CCONJ PRON VERB PART VERB DET NOUN NOUN
Bajan Blues looks the part in the Sportsman Hunter Chase, Fly By North may solve the Maze Handicap Hurdle and Carton may take the Moira Novice Chase.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN PROPN VERB ADP PROPN VERB VERB DET PROPN PROPN PROPN CCONJ PROPN VERB VERB DET PROPN PROPN PROPN	▁Ba jan ▁Blue s ▁looks ▁the ▁part ▁in ▁the ▁Sport sman ▁Hun ter ▁Ch ase , ▁Fly ▁By ▁North ▁may ▁solve ▁the ▁M aze ▁Hand i cap ▁ Hurd le ▁and ▁Carton ▁may ▁take ▁the ▁Mo ira ▁No vice ▁Ch ase .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP PROPN VERB VERB DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN VERB VERB DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN
Holders look the part	0 1 0 1	look the part	figurative	identical	NOUN VERB DET NOUN	▁Holder s ▁look ▁the ▁part	0 0 1 0 1	NOUN NOUN VERB DET NOUN
I do prefer to wear smart clothes for work ; it's still not easy for women in business to be taken seriously — I like to look the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	PRON VERB VERB PART VERB ADJ NOUN ADP NOUN PUNCT PRON ADV ADV ADJ ADP NOUN ADP NOUN PART VERB VERB ADV PUNCT PRON VERB PART VERB DET NOUN	▁I ▁do ▁prefer ▁to ▁wear ▁smart ▁clothes ▁for ▁work ▁ ; ▁it ' s ▁still ▁not ▁easy ▁for ▁women ▁in ▁business ▁to ▁be ▁taken ▁seriously ▁ — ▁I ▁like ▁to ▁look ▁the ▁part .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB PART VERB ADJ NOUN ADP NOUN PUNCT PUNCT PRON PRON PRON ADV ADV ADJ ADP NOUN ADP NOUN PART VERB VERB ADV PUNCT PUNCT PRON VERB PART VERB DET NOUN NOUN
Teamed with plain or multi - print shirts they look the part whether you are going for a meal, to the pub or to work.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	VERB ADP ADJ CCONJ ADJ PUNCT NOUN NOUN PRON VERB DET NOUN ADP PRON VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PART VERB	▁Team ed ▁with ▁plain ▁or ▁multi ▁- ▁print ▁ shirts ▁they ▁look ▁the ▁part ▁whether ▁you ▁are ▁going ▁for ▁a ▁meal , ▁to ▁the ▁pub ▁or ▁to ▁work .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP ADJ CCONJ ADJ PUNCT NOUN NOUN NOUN PRON VERB DET NOUN ADP PRON VERB VERB ADP DET NOUN NOUN ADP DET NOUN CCONJ PART VERB VERB
SMOOTH OPERATOR Sean Connery certainly looked the part of secret agent 007 — but he was no real - life hero	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	ADJ NOUN PROPN PROPN ADV VERB DET NOUN ADP ADJ NOUN NUM PUNCT CCONJ PRON VERB DET ADJ PUNCT NOUN NOUN	▁S MO OTH ▁OPERAT OR ▁Sea n ▁C onne ry ▁certainly ▁looked ▁the ▁part ▁of ▁secret ▁agent ▁007 ▁ — ▁but ▁he ▁was ▁no ▁real ▁- ▁life ▁her o	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADV VERB DET NOUN ADP ADJ NOUN NUM PUNCT PUNCT CCONJ PRON VERB DET ADJ PUNCT NOUN NOUN NOUN
on form Crewe look the part … but they have to run out of steam sometime	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	ADP NOUN PROPN VERB DET NOUN PUNCT CCONJ PRON VERB PART VERB ADP ADP NOUN ADV	▁on ▁form ▁C rew e ▁look ▁the ▁part ▁... ▁but ▁they ▁have ▁to ▁run ▁out ▁of ▁steam ▁some time	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN PROPN PROPN PROPN VERB DET NOUN PUNCT CCONJ PRON VERB PART VERB ADP ADP NOUN ADV ADV
Silk Slippers certainly looks the part, being a staying filly with speed in the mould of Midway Lady, who took the 1,000 and Oaks three years ago.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN ADV VERB DET NOUN VERB DET VERB ADV ADP NOUN ADP DET NOUN ADP PROPN PROPN NOUN VERB DET NUM CCONJ PROPN NUM NOUN ADV	▁Silk ▁S lip pers ▁certainly ▁looks ▁the ▁part , ▁being ▁a ▁staying ▁fil ly ▁with ▁speed ▁in ▁the ▁mould ▁of ▁Mid way ▁Lady , ▁who ▁took ▁the ▁1,000 ▁and ▁O ak s ▁three ▁years ▁ago .	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN ADV VERB DET NOUN NOUN VERB DET VERB ADV ADV ADP NOUN ADP DET NOUN ADP PROPN PROPN PROPN PROPN NOUN VERB DET NUM CCONJ PROPN PROPN PROPN NUM NOUN ADV ADV
Some cite the success of Raves and warehouse parties, for which it's essential to look the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	DET VERB DET NOUN ADP PROPN CCONJ NOUN NOUN ADP ADJ PRON ADJ PART VERB DET NOUN	▁Some ▁cite ▁the ▁success ▁of ▁Ra ves ▁and ▁warehouse ▁parties , ▁for ▁which ▁it ' s ▁essential ▁to ▁look ▁the ▁part .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET VERB DET NOUN ADP PROPN PROPN CCONJ NOUN NOUN NOUN ADP ADJ PRON PRON PRON ADJ PART VERB DET NOUN NOUN
Only Morrissey looked the part, ensconced as he was in a wild celebration of his now successful madness.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	ADV PROPN VERB DET NOUN VERB ADP PRON VERB ADP DET ADJ NOUN ADP ADJ ADV ADJ NOUN	▁Only ▁Morris s ey ▁looked ▁the ▁part , ▁en s co nced ▁as ▁he ▁was ▁in ▁a ▁wild ▁celebration ▁of ▁his ▁now ▁successful ▁mad ness .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PROPN PROPN PROPN VERB DET NOUN NOUN VERB VERB VERB VERB ADP PRON VERB ADP DET ADJ NOUN ADP ADJ ADV ADJ NOUN NOUN NOUN
Poise was going to be the order of the day — poise and sophistication ; she had taken great care to look the part, now all she had to do was feel that way too.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	PROPN VERB VERB PART VERB DET NOUN ADP DET NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON VERB VERB ADJ NOUN PART VERB DET NOUN ADV DET PRON VERB PART VERB VERB VERB DET NOUN ADV	▁Po ise ▁was ▁going ▁to ▁be ▁the ▁order ▁of ▁the ▁day ▁ — ▁po ise ▁and ▁so ph istic ation ▁ ; ▁she ▁had ▁taken ▁great ▁care ▁to ▁look ▁the ▁part , ▁now ▁all ▁she ▁had ▁to ▁do ▁was ▁feel ▁that ▁way ▁too .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB PART VERB DET NOUN ADP DET NOUN PUNCT PUNCT NOUN NOUN CCONJ NOUN NOUN NOUN NOUN PUNCT PUNCT PRON VERB VERB ADJ NOUN PART VERB DET NOUN NOUN ADV DET PRON VERB PART VERB VERB VERB DET NOUN ADV ADV
James Spicer had been a major in an infantry regiment and looked the part in a well - cut tweed suit, burnished brown brogues and his regimental tie.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN VERB VERB DET NOUN ADP DET NOUN NOUN CCONJ VERB DET NOUN ADP DET ADV PUNCT VERB NOUN NOUN VERB ADJ NOUN CCONJ ADJ ADJ NOUN	▁James ▁Sp ic er ▁had ▁been ▁a ▁major ▁in ▁an ▁infant ry ▁regimen t ▁and ▁looked ▁the ▁part ▁in ▁a ▁well ▁- ▁cut ▁ twe ed ▁suit , ▁bur nished ▁brown ▁br ogue s ▁and ▁his ▁regimen tal ▁tie .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ VERB DET NOUN ADP DET ADV PUNCT VERB NOUN NOUN NOUN NOUN NOUN VERB VERB ADJ NOUN NOUN NOUN CCONJ ADJ ADJ ADJ NOUN NOUN
But not content with just looking the part, Spotted Eagle has spent thirty years studying the history and culture of the native American Indian.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	CCONJ ADV ADJ ADP ADV VERB DET NOUN PROPN PROPN VERB VERB NUM NOUN VERB DET NOUN CCONJ NOUN ADP DET ADJ PROPN PROPN	▁But ▁not ▁content ▁with ▁just ▁looking ▁the ▁part , ▁Spot ted ▁E a gle ▁has ▁spent ▁thirty ▁years ▁studying ▁the ▁history ▁and ▁culture ▁of ▁the ▁native ▁American ▁Indian .	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV ADJ ADP ADV VERB DET NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB VERB NUM NOUN VERB DET NOUN CCONJ NOUN ADP DET ADJ PROPN PROPN PROPN
IF you want to look the part in the nineties, don't wear make - up.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	look the part	figurative	identical	ADP PRON VERB PART VERB DET NOUN ADP DET NOUN VERB VERB VERB PUNCT NOUN	▁IF ▁you ▁want ▁to ▁look ▁the ▁part ▁in ▁the ▁nine ties , ▁don ' t ▁wear ▁make ▁- ▁up .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN VERB VERB VERB VERB VERB PUNCT NOUN NOUN
Might as well look the part, since all artists were considered crazy and bohemian.	0 0 0 1 0 1 0 0 0 0 0 0 0 0	look the part	figurative	identical	VERB ADV ADV VERB DET NOUN ADP DET NOUN VERB VERB ADJ CCONJ ADJ	▁M ight ▁as ▁well ▁look ▁the ▁part , ▁since ▁all ▁artists ▁were ▁considered ▁c raz y ▁and ▁bo hem ian .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADV ADV VERB DET NOUN NOUN ADP DET NOUN VERB VERB ADJ ADJ ADJ CCONJ ADJ ADJ ADJ ADJ
She removed the clinging pink sweater, made famous by the Hollywood Oomph Girl, Lana Turner but which made Sylvia look the part of a streetwalker, and stripped herself of the gaudy, lace - edged cami - knickers she wore beneath.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	identical	PRON VERB DET VERB ADJ NOUN VERB ADJ ADP DET PROPN PROPN PROPN PROPN PROPN CCONJ ADJ VERB PROPN VERB DET NOUN ADP DET NOUN CCONJ VERB PRON ADP DET ADJ NOUN PUNCT VERB NOUN PUNCT NOUN PRON VERB ADV	▁She ▁removed ▁the ▁cl ing ing ▁pink ▁sweat er , ▁made ▁famous ▁by ▁the ▁Hol ly wood ▁O om ph ▁Gi rl , ▁L ana ▁Turner ▁but ▁which ▁made ▁S yl via ▁look ▁the ▁part ▁of ▁a ▁street wal ker , ▁and ▁stripped ▁herself ▁of ▁the ▁ gau dy , ▁lace ▁- ▁edge d ▁cam i ▁- ▁k nic kers ▁she ▁w ore ▁beneath .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET VERB VERB VERB ADJ NOUN NOUN NOUN VERB ADJ ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADJ VERB PROPN PROPN PROPN VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ VERB PRON ADP DET ADJ ADJ ADJ ADJ NOUN PUNCT VERB VERB NOUN NOUN PUNCT NOUN NOUN NOUN PRON VERB VERB ADV ADV
Women tend to look for three to four things, your shoes, your fingernails, ties and socks, okay so make sure you look the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	NOUN VERB PART VERB ADP NUM PART NUM NOUN ADJ NOUN ADJ NOUN NOUN CCONJ NOUN INTJ ADV VERB ADJ PRON VERB DET NOUN	▁Women ▁tend ▁to ▁look ▁for ▁three ▁to ▁four ▁things , ▁your ▁shoes , ▁your ▁finger na ils , ▁ties ▁and ▁socks , ▁o ka y ▁so ▁make ▁sure ▁you ▁look ▁the ▁part .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN VERB PART VERB ADP NUM PART NUM NOUN NOUN ADJ NOUN NOUN ADJ NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN INTJ INTJ INTJ ADV VERB ADJ PRON VERB DET NOUN NOUN
