Are there two types, left and right handed rockers and how can you tell the castings apart? c.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	VERB ADV NUM NOUN VERB CCONJ NOUN ADJ NOUN CCONJ ADV VERB PRON VERB DET NOUN ADV ADJ
The left and right pointers will alternately be null.	0 1 1 1 0 0 0 0 0	left and right	literal	identical	DET ADJ CCONJ ADJ NOUN VERB ADV VERB ADJ
Both clinical Jones - Gotman and Milner, 1978 ; Whitehouse, 1981 ) and experimental evidence link the verbal and non - verbal codes to left and right hemispheres respectively.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	left and right	literal	identical	DET ADJ PROPN PUNCT PROPN CCONJ PROPN NUM PUNCT PROPN NUM PUNCT CCONJ ADJ NOUN VERB DET ADJ CCONJ ADJ PUNCT ADJ NOUN ADP VERB CCONJ ADJ NOUN ADV
It dropped to its forearms and padded slowly to left and right.	0 0 0 0 0 0 0 0 0 1 1 1	left and right	literal	identical	PRON VERB ADP ADJ NOUN CCONJ VERB ADV PART VERB CCONJ ADJ
Opinion polls predict that the Green alliance could win at least 15 - 17 per cent of the vote in the elections ; an 18 per cent share would give it a chance of holding the balance of power between left and right in the national assembly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	left and right	literal	identical	NOUN NOUN VERB ADP DET PROPN NOUN VERB VERB ADP ADJ NUM SYM NUM NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT DET NUM NOUN NOUN NOUN VERB VERB PRON DET NOUN ADP VERB DET NOUN ADP NOUN ADP NOUN CCONJ ADV ADP DET ADJ NOUN
Of course, there is a left and right side to that stream, but I think it is the left side of the stream which is broadening.’	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV ADV ADV VERB DET ADJ CCONJ ADJ NOUN ADP DET NOUN CCONJ PRON VERB PRON VERB DET ADJ NOUN ADP DET NOUN ADJ VERB ADJ
More recently, however, interest in the left and right brain is due to work involving split - brain patients.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV ADV ADV NOUN ADP DET NOUN CCONJ ADJ NOUN VERB ADJ ADP NOUN VERB ADJ PUNCT NOUN NOUN
During 1989 the Luchaire affair, concerning French arms sales to Iran between 1982 and 1986 when such sales were embargoed, threatened to develop into a major political scandal affecting the Defence Ministry and political parties on both the left and right [ see p. 35982 ].	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	left and right	literal	identical	ADP NUM DET PROPN NOUN VERB ADJ NOUN NOUN ADP PROPN ADP NUM CCONJ NUM ADV ADJ NOUN VERB VERB VERB PART VERB ADP DET ADJ ADJ NOUN VERB DET PROPN PROPN CCONJ ADJ NOUN ADP CCONJ DET ADJ CCONJ NOUN PUNCT VERB NOUN NUM PUNCT
This suggests that the meaning of the stimuli was irrelevant to the asymmetry between left and right ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	left and right	literal	identical	DET VERB ADP DET NOUN ADP DET NOUN VERB ADJ ADP DET NOUN ADP ADJ CCONJ ADJ NOUN
To ease a headache, lie down and place three of these crystals on your forehead — one pointing up to the crown and two pointing towards it from the left and right sides.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	left and right	literal	identical	PART VERB DET NOUN VERB ADV CCONJ VERB NUM ADP DET NOUN ADP ADJ NOUN PUNCT NUM VERB PART ADP DET NOUN CCONJ NUM VERB ADP PRON ADP DET NOUN CCONJ ADJ NOUN
There was a lot of evidence accumulating at the time about lateralization of function in bird brains — for instance, it appears that chicks respond behaviourally in different ways when they view things with left and right eyes, while in song birds like canaries and zebra finches, the ‘ song centre’ is located in a left - hemisphere region, rather close to our IMHV.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV VERB DET NOUN ADP NOUN VERB ADP DET NOUN ADP NOUN ADP NOUN ADP NOUN NOUN PUNCT ADP NOUN PRON VERB ADP NOUN VERB ADV ADP ADJ NOUN ADV PRON VERB NOUN ADP ADJ CCONJ ADJ NOUN ADP ADP NOUN NOUN ADP NOUN CCONJ ADJ NOUN DET ADJ NOUN NOUN VERB VERB ADP DET ADJ PUNCT NOUN NOUN ADV ADJ ADP ADJ NOUN
left and right turn, oh there's no turn	1 1 1 0 0 0 0 0	left and right	literal	identical	VERB CCONJ ADJ NOUN INTJ ADV DET NOUN
The angular, and in the case of the three women at the extreme left and right of the Demoiselles, rather ‘ faceted’ appearance of the figures, and the heavy, chalky highlights found in certain parts of the drapery could well have come from a study of El Greco's work.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET ADJ CCONJ ADP DET NOUN ADP DET NUM NOUN ADP DET ADJ NOUN CCONJ NOUN ADP DET NOUN ADV PUNCT ADP NOUN ADP DET NOUN CCONJ DET ADJ NOUN NOUN VERB ADP ADJ NOUN ADP DET NOUN VERB ADV VERB VERB ADP DET NOUN ADP PROPN PROPN NOUN
The design of the scissors makes them suitable for both left and right hand users, in a choice of black or white handles and the prices range from £ 5.50 to £ 9.50 per pair.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET NOUN ADP DET NOUN VERB PRON ADJ ADP DET ADJ CCONJ ADJ NOUN NOUN ADP DET NOUN ADP ADJ CCONJ ADJ NOUN CCONJ DET NOUN VERB ADP SYM NUM PART SYM NUM ADP NOUN
She stopped, raised her head, and tracked it left and right, like a robot searching out its target.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	left and right	literal	identical	PRON VERB VERB ADJ NOUN CCONJ VERB PRON VERB CCONJ INTJ ADP DET NOUN VERB PART ADJ NOUN
Catchers : left and right of Base ; especially watch out for the figure toppling over backwards!	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	NOUN PUNCT VERB CCONJ NOUN ADP PROPN PUNCT ADV VERB PART ADP DET NOUN VERB PART ADV
Many bags are available with left and right hand zips, allowing two to be zipped together.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	left and right	literal	identical	ADJ NOUN VERB ADJ ADP ADJ CCONJ ADJ NOUN NOUN VERB NUM PART VERB VERB ADV
In certain societies, spatial planning has been used to represent a sacred order which is of an ideal form, and within which actual human society attempts to exemplify certain principles, often creating tightly controlled urban populations ordered according to spatial dimensions such as left and right hands, verticality and circumambulation ( e.g. Geertz 1980 ; Wheatley 1971 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP ADJ NOUN ADJ NOUN VERB VERB VERB PART VERB DET ADJ NOUN ADJ VERB ADP DET ADJ NOUN CCONJ ADP ADJ ADJ ADJ NOUN VERB PART VERB ADJ NOUN ADV VERB ADV VERB ADJ NOUN VERB VERB ADP ADJ NOUN ADJ ADP ADJ CCONJ ADJ NOUN NOUN CCONJ NOUN PUNCT ADV PROPN NUM PUNCT PROPN NUM PUNCT
Yoshida declared himself to be a liberal opposed equally to the excesses of the left and right.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	left and right	figurative	identical	PROPN VERB PRON PART VERB DET ADJ ADJ ADV ADP DET NOUN ADP DET NOUN CCONJ NOUN
Alternatively, text can be centred over a single column so that, if the text is too wide for that column, it will overlap the left and right of the column equally.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	left and right	literal	identical	ADV NOUN VERB VERB VERB ADP DET ADJ NOUN ADP ADP ADP DET NOUN VERB ADV ADJ ADP DET NOUN PRON VERB VERB DET NOUN CCONJ NOUN ADP DET NOUN ADV
In each of the semi - roundels, adjacent to the central square, are two lotus buds linked by a fillet ( in the panels to the left and right of the lion ) and half of a sixteen - petalled flower enclosed by simple guilloche ( in the panels above and below the lion ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP DET ADP DET NOUN PUNCT NOUN ADJ ADP DET ADJ NOUN VERB NUM NOUN NOUN VERB ADP DET NOUN PUNCT ADP DET NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN PUNCT CCONJ NOUN ADP DET NUM PUNCT VERB NOUN VERB ADP ADJ NOUN PUNCT ADP DET NOUN ADP CCONJ ADP DET NOUN PUNCT
Rory made left and right turns in quick succession, seemed to go back on himself, seemed at times to be driving blind.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PROPN VERB ADJ CCONJ ADJ NOUN ADP ADJ NOUN VERB PART VERB ADV ADP PRON VERB ADP NOUN PART VERB VERB ADJ
Satz ( 1979 ) has proposed a method for determining the acceptability or otherwise of models of speech representation in the left and right handed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	left and right	literal	identical	PROPN PUNCT NUM PUNCT VERB VERB DET NOUN ADP VERB DET NOUN CCONJ ADV ADP NOUN ADP NOUN NOUN ADP DET ADJ CCONJ NOUN ADJ
If so"it shows up as a difference in the wave forms obtained from one or more of the left and right hemisphere leads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	left and right	literal	identical	ADP NOUN VERB PART ADP DET NOUN ADP DET NOUN NOUN VERB ADP NUM CCONJ ADJ ADP DET ADJ CCONJ ADJ ADJ NOUN
The tunnel curved left and right, round corners, climbing and plunging without logic or warning, while the ceiling rose and, alarmingly, fell.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET NOUN VERB VERB CCONJ ADJ ADJ NOUN VERB CCONJ VERB ADP NOUN CCONJ NOUN ADP DET NOUN VERB CCONJ ADV VERB
Hole 17 : New tee and repositioned left and right fairway bunkers, as well as new enlarged bunkers at the green.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PROPN NUM PUNCT ADJ NOUN CCONJ VERB ADJ CCONJ ADJ NOUN NOUN ADV ADV ADP ADJ ADJ NOUN ADP DET NOUN
The total - intensity anomaly field and the calculated - declination diagrams below, left and right illustrate an area 55 kilometres square centred on Bathgate, near Edinburgh.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET ADJ PUNCT NOUN NOUN NOUN CCONJ DET VERB PUNCT NOUN NOUN ADV ADJ CCONJ ADV VERB DET NOUN NUM NOUN ADV VERB ADP PROPN ADP PROPN
So make all your formulae copyable left and right and up and down.	0 0 0 0 0 0 1 1 1 0 0 0 0	left and right	literal	identical	ADV VERB DET ADJ NOUN ADJ VERB CCONJ INTJ CCONJ ADV CCONJ ADV
Nuclear equations Nuclear equations must balance, the total mass must be the same on the left and right hand sides.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	left and right	literal	identical	ADJ NOUN PROPN NOUN VERB VERB DET ADJ NOUN VERB VERB DET ADJ ADP DET ADJ CCONJ ADJ NOUN NOUN
Now, individuals with right - sided speech constitute one half of those in whom the right shift factor is absent since in the absence of this factor speech dominance is distributed between left and right hemispheres according to chance expectation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	left and right	literal	identical	ADV NOUN ADP ADJ PUNCT ADJ NOUN VERB NUM NOUN ADP DET ADP NOUN DET ADJ NOUN NOUN VERB ADJ ADP ADP DET NOUN ADP DET NOUN NOUN NOUN VERB VERB ADP ADJ CCONJ ADJ NOUN VERB ADP NOUN NOUN
LEFT AND RIGHT Two famous figures reputed to have indulged in cannibalism, Annia Gakria Faustina and ( pointing ) Idi Amin, onetime dictator of Uganda.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	figurative	case	VERB CCONJ INTJ NUM ADJ NOUN VERB PART VERB VERB ADP NOUN PROPN PROPN PROPN CCONJ PUNCT VERB PUNCT PROPN PROPN ADJ NOUN ADP PROPN
Indeed, after years of attracting many of the world ’s best and brightest into ultra - high paying jobs, collapsing investment banks are now throwing them out left and right.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	left and right	figurative	identical	ADV ADP NOUN ADP VERB ADJ ADP DET NOUN PART ADJ CCONJ ADJ ADP ADJ PUNCT ADJ VERB NOUN VERB NOUN NOUN VERB ADV VERB PRON PART ADJ CCONJ ADJ
Therefore in daily training it is customary for each exercise to be performed to the left and right, forwards and backwards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	left and right	literal	identical	ADV ADP ADJ NOUN PRON VERB ADJ ADP DET NOUN PART VERB VERB ADP DET NOUN CCONJ INTJ ADV CCONJ ADV
His heart will have started to race as he looked left and right and saw the two main practice strips.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	left and right	literal	identical	ADJ NOUN VERB VERB VERB PART VERB ADP PRON VERB ADJ CCONJ INTJ CCONJ VERB DET NUM ADJ NOUN NOUN
On its way down, the bundle unfolded, spreading wings left and right.	0 0 0 0 0 0 0 0 0 1 1 1	left and right	literal	identical	ADP ADJ NOUN ADV DET NOUN VERB VERB NOUN VERB CCONJ INTJ
Firstly, a hemisphere difference in the rate at which information is encoded and/or read out from some sensory representation of the stimulus should be revealed by a differential effect of masking in left and right visual fields since the presumed effect of the mask is to prevent any further processing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN VERB VERB CCONJ VERB PART ADP DET ADJ NOUN ADP DET NOUN VERB VERB VERB ADP DET ADJ NOUN ADP VERB PART ADJ CCONJ ADJ ADJ NOUN ADP DET VERB NOUN ADP DET NOUN VERB PART VERB DET ADJ NOUN
As with other authors who have had recourse to the analytic versus holistic distinction ( Bever and Chiarello, 1974 ; Bever, Hurtig and Handel, 1976 ; Ross and Turkewitz, 1976 ; Gates and Bradshaw, 1977a ) this is a post - hoc explanation, not an experimental test of the notion that different cognitive strategies are characteristic of left and right hemispheres.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	left and right	literal	identical	ADP ADP ADJ NOUN NOUN VERB VERB VERB ADP DET ADJ ADP ADJ NOUN PUNCT PROPN CCONJ PROPN NUM PUNCT PROPN PROPN CCONJ PROPN NUM PUNCT PROPN CCONJ PROPN NUM PUNCT PROPN CCONJ PROPN NUM PUNCT DET VERB DET NOUN PUNCT X NOUN ADV DET ADJ NOUN ADP DET NOUN ADP ADJ ADJ NOUN VERB ADJ ADP ADJ CCONJ ADJ NOUN
( He resumes pacing, then, spinning on his heels to avoid the wall, he veers round, stares you straight in the face, hands flared, fingers spread frozen in time and space, chin tucked in on itself like a gossiping neighbour, takes another deep breath through the nose, opens his mouth, swivels his eyes to left and right and walks clean out of the room.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	left and right	literal	identical	PUNCT PRON VERB VERB ADV VERB ADP ADJ NOUN PART VERB DET NOUN PRON VERB ADV VERB PRON ADV ADP DET NOUN NOUN VERB NOUN VERB VERB ADP NOUN CCONJ NOUN NOUN VERB PART ADP PRON ADP DET VERB NOUN VERB DET ADJ NOUN ADP DET NOUN VERB ADJ NOUN VERB ADJ NOUN ADP ADJ CCONJ INTJ CCONJ VERB ADJ ADP ADP DET NOUN
This means that left and right - handed users can safely start and use the saw.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET VERB ADP VERB CCONJ ADJ PUNCT ADJ NOUN VERB ADV VERB CCONJ VERB DET NOUN
This gives a typing line of 10″ ( page width 12.5″ minus left and right margins of 1.25″ each )	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	left and right	literal	identical	DET VERB DET NOUN NOUN ADP NOUN PUNCT NOUN NOUN NUM CCONJ ADJ CCONJ ADJ NOUN ADP NUM DET PUNCT
When we 've got the left and right hand side of the document which Joan's well on with at the moment, we can pencil in very lightly the jobs	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV PRON VERB VERB DET ADJ CCONJ ADJ NOUN NOUN ADP DET NOUN ADJ PROPN ADV PART ADP ADP DET NOUN PRON VERB VERB ADP ADV ADV DET NOUN
Ridging ploughs, with double ( left and right ) mould - boards, are used to set up ridges for potatoes and roots.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	NOUN NOUN ADP ADJ PUNCT ADJ CCONJ ADJ PUNCT NOUN PUNCT NOUN VERB VERB PART VERB PART NOUN ADP NOUN CCONJ NOUN
Transfer the 3rd and every following 5th stitch on to adjacent needles at left and right at centre 0, that is, with four stitches for cable at centre.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	VERB DET NOUN CCONJ DET VERB ADJ NOUN ADP ADP ADJ NOUN ADP ADJ CCONJ ADV ADP NOUN NUM ADV ADV ADP NUM NOUN ADP NOUN ADP NOUN
For left and right movements the VP must move to left and right of the CVR.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	left and right	literal	identical	ADP ADJ CCONJ ADJ NOUN DET PROPN VERB VERB ADP VERB CCONJ ADV ADP DET PROPN
A quick laborious glance left and right confirms the scarlet tip - tanks equidistant below the horizon.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET ADJ ADJ NOUN VERB CCONJ ADV VERB DET ADJ NOUN PUNCT NOUN NOUN ADP DET NOUN
Celgene has developed a patented method of isolating left- and right - handed versions of compounds known as amines, used as building blocks in a variety of drugs for cardiovascular diseases and central nervous system disorders.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	dashes	PROPN VERB VERB DET ADJ NOUN ADP VERB NOUN CCONJ ADJ PUNCT ADJ NOUN ADP NOUN VERB ADP NOUN VERB ADP NOUN NOUN ADP DET NOUN ADP NOUN ADP ADJ NOUN CCONJ ADJ ADJ NOUN NOUN
Fold the left and right - hand corners underneath the napkin on a slight diagonal, pressing folds lightly in place ( pic 3 ).	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	VERB DET ADJ CCONJ ADJ PUNCT NOUN NOUN ADP DET NOUN ADP DET ADJ ADJ VERB NOUN ADV ADP NOUN PUNCT NOUN NUM PUNCT
was seen as indicating that the initial registration of a stimulus ( the icon ) is equivalent in left and right hemispheres.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	left and right	literal	identical	VERB VERB ADP VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT DET NOUN PUNCT VERB ADJ ADP ADJ CCONJ ADJ NOUN
As I panted into Stranraer Gardens, following the no - hopers rule for cross - country —never run in a straight line — I was flailing my arms left and right and zigzagging at an angle of about ten degrees to the horizontal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP PRON VERB ADP PROPN PROPN VERB DET DET PUNCT NOUN NOUN ADP NOUN PUNCT NOUN PROPN VERB ADP DET ADJ NOUN PUNCT PRON VERB VERB ADJ NOUN VERB CCONJ NOUN CCONJ VERB ADP DET NOUN ADP ADV NUM NOUN ADP DET ADJ
Both should be learned ( on both left and right sticks ) to ensure success in some of these tricks.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET VERB VERB VERB PUNCT ADP DET ADJ CCONJ ADJ NOUN PUNCT PART VERB NOUN ADP DET ADP DET NOUN
As he spoke, various boys in various kinds of nation costume trooped from the left and right of the stage ; at the same moment, from beneath the stage, Mahmud started to poke a second flag up through the floorboards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP PRON VERB ADJ NOUN ADP ADJ NOUN ADP NOUN NOUN VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN PUNCT ADP DET ADJ NOUN ADP ADP DET NOUN PROPN VERB PART VERB DET ADJ NOUN PART ADP DET NOUN
This experiment hypothesises that this is indeed the case and that also males are more lateralised in both the left and right visual fields, and accordingly the right and left cerebral hemispheres respectively, than women.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET NOUN VERB ADP DET VERB ADV DET NOUN CCONJ ADP ADV NOUN VERB ADV VERB ADP CCONJ DET ADJ CCONJ ADJ ADJ NOUN CCONJ ADV DET NOUN CCONJ VERB ADJ NOUN ADV ADP NOUN
Depends, what you 're really concerned about is how does the proportion of traffic split to left and right and straight ahead isn't it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	left and right	literal	identical	VERB NOUN PRON VERB ADV ADJ ADP VERB ADV VERB DET NOUN ADP NOUN NOUN ADP ADJ CCONJ ADJ CCONJ ADV ADV VERB PRON
