She opened her eyes and said emphatically, ‘ No good.	0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB ADV PUNCT ADV ADJ
You opened up my eyes to what it's like when everything is right.	0 1 0 1 1 0 0 0 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	PRON VERB PART ADJ NOUN ADP NOUN PRON ADP ADV NOUN VERB ADJ
Rose opened her eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN
Shelley shook her head in mock despair at the state of his lungs, but she was reassured by the noise, and the way he sat up straight and opened his eyes, blinking in the brightness of the morning sun beneath the plane tree shade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ PRON VERB VERB ADP DET NOUN CCONJ DET NOUN PRON VERB PART ADV CCONJ VERB ADJ NOUN VERB ADP DET NOUN ADP DET NOUN NOUN ADP DET NOUN NOUN NOUN
The boy opened his eyes.	0 0 1 1 1	open someone's eyes	literal	combined-inflection	DET NOUN VERB ADJ NOUN
Three eclipses will activate parts of the Virgo horoscope, open your eyes to possibilities and ensure that you get out of any ruts.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	possessive	NUM NOUN VERB VERB NOUN ADP DET PROPN VERB VERB ADJ NOUN ADP NOUN CCONJ VERB ADP PRON VERB ADP ADP DET NOUN
The devil - man opened his eyes and shielded them against the brightness of the sky.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	DET NOUN PUNCT NOUN VERB ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADP DET NOUN
when she opened her eyes she was lying on one of the seats inside the shelter, and — horror of horrors!— a huge crowd had collected.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN PRON VERB VERB ADP NUM ADP DET NOUN ADP DET NOUN CCONJ PUNCT NOUN ADP PROPN DET ADJ NOUN VERB VERB
Marian opened her eyes suddenly.	0 1 1 1 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN ADV
When it finally stopped I opened my eyes, and though by this time I was prepared for anything I still felt slightly surprised to sec The Butcher threading a needle with a length of suture silk.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON ADV VERB PRON VERB ADJ NOUN CCONJ ADV ADP DET NOUN PRON VERB VERB ADP NOUN PRON ADV VERB ADV ADJ PART VERB DET PROPN VERB DET NOUN ADP DET NOUN ADP NOUN NOUN
It's a wonder I didn't kill Benjamin but, when I opened my eyes, two of the rogues were dead of huge gashes between shoulder and neck whilst Benjamin was on the point of driving his sword straight through the breast of a third.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON DET NOUN PRON VERB VERB PROPN CCONJ ADV PRON VERB ADJ NOUN NUM ADP DET NOUN VERB ADJ ADP ADJ NOUN ADP NOUN CCONJ NOUN ADP PROPN VERB ADP DET NOUN ADP VERB ADJ NOUN ADV ADP DET NOUN ADP DET NOUN
Teeny opened her eyes wide and gaped.	0 1 1 1 0 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN ADJ CCONJ VERB
She opened her eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
He had rolled over just a little, and opened his eyes.	0 0 0 0 0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB VERB PART ADV DET ADJ CCONJ VERB ADJ NOUN
I opened my eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
She blinked hard, then opened her eyes.	0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADV ADV VERB ADJ NOUN
Lou opened her eyes and sat up, looking bright and determined.	0 1 1 1 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN CCONJ VERB PART VERB ADJ CCONJ ADJ
He opened his eyes, his consciousness hazed and slowed by the kif he had smoked, and focused with difficulty on the watch on the bedside table.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADJ NOUN VERB CCONJ VERB ADP DET PROPN PRON VERB VERB CCONJ VERB ADP NOUN ADP DET NOUN ADP DET NOUN NOUN
Still it obstinately returned, and this time she opened her eyes, only to receive a jolt of shock as she focused.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON ADV VERB CCONJ DET NOUN PRON VERB ADJ NOUN ADV PART VERB DET NOUN ADP NOUN ADP PRON VERB
But I did not open my eyes until the firing had stopped.	0 0 0 0 1 1 1 0 0 0 0 0	open someone's eyes	literal	possessive	CCONJ PRON VERB ADV VERB ADJ NOUN ADP DET NOUN VERB VERB
When he opened his eyes, Mr Enoch Gebler was standing blinking over his half - glasses and smiling.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN PROPN PROPN PROPN VERB VERB VERB ADP ADJ ADJ PUNCT NOUN CCONJ VERB
Away from her mother and father and sister and grandmother was bad enough, but the worst thing for Belle was opening her eyes and seeing only the walls around her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV ADP ADJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN VERB ADJ ADV CCONJ DET ADJ NOUN ADP PROPN VERB VERB ADJ NOUN CCONJ VERB ADV DET NOUN ADP PRON
At last Cedric Mellings sighed, opened his eyes and, having thought out his position, leaned forward, and without looking at Alice but keeping his eyes down, said,"Very well, you took the money, if you say so.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADP ADJ PROPN PROPN VERB VERB ADJ NOUN CCONJ VERB VERB PART ADJ NOUN VERB ADV CCONJ ADP VERB ADP PROPN CCONJ VERB ADJ NOUN PART NOUN ADV PRON VERB DET NOUN ADP PRON VERB ADV
As go - between, the Spirit not only teaches us the truth of God, he opens our eyes to the one in whom that truth became incarnate, and guides us in our lives.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	ADP VERB PUNCT NOUN DET PROPN ADV ADV VERB PRON DET NOUN ADP PROPN PRON VERB ADJ NOUN ADP DET NOUN ADP NOUN ADP NOUN VERB ADJ CCONJ VERB PRON ADP ADJ NOUN
She opened her eyes and was aware of being in her mother's bed, where she had not been for over ten years.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB ADJ ADP VERB ADP ADJ NOUN NOUN ADV PRON VERB ADV VERB ADP ADP NUM NOUN
She opened her eyes and gazed at him in disbelief.	0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB ADP PRON ADP NOUN
It's like a bad dream, and you see a guy pointing a gun at you, but he's still there when you open your eyes, and he won't go away.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	open someone's eyes	literal	possessive	PRON ADP DET ADJ NOUN CCONJ PRON VERB DET NOUN VERB DET NOUN ADP PRON CCONJ PRON ADV ADV ADV PRON VERB ADJ NOUN CCONJ PRON VERB VERB ADV
He opened his eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
She opened her eyes in surprise.	0 1 1 1 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADP NOUN
So I closed all those books and it was then that I opened up my eyes and looked around me and said, ' Now I 'm reading '. '	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ DET NOUN CCONJ PRON VERB ADV ADP PRON VERB PART ADJ NOUN CCONJ VERB ADP PRON CCONJ VERB PUNCT ADV PRON VERB VERB PUNCT PUNCT
When the adventurers first arrive, Maximilian opens his eyes and begins to awaken ; from this moment on, he is gaining strength all the time.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV DET NOUN ADV VERB NOUN VERB ADJ NOUN CCONJ VERB PART VERB PUNCT ADP DET NOUN ADP PRON VERB VERB NOUN ADJ DET NOUN
‘ No doubt,’ said Viola, opening her eyes a fraction to peer malevolently from under the slits.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PUNCT INTJ PROPN VERB PROPN VERB ADJ NOUN DET NOUN PART VERB ADV ADP ADP DET NOUN
Lina opened her eyes once more.	0 1 1 1 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN ADV ADV
You can open your eyes.	0 0 1 1 1	open someone's eyes	literal	possessive	PRON VERB VERB ADJ NOUN
When Dorian opened his eyes, Lord Henry said, ‘ My dear Dorian, you must take care of yourself.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PROPN VERB ADJ NOUN PROPN PROPN VERB PUNCT ADJ ADJ NOUN PRON VERB VERB NOUN ADP PRON
She opened her eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
She turned her head slightly, opening her eyes to gaze at the firm, tanned hands clasping the wheel of the super - charged sports car that Ross had hired earlier that afternoon.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADV VERB ADJ NOUN PART VERB ADP DET NOUN VERB NOUN VERB DET NOUN ADP DET ADV PUNCT VERB NOUN NOUN ADJ PROPN VERB VERB ADV DET NOUN
Opened my eyes.	1 1 1	open someone's eyes	literal	combined-inflection	VERB ADJ NOUN
When she opened her eyes, Fernand had gone.	0 0 1 1 1 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN PROPN VERB VERB
When she opened her eyes, it was to see Stephen's mother standing by the bed.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN PRON VERB PART VERB PROPN NOUN VERB ADP DET NOUN
She opened her eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
Slowly, she opened her eyes.	0 0 1 1 1	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN
He half opened his eyes and saw the Jewish inscription just above him, much overgrown, but still quite recognizable.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON ADV VERB ADJ NOUN CCONJ VERB DET ADJ NOUN ADV ADP PRON ADJ NOUN CCONJ ADV ADV ADJ
She opened her eyes and cursed him for disturbing her silent thoughts.	0 1 1 1 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB PRON ADP VERB ADJ ADJ NOUN
As we bent over him, he opened his eyes and groaned.	0 0 0 0 0 0 1 1 1 0 0	open someone's eyes	literal	combined-inflection	ADP PRON VERB ADP PRON PRON VERB ADJ NOUN CCONJ VERB
Christopher ~ Columbus once met the child in Sentence 47456 and opened his eyes to the world.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	open someone's eyes	figurative	combined-inflection	PROPN PUNCT PROPN ADV VERB DET NOUN ADP PROPN NUM CCONJ VERB ADJ NOUN ADP DET NOUN
She opened her eyes, her tired mind gradually focusing on that name.	0 1 1 1 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADJ ADJ NOUN ADV VERB ADP DET NOUN
This gripping novels opens our eyes to another world, yet its themes are ones we all know.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	DET VERB NOUN VERB ADJ NOUN ADP DET NOUN CCONJ ADJ NOUN VERB NOUN PRON DET VERB
She opened her eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
A hand came down upon his shoulder and he opened his eyes again.	0 0 0 0 0 0 0 0 0 1 1 1 0	open someone's eyes	literal	combined-inflection	DET NOUN VERB PART ADP ADJ NOUN CCONJ PRON VERB ADJ NOUN ADV
She opened her eyes, but, like Lady Macbeth's, their sense was shut.	0 1 1 1 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ ADP PROPN PROPN ADJ NOUN VERB VERB
By the time Folly opened her eyes, Luke's lips were on hers, and all she could see was a few inches of gold - shadowed cheek and an ear.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADP DET NOUN PROPN VERB ADJ NOUN PROPN NOUN VERB ADP PRON CCONJ DET PRON VERB VERB VERB DET ADJ NOUN ADP NOUN PUNCT VERB NOUN CCONJ DET NOUN
He opened his eyes and started as he recognised the white anxious face, staring green eyes and tousled hair of his servant, Ranulf, whom he had last seen in the infirmary of Tynemouth Priory.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB ADP PRON VERB DET ADJ ADJ NOUN VERB ADJ NOUN CCONJ VERB NOUN ADP ADJ NOUN PROPN NOUN PRON VERB ADV VERB ADP DET NOUN ADP PROPN PROPN
Irena had opened her eyes.	0 0 1 1 1	open someone's eyes	literal	combined-inflection	PROPN VERB VERB ADJ NOUN
In straining to see, he opened his eyes, body and mind converging once again.	0 0 0 0 0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADP VERB PART VERB PRON VERB ADJ NOUN NOUN CCONJ NOUN VERB ADV ADV
If this bit does refer to you, open your eyes, take a look around you, see what's going on and do something.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	possessive	ADP DET NOUN VERB VERB ADP PRON VERB ADJ NOUN VERB DET NOUN ADP PRON VERB NOUN VERB PART CCONJ VERB NOUN
‘ Any use to you?’ he asked, snapping open his eyes as he heard the rustle of her skirt as she changed position.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	possessive	PUNCT DET NOUN PART PROPN PRON VERB VERB ADJ ADJ NOUN ADP PRON VERB DET NOUN ADP ADJ NOUN ADP PRON VERB NOUN
Phoebe opened her eyes and saw the abstracted professional look in the doctor's face ; attentive not to Phoebe but to the lump, to the breast itself.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN CCONJ VERB DET VERB ADJ NOUN ADP DET NOUN NOUN PUNCT ADJ ADV ADP PROPN CCONJ ADP DET NOUN ADP DET NOUN PRON
Edward opened his eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN
' Open your eyes, Gina — see for yourself. '	0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PUNCT VERB ADJ NOUN PROPN PUNCT VERB ADP PRON PUNCT
He groaned, opened his eyes and lapsed into a swoon.	0 0 1 1 1 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB VERB ADJ NOUN CCONJ VERB ADP DET NOUN
She opened her eyes again, winked at Thérèse.	0 1 1 1 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADV VERB ADP PROPN
Then the old lady pressed Theda's hand and opened her eyes.	0 0 0 0 0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	ADV DET ADJ NOUN VERB PROPN NOUN CCONJ VERB ADJ NOUN
Not until the two women hoisted him up by the armpits did he open his eyes and look at them both, one after the other, usually with the remark : " This is a life.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	possessive	ADV ADP DET NUM NOUN VERB PRON PART ADP DET NOUN VERB PRON VERB ADJ NOUN CCONJ VERB ADP PRON DET NUM ADP DET ADJ ADV ADP DET NOUN PUNCT PUNCT DET VERB DET NOUN
Lazlo Woodbine opened his eyes.	0 0 1 1 1	open someone's eyes	literal	combined-inflection	PROPN PROPN VERB ADJ NOUN
Then a visitor laughed, and Irene opened her eyes.	0 0 0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	ADV DET NOUN VERB CCONJ PROPN VERB ADJ NOUN
In his magisterial book The Rise and Fall of Communism, Archie ~ Brown notes how travel abroad opened Mikhail ~ Gorbachev's eyes to the failure of the system that he had lived under all his life.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	ADP ADJ ADJ NOUN DET NOUN CCONJ NOUN ADP PROPN PROPN PUNCT PROPN VERB ADV NOUN ADV VERB PROPN PUNCT PROPN NOUN ADP DET NOUN ADP DET NOUN ADJ PRON VERB VERB ADP ADJ ADJ NOUN
Suragai opened his eyes wide.	0 1 1 1 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN ADJ
This business tonight has opened my eyes.’	0 0 0 0 1 1 1	open someone's eyes	figurative	combined-inflection	DET NOUN NOUN VERB VERB ADJ NOUN
He appeared to be dozing because he did not notice her approach, nor open his eyes, until she had parted the branches and was looking down at him.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	possessive	PRON VERB PART VERB VERB ADP PRON VERB ADV VERB ADJ NOUN CCONJ VERB ADJ NOUN ADP PRON VERB VERB DET NOUN CCONJ VERB VERB PART ADP PRON
The attempted bombing of a Detroit - bound airliner on Christmas ~ Day by a young Nigerian man trained by Al ~ Qaeda in Yemen appeared to open the West's eyes to the country's problems.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	open someone's eyes	figurative	combined-inflection	DET VERB NOUN ADP DET PROPN PUNCT VERB NOUN ADP PROPN PUNCT NOUN ADP DET ADJ ADJ NOUN VERB ADP PROPN PUNCT PROPN ADP PROPN VERB PART VERB DET PROPN NOUN ADP DET NOUN NOUN
It was Strongheart's manifest mental activity which opened his eyes to the mental process present in all living creatures.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	PRON VERB PROPN ADJ ADJ NOUN ADJ VERB ADJ NOUN ADP DET ADJ NOUN ADJ ADP DET VERB NOUN
Preston opened his eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN
Carla Ryan opened her eyes.	0 0 1 1 1	open someone's eyes	literal	combined-inflection	PROPN PROPN VERB ADJ NOUN
' Open your eyes, ' he commanded huskily, and when she did so the look on his face set her blood racing.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PUNCT VERB ADJ NOUN PUNCT PRON VERB ADV CCONJ ADV PRON VERB ADV DET NOUN ADP ADJ NOUN VERB ADJ NOUN NOUN
Then the Lad darted across the room like a fleeing hare, and vanished, and Calatin opened his eyes and looked right at them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV DET PROPN VERB ADP DET NOUN ADP DET VERB NOUN CCONJ VERB CCONJ PROPN VERB ADJ NOUN CCONJ VERB ADJ ADP PRON
He opened his eyes, blinked, and saw the bowl of mulled wine.	0 1 1 1 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN VERB CCONJ VERB DET NOUN ADP ADJ NOUN
and she to she took about three minutes before she opened her eyes and came round.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	open someone's eyes	literal	combined-inflection	CCONJ PRON ADP PRON VERB ADV NUM NOUN ADP PRON VERB ADJ NOUN CCONJ VERB ADV
Claudia opened her eyes wide, unable to believe she had heard him say ‘ our wedding’.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	NOUN VERB ADJ NOUN ADJ ADJ PART VERB PRON VERB VERB PRON VERB PUNCT ADJ NOUN
‘ The whole thing,’ choked Tug, opening his eyes.	0 0 0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	PUNCT DET ADJ NOUN VERB PROPN VERB ADJ NOUN
Open your eyes, and know it! '	1 1 1 0 0 0 0	open someone's eyes	figurative	combined-inflection	VERB ADJ NOUN CCONJ VERB PRON PUNCT
Clara Beeding opened her eyes and looked quite relieved to see Jasper Lewens, Tracy Johnson and the guy with the wart.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN PROPN VERB ADJ NOUN CCONJ VERB ADV ADJ PART VERB PROPN PROPN PROPN PROPN CCONJ DET NOUN ADP DET NOUN
Yes, it opened my eyes to the plight of socialists and Labour Party members in England and to the fact that not all the English voted Tory, particularly in the north.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	INTJ PRON VERB ADJ NOUN ADP DET NOUN ADP NOUN CCONJ PROPN PROPN NOUN ADP PROPN CCONJ ADP DET NOUN ADP ADV ADJ DET PROPN VERB PROPN ADV ADP DET NOUN
He wakes her gently, and as she opens her eyes, he says to her.	0 0 0 0 0 0 0 1 1 1 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB PRON ADV CCONJ ADP PRON VERB ADJ NOUN PRON VERB ADP PRON
She had no idea how exhausted she would be, how lethargic, and she opened her eyes slowly to find him watching her, his breathing still ragged.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB DET NOUN ADV ADJ PRON VERB VERB ADV ADJ CCONJ PRON VERB ADJ NOUN ADV PART VERB PRON VERB PRON ADJ NOUN ADV VERB
