I mean ah, garlic to me is an unknown quantity.	0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	identical	PRON VERB INTJ ADJ ADP PRON VERB DET ADJ NOUN
This would allow greater flexibility for chivvying around to fit, at that stage, an unknown quantity of text.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	unknown quantity	figurative	identical	DET VERB VERB ADJ NOUN ADP VERB PART PART VERB ADP DET NOUN DET ADJ NOUN ADP NOUN
A bit of an unknown quantity now, their most crucial result in the qualifiers was the goalless draw with the Soviet Union in Vienna.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	DET NOUN ADP DET ADJ NOUN ADV ADJ ADV ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN ADP DET PROPN PROPN ADP PROPN
There are too many unknown quantities in the complex equation regarding number of bodies, quantity of fuel, rate of woodland regeneration and time, to be able to calculate what impact the presence of a large cremation cemetery would have had on the landscape.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	inflection	ADV VERB ADV ADJ ADJ NOUN ADP DET ADJ NOUN VERB NOUN ADP NOUN NOUN ADP NOUN NOUN ADP NOUN NOUN CCONJ NOUN PART VERB ADJ PART VERB ADJ NOUN DET NOUN ADP DET ADJ NOUN NOUN VERB VERB VERB ADP DET NOUN
Whaddon YMCA were a completely unknown quantity.	0 0 0 0 0 1 1	unknown quantity	figurative	identical	PROPN PROPN VERB DET ADV ADJ NOUN
Similarly Eric Elwood, whose attitude was so positive and who played such an influential role in his two matches, was too much of an unknown quantity for the selectors to risk selection.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	unknown quantity	figurative	identical	ADV PROPN PROPN ADJ NOUN VERB ADV ADJ CCONJ NOUN VERB ADJ DET ADJ NOUN ADP ADJ NUM NOUN VERB ADV ADJ ADP DET ADJ NOUN ADP DET NOUN PART VERB NOUN
However, this option, quite aside from the misgivings his lordship was bound to have as regards gossip travelling, entailed my having to rely on unknown quantities just when a mistake could prove most costly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	unknown quantity	figurative	inflection	ADV DET NOUN ADV ADV ADP DET NOUN ADJ NOUN VERB VERB PART VERB ADP NOUN NOUN VERB VERB ADJ NOUN PART VERB ADP ADJ NOUN ADV ADV DET NOUN VERB VERB ADV ADJ
The British Olympic yachting team, which a week ago was an unknown quantity, has now come into sharper focus with three representatives chosen, and others emerging.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	DET ADJ ADJ NOUN NOUN ADJ DET NOUN ADV VERB DET ADJ NOUN VERB ADV VERB ADP ADJ NOUN ADP NUM NOUN VERB CCONJ NOUN VERB
For example, the incidental take from squid gill - net fisheries by Taiwan and Korea was unreported and therefore an unknown quantity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	identical	ADP NOUN DET ADJ NOUN ADP ADJ NOUN PUNCT ADJ NOUN ADP PROPN CCONJ PROPN VERB ADJ CCONJ ADV DET ADJ NOUN
The strength of the opposition is an unknown quantity, but in last week's game against Yorkshire, who won only by seven runs, Stellenbosch had the Hampshire captain, Mark Nicholas guesting for them.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	DET NOUN ADP DET NOUN VERB DET ADJ NOUN CCONJ ADP ADJ NOUN NOUN ADP PROPN NOUN VERB ADV ADP NUM NOUN PROPN VERB DET PROPN NOUN PROPN PROPN VERB ADP PRON
With them, it is true, the workers and the soldier - masses - the peasants an unknown quantity - but after all the Bolsheviki were a political faction not rich in trained and educated men ....	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	ADP PRON PRON VERB ADJ DET NOUN CCONJ DET NOUN PUNCT NOUN PUNCT DET NOUN DET ADJ NOUN PUNCT CCONJ ADP ADJ DET PROPN VERB DET ADJ NOUN ADV ADJ ADP VERB CCONJ VERB NOUN PUNCT
A certain, if unknown, quantity of the pottery was coil made, and the decorated pottery tends to be finer and thinner - walled than the undecorated.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	dashes	DET ADJ ADP ADJ NOUN ADP DET NOUN VERB ADV VERB CCONJ DET ADJ NOUN VERB PART VERB ADJ CCONJ ADJ PUNCT ADJ ADP DET ADJ
Cook, an English university student, is an unknown quantity, last competing in Shankill in September 1992 by taking the Class Three Singles.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	PROPN DET PROPN NOUN NOUN VERB DET ADJ NOUN ADJ VERB ADP PROPN ADP PROPN NUM ADP VERB DET PROPN NUM PROPN
Whatever it was they were after, it was an unknown quantity, unknown, that is, except for a lethal ferocity.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	ADJ PRON VERB PRON VERB ADV PRON VERB DET ADJ NOUN ADJ ADV ADV ADP ADP DET ADJ NOUN
After all, Luke was still something of an unknown quantity, and she had to be sure of her ground when the right moment came, otherwise he would annihilate her.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	ADV ADV PROPN VERB ADV NOUN ADP DET ADJ NOUN CCONJ PRON VERB PART VERB ADJ ADP ADJ NOUN ADV DET ADJ NOUN VERB ADV PRON VERB VERB PRON
An unknown quantity of cash has also gone missing.	0 1 1 0 0 0 0 0 0	unknown quantity	literal	identical	DET ADJ NOUN ADP NOUN VERB ADV VERB VERB
Her younger sister and successor Elizabeth was much more of an unknown quantity.	0 0 0 0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	identical	ADJ ADJ NOUN CCONJ VERB PROPN VERB ADV ADJ ADP DET ADJ NOUN
Absurdly, she felt jealous of Student Cross as of some unknown quantity, some hidden source of fascination, whose attraction she could neither understand nor compete with.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	unknown quantity	figurative	identical	ADV PRON VERB ADJ ADP PROPN PROPN ADP ADP DET ADJ NOUN DET ADJ NOUN ADP NOUN ADJ NOUN PRON VERB CCONJ VERB CCONJ VERB ADP
On the other hand, wind - power ~ plants on the high seas are an option with many unknown quantities.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	inflection	ADP DET ADJ NOUN NOUN PUNCT NOUN PUNCT NOUN ADP DET ADJ NOUN VERB DET NOUN ADP ADJ ADJ NOUN
A conceivable problem for the Solo is its price — £ 39,850 is a lot to pay for an unknown quantity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	identical	DET ADJ NOUN ADP DET PROPN VERB ADJ NOUN PUNCT SYM NUM VERB DET NOUN PART VERB ADP DET ADJ NOUN
In Jamaica I had never seen a white person ; to us youngsters they were an unknown quantity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	unknown quantity	figurative	identical	ADP PROPN PRON VERB ADV VERB DET ADJ NOUN PUNCT ADP PRON NOUN PRON VERB DET ADJ NOUN
