Cut down to the bone to avoid excessive wastage.	0 0 1 0 1 0 0 0 0	to the bone	literal	identical	VERB PART ADP DET NOUN PART VERB ADJ NOUN
has frazzled my patchwork wings to the bone.	0 0 0 0 0 1 0 1	to the bone	figurative	identical	VERB VERB ADJ NOUN NOUN ADP DET NOUN
The teeth were fused to specialised bones of attachment, and the hollow centre of each tooth is the root canal which was filled with blood vessels and nerves.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	determiner-broad	DET NOUN VERB VERB ADP ADJ NOUN ADP NOUN CCONJ DET ADJ NOUN ADP DET NOUN VERB DET NOUN NOUN ADJ VERB VERB ADP NOUN NOUN CCONJ NOUN
His mockery, which he meant as love, frightened and cut her to the bone.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	ADJ NOUN ADJ PRON VERB ADP NOUN VERB CCONJ VERB PRON ADP DET NOUN
Unfortunately, most of the early studies on owl digestion have been carried out on species that do little damage to the bones of their prey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	to the bone	literal	inflection	ADV ADJ ADP DET ADJ NOUN ADP NOUN NOUN VERB VERB VERB PART ADP NOUN ADJ VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN
One of Mr Smith's fingers was cut to the bone in the attack, which was prompted by a row over a noisy motorcycle, it was heard.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	identical	NUM ADP PROPN PROPN NOUN VERB VERB ADP DET NOUN ADP DET NOUN ADJ VERB VERB ADP DET NOUN ADP DET ADJ NOUN PRON VERB VERB
Terrible clouds, capable of stripping men to the bone, were turned aside by magical winds.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	to the bone	figurative	identical	ADJ NOUN ADJ ADP VERB NOUN ADP DET NOUN VERB VERB ADV ADP ADJ NOUN
One of the MPs says any further reduction in spending would cut Britain's defence to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	NUM ADP DET PROPN VERB DET ADJ NOUN ADP NOUN VERB VERB PROPN NOUN ADP DET NOUN
In 1834 Little went to study with Johannes Müller at the University of Berlin in order to discover what could be done to correct his deformity, which English surgeons refused to treat, leaving it to the bone - setters.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	to the bone	literal	identical	ADP NUM PROPN VERB PART VERB ADP PROPN PROPN ADP DET PROPN ADP PROPN ADP NOUN PART VERB NOUN VERB VERB VERB PART VERB ADJ NOUN ADJ ADJ NOUN VERB PART VERB VERB PRON ADP DET NOUN PUNCT NOUN
Away, stripping these sweethearts to the bone.	0 0 0 0 1 0 1	to the bone	figurative	identical	ADV VERB DET NOUN ADP DET NOUN
Have the doctor check the ankle for injury to the bone and, if none is indicated, firmly bandage the foot so that the ankle is supported.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	identical	VERB DET NOUN VERB DET NOUN ADP NOUN ADP DET NOUN CCONJ ADP NOUN VERB VERB ADV VERB DET NOUN ADP ADP DET NOUN VERB VERB
And no gratitude — your Auntie can slave for you, work her fingers to the bone, but it's Miss Green gets the thank yous!	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	to the bone	figurative	identical	CCONJ DET NOUN PUNCT ADJ PROPN VERB VERB ADP PRON VERB ADJ NOUN ADP DET NOUN CCONJ PRON PROPN PROPN VERB DET NOUN ADJ
Pins were inserted into the breaks and steel bars attached to the bones.	0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	literal	inflection	NOUN VERB VERB ADP DET NOUN CCONJ NOUN NOUN VERB ADP DET NOUN
Our own arm bones correspond roughly to the bird wing bones.	0 0 0 0 0 0 1 0 0 0 1	to the bone	literal	combined-inflection	ADJ ADJ NOUN NOUN VERB ADV ADP DET NOUN NOUN NOUN
With budget cuts slicing the agency's own scientific staff to the bone, that leaves the agency with plenty of bureaucrats, but fewer experts than ever.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	ADP NOUN NOUN VERB DET NOUN ADJ ADJ NOUN ADP DET NOUN ADJ VERB DET NOUN ADP NOUN ADP NOUN CCONJ ADJ NOUN ADP ADV
However, syphilis is a systemic infection and, if the treponeme is looked for, it will be found to be affecting many different organs in the body, from the liver to the lungs and the brain to the bones.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	literal	inflection	ADV NOUN VERB DET ADJ NOUN CCONJ ADP DET NOUN VERB VERB ADP PRON VERB VERB VERB PART VERB VERB ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN
He was cold to the bone and his clothes were wet through, but still he knelt there, waiting.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	PRON VERB ADJ ADP DET NOUN CCONJ ADJ NOUN VERB ADJ ADP CCONJ ADV PRON VERB ADV VERB
The carcass has a high proportion of meat to bone and the meat is well marbled.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	to the bone	literal	deletion-determiner	DET NOUN VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ DET NOUN VERB ADV VERB
The company preferred to invest in well trained staff rather than cut overheads to the bone, and many have been 20 years in the trade.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	DET NOUN VERB PART VERB ADP ADV VERB NOUN ADV ADP VERB NOUN ADP DET NOUN CCONJ ADJ VERB VERB NUM NOUN ADP DET NOUN
It tastes delicious and I pick it to the bone like a meticulous cat.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	to the bone	literal	identical	PRON VERB ADJ CCONJ PRON VERB PRON ADP DET NOUN ADP DET ADJ NOUN
By that time I was chilled to the bone, exhausted from the relentless battering of the traffic, sullen and depressed.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	ADP DET NOUN PRON VERB VERB ADP DET NOUN VERB ADP DET ADJ NOUN ADP DET NOUN VERB CCONJ ADJ
You 're pure Slattery, to the bone, with never a joke in your body.’	0 0 0 0 1 0 1 0 0 0 0 0 0 0	to the bone	figurative	identical	PRON VERB ADJ PROPN ADP DET NOUN ADP ADV DET NOUN ADP ADJ NOUN
We are cut right to the bone.’	0 0 0 0 1 0 1	to the bone	figurative	dashes	PRON VERB VERB ADJ ADP DET NOUN
The mockery couldn't disguise the aggressive determination which chilled her to the bone.	0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	DET NOUN VERB VERB DET ADJ NOUN ADJ VERB PRON ADP DET NOUN
It had been in his eyes when he lay on the bed staring rigidly at the ceiling, a terrifying, heart - rending pain that cut her to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	PRON VERB VERB ADP ADJ NOUN ADV PRON VERB ADP DET NOUN VERB ADV ADP DET NOUN DET ADJ NOUN PUNCT VERB NOUN ADJ VERB PRON ADP DET NOUN
What happened to the bones and the teeth you you collected?	0 0 1 0 1 0 0 0 0 0 0	to the bone	literal	inflection	NOUN VERB ADP DET NOUN CCONJ DET NOUN PRON PRON VERB
Without silicon, plant growth is retarded and animals do not grow properly ( they also suffer damage to their bones and cartilage ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	to the bone	literal	determiner-broad	ADP NOUN NOUN NOUN VERB ADJ CCONJ NOUN VERB ADV VERB ADV PUNCT PRON ADV VERB NOUN ADP ADJ NOUN CCONJ NOUN PUNCT
The new design should be a better fit, and so reduce the damage to the bone after an implant.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	to the bone	literal	identical	DET ADJ NOUN VERB VERB DET ADJ NOUN CCONJ ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN
Anything would have been better than this ice - cold contempt that cut her to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	NOUN VERB VERB VERB ADJ ADP DET NOUN PUNCT ADJ NOUN ADJ VERB PRON ADP DET NOUN
A gulp from the coffee thermos, however, brought the first faint warmth to his bones as they paddled into a thickening mist.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	to the bone	figurative	determiner-broad	DET NOUN ADP DET NOUN NOUN ADV VERB DET ADJ ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADP DET NOUN NOUN
The modifications to small mammal bone produced by weathering are different from those described by Behrensmeyer ( 1978 ) for large mammals ( summarized in Table 1.3 ), but they are readily distinguishable from other types of modification produced by trampling, by soil corrosion and attrition or by digestion.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	combined-other	DET NOUN ADP ADJ ADJ NOUN VERB ADP VERB VERB ADJ ADP DET VERB ADP PROPN PUNCT NUM PUNCT ADP ADJ NOUN PUNCT VERB ADP PROPN NUM PUNCT CCONJ PRON VERB ADV ADJ ADP ADJ NOUN ADP NOUN VERB ADP VERB ADP NOUN NOUN CCONJ NOUN CCONJ ADP NOUN
The single small pellet collection came from the desert in Qatar ( Table 2.3 ), and the analysis of bones from this desert variety shows remarkable similarity to the bone assemblage from Sweden despite the great difference in species composition and diversity of the prey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	identical	DET ADJ ADJ NOUN NOUN VERB ADP DET NOUN ADP PROPN PUNCT PROPN NUM PUNCT CCONJ DET NOUN ADP NOUN ADP DET NOUN NOUN VERB ADJ NOUN ADP DET NOUN NOUN ADP PROPN ADP DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN ADP DET NOUN
But Laura was a piranha ; she 'd have chewed him down to the bone if he had let her.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	to the bone	figurative	identical	CCONJ PROPN VERB DET NOUN PUNCT PRON VERB VERB VERB PRON PART ADP DET NOUN ADP PRON VERB VERB PRON
The bone is very thin at this point, so that damage to the bone, and subsequent loss of the incisor, occurs to some degree in all of the predator assemblages ( Fig. 3.14 F, G - H ).	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	identical	DET NOUN VERB ADV ADJ ADP DET NOUN ADP DET NOUN ADP DET NOUN CCONJ ADJ NOUN ADP DET NOUN VERB ADP DET NOUN ADP DET ADP DET NOUN NOUN PUNCT PROPN NUM PROPN PROPN PUNCT NOUN PUNCT
Dutch to the bone, his ambition was to paint the world realistically.	0 1 0 1 0 0 0 0 0 0 0 0	to the bone	figurative	identical	ADJ ADP DET NOUN ADJ NOUN VERB PART VERB DET NOUN ADV
His sigh was heavy, though, and she felt it all the way through to her bones.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	determiner-broad	ADJ NOUN VERB ADJ ADV CCONJ PRON VERB PRON ADJ DET NOUN ADP ADP ADJ NOUN
With staffing already cut to the bone, it was union members who would suffer the effects of these new redundancies, which would also be felt by the economy.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	ADP NOUN ADV VERB ADP DET NOUN PRON VERB NOUN NOUN NOUN VERB VERB DET NOUN ADP DET ADJ NOUN ADJ VERB ADV VERB VERB ADP DET NOUN
The bat's air - borne clicks bounce off insects, whereas water - borne sounds pass through the tissues of a fish to the bone and swim bladder.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	to the bone	literal	identical	DET NOUN NOUN PUNCT VERB NOUN VERB PART NOUN ADP NOUN PUNCT VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN CCONJ VERB NOUN
Bad down to the bones.	0 0 1 0 1	to the bone	figurative	inflection	ADJ ADP ADP DET NOUN
The target unit is chilled to the bone, causing limbs to snap and weapons to break.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	to the bone	figurative	identical	DET NOUN NOUN VERB VERB ADP DET NOUN VERB NOUN PART VERB CCONJ NOUN PART VERB
He also points out that legs used to regular running have muscles concentrated at the top, with a system of tendons working the leg attached to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	literal	identical	PRON ADV VERB PART ADP NOUN VERB ADP ADJ NOUN VERB NOUN VERB ADP DET NOUN ADP DET NOUN ADP NOUN VERB DET NOUN VERB ADP DET NOUN
We all share the view that local authority services should be provided by highly motivated, highly trained professional staff but local authorities have had their budgets cut from central government over the last thirteen years which has restricted the amount of finance available for training and has cut to the bone the finance available to provide efficient and effective services to the consumer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	PRON DET VERB DET NOUN ADP ADJ NOUN NOUN VERB VERB VERB ADP ADV ADJ ADV VERB ADJ NOUN CCONJ ADJ NOUN VERB VERB ADJ NOUN VERB ADP ADJ NOUN ADP DET ADJ NUM NOUN ADJ VERB VERB DET NOUN ADP NOUN ADJ ADP NOUN CCONJ VERB VERB ADP DET NOUN DET NOUN ADJ PART VERB ADJ CCONJ ADJ NOUN ADP DET NOUN
The headmaster was getting a little too close to the bone for my liking, so I decided to go on the defensive.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	DET NOUN VERB VERB DET ADJ ADV ADJ ADP DET NOUN ADP ADJ NOUN CCONJ PRON VERB PART VERB ADP DET NOUN
Down to a skeleton staff, half a million pounds in debt and with the smallest county staff cut to the bone by an injury crisis, Kim Barnett's side worked a miracle.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	ADP ADP DET NOUN NOUN ADJ DET NUM NOUN ADP NOUN CCONJ ADP DET ADJ NOUN NOUN VERB ADP DET NOUN ADP DET NOUN NOUN PROPN PROPN NOUN VERB DET NOUN
When the prophet Ezekiel was in the valley of bones he prophesied to the bones and made them join up together.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	to the bone	literal	inflection	ADV DET NOUN PROPN VERB ADP DET NOUN ADP NOUN PRON VERB ADP DET NOUN CCONJ VERB PRON VERB PART ADV
Vitamin D assists in transporting calcium to the bones, and a deficiency can cause both muscle weakness and bone disorders.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	inflection	NOUN NOUN NOUN ADP VERB NOUN ADP DET NOUN CCONJ DET NOUN VERB VERB DET NOUN NOUN CCONJ NOUN NOUN
To the nerve, to the bone.	0 0 0 1 0 1	to the bone	figurative	identical	ADP DET NOUN ADP DET NOUN
If you work your own land you will work it until you 're dead to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	ADP PRON VERB ADJ ADJ NOUN PRON VERB VERB PRON ADP PRON VERB ADJ ADP DET NOUN
She moulded rice and puréed sprouts, slid paper garters on to lamb bones and rolled slices of beaten meat around stuffings which, as often as not, contained pine kernels.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	determiner-broad	PRON VERB NOUN CCONJ NOUN NOUN VERB NOUN NOUN ADP ADP NOUN NOUN CCONJ VERB NOUN ADP VERB NOUN ADP NOUN ADJ ADV ADV ADP ADV VERB ADJ NOUN
He had been about to open the door into the kitchen, but now he turned and looked at her, and his next words cut her to the bone as they were apt to do when they spat the truth at her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	PRON VERB VERB ADP PART VERB DET NOUN ADP DET NOUN CCONJ ADV PRON VERB CCONJ VERB ADP PRON CCONJ ADJ ADJ NOUN VERB PRON ADP DET NOUN ADP PRON VERB ADJ PART VERB ADV PRON VERB DET NOUN ADP PRON
My feet hurt so much, I think that I must have run them right through to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	ADJ NOUN VERB ADV ADV PRON VERB ADP PRON VERB VERB VERB PRON ADV ADP ADP DET NOUN
Marks had grown greyer, more hairy, more stringy in the years - since their last meeting but he was the same man, shrewd, cynical, and a cop to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	NOUN VERB VERB NOUN ADV ADJ ADV ADJ ADP DET NOUN PUNCT ADP ADJ ADJ NOUN CCONJ PRON VERB DET ADJ NOUN ADJ ADJ CCONJ DET NOUN ADP DET NOUN
However, it has been subjected to a most rigorous French testing and evaluation scheme since its formation in the 1960s and the emphasis is on fast growth rates, lean meat, a high proportion of meat to bone and ease of calving.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	to the bone	literal	deletion-determiner	ADV PRON VERB VERB VERB ADP DET ADV ADJ ADJ NOUN CCONJ NOUN NOUN ADP ADJ NOUN ADP DET NOUN CCONJ DET NOUN VERB ADP ADJ NOUN NOUN ADJ NOUN DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN ADP NOUN
Her hands, white to the knuckle - bone, rested lightly on his shoulders.	0 0 0 1 0 0 0 1 0 0 0 0 0	to the bone	literal	combined-other	ADJ NOUN ADJ ADP DET ADJ PUNCT NOUN VERB ADV ADP ADJ NOUN
Since most of the prostatic cancers detected in this study had not metastasised to bone and were well or moderately well differentiated these patients might have suffered if detection had been delayed.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	deletion-determiner	ADP ADJ ADP DET ADJ NOUN VERB ADP DET NOUN VERB ADV VERB PART NOUN CCONJ VERB ADV CCONJ ADV ADV VERB DET NOUN VERB VERB VERB ADP NOUN VERB VERB VERB
I 'm chilled to the bone.	0 0 0 1 0 1	to the bone	figurative	identical	PRON NOUN VERB ADP DET NOUN
In studies of small mammal decay, it has been found that in hot climates the soft parts decay and the carcase is reduced to bone and sinew within 6–8 days ( Korth, 1979 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	to the bone	literal	deletion-determiner	ADP NOUN ADP ADJ ADJ NOUN PRON VERB VERB VERB ADP ADP ADJ NOUN DET ADJ NOUN NOUN CCONJ DET NOUN VERB VERB ADP NOUN CCONJ VERB ADP NUM NOUN PUNCT PROPN NUM PUNCT
The warning came from the all party, defence select committee, whose Conservative chairman said the country's defence capability had already been pared to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	DET NOUN VERB ADP DET DET NOUN NOUN ADJ NOUN ADJ ADJ NOUN VERB DET NOUN NOUN NOUN VERB ADV VERB VERB ADP DET NOUN
Right to the bone.	0 1 0 1	to the bone	figurative	identical	ADV ADP DET NOUN
Fitzsimmons broke Jeffries nose, cut both cheeks to the bone, but Jeffries landed a right to the stomach and a left hook to the jaw and ‘ Fitz’ was counted out.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	identical	NOUN VERB PROPN VERB VERB DET NOUN ADP DET NOUN CCONJ PROPN VERB DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN ADP DET NOUN CCONJ ADJ PROPN VERB VERB PART
She said housing policies in local authorities varied enormously, with some ‘ cutting their legal responsibility to the bone’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	dashes	PRON VERB NOUN NOUN ADP ADJ NOUN VERB ADV ADP DET PRON VERB ADJ ADJ NOUN ADP DET NOUN
Worse still, he was ungrateful : everyone told him that his mother had had a hard life, that she worked her fingers to the bone, but it meant nothing to him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	to the bone	figurative	identical	ADV ADV PRON VERB ADJ PUNCT NOUN VERB PRON ADP ADJ NOUN VERB VERB DET ADJ NOUN ADP PRON VERB ADJ NOUN ADP DET NOUN CCONJ PRON VERB NOUN ADP PRON
Nottingham Crown Court was told that by the age of nine weeks, the child had fractures to both collar bones, both legs and an arm as well as a broken skull.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	combined-inflection	PROPN PROPN PROPN VERB VERB ADP ADP DET NOUN ADP NUM NOUN DET NOUN VERB NOUN ADP DET NOUN NOUN DET NOUN CCONJ DET NOUN ADV ADV ADP DET ADJ NOUN
To overcome this problem corals can be hydrothermally converted to calcium phosphate, producing an implant material with a chemical composition closer to natural bone while retaining the open porosity of the original coral.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	to the bone	literal	determiner-broad	PART VERB DET NOUN NOUN VERB VERB ADV VERB ADP NOUN NOUN VERB DET ADJ NOUN ADP DET NOUN NOUN ADV ADP ADJ NOUN ADP VERB DET ADJ NOUN ADP DET ADJ NOUN
He has cut short - term interest rates to the bone.	0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	PRON VERB VERB ADJ PUNCT NOUN NOUN NOUN ADP DET NOUN
The main attachment points of these muscles to the bones are on the shoulders, the base of the skull and the middle of the back.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	inflection	DET ADJ NOUN NOUN ADP DET NOUN ADP DET NOUN VERB ADP DET NOUN DET NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN
Her measuring glance moved to the corner of his mouth, where the line of his lips was prolonged in a short red scar, and then to his cheek - bone, which bore a suggestive blue stain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	to the bone	literal	combined-other	ADJ VERB NOUN VERB ADP DET NOUN ADP ADJ NOUN ADV DET NOUN ADP ADJ NOUN VERB VERB ADP DET ADJ ADJ NOUN CCONJ ADV ADP ADJ NOUN PUNCT NOUN ADJ VERB DET ADJ ADJ NOUN
This machinery is bulky and does little to provide the ' shock ' to bones of earthbound exercise that they apparently require for health.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	to the bone	literal	deletion-determiner	DET NOUN VERB ADJ CCONJ VERB ADJ PART VERB DET PUNCT NOUN PUNCT ADP NOUN ADP ADJ NOUN ADJ PRON ADV VERB ADP NOUN
