My neighbours were anxious to have some work done on their house.	0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN	▁My ▁neighbours ▁were ▁anxious ▁to ▁have ▁some ▁work ▁done ▁on ▁their ▁house .	0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN NOUN
' People will slowly discover they can put down a five per cent deposit on a house without losing it in six months, ' he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	PUNCT NOUN VERB ADV VERB PRON VERB VERB PART DET NUM NOUN NOUN NOUN ADP DET NOUN ADP VERB PRON ADP NUM NOUN PUNCT PRON VERB	▁' ▁People ▁will ▁slowly ▁discover ▁they ▁can ▁put ▁down ▁a ▁five ▁per ▁cent ▁deposit ▁on ▁a ▁house ▁without ▁ losing ▁it ▁in ▁six ▁months , ▁' ▁he ▁said .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT NOUN VERB ADV VERB PRON VERB VERB PART DET NUM NOUN NOUN NOUN ADP DET NOUN ADP VERB VERB PRON ADP NUM NOUN NOUN PUNCT PRON VERB VERB
' On the house, ' says Rainbow, smiling wanly.	0 1 0 1 0 0 0 0 0	on the house	figurative	case	PUNCT ADP DET NOUN PUNCT VERB PROPN VERB ADV	▁' ▁On ▁the ▁house , ▁' ▁says ▁Rain bow , ▁s mil ing ▁ wan ly .	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT ADP DET NOUN NOUN PUNCT VERB PROPN PROPN PROPN VERB VERB VERB ADV ADV ADV ADV
What plague was there on this house?	0 0 0 0 1 0 1	on the house	literal	determiner-narrow	ADJ NOUN VERB ADV ADP DET NOUN	▁What ▁plague ▁was ▁there ▁on ▁this ▁house ?	0 0 0 0 1 0 1 1	ADJ NOUN VERB ADV ADP DET NOUN NOUN
They 're putting your after layer and layer on that house.	0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-narrow	PRON VERB VERB PRON ADP NOUN CCONJ NOUN ADP DET NOUN	▁They ▁' re ▁putting ▁your ▁after ▁layer ▁and ▁layer ▁on ▁that ▁house .	0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB VERB PRON ADP NOUN CCONJ NOUN ADP DET NOUN NOUN
Police in Northumbria believe it is the first such attack on a house.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-narrow	NOUN ADP PROPN VERB PRON VERB DET ADJ ADJ NOUN ADP DET NOUN	▁Police ▁in ▁North um b ria ▁believe ▁it ▁is ▁the ▁first ▁such ▁attack ▁on ▁a ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN ADP PROPN PROPN PROPN PROPN VERB PRON VERB DET ADJ ADJ NOUN ADP DET NOUN NOUN
I 'm working on my own house at the moment.	0 0 0 1 0 0 1 0 0 0	on the house	literal	combined-other	PRON VERB VERB ADP ADJ ADJ NOUN ADP DET NOUN	▁I ▁' m ▁working ▁on ▁my ▁own ▁house ▁at ▁the ▁moment .	0 0 0 0 1 0 0 1 0 0 0 0	PRON VERB VERB VERB ADP ADJ ADJ NOUN ADP DET NOUN NOUN
The reason for that is that they 're in a very good position in the market now, they, they can negotiate very good deals on houses they 're buying, there's a very good choice of properties available, people by the mid nineteen nineties will look back on nineteen ninety as probably the time to have bought, when house prices were at their cheapest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	deletion-determiner	DET NOUN ADP DET VERB ADP PRON VERB ADP DET ADV ADJ NOUN ADP DET NOUN ADV PRON PRON VERB VERB ADV ADJ NOUN ADP NOUN PRON VERB VERB ADV DET ADV ADJ NOUN ADP NOUN ADJ NOUN ADP DET ADJ NUM NOUN VERB VERB ADV ADP NUM NUM ADP ADV DET NOUN PART VERB VERB ADV NOUN NOUN VERB ADP ADJ ADJ	▁The ▁reason ▁for ▁that ▁is ▁that ▁they ▁' re ▁in ▁a ▁very ▁good ▁position ▁in ▁the ▁market ▁now , ▁they , ▁they ▁can ▁negotiate ▁very ▁good ▁deals ▁on ▁houses ▁they ▁' re ▁buying , ▁there ' s ▁a ▁very ▁good ▁choice ▁of ▁properties ▁available , ▁people ▁by ▁the ▁mid ▁nine te en ▁nine ties ▁will ▁look ▁back ▁on ▁nine te en ▁nine ty ▁as ▁probably ▁the ▁time ▁to ▁have ▁bought , ▁when ▁house ▁prices ▁were ▁at ▁their ▁cheap est .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET VERB ADP PRON VERB VERB ADP DET ADV ADJ NOUN ADP DET NOUN ADV ADV PRON PRON PRON VERB VERB ADV ADJ NOUN ADP NOUN PRON VERB VERB VERB VERB ADV ADV ADV DET ADV ADJ NOUN ADP NOUN ADJ ADJ NOUN ADP DET ADJ NUM NUM NUM NOUN NOUN VERB VERB ADV ADP NUM NUM NUM NUM NUM ADP ADV DET NOUN PART VERB VERB VERB ADV NOUN NOUN VERB ADP ADJ ADJ ADJ ADJ
Colour and foliage can set off the most ordinary - looking house ‘ whereas a poorly kept garden with no trees or shrubs seems to place a dead hand on the house itself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the house	literal	identical	NOUN CCONJ NOUN VERB VERB PART DET ADV ADJ PUNCT VERB NOUN PUNCT ADP DET ADV VERB NOUN ADP DET NOUN CCONJ NOUN VERB PART VERB DET ADJ NOUN ADP DET NOUN PRON	▁Colour ▁and ▁foliage ▁can ▁set ▁off ▁the ▁most ▁ordinary ▁- ▁looking ▁house ▁ ‘ ▁whereas ▁a ▁poorly ▁kept ▁garden ▁with ▁no ▁trees ▁or ▁sh ru b s ▁seems ▁to ▁place ▁a ▁dead ▁hand ▁on ▁the ▁house ▁itself .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	NOUN CCONJ NOUN VERB VERB PART DET ADV ADJ PUNCT VERB NOUN PUNCT PUNCT ADP DET ADV VERB NOUN ADP DET NOUN CCONJ NOUN NOUN NOUN NOUN VERB PART VERB DET ADJ NOUN ADP DET NOUN PRON PRON
It will fit most traditional downpipe grates on houses built between 1900 and 1982.	0 0 0 0 0 0 0 1 1 0 0 0 0 0	on the house	literal	deletion-determiner	PRON VERB VERB ADV ADJ ADJ NOUN ADP NOUN VERB ADP NUM CCONJ NUM	▁It ▁will ▁fit ▁most ▁traditional ▁down pipe ▁g rates ▁on ▁houses ▁built ▁between ▁1 900 ▁and ▁1982 .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	PRON VERB VERB ADV ADJ ADJ ADJ NOUN NOUN ADP NOUN VERB ADP NUM NUM CCONJ NUM NUM
I emphasize this to make clear that what happened the following weekend was as unforeseeable as a plane falling on your house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	PRON VERB DET PART VERB ADJ ADP NOUN VERB DET VERB NOUN VERB ADV ADJ ADP DET NOUN VERB ADP ADJ NOUN	▁I ▁emphasize ▁this ▁to ▁make ▁clear ▁that ▁what ▁happened ▁the ▁following ▁weekend ▁was ▁as ▁unforeseeable ▁as ▁a ▁plane ▁falling ▁on ▁your ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB DET PART VERB ADJ ADP NOUN VERB DET VERB NOUN VERB ADV ADJ ADP DET NOUN VERB ADP ADJ NOUN NOUN
He's looking at the numbers on the houses isn't he?	0 0 0 0 0 1 0 1 0 0	on the house	literal	inflection	PRON VERB ADP DET NOUN ADP DET NOUN VERB PRON	▁He ' s ▁looking ▁at ▁the ▁numbers ▁on ▁the ▁houses ▁is n ' t ▁he ?	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PRON PRON PRON VERB ADP DET NOUN ADP DET NOUN VERB VERB VERB VERB PRON PRON
In 1295 Edward had confiscated for war purposes the apport ( or fixed due ) which religious houses and estates in England dependent on mother houses abroad, particularly in Normandy, paid annually to those mother houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	ADP NUM PROPN VERB VERB ADP NOUN NOUN DET NOUN PUNCT CCONJ VERB ADJ PUNCT ADJ ADJ NOUN CCONJ NOUN ADP PROPN ADJ ADP NOUN NOUN ADV ADV ADP PROPN VERB ADV ADP DET NOUN NOUN	▁In ▁12 95 ▁Edward ▁had ▁confiscated ▁for ▁war ▁purposes ▁the ▁ap port ▁( ▁or ▁fixed ▁due ▁ ) ▁which ▁religious ▁houses ▁and ▁estate s ▁in ▁England ▁dependent ▁on ▁mother ▁houses ▁abroad , ▁particularly ▁in ▁Norman dy , ▁paid ▁annually ▁to ▁those ▁mother ▁houses .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM NUM PROPN VERB VERB ADP NOUN NOUN DET NOUN NOUN PUNCT CCONJ VERB ADJ PUNCT PUNCT ADJ ADJ NOUN CCONJ NOUN NOUN ADP PROPN ADJ ADP NOUN NOUN ADV ADV ADV ADP PROPN PROPN PROPN VERB ADV ADP DET NOUN NOUN NOUN
Leaving aside repairs, alterations, carpets and curtains, these costs could amount to £ 4,000 on a £ 75,000 house — a substantial figure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	on the house	literal	combined-other	VERB ADV NOUN NOUN NOUN CCONJ NOUN DET NOUN VERB VERB ADP SYM NUM ADP DET SYM NUM NOUN PUNCT DET ADJ NOUN	▁Leav ing ▁aside ▁repairs , ▁alterations , ▁carpets ▁and ▁curtain s , ▁these ▁costs ▁could ▁amount ▁to ▁£ ▁ 4,000 ▁on ▁a ▁£ ▁7 5,000 ▁house ▁ — ▁a ▁substantial ▁figure .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0	VERB VERB ADV NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN DET NOUN VERB VERB ADP SYM NUM NUM ADP DET SYM NUM NUM NOUN PUNCT PUNCT DET ADJ NOUN NOUN
So anyhow he, his father said well that's right he said we 'll be probably covered on the house insurance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the house	literal	identical	ADV ADV PRON ADJ NOUN VERB INTJ DET ADJ PRON VERB PRON VERB VERB ADV VERB ADP DET NOUN NOUN	▁So ▁any how ▁he , ▁his ▁father ▁said ▁well ▁that ' s ▁right ▁he ▁said ▁we ▁' ll ▁be ▁probably ▁covered ▁on ▁the ▁house ▁insurance .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	ADV ADV ADV PRON PRON ADJ NOUN VERB INTJ DET DET DET ADJ PRON VERB PRON VERB VERB VERB ADV VERB ADP DET NOUN NOUN NOUN
