Like other frontier peoples, the French Basques have not always seen eye to eye with Paris.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	see eye to eye	figurative	inflection	ADP ADJ NOUN NOUN DET PROPN PROPN VERB ADV ADV VERB NOUN ADP NOUN ADP PROPN	▁Like ▁other ▁frontier ▁peoples , ▁the ▁French ▁Basque s ▁have ▁not ▁always ▁seen ▁eye ▁to ▁eye ▁with ▁Paris .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	ADP ADJ NOUN NOUN NOUN DET PROPN PROPN PROPN VERB ADV ADV VERB NOUN ADP NOUN ADP PROPN PROPN
Well I don't think ehm, she and, daughter in law saw exactly eye to eye for a start.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	see eye to eye	figurative	combined-inflection	INTJ PRON VERB VERB INTJ PRON CCONJ NOUN ADP NOUN VERB ADV NOUN ADP NOUN ADP DET NOUN	▁Well ▁I ▁don ' t ▁think ▁ eh m , ▁she ▁and , ▁daughter ▁in ▁law ▁saw ▁exactly ▁eye ▁to ▁eye ▁for ▁a ▁start .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0	INTJ PRON VERB VERB VERB VERB INTJ INTJ INTJ INTJ PRON CCONJ CCONJ NOUN ADP NOUN VERB ADV NOUN ADP NOUN ADP DET NOUN NOUN
There are just the odd hints here and there that John and Ann did not always see eye - to - eye on religious matters.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0	see eye to eye	figurative	dashes	ADV VERB ADV DET ADJ NOUN ADV CCONJ ADV ADP PROPN CCONJ PROPN VERB ADV ADV VERB NOUN PUNCT ADP PUNCT NOUN ADP ADJ NOUN	▁There ▁are ▁just ▁the ▁odd ▁hint s ▁here ▁and ▁there ▁that ▁John ▁and ▁An n ▁did ▁not ▁always ▁see ▁eye ▁- ▁to ▁- ▁eye ▁on ▁religious ▁matters .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0	ADV VERB ADV DET ADJ NOUN NOUN ADV CCONJ ADV ADP PROPN CCONJ PROPN PROPN VERB ADV ADV VERB NOUN PUNCT ADP PUNCT NOUN ADP ADJ NOUN NOUN
Is it not ironic that the Government are introducing the Bill at a time when virtually all the political parties — parties which rarely find common ground, as we have tragically and sadly witnessed over the years — see eye to eye in opposing the scheme?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	see eye to eye	figurative	identical	VERB PRON ADV ADJ ADP DET PROPN VERB VERB DET PROPN ADP DET NOUN ADV ADV ADJ DET ADJ NOUN PUNCT NOUN ADJ ADV VERB ADJ NOUN ADP PRON VERB ADV CCONJ ADV VERB ADP DET NOUN PUNCT VERB NOUN ADP NOUN ADP VERB DET NOUN	▁Is ▁it ▁not ▁iron ic ▁that ▁the ▁Government ▁are ▁introducing ▁the ▁Bill ▁at ▁a ▁time ▁when ▁virtual ly ▁all ▁the ▁political ▁parties ▁ — ▁parties ▁which ▁rarely ▁find ▁common ▁ground , ▁as ▁we ▁have ▁tragic ally ▁and ▁sadly ▁witness ed ▁over ▁the ▁years ▁ — ▁see ▁eye ▁to ▁eye ▁in ▁opposing ▁the ▁scheme ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	VERB PRON ADV ADJ ADJ ADP DET PROPN VERB VERB DET PROPN ADP DET NOUN ADV ADV ADV ADJ DET ADJ NOUN PUNCT PUNCT NOUN ADJ ADV VERB ADJ NOUN NOUN ADP PRON VERB ADV ADV CCONJ ADV VERB VERB ADP DET NOUN PUNCT PUNCT VERB NOUN ADP NOUN ADP VERB DET NOUN NOUN
‘ It was an extremely popular programme and we always saw eye to eye about it.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	see eye to eye	figurative	inflection	PUNCT PRON VERB DET ADV ADJ NOUN CCONJ PRON ADV VERB NOUN ADP NOUN ADP PRON	▁ ‘ ▁It ▁was ▁an ▁extremely ▁popular ▁programme ▁and ▁we ▁always ▁saw ▁eye ▁to ▁eye ▁about ▁it .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	PUNCT PUNCT PRON VERB DET ADV ADJ NOUN CCONJ PRON ADV VERB NOUN ADP NOUN ADP PRON PRON
Relationships were just too difficult, the sexes would never see eye to eye, it was all too much bother.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	see eye to eye	figurative	identical	NOUN VERB ADV ADV ADJ DET NOUN VERB ADV VERB NOUN ADP NOUN PRON VERB ADV ADV ADJ NOUN	▁Relationship s ▁were ▁just ▁too ▁difficult , ▁the ▁sexes ▁would ▁never ▁see ▁eye ▁to ▁eye , ▁it ▁was ▁all ▁too ▁much ▁both er .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	NOUN NOUN VERB ADV ADV ADJ ADJ DET NOUN VERB ADV VERB NOUN ADP NOUN NOUN PRON VERB ADV ADV ADJ NOUN NOUN NOUN
Erm by the city in the city institutions of London he's seen as quite a a robust character but they don't quite see eye to eye on the issues of the company.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	see eye to eye	figurative	identical	NOUN ADP DET NOUN ADP DET NOUN NOUN ADP PROPN PRON VERB ADP ADJ DET DET ADJ NOUN CCONJ PRON VERB ADV VERB NOUN ADP NOUN ADP DET NOUN ADP DET NOUN	▁E rm ▁by ▁the ▁city ▁in ▁the ▁city ▁institutions ▁of ▁London ▁he ' s ▁seen ▁as ▁quite ▁a ▁a ▁robust ▁character ▁but ▁they ▁don ' t ▁quite ▁see ▁eye ▁to ▁eye ▁on ▁the ▁issues ▁of ▁the ▁company .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN ADP PROPN PRON PRON PRON VERB ADP ADJ DET DET ADJ NOUN CCONJ PRON VERB VERB VERB ADV VERB NOUN ADP NOUN ADP DET NOUN ADP DET NOUN NOUN
‘ The British mandate censor, a Jewish man called Arieh Siev — a nice fellow although we never saw eye - to - eye — refused to let us print.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0	see eye to eye	figurative	combined-inflection	PUNCT DET ADJ NOUN NOUN DET ADJ NOUN VERB PROPN PROPN PUNCT DET ADJ NOUN ADP PRON ADV VERB NOUN PUNCT ADP PUNCT NOUN PUNCT VERB PART VERB PRON VERB	▁ ‘ ▁The ▁British ▁mandate ▁cen s or , ▁a ▁Jew ish ▁man ▁called ▁Ari eh ▁S iev ▁ — ▁a ▁nice ▁fellow ▁although ▁we ▁never ▁saw ▁eye ▁- ▁to ▁- ▁eye ▁ — ▁refused ▁to ▁let ▁us ▁print .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0	PUNCT PUNCT DET ADJ NOUN NOUN NOUN NOUN NOUN DET ADJ ADJ NOUN VERB PROPN PROPN PROPN PROPN PUNCT PUNCT DET ADJ NOUN ADP PRON ADV VERB NOUN PUNCT ADP PUNCT NOUN PUNCT PUNCT VERB PART VERB PRON VERB VERB
My pastor and I don't see eye to eye on the question of the literal interpretation of the bible.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	see eye to eye	figurative	identical	ADJ NOUN CCONJ PRON VERB VERB NOUN ADP NOUN ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ	▁My ▁past or ▁and ▁I ▁don ' t ▁see ▁eye ▁to ▁eye ▁on ▁the ▁question ▁of ▁the ▁lit eral ▁interpretation ▁of ▁the ▁b ible .	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN CCONJ PRON VERB VERB VERB VERB NOUN ADP NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN ADP DET ADJ ADJ ADJ
‘ This one wanted to do my work, but when he started telling me that personally he was against all pet shops and would like to see them closed we didn't exactly see eye to eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	see eye to eye	figurative	identical	PUNCT DET NOUN VERB PART VERB ADJ NOUN CCONJ ADV PRON VERB VERB PRON ADP ADV PRON VERB ADP DET ADJ NOUN CCONJ VERB VERB PART VERB PRON VERB PRON VERB ADV VERB NOUN ADP NOUN	▁ ‘ ▁This ▁one ▁wanted ▁to ▁do ▁my ▁work , ▁but ▁when ▁he ▁started ▁telling ▁me ▁that ▁personally ▁he ▁was ▁against ▁all ▁pet ▁shops ▁and ▁would ▁like ▁to ▁see ▁them ▁closed ▁we ▁did n ' t ▁exactly ▁see ▁eye ▁to ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT DET NOUN VERB PART VERB ADJ NOUN NOUN CCONJ ADV PRON VERB VERB PRON ADP ADV PRON VERB ADP DET ADJ NOUN CCONJ VERB VERB PART VERB PRON VERB PRON VERB VERB VERB VERB ADV VERB NOUN ADP NOUN NOUN
‘ Added to which the Reichsführer and Admiral Canaris do not always see eye to eye.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	see eye to eye	figurative	identical	PUNCT VERB PART ADJ DET PROPN CCONJ PROPN PROPN VERB ADV ADV VERB NOUN ADP NOUN	▁ ‘ ▁Add ed ▁to ▁which ▁the ▁Re ich s f üh r er ▁and ▁Admiral ▁Can aris ▁do ▁not ▁always ▁see ▁eye ▁to ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT VERB VERB PART ADJ DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB ADV ADV VERB NOUN ADP NOUN NOUN
They don't always see eye to eye but they respect one another.	0 0 0 1 1 1 1 0 0 0 0 0	see eye to eye	figurative	identical	PRON VERB ADV VERB NOUN ADP NOUN CCONJ PRON VERB NUM DET	▁They ▁don ' t ▁always ▁see ▁eye ▁to ▁eye ▁but ▁they ▁respect ▁one ▁another .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	PRON VERB VERB VERB ADV VERB NOUN ADP NOUN CCONJ PRON VERB NUM DET DET
Sampson and Clarke certainly did not see ' eye to eye ' and they had the utmost contempt for each other as cricketers.	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	see eye to eye	figurative	combined-other	PROPN CCONJ PROPN ADV VERB ADV VERB PUNCT NOUN ADP NOUN PUNCT CCONJ PRON VERB DET ADJ NOUN ADP DET ADJ ADP NOUN	▁S amp son ▁and ▁Clar ke ▁certainly ▁did ▁not ▁see ▁' ▁eye ▁to ▁eye ▁' ▁and ▁they ▁had ▁the ▁utmost ▁contempt ▁for ▁each ▁other ▁as ▁cri cke ters .	0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN CCONJ PROPN PROPN ADV VERB ADV VERB PUNCT NOUN ADP NOUN PUNCT CCONJ PRON VERB DET ADJ NOUN ADP DET ADJ ADP NOUN NOUN NOUN NOUN
They brought him back as a Caretaker to General Manager and really I didn't see eye to eye with him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	see eye to eye	figurative	identical	PRON VERB PRON ADV ADP DET PROPN ADP PROPN PROPN CCONJ ADV PRON VERB VERB NOUN ADP NOUN ADP PRON	▁They ▁brought ▁him ▁back ▁as ▁a ▁Care take r ▁to ▁General ▁Manager ▁and ▁really ▁I ▁did n ' t ▁see ▁eye ▁to ▁eye ▁with ▁him .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	PRON VERB PRON ADV ADP DET PROPN PROPN PROPN ADP PROPN PROPN CCONJ ADV PRON VERB VERB VERB VERB VERB NOUN ADP NOUN ADP PRON PRON
" I don't always see eye to eye with my father for instance about the way things are done here. "	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	see eye to eye	figurative	identical	PUNCT PRON VERB ADV VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN ADP DET NOUN NOUN VERB VERB ADV PUNCT	▁" ▁I ▁don ' t ▁always ▁see ▁eye ▁to ▁eye ▁with ▁my ▁father ▁for ▁instance ▁about ▁the ▁way ▁things ▁are ▁done ▁here . ▁"	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB VERB VERB ADV VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN ADP DET NOUN NOUN VERB VERB ADV ADV PUNCT
We we think we see eye to eye with the county council on this er provided it is clearly in the the acceptable needs of the district will be met by taking areas of countryside.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	see eye to eye	figurative	identical	PRON PRON VERB PRON VERB NOUN ADP NOUN ADP DET NOUN NOUN ADP DET INTJ VERB PRON VERB ADV ADP DET DET ADJ NOUN ADP DET NOUN VERB VERB VERB ADP VERB NOUN ADP NOUN	▁We ▁we ▁think ▁we ▁see ▁eye ▁to ▁eye ▁with ▁the ▁county ▁council ▁on ▁this ▁er ▁provided ▁it ▁is ▁clearly ▁in ▁the ▁the ▁acceptable ▁needs ▁of ▁the ▁district ▁will ▁be ▁met ▁by ▁taking ▁areas ▁of ▁countryside .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON VERB PRON VERB NOUN ADP NOUN ADP DET NOUN NOUN ADP DET INTJ VERB PRON VERB ADV ADP DET DET ADJ NOUN ADP DET NOUN VERB VERB VERB ADP VERB NOUN ADP NOUN NOUN
My wife and I could never see eye to eye on the business of living.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	see eye to eye	figurative	identical	ADJ NOUN CCONJ PRON VERB ADV VERB NOUN ADP NOUN ADP DET NOUN ADP VERB	▁My ▁wife ▁and ▁I ▁could ▁never ▁see ▁eye ▁to ▁eye ▁on ▁the ▁business ▁of ▁living .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	ADJ NOUN CCONJ PRON VERB ADV VERB NOUN ADP NOUN ADP DET NOUN ADP VERB VERB
Fernand was employed by the previous owner and does not always see eye to eye with Alain on the way the estate should be managed, but no … ’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	see eye to eye	figurative	identical	PROPN VERB VERB ADP DET ADJ NOUN CCONJ VERB ADV ADV VERB NOUN ADP NOUN ADP PROPN ADP DET NOUN DET NOUN VERB VERB VERB CCONJ INTJ INTJ PUNCT	▁Fer n and ▁was ▁employed ▁by ▁the ▁previous ▁owner ▁and ▁does ▁not ▁always ▁see ▁eye ▁to ▁eye ▁with ▁A lain ▁on ▁the ▁way ▁the ▁estate ▁should ▁be ▁managed , ▁but ▁no ▁... ▁ ’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB ADP DET ADJ NOUN CCONJ VERB ADV ADV VERB NOUN ADP NOUN ADP PROPN PROPN ADP DET NOUN DET NOUN VERB VERB VERB VERB CCONJ INTJ INTJ PUNCT PUNCT
