The score that opened the floodgates came out of nothing after 62 minutes.	0 0 0 1 0 1 0 0 0 0 0 0 0	open the floodgates	figurative	inflection	DET NOUN ADJ VERB DET NOUN VERB ADP ADP NOUN ADP NUM NOUN
Publishers want safeguards at a practical level to ensure that it does not open the floodgates to returns of all kinds.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	open the floodgates	figurative	identical	NOUN VERB NOUN ADP DET ADJ NOUN PART VERB ADP PRON VERB ADV VERB DET NOUN ADP NOUN ADP DET NOUN
Dr Beeching's famous report of January 1963 then opened the floodgates to closure proposals, battles by campaigners and, invariably, consent by the Conservative Government which, after all, was the architect behind Dr Beeching's appointment as Chairman charged with reducing losses.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	inflection	PROPN PROPN ADJ NOUN ADP PROPN NUM ADV VERB DET NOUN PART VERB NOUN NOUN ADP NOUN CCONJ ADV NOUN ADP DET PROPN PROPN ADJ ADV ADV VERB DET NOUN ADP PROPN PROPN NOUN ADP PROPN VERB ADP VERB NOUN
Although sent to his 1947 address in Los Angela, it had finally, almost flukily, caught up with him — and thereby opened a floodgate of memories upon which the years had added their sentimental compound - interest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	combined-inflection	ADP VERB ADP ADJ NUM NOUN ADP PROPN PROPN PRON VERB ADV ADV ADV VERB PART ADP PRON PUNCT CCONJ ADV VERB DET NOUN ADP NOUN ADP ADJ DET NOUN VERB VERB ADJ ADJ NOUN PUNCT NOUN
And one of the reasons I wanted to run for president is to open the floodgates for debating ideas so that we could try to change in the appropriate way.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	identical	CCONJ NUM ADP DET NOUN PRON VERB PART VERB ADP NOUN VERB PART VERB DET NOUN ADP VERB NOUN ADP ADP PRON VERB VERB PART VERB ADP DET ADJ ADJ
Durkheim opened the floodgates and offered what amounted to a radically new way of making sense of social institutions and their inter - relations.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	inflection	PROPN VERB DET NOUN CCONJ VERB NOUN VERB ADP DET ADV ADJ NOUN ADP VERB NOUN ADP ADJ NOUN CCONJ ADJ NOUN PUNCT NOUN
California's first execution may open the floodgates.	0 0 0 0 1 0 1	open the floodgates	figurative	identical	PROPN ADJ NOUN VERB VERB DET NOUN
is used as a handmaid to reforming legislation, it is most unlikely that the floodgates will be opened if the exemption is lifted.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	open the floodgates	figurative	misc	VERB VERB ADP DET NOUN ADP VERB NOUN PRON VERB ADV ADJ ADP DET NOUN VERB VERB VERB ADP DET NOUN VERB VERB
Doctors have given Mr McTear, 48, a former smoker, only a short time to live, but his case — which will open the floodgates of claims if he is successful — will take months to be heard in court.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	identical	NOUN VERB VERB PROPN PROPN NUM DET ADJ NOUN ADV DET ADJ NOUN PART VERB CCONJ ADJ NOUN PUNCT ADJ VERB VERB DET NOUN ADP NOUN ADP PRON VERB ADJ PUNCT VERB VERB NOUN PART VERB VERB ADP NOUN
After the meeting Jack Dale, further education secretary of the Educational Institute of Scotland, of which the AUL is part, condemned the actions of the Principal, Dr David Kennedy, and gave warning that the decision to sack Mrs Falconer could open the floodgates to similar redundancies in other Scottish universities.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	open the floodgates	figurative	identical	ADP DET NOUN PROPN PROPN ADJ NOUN NOUN ADP DET PROPN PROPN ADP PROPN ADP ADJ DET PROPN VERB NOUN VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN CCONJ VERB VERB ADP DET NOUN PART VERB PROPN PROPN VERB VERB DET NOUN ADP ADJ NOUN ADP ADJ ADJ NOUN
For their part, although the die - hard aristocratic opponents of change were desperately anxious about opening the floodgates, they nevertheless came to see that the price of resistance was becoming too high and might even bring disaster and revolution.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	inflection	ADP ADJ NOUN ADP DET ADJ PUNCT ADJ ADJ NOUN ADP NOUN VERB ADV ADJ ADP VERB DET NOUN PRON ADV VERB PART VERB ADP DET NOUN ADP NOUN VERB VERB ADV ADJ CCONJ VERB ADV VERB NOUN CCONJ NOUN
Courageous in taking on the over - spending bogey that did such havoc in 1987, it nevertheless opened the floodgates to a fortnight of ‘ we can give away more tax than you’, and exchanges between the two parties of a staggering triviality that effectively supplanted any wider debate about the economy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	inflection	ADJ ADP VERB PART DET ADP PUNCT NOUN NOUN ADJ VERB ADJ NOUN ADP NUM PRON ADV VERB DET NOUN ADP DET NOUN ADP PUNCT PRON VERB VERB PART ADJ NOUN ADP NOUN CCONJ NOUN ADP DET NUM NOUN ADP DET ADJ NOUN ADJ ADV VERB DET ADJ NOUN ADP DET NOUN
Concern is being expressed in British architectural conservation circles that this may open the floodgates for the network of ‘ seek and find’ agents for Japanese buyers to divest Scotland and Wales in particular of many important monuments.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	identical	NOUN VERB VERB VERB ADP ADJ ADJ NOUN NOUN ADP DET VERB VERB DET NOUN ADP DET NOUN ADP PUNCT NOUN CCONJ NOUN NOUN ADP ADJ NOUN PART VERB PROPN CCONJ PROPN ADP ADJ ADP ADJ ADJ NOUN
' Rock'n'roll opens up these floodgates, ' she insists.	0 0 1 0 0 1 0 0 0	open the floodgates	figurative	combined-inflection	PUNCT NOUN VERB PART DET NOUN PUNCT PRON VERB
TCCB officials are to appeal, but the decision could could open the floodgates to other spectators among the 18,000 sell - out crowd who paid £ 358,000 to watch.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	identical	PROPN NOUN VERB PART VERB CCONJ DET NOUN VERB VERB VERB DET NOUN ADP ADJ NOUN ADP DET NUM NOUN PUNCT NOUN NOUN NOUN VERB SYM NUM PART VERB
