Well with all those people breathing down his neck it's probably put him off	0 0 0 0 0 1 1 1 1 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	INTJ ADP ADJ DET NOUN VERB PART ADJ NOUN PRON ADV VERB PRON PART
As they rounded the last corner the leaders had the main field breathing down their necks.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	ADP PRON VERB DET ADJ NOUN DET NOUN VERB DET ADJ NOUN VERB PART ADJ NOUN
It is what happens when the boss is not breathing down their necks.’	0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	PRON VERB NOUN VERB ADV DET NOUN VERB ADV VERB PART ADJ NOUN
He would be breathing down your neck all the time.	0 0 0 1 1 1 1 0 0 0	breathe down someone's neck	figurative	combined-inflection	PRON VERB VERB VERB PART ADJ NOUN ADJ DET NOUN
Young has Ian King breathing down his neck with 102.	0 0 0 0 1 1 1 1 0 0	breathe down someone's neck	figurative	combined-inflection	ADJ VERB PROPN PROPN VERB PART ADJ NOUN ADP NUM
Most lord lieutenants are scarcely in jobs where they have employers breathing down their necks about time off, but there can be substantial day - to - day expenses.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	ADJ NOUN NOUN VERB ADV ADP NOUN ADV PRON VERB NOUN VERB PART ADJ NOUN ADP NOUN PART CCONJ ADV VERB VERB ADJ NOUN PUNCT ADP PUNCT NOUN NOUN
To shoot birdies like that with Nicklaus breathing down your neck —— twice!	0 0 0 0 0 0 0 1 1 1 1 0 0	breathe down someone's neck	figurative	combined-inflection	PART VERB NOUN ADP DET ADP PROPN VERB PART ADJ NOUN PUNCT NOUN
‘ Yes,’ agreed Mildred, ‘ this year should be as easy as pie without her breathing down our necks.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	PUNCT NOUN VERB PROPN PUNCT DET NOUN VERB VERB ADV ADJ ADP NOUN ADP ADJ NOUN PART ADJ NOUN
Well, erm, it's difficult to make forecasts, particularly with the S E C breathing down one's neck but I think one can say that the industry conditions, if you were to read the reports of other companies and for us, is pretty much erm, status quo, in other words the domestic excuse me, domestic industry's doing quite well, the rig, the rig count's up, the Canadian rig count's up, international markets remain rather soggy but some of them are qui you know on a, on a selective basis some are quite good.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	INTJ INTJ PRON ADJ PART VERB NOUN ADV ADP DET NOUN NOUN NOUN VERB PART PRON NOUN CCONJ PRON VERB PRON VERB VERB ADP DET NOUN NOUN ADP PRON VERB PART VERB DET NOUN ADP ADJ NOUN CCONJ ADP PRON VERB ADV ADJ NOUN NOUN NOUN ADP ADJ NOUN DET ADJ NOUN PRON ADJ NOUN VERB ADV ADV DET NOUN DET NOUN NOUN ADV DET ADJ NOUN NOUN ADV ADJ NOUN VERB ADV ADJ CCONJ DET ADP PRON VERB NOUN PRON VERB ADP DET ADP DET ADJ NOUN DET VERB ADV ADJ
Erm, the erm, the erm, the erm, er, settlement of the anti tr civil anti trust law suit that was referred to in the statement was erm, costs of about six million dollars this year on a class action law suit which we have reached a tentative settlement on in the last few days and, in fact, there were some, there was about six to seven million dollars of additional provision made at the end of last year in the one time charges that we referred to at that time but couldn't really identify with erm, lawyers breathing down your necks in the United States and er, this is a class action law suit, would have been in a Texas Court and erm, you know, the boiler plate language is that you want to get rid of the, you know, the expense and uncertainty of this type of litigation and if you think that what a Texas jury did to Texaco, it's probably a prudent decision to close the matter off at this time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	PROPN DET NOUN DET NOUN DET NOUN INTJ NOUN ADP DET ADV VERB ADJ ADV NOUN NOUN NOUN ADJ VERB VERB ADP ADP DET NOUN VERB NOUN NOUN ADP ADV NUM NUM NOUN DET NOUN ADP DET NOUN NOUN NOUN NOUN ADJ PRON VERB VERB DET ADJ NOUN ADP ADP DET ADJ ADJ NOUN CCONJ ADP NOUN ADV VERB DET ADV VERB ADV NUM PART NUM NUM NOUN ADP ADJ NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP DET NUM NOUN NOUN ADP PRON VERB ADP ADP DET NOUN CCONJ VERB ADV VERB ADP NOUN NOUN VERB PART ADJ NOUN ADP DET PROPN PROPN CCONJ INTJ DET VERB DET NOUN NOUN NOUN NOUN VERB VERB VERB ADP DET PROPN PROPN CCONJ NOUN PRON VERB DET NOUN NOUN NOUN VERB ADP PRON VERB PART VERB VERB ADP DET PRON VERB DET NOUN CCONJ NOUN ADP DET NOUN ADP NOUN CCONJ ADP PRON VERB ADP NOUN DET PROPN NOUN VERB ADP PROPN PRON ADV DET ADJ NOUN PART VERB DET NOUN PART ADP DET NOUN
Leith, with two very large problems staring her in the face — the mortgage and Naylor Massingham, despite his action yesterday still there metaphorically breathing down her neck — thought a denial preferable to dampening her mother's present happy frame of mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	PROPN ADP NUM ADV ADJ NOUN VERB PRON ADP DET NOUN PUNCT DET NOUN CCONJ PROPN PROPN ADP ADJ NOUN NOUN ADV ADV ADV VERB PART ADJ NOUN PUNCT VERB DET NOUN ADJ ADP VERB ADJ NOUN ADJ ADJ NOUN ADP NOUN
By contrast, wherever managers and subordinates are in the same layer separated only by pay grade — subordinates see the boss as too close, breathing down their necks, and they identify their ‘ real’ boss as the next manager at a genuinely higher level of cognitive and task complexity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	ADP NOUN ADV NOUN CCONJ NOUN VERB ADP DET ADJ NOUN VERB ADV ADP NOUN NOUN PUNCT NOUN VERB DET NOUN ADP ADV ADJ VERB PART ADJ NOUN CCONJ PRON VERB ADJ PUNCT ADJ NOUN ADP DET ADJ NOUN ADP DET ADV ADJ NOUN ADP ADJ CCONJ NOUN NOUN
