Take my words for it.	1 1 1 1 1	take someone's word for it	figurative	combined-inflection	VERB ADJ NOUN ADP PRON	▁Take ▁my ▁words ▁for ▁it .	1 1 1 1 1 1	VERB ADJ NOUN ADP PRON PRON
No, no they just take your word for it and now I have got as I said, I 've got that, I 've got to paint that over and reseal and I 've got to make sure that nobody makes a mess in there, but the plumber said what you really need to do is to get rid of this cheap and tatty, horrible plastic tray which doesn't come right to the edge of the tiles	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	INTJ INTJ PRON ADV VERB ADJ NOUN ADP PRON CCONJ ADV PRON VERB VERB ADP PRON VERB PRON VERB VERB DET PRON VERB VERB PART VERB ADP ADV CCONJ NOUN CCONJ PRON VERB VERB PART VERB ADJ ADP NOUN VERB DET NOUN ADP ADV CCONJ DET NOUN VERB NOUN PRON ADV VERB PART VERB VERB PART VERB VERB ADP DET ADJ CCONJ NOUN ADJ NOUN NOUN ADJ VERB VERB ADV ADP DET NOUN ADP DET NOUN	▁No , ▁no ▁they ▁just ▁take ▁your ▁word ▁for ▁it ▁and ▁now ▁I ▁have ▁got ▁as ▁I ▁said , ▁I ▁' ve ▁got ▁that , ▁I ▁' ve ▁got ▁to ▁paint ▁that ▁over ▁and ▁res eal ▁and ▁I ▁' ve ▁got ▁to ▁make ▁sure ▁that ▁nobody ▁makes ▁a ▁me s s ▁in ▁there , ▁but ▁the ▁plum ber ▁said ▁what ▁you ▁really ▁need ▁to ▁do ▁is ▁to ▁get ▁rid ▁of ▁this ▁cheap ▁and ▁ tat ty , ▁horr ible ▁plastic ▁tray ▁which ▁does n ' t ▁come ▁right ▁to ▁the ▁edge ▁of ▁the ▁tiles	0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ PRON ADV VERB ADJ NOUN ADP PRON CCONJ ADV PRON VERB VERB ADP PRON VERB VERB PRON VERB VERB VERB DET DET PRON VERB VERB VERB PART VERB ADP ADV CCONJ NOUN NOUN CCONJ PRON VERB VERB VERB PART VERB ADJ ADP NOUN VERB DET NOUN NOUN NOUN ADP ADV ADV CCONJ DET NOUN NOUN VERB NOUN PRON ADV VERB PART VERB VERB PART VERB VERB ADP DET ADJ CCONJ NOUN NOUN NOUN NOUN ADJ ADJ NOUN NOUN ADJ VERB VERB VERB VERB VERB ADV ADP DET NOUN ADP DET NOUN
The House does not have to take my word for it, because the action taken to deliver our commitments is there for all to see in the report.	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	DET PROPN VERB ADV VERB PART VERB ADJ NOUN ADP PRON ADP DET NOUN VERB PART VERB ADJ NOUN VERB ADV ADP DET PART VERB ADP DET NOUN	▁The ▁House ▁does ▁not ▁have ▁to ▁take ▁my ▁word ▁for ▁it , ▁because ▁the ▁action ▁taken ▁to ▁deliver ▁our ▁commitments ▁is ▁there ▁for ▁all ▁to ▁see ▁in ▁the ▁report .	0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN VERB ADV VERB PART VERB ADJ NOUN ADP PRON PRON ADP DET NOUN VERB PART VERB ADJ NOUN VERB ADV ADP DET PART VERB ADP DET NOUN NOUN
But why take just our word for it?	0 0 1 0 1 1 1 1	take someone's word for it	figurative	combined-other	CCONJ ADV VERB ADV ADJ NOUN ADP PRON	▁But ▁why ▁take ▁just ▁our ▁word ▁for ▁it ?	0 0 1 0 1 1 1 1 1	CCONJ ADV VERB ADV ADJ NOUN ADP PRON PRON
Just take my word for it.	0 1 1 1 1 1	take someone's word for it	figurative	possessive	ADV VERB ADJ NOUN ADP PRON	▁Just ▁take ▁my ▁word ▁for ▁it .	0 1 1 1 1 1 1	ADV VERB ADJ NOUN ADP PRON PRON
But don't take our word for it.	0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	CCONJ VERB VERB ADJ NOUN ADP PRON	▁But ▁don ' t ▁take ▁our ▁word ▁for ▁it .	0 0 0 0 1 1 1 1 1 1	CCONJ VERB VERB VERB VERB ADJ NOUN ADP PRON PRON
‘ They seemed rather laden to me, but I 'll take your word for it if you tell me that it's all general interest in my private life.’	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PUNCT PRON VERB ADV ADJ ADP PRON CCONJ PRON VERB VERB ADJ NOUN ADP PRON ADP PRON VERB PRON ADP PRON DET ADJ NOUN ADP ADJ ADJ NOUN	▁ ‘ ▁They ▁seemed ▁rather ▁laden ▁to ▁me , ▁but ▁I ▁' ll ▁take ▁your ▁word ▁for ▁it ▁if ▁you ▁tell ▁me ▁that ▁it ' s ▁all ▁general ▁interest ▁in ▁my ▁private ▁life . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB ADV ADJ ADP PRON PRON CCONJ PRON VERB VERB VERB ADJ NOUN ADP PRON ADP PRON VERB PRON ADP PRON PRON PRON DET ADJ NOUN ADP ADJ ADJ NOUN NOUN NOUN
Even if I 'd told you that I heard it on the local news, I doubt you 'd have taken my word for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	combined-inflection	ADV ADP PRON VERB VERB PRON ADP PRON VERB PRON ADP DET ADJ NOUN PRON VERB PRON VERB VERB VERB ADJ NOUN ADP PRON	▁Even ▁if ▁I ▁' d ▁told ▁you ▁that ▁I ▁heard ▁it ▁on ▁the ▁local ▁new s , ▁I ▁doubt ▁you ▁' d ▁have ▁taken ▁my ▁word ▁for ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADV ADP PRON VERB VERB VERB PRON ADP PRON VERB PRON ADP DET ADJ NOUN NOUN NOUN PRON VERB PRON VERB VERB VERB VERB ADJ NOUN ADP PRON PRON
‘ There never was any arrangement of that kind, but I don't expect you to take my word for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PUNCT ADV ADV VERB DET NOUN ADP DET NOUN CCONJ PRON VERB VERB PRON PART VERB ADJ NOUN ADP PRON	▁ ‘ ▁There ▁never ▁was ▁any ▁arrangement ▁of ▁that ▁kind , ▁but ▁I ▁don ' t ▁expect ▁you ▁to ▁take ▁my ▁word ▁for ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PUNCT PUNCT ADV ADV VERB DET NOUN ADP DET NOUN NOUN CCONJ PRON VERB VERB VERB VERB PRON PART VERB ADJ NOUN ADP PRON PRON
But don't just take their word for it.	0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	CCONJ VERB ADV VERB ADJ NOUN ADP PRON	▁But ▁don ' t ▁just ▁take ▁their ▁word ▁for ▁it .	0 0 0 0 0 1 1 1 1 1 1	CCONJ VERB VERB VERB ADV VERB ADJ NOUN ADP PRON PRON
I 'm taking your word for it.	0 0 1 1 1 1 1	take someone's word for it	figurative	combined-inflection	PRON VERB VERB ADJ NOUN ADP PRON	▁I ▁' m ▁taking ▁your ▁word ▁for ▁it .	0 0 0 1 1 1 1 1 1	PRON VERB VERB VERB ADJ NOUN ADP PRON PRON
If virtually fat - free yogurt sounds ( and tastes ) too good to be true, don't just take our word for it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	ADP ADV ADJ PUNCT ADJ NOUN VERB PUNCT CCONJ NOUN PUNCT ADV ADJ PART VERB ADJ VERB ADV VERB ADJ NOUN ADP PRON	▁If ▁virtual ly ▁fat ▁- ▁free ▁y og urt ▁sound s ▁( ▁and ▁taste s ▁ ) ▁too ▁good ▁to ▁be ▁true , ▁don ' t ▁just ▁take ▁our ▁word ▁for ▁it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP ADV ADV ADJ PUNCT ADJ NOUN NOUN NOUN VERB VERB PUNCT CCONJ NOUN NOUN PUNCT PUNCT ADV ADJ PART VERB ADJ ADJ VERB VERB VERB ADV VERB ADJ NOUN ADP PRON
‘ It may seem so to you, but you can take my word for it, if I were in the business of prowling around car parks looking for innocent Bentleys to wreck, I most certainly wouldn't use my own car as a battering - ram.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PUNCT PRON VERB VERB ADV ADP PRON CCONJ PRON VERB VERB ADJ NOUN ADP PRON ADP PRON VERB ADP DET NOUN ADP VERB ADP NOUN NOUN VERB ADP ADJ PROPN ADP NOUN PRON ADV ADV VERB VERB ADJ ADJ NOUN ADP DET VERB PUNCT NOUN	▁ ‘ ▁It ▁may ▁seem ▁so ▁to ▁you , ▁but ▁you ▁can ▁take ▁my ▁word ▁for ▁it , ▁if ▁I ▁were ▁in ▁the ▁business ▁of ▁pro wl ing ▁around ▁car ▁parks ▁looking ▁for ▁innocent ▁B ent ley s ▁to ▁wreck , ▁I ▁most ▁certainly ▁would n ' t ▁use ▁my ▁own ▁car ▁as ▁a ▁ba ttering ▁- ▁ram .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB ADV ADP PRON PRON CCONJ PRON VERB VERB ADJ NOUN ADP PRON PRON ADP PRON VERB ADP DET NOUN ADP VERB VERB VERB ADP NOUN NOUN VERB ADP ADJ PROPN PROPN PROPN PROPN ADP NOUN NOUN PRON ADV ADV VERB VERB VERB VERB VERB ADJ ADJ NOUN ADP DET VERB VERB PUNCT NOUN NOUN
She took my word for it.	0 1 1 1 1 1	take someone's word for it	figurative	combined-inflection	PRON VERB ADJ NOUN ADP PRON	▁She ▁took ▁my ▁word ▁for ▁it .	0 1 1 1 1 1 1	PRON VERB ADJ NOUN ADP PRON PRON
In that case, don't take my word for it, but please read News From Nowhere by William Morris.	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	ADP DET NOUN VERB VERB ADJ NOUN ADP PRON CCONJ INTJ VERB PROPN ADP ADV ADP PROPN PROPN	▁In ▁that ▁case , ▁don ' t ▁take ▁my ▁word ▁for ▁it , ▁but ▁please ▁read ▁News ▁From ▁No where ▁by ▁William ▁Morris .	0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN VERB VERB VERB VERB ADJ NOUN ADP PRON PRON CCONJ INTJ VERB PROPN ADP ADV ADV ADP PROPN PROPN PROPN
But don't just take my word for it.	0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	CCONJ VERB ADV VERB ADJ NOUN ADP PRON	▁But ▁don ' t ▁just ▁take ▁my ▁word ▁for ▁it .	0 0 0 0 0 1 1 1 1 1 1	CCONJ VERB VERB VERB ADV VERB ADJ NOUN ADP PRON PRON
‘ He could hardly ask you, and take your word for it, could he?	0 0 0 0 0 0 0 1 1 1 1 1 0 0	take someone's word for it	figurative	possessive	PUNCT PRON VERB ADV VERB PRON CCONJ VERB ADJ NOUN ADP PRON VERB PRON	▁ ‘ ▁He ▁could ▁hardly ▁ask ▁you , ▁and ▁take ▁your ▁word ▁for ▁it , ▁could ▁he ?	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0	PUNCT PUNCT PRON VERB ADV VERB PRON PRON CCONJ VERB ADJ NOUN ADP PRON PRON VERB PRON PRON
‘ No, I think it would have been easier just to take his word for it that I 'd boobed, fallen down on the job.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PUNCT INTJ PRON VERB PRON VERB VERB VERB ADJ ADV PART VERB ADJ NOUN ADP PRON ADP PRON VERB VERB VERB PART ADP DET NOUN	▁ ‘ ▁No , ▁I ▁think ▁it ▁would ▁have ▁been ▁easier ▁just ▁to ▁take ▁his ▁word ▁for ▁it ▁that ▁I ▁' d ▁bo ob ed , ▁fallen ▁down ▁on ▁the ▁job .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT INTJ INTJ PRON VERB PRON VERB VERB VERB ADJ ADV PART VERB ADJ NOUN ADP PRON ADP PRON VERB VERB VERB VERB VERB VERB VERB PART ADP DET NOUN NOUN
I will not bore you with going through a lot of slides showing those comparisons, but in a short paper erm you must take my word for it that the two groups were comparable.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PRON VERB ADV VERB PRON ADP VERB ADP DET NOUN ADP NOUN VERB DET NOUN CCONJ ADP DET ADJ NOUN NOUN PRON VERB VERB ADJ NOUN ADP PRON ADP DET NUM NOUN VERB ADJ	▁I ▁will ▁not ▁bore ▁you ▁with ▁going ▁through ▁a ▁lot ▁of ▁slide s ▁showing ▁those ▁comparisons , ▁but ▁in ▁a ▁short ▁paper ▁er m ▁you ▁must ▁take ▁my ▁word ▁for ▁it ▁that ▁the ▁two ▁groups ▁were ▁comparable .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0	PRON VERB ADV VERB PRON ADP VERB ADP DET NOUN ADP NOUN NOUN VERB DET NOUN NOUN CCONJ ADP DET ADJ NOUN NOUN NOUN PRON VERB VERB ADJ NOUN ADP PRON ADP DET NUM NOUN VERB ADJ ADJ
So from London to King's Lynn is, they say, a hundred miles and I 'll take their word for it, London to Ipswich in fact is seventy miles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	ADV ADP PROPN ADP PROPN PROPN VERB PRON VERB DET NUM NOUN CCONJ PRON VERB VERB ADJ NOUN ADP PRON PROPN ADP PROPN ADP NOUN VERB NUM NOUN	▁So ▁from ▁London ▁to ▁King ' s ▁L y nn ▁is , ▁they ▁say , ▁a ▁hundred ▁miles ▁and ▁I ▁' ll ▁take ▁their ▁word ▁for ▁it , ▁London ▁to ▁I ps wich ▁in ▁fact ▁is ▁seventy ▁miles .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV ADP PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB PRON VERB VERB DET NUM NOUN CCONJ PRON VERB VERB VERB ADJ NOUN ADP PRON PRON PROPN ADP PROPN PROPN PROPN ADP NOUN VERB NUM NOUN NOUN
I can only take your word for it.	0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PRON VERB ADV VERB ADJ NOUN ADP PRON	▁I ▁can ▁only ▁take ▁your ▁word ▁for ▁it .	0 0 0 1 1 1 1 1 1	PRON VERB ADV VERB ADJ NOUN ADP PRON PRON
But don't take my word for it ; this is not a figment of the journalistic imagination.	0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	CCONJ VERB VERB ADJ NOUN ADP PRON PUNCT DET VERB ADV DET NOUN ADP DET ADJ NOUN	▁But ▁don ' t ▁take ▁my ▁word ▁for ▁it ▁ ; ▁this ▁is ▁not ▁a ▁fig ment ▁of ▁the ▁journalist ic ▁imagination .	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ VERB VERB VERB VERB ADJ NOUN ADP PRON PUNCT PUNCT DET VERB ADV DET NOUN NOUN ADP DET ADJ ADJ NOUN NOUN
Well, I 'll take your word for it.	0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	INTJ PRON VERB VERB ADJ NOUN ADP PRON	▁Well , ▁I ▁' ll ▁take ▁your ▁word ▁for ▁it .	0 0 0 0 0 1 1 1 1 1 1	INTJ INTJ PRON VERB VERB VERB ADJ NOUN ADP PRON PRON
Listen, I know their sort, and take my word for it that they 're professionals.	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	take someone's word for it	figurative	possessive	VERB PRON VERB ADJ NOUN CCONJ VERB ADJ NOUN ADP PRON ADP PRON VERB NOUN	▁List en , ▁I ▁know ▁their ▁sort , ▁and ▁take ▁my ▁word ▁for ▁it ▁that ▁they ▁' re ▁professionals .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0	VERB VERB VERB PRON VERB ADJ NOUN NOUN CCONJ VERB ADJ NOUN ADP PRON ADP PRON VERB VERB NOUN NOUN
It's sometimes hard to explain to a person who doesn't share your enthusiasm for the plant and animal kingdom why watching three ptarmigan walking about on a clump of moss is exciting, but take my word for it that it is.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0	take someone's word for it	figurative	possessive	PRON ADV ADJ PART VERB ADP DET NOUN NOUN VERB VERB ADJ NOUN ADP DET NOUN CCONJ NOUN NOUN ADV VERB NUM NOUN VERB ADP ADP DET NOUN ADP NOUN VERB ADJ CCONJ VERB ADJ NOUN ADP PRON ADP PRON VERB	▁It ' s ▁sometimes ▁hard ▁to ▁explain ▁to ▁a ▁person ▁who ▁does n ' t ▁share ▁your ▁enthusiasm ▁for ▁the ▁plant ▁and ▁animal ▁kingdom ▁why ▁watching ▁three ▁p t arm igan ▁walking ▁about ▁on ▁a ▁clump ▁of ▁mo s s ▁is ▁excit ing , ▁but ▁take ▁my ▁word ▁for ▁it ▁that ▁it ▁is .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	PRON PRON PRON ADV ADJ PART VERB ADP DET NOUN NOUN VERB VERB VERB VERB VERB ADJ NOUN ADP DET NOUN CCONJ NOUN NOUN ADV VERB NUM NOUN NOUN NOUN NOUN VERB ADP ADP DET NOUN ADP NOUN NOUN NOUN VERB ADJ ADJ ADJ CCONJ VERB ADJ NOUN ADP PRON ADP PRON VERB VERB
