In these free - and - easy days people are making their own rules already.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	free and easy	figurative	dashes	ADP DET ADJ PUNCT CCONJ PUNCT ADJ NOUN NOUN VERB VERB ADJ ADJ NOUN ADV
The work was satisfying but Anne missed the friends she had made and the free and easy atmosphere of the large room, and the jokes and the singing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	DET NOUN VERB VERB CCONJ PROPN VERB DET NOUN PRON VERB VERB CCONJ DET ADJ CCONJ ADJ NOUN ADP DET ADJ NOUN CCONJ DET NOUN CCONJ DET NOUN
Several years of expansion with free and easy credit conditions, when bank loans and mortgages are freely available at affordable interest rates, are followed by periods of austerity.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	ADJ NOUN ADP NOUN ADP ADJ CCONJ ADJ NOUN NOUN ADV NOUN NOUN CCONJ NOUN VERB ADV ADJ ADP ADJ NOUN NOUN VERB VERB ADP NOUN ADP NOUN
The New York Herald headlined ‘ These Girl's Don't Drink, Smoke or Flirt’ and printed an article, attributed to Mary, in which she explained how difficult it was for her to maintain discipline in a society where young girls were surrounded on every side by such bad examples of free and easy ways in all walks of life.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	free and easy	figurative	identical	DET PROPN PROPN PROPN VERB PUNCT DET PROPN VERB VERB NOUN CCONJ NOUN CCONJ VERB DET NOUN VERB ADP PROPN ADP ADJ PRON VERB ADV ADJ PRON VERB ADP PRON PART VERB NOUN ADP DET NOUN ADV ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN ADP ADJ CCONJ ADJ NOUN ADP DET NOUN ADP NOUN
Binbrook was free and easy.	0 0 1 1 1	free and easy	figurative	identical	PROPN VERB ADJ CCONJ ADJ
At an officers council two of the lads got up to sing a duet at a free and easy sing - song after the intensity of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	ADP DET NOUN NOUN NUM ADP DET NOUN VERB PART PART VERB DET NOUN ADP DET ADJ CCONJ ADJ NOUN PUNCT NOUN ADP DET NOUN ADP DET NOUN
I don't think any woman, unless an old maid, hankers after emancipation of that sort, which seems to mean that, mounted on her bike, a girl can ride away anywhere and do anything all alone, without either male friend or chaperone, that she can guide and protect herself and be as free and easy as the wind …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	free and easy	figurative	identical	PRON VERB VERB DET NOUN ADP DET ADJ NOUN NOUN ADP NOUN ADP DET NOUN ADJ VERB PART VERB ADP VERB ADP ADJ NOUN DET NOUN VERB VERB ADV ADV CCONJ VERB NOUN ADV ADV ADP DET ADJ NOUN CCONJ NOUN ADP PRON VERB VERB CCONJ VERB PRON CCONJ VERB ADV ADJ CCONJ ADJ ADP DET NOUN PUNCT
The free and easy atmosphere of these cafés is more like Amsterdam than Brussels.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	DET ADJ CCONJ ADJ NOUN ADP DET NOUN VERB ADV ADP PROPN ADP PROPN
She seems to have had amazing powers of recovery : from being at death's door in mid - July, a month later she was giving her husband cause for concern about ' making herself cheap ' in the free - and - easy atmosphere of Baden.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0	free and easy	figurative	dashes	PRON VERB PART VERB VERB ADJ NOUN ADP NOUN PUNCT ADP VERB ADP NOUN NOUN ADP ADJ PUNCT PROPN DET NOUN ADV PRON VERB VERB ADJ NOUN NOUN ADP NOUN ADP PUNCT VERB PRON ADJ PUNCT ADP DET ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP PROPN
The time they shared became special now, where before they had been free and easy.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	free and easy	figurative	identical	DET NOUN PRON VERB VERB ADJ ADV ADV ADP PRON VERB VERB ADJ CCONJ ADJ
Alamena, Boz's wife, is making life difficult for her, telling her she's not to leave the camp and that she's too free and easy with everyone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	free and easy	figurative	identical	PROPN PROPN NOUN VERB VERB NOUN ADJ ADP PRON VERB PRON PRON ADV PART VERB DET NOUN CCONJ ADP PRON ADV ADJ CCONJ ADJ ADP NOUN
After the free and easy theatre life, marriage to a staid man could present problems :	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	ADP DET ADJ CCONJ ADJ NOUN NOUN NOUN ADP DET ADJ NOUN VERB VERB NOUN PUNCT
In this free and easy style, I accustomed myself to the rhythms of school life.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	ADP DET ADJ CCONJ ADJ NOUN PRON VERB PRON ADP DET NOUN ADP NOUN NOUN
Edward, school apart, was living a much more exciting life at the ramshackle, free - and - easy household of a friend, and exploring the common around his home in ever - increasing circles in the company of a few youths of similar tastes.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	dashes	PROPN NOUN ADV VERB VERB DET ADV ADV ADJ NOUN ADP DET ADJ ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP DET NOUN CCONJ VERB DET ADJ ADP ADJ NOUN ADP ADV PUNCT VERB NOUN ADP DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN
All this was contrasted uninvitingly against the fondly remembered oral traditions of the working - class neighbourhoods — brass bands, free - and - easy nights at the local pub, and pigeon - fancying — as an essentially ' hollow ' and ' faceless'cultural diminishment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	dashes	ADJ DET VERB VERB ADV ADP DET ADV VERB ADJ NOUN ADP DET ADJ PUNCT NOUN NOUN PUNCT NOUN NOUN ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN PUNCT VERB PUNCT ADP DET ADV PUNCT NOUN PUNCT CCONJ PUNCT ADJ NOUN
Gentlemen of the free - and - easy sort, who plume themselves on being acquainted with a move or two, and being usually equal to the time - of - day, express the wide range of their capacity for adventure by observing that they are good for anything from pitch - and - toss to manslaughter ; between which opposite extremes, no doubt, there lies a tolerably wide and comprehensive range of subjects.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	dashes	NOUN ADP DET ADJ PUNCT CCONJ PUNCT ADJ NOUN NOUN VERB PRON ADP VERB VERB ADP DET NOUN CCONJ NUM CCONJ VERB ADV ADJ ADP DET NOUN PUNCT ADP PUNCT NOUN VERB DET ADJ NOUN ADP ADJ NOUN ADP NOUN ADP VERB ADP PRON VERB ADJ ADP NOUN ADP NOUN PUNCT CCONJ PUNCT VERB ADP NOUN PUNCT ADP ADJ ADJ NOUN ADV ADV ADV VERB DET ADV ADJ CCONJ ADJ NOUN ADP NOUN
Villa Sylvia — free and easy holiday style	0 0 0 1 1 1 0 0	free and easy	figurative	identical	PROPN PROPN PUNCT ADJ CCONJ ADJ NOUN NOUN
‘ It's a very free and easy place, Superintendent,’ said Mr Crumwallis, in an almost pleading voice.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	free and easy	figurative	identical	PUNCT PRON DET ADV ADJ CCONJ ADJ NOUN NOUN VERB PROPN PROPN ADP DET ADV NOUN NOUN
