On March 20 and October 9, Saturn and Pluto cross swords for the first time in two decades.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	cross swords	figurative	identical	ADP PROPN NUM CCONJ PROPN NUM PROPN CCONJ PROPN NOUN NOUN ADP DET ADJ NOUN ADP NUM NOUN
The two men, the former a steadfast Tory, the latter a dedicated Whig, had crossed swords on several occasions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	cross swords	figurative	inflection	DET NUM NOUN DET ADJ DET ADJ PROPN DET ADJ DET ADJ PROPN VERB VERB NOUN ADP ADJ NOUN
The fight in Birkenhead was not the first time that Mr Field had crossed swords with the Labour left.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	cross swords	figurative	inflection	DET NOUN ADP PROPN VERB ADV DET ADJ NOUN ADJ PROPN PROPN VERB VERB NOUN ADP DET PROPN NOUN
The pair crossed swords in the eighties during their heyday with rivals Liverpool and United.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	DET NOUN VERB NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN PROPN CCONJ PROPN
The German and American had crossed swords on and off the track throughout 1990 and it seemed as if Bradl needed Kocinski's ' presence ' to inspire him for the final showdown.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	DET ADJ CCONJ PROPN VERB VERB NOUN ADP CCONJ ADP DET NOUN ADP NUM CCONJ PRON VERB ADP ADP PROPN VERB PROPN PUNCT NOUN PUNCT PART VERB PRON ADP DET ADJ NOUN
Half an inch from the bottom of the stem were the shield, square cross and crossed swords of the arms of St Manicus Cathedral.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	cross swords	literal	inflection	ADJ DET NOUN ADP DET NOUN ADP DET NOUN VERB DET NOUN ADJ NOUN CCONJ VERB NOUN ADP DET NOUN ADP PROPN PROPN PROPN
His catalogue of indiscretions really began in 1987 when he crossed swords with Kenny Dalglish over Jones ' alleged threat that he intended ' to rip off his ear and spit in the hole. '	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	ADJ NOUN ADP NOUN ADV VERB ADP NUM ADV PRON VERB NOUN ADP PROPN PROPN ADP PROPN PART VERB NOUN ADJ PRON VERB PUNCT PART VERB PART ADJ NOUN CCONJ VERB ADP DET NOUN PUNCT
Ironically, fate intervened and he never did make that his career, which is probably just as well, since when he was given the task many years later of steering British Aerospace into the private sector he crossed swords with more than a few civil servants and didn't have a lot of time for them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	ADV NOUN VERB CCONJ PRON ADV VERB VERB ADP ADJ NOUN ADJ VERB ADV ADV ADV ADV ADP ADV PRON VERB VERB DET NOUN ADJ NOUN ADV ADP VERB PROPN PROPN ADP DET ADJ NOUN PRON VERB NOUN ADP ADJ ADP DET ADJ ADJ NOUN CCONJ VERB VERB DET NOUN ADP NOUN ADP PRON
Antrim step up their bid for a place in the Royal Liver League quarter - finals when they cross swords with Limerick at Parnell Park.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	cross swords	figurative	identical	PROPN VERB PART ADJ NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN NOUN PUNCT NOUN ADV PRON VERB NOUN ADP PROPN ADP PROPN PROPN
Once one of the most successful corporate raiders in the world, Mr Bond's troubles began just over a year ago when he crossed swords with Mr Tiny Rowland, the head of Britain's Lonrho group.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	ADP NUM ADP DET ADV ADJ ADJ NOUN ADP DET NOUN PROPN PROPN NOUN VERB ADV ADP DET NOUN ADV ADV PRON VERB NOUN ADP PROPN PROPN PROPN DET NOUN ADP PROPN PROPN NOUN
Since then, Barnetts have crossed swords in 1938, and in the third Test, Ben of Australia ( supported no doubt by fellow Bs Bradman, Brown and Badcock ) caught Charlie of England in both innings.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	ADP ADV PROPN VERB VERB NOUN ADP NUM CCONJ ADP DET ADJ PROPN PROPN ADP PROPN PUNCT VERB DET NOUN ADP ADJ PROPN PROPN PROPN CCONJ PROPN PUNCT VERB PROPN ADP PROPN ADP DET NOUN
The Templars were crushed but some of them remained as a secret coven and I have crossed swords with them over the years.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	cross swords	figurative	inflection	DET PROPN VERB VERB CCONJ DET ADP PRON VERB ADP DET ADJ NOUN CCONJ PRON VERB VERB NOUN ADP PRON ADP DET NOUN
Why did she have to keep crossing swords with that fiendish man?	0 0 0 0 0 0 1 1 0 0 0 0	cross swords	figurative	inflection	ADV VERB PRON VERB PART VERB VERB NOUN ADP DET NOUN NOUN
I feel er something of a stranger walking in on the Maastricht reunion er annual dinner er at the er I have to say that erm I er wouldn't wish to cross swords with the honourable gentleman on the detail of the Maastricht bill but certainly but certainly I ' ave to say that for many people and maybe even some people on this own side who may be prepared to admit it, the false divide between Euro sceptics and Euro fanatics is one that doesn't appeal to the new generations of members and I suspect on both sides of the house, we are in our considered view in Europe and we need to make the best of it and treat Europe on its merits rather than re - live the battles of the er late seventies and early eighties.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cross swords	figurative	identical	PRON VERB INTJ NOUN ADP DET NOUN VERB PART ADP DET PROPN NOUN INTJ ADJ NOUN INTJ ADP DET INTJ PRON VERB PART VERB ADP NOUN PRON INTJ VERB VERB PART VERB NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET PROPN NOUN CCONJ ADV CCONJ ADV PRON PUNCT VERB PART VERB ADP ADP ADJ NOUN CCONJ ADV ADV DET NOUN ADP DET ADJ NOUN NOUN VERB VERB ADJ PART VERB PRON DET ADJ NOUN ADP PROPN NOUN CCONJ PROPN NOUN VERB NUM ADJ VERB VERB ADP DET ADJ NOUN ADP NOUN CCONJ PRON VERB ADP DET NOUN ADP DET NOUN PRON VERB ADP ADJ ADJ NOUN ADP PROPN CCONJ PRON VERB PART VERB DET ADJ ADP PRON CCONJ VERB PROPN ADP ADJ NOUN ADV ADP NOUN PUNCT VERB DET NOUN ADP DET INTJ ADJ NOUN CCONJ ADJ NOUN
I understand that in Dudley, Thomas the Tank Engine has crossed swords with the ideologues of the loony Labour left.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	cross swords	figurative	inflection	PRON VERB ADP ADP PROPN PROPN DET PROPN PROPN VERB VERB NOUN ADP DET NOUN ADP DET ADJ PROPN VERB
‘ No,’ she denied numbly, a hectic flush along her cheekbones, because she had just discovered that she also needed a man she could fight with, cross swords with.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	cross swords	figurative	identical	PUNCT PROPN PRON VERB ADV DET ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADV VERB ADP PRON ADV VERB DET NOUN PRON VERB VERB ADP VERB NOUN ADP
