NEW ~ YORK – The upcoming G-20 meeting is a make - or - break event.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	make or break	figurative	dashes	ADJ PUNCT PROPN PUNCT DET ADJ PROPN NOUN VERB DET VERB PUNCT CCONJ PUNCT NOUN NOUN
As the moment approached for a key procedural vote that would make or break Reagan's programme, Stockman received an agitated telephone call from Bill Thomas, a conservative Republican from California and an agent of the administration on Capitol Hill : This extended quotation provides a fascinating picture of the American pluralist system in operation while helping us to understand why the Reaganites were successful in fashioning the coalitions they required in the House of Representatives.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	ADP DET NOUN VERB ADP DET ADJ ADJ NOUN ADJ VERB VERB CCONJ VERB PROPN NOUN PROPN VERB DET ADJ NOUN NOUN ADP PROPN PROPN DET ADJ PROPN ADP PROPN CCONJ DET NOUN ADP DET NOUN ADP PROPN PROPN PUNCT DET ADJ NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN NOUN ADP NOUN ADP VERB PRON PART VERB ADV DET PROPN VERB ADJ ADP VERB DET NOUN PRON VERB ADP DET PROPN ADP PROPN
With 3 % or 4 %, they can make or break policies and governments, as Israel's religious parties notoriously have done.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	ADP NUM NOUN CCONJ NUM NOUN PRON VERB VERB CCONJ VERB NOUN CCONJ NOUN ADP PROPN ADJ NOUN ADV VERB VERB
Small has played three reserve games since returning from injury and knows make or break time will come within the next month.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	make or break	figurative	identical	PROPN VERB VERB NUM NOUN NOUN ADP VERB ADP NOUN CCONJ VERB VERB CCONJ VERB NOUN VERB VERB ADP DET ADJ NOUN
JANET JACKSON has dumped record producer boyfriend Rene Elizondo after a make - or - break holiday in London.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0	make or break	figurative	dashes	PROPN PROPN VERB VERB ADJ NOUN NOUN PROPN PROPN ADP DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP PROPN
On 16 April the House Budget Committee reported out a budget resolution that incorporated $ 15.8 billion in cuts — $ 20 billion less than the administration had requested — and the battle was now joined for the votes of those who could make or break the president's programme, the Gypsy Moths and the Boll Weevils.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	ADP NUM PROPN DET PROPN PROPN PROPN VERB PART DET NOUN NOUN ADJ VERB SYM NUM NUM ADP NOUN PUNCT SYM NUM NUM ADJ ADP DET NOUN VERB VERB PUNCT CCONJ DET NOUN VERB ADV VERB ADP DET NOUN ADP DET NOUN VERB VERB CCONJ VERB DET NOUN NOUN DET PROPN PROPN CCONJ DET PROPN PROPN
The period in question was one of make or break for the conservation of Rome's antiquities, and this book explores in satisfying depth the activities, notably of the French, in saving them.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	DET NOUN ADP NOUN VERB NUM ADP VERB CCONJ VERB ADP DET NOUN ADP PROPN NOUN CCONJ DET NOUN VERB ADP VERB NOUN DET NOUN ADV ADP DET PROPN ADP VERB PRON
For one thing, we have to be smart at spotting new trends in feedstock usage, because this can make or break our profitability.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	make or break	figurative	identical	ADP NUM NOUN PRON VERB PART VERB ADJ ADP VERB ADJ NOUN ADP NOUN NOUN ADP DET VERB VERB CCONJ VERB ADJ NOUN
The result may make your day, or break it.	0 0 0 1 0 0 1 1 0	make or break	figurative	combined-other	DET NOUN VERB VERB ADJ NOUN CCONJ VERB PRON
This and the social side, if any, is what can make or break a holiday.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	make or break	figurative	identical	DET CCONJ DET ADJ NOUN ADP DET VERB NOUN VERB VERB CCONJ VERB DET NOUN
The first time one person whispered in the ear of another to make or break a third person's reputation, then public relations was born.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	DET ADJ NOUN NUM NOUN VERB ADP DET NOUN ADP DET PART VERB CCONJ VERB DET ADJ NOUN NOUN ADV ADJ NOUN VERB VERB
Making or breaking sex - segregation : young people and sex role in youth training	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	combined-inflection	VERB CCONJ VERB NOUN PUNCT NOUN PUNCT ADJ NOUN CCONJ NOUN NOUN ADP NOUN NOUN
Although he trained with the England A team during the winter and felt optimistic, he was in pain again before he left for Portugal and looked on the tour as a ‘ make - or - break’ exercise.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	make or break	figurative	dashes	ADP PRON VERB ADP DET PROPN DET NOUN ADP DET NOUN CCONJ VERB ADJ PRON VERB ADP NOUN ADV ADP PRON VERB ADP PROPN CCONJ VERB ADP DET NOUN ADP DET PUNCT NOUN PUNCT CCONJ PUNCT NOUN NOUN
This will affect your interview, as subconsciously you will not be as desperate as someone who has directed all their energy and aspirations into one make - or - break situation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	make or break	figurative	dashes	DET VERB VERB ADJ NOUN ADP ADV PRON VERB ADV VERB ADV ADJ ADP NOUN NOUN VERB VERB ADJ ADJ NOUN CCONJ NOUN ADP NUM NOUN PUNCT CCONJ PUNCT VERB NOUN
But more importantly, they can make or break political careers.	0 0 0 0 0 1 1 1 0 0	make or break	figurative	identical	CCONJ ADV ADV PRON VERB VERB CCONJ VERB ADJ NOUN
Right, they 're the make or break areas which comprise your job.	0 0 0 0 1 1 1 0 0 0 0 0	make or break	figurative	identical	INTJ PRON VERB DET NOUN CCONJ VERB NOUN ADJ VERB ADJ NOUN
It was a make or break meeting and I was scared that I might end up getting violent — I was bunging it all up, trying to keep my mind balanced.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	PRON VERB DET NOUN CCONJ VERB NOUN CCONJ PRON VERB ADJ ADP PRON VERB VERB PART VERB ADJ PUNCT PRON VERB VERB PRON DET PART VERB PART VERB ADJ NOUN ADJ
For Dino Morelli and Kevin McGarrity it is a make - or - break year.	0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	make or break	figurative	dashes	ADP PROPN PROPN CCONJ PROPN PROPN PRON VERB DET VERB PUNCT CCONJ PUNCT NOUN NOUN
The findings seem to indicate that the next five years will be a make - or - break period for the region's future development.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	make or break	figurative	dashes	DET NOUN VERB PART VERB ADP DET ADJ NUM NOUN VERB VERB DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP DET NOUN ADJ NOUN
Accessories can make or break you.	0 0 1 1 1 0	make or break	figurative	identical	NOUN VERB VERB CCONJ VERB PRON
AS THE pound continued to sink, moving below the symbolic DM2.95 figure on the foreign exchanges, and shares plummeted, Nigel Lawson yesterday went into retreat at his Leicestershire constituency home to draft tomorrow's make - or - break speech for the Conservative conference.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	make or break	figurative	dashes	ADP DET NOUN VERB PART VERB VERB ADP DET ADJ PROPN NOUN ADP DET ADJ NOUN CCONJ NOUN VERB PROPN PROPN NOUN VERB ADP NOUN ADP ADJ NOUN NOUN ADV PART NOUN NOUN VERB PUNCT CCONJ PUNCT VERB NOUN ADP DET ADJ NOUN
But Chris Smith sums up the make - or - break situation of the market in turmoil : ' The low end of the market is thinner than it used to be, and the other buyers don't want to mess around with scrapyards. '	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	CCONJ PROPN PROPN VERB PART DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP DET NOUN ADP NOUN PUNCT PUNCT DET ADJ NOUN ADP DET NOUN VERB ADJ ADP PRON VERB PART VERB CCONJ DET ADJ NOUN VERB VERB PART VERB PART ADP NOUN PUNCT
The par - five 13th, along with the long 15th, is probably the key, where scores can be made or broken.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make or break	figurative	inflection	DET ADJ PUNCT NUM NOUN ADP ADP DET ADJ NOUN VERB ADV DET NOUN ADV NOUN VERB VERB VERB CCONJ VERB
They are now sixth with supporters angered by the run of poor results particularly as Rovers have lashed out £ 5.4 m on a make - or - break spending spree.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0	make or break	figurative	dashes	PRON VERB ADV ADJ ADP NOUN VERB ADP DET NOUN ADP ADJ NOUN ADV ADP PROPN VERB VERB PART SYM NUM NOUN ADP DET VERB PUNCT CCONJ PUNCT VERB NOUN NOUN
Herluin advanced upon the altar very slowly, as though these few paces, and the climbing of the three steps, must be utilized to the full for prayer, and passionate concentration on this single effort which would make or break for him a dear ambition.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	make or break	figurative	identical	PROPN ADJ ADP DET NOUN ADV ADV ADP ADP DET ADJ NOUN CCONJ DET NOUN ADP DET NUM NOUN VERB VERB VERB ADP DET ADJ ADP NOUN CCONJ ADJ NOUN ADP DET ADJ NOUN ADJ VERB VERB CCONJ VERB ADP PRON DET ADJ NOUN
They 've been open all hours … at Kingsholm this week … running on overtime getting ready for a game that could simply make or break the season … you know what they say about it never raining … it's been pouring on Gloucester this season … defeat for the Cherry and Whites tomorrow would put them on the relegation trapdoor …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	PRON VERB VERB ADJ DET NOUN PUNCT ADP PROPN DET NOUN PUNCT VERB ADP NOUN VERB ADJ ADP DET NOUN ADJ VERB ADV VERB CCONJ VERB DET NOUN PUNCT PRON VERB NOUN PRON VERB ADP PRON ADV VERB PUNCT PRON VERB VERB ADP PROPN DET NOUN PUNCT NOUN ADP DET PROPN CCONJ PROPN NOUN VERB VERB PRON ADP DET NOUN NOUN PUNCT
Scotland clash is ‘ make or break’ for Portugal	0 0 0 0 1 1 1 0 0	make or break	figurative	dashes	PROPN NOUN VERB PUNCT NOUN CCONJ NOUN ADP PROPN
As one council official remarked : ' It is a make - or - break situation.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	make or break	figurative	dashes	ADP NUM NOUN NOUN VERB PUNCT PUNCT PRON VERB DET VERB PUNCT CCONJ PUNCT VERB NOUN
The make - or - break factor in this delicate post - course period is the attitude of the person's immediate superior.	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	DET VERB PUNCT CCONJ PUNCT NOUN NOUN ADP DET ADJ NOUN PUNCT NOUN NOUN VERB DET NOUN ADP DET NOUN ADJ ADJ
A CALL for a substantial increase in tax in this afternoon's make - or - break Budget was made yesterday by Lord Lawson, the former Chancellor.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0	make or break	figurative	misc	DET NOUN ADP DET ADJ NOUN ADP NOUN ADP DET NOUN VERB PUNCT CCONJ PUNCT VERB PROPN VERB VERB NOUN ADP PROPN PROPN DET ADJ PROPN
Rivals Now he faces a make - or - break season with the Ewood Park club, which has shown that when it comes to cash it has no serious rivals.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	NOUN ADV PRON VERB DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP DET PROPN PROPN NOUN ADJ VERB VERB ADP ADV PRON VERB ADP VERB PRON VERB DET ADJ NOUN
Jenkins was fortunate that he brought with him to the Home Office an intuitive understanding that it is how issues and incidents are handled, more than the policies which are decided upon, that can make or break a Home Secretary's reputation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	make or break	figurative	identical	PROPN VERB ADJ ADP PRON VERB ADP PRON ADP DET PROPN PROPN DET ADJ NOUN ADP PRON VERB ADV NOUN CCONJ NOUN VERB VERB ADJ ADP DET NOUN ADJ VERB VERB ADP ADJ VERB VERB CCONJ VERB DET PROPN PROPN NOUN
Depleted Rangers ready for make - or - break Euro tie	0 0 0 0 1 0 1 0 1 0 0	make or break	figurative	dashes	ADJ NOUN ADJ ADP VERB PUNCT CCONJ PUNCT VERB PROPN NOUN
No, those roots demand bully - boy tactics ; the chub given no quarter ; make or break ; muck or nettles ; call it what you will.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	INTJ DET NOUN VERB ADV PUNCT NOUN NOUN PUNCT DET NOUN VERB DET NOUN PUNCT VERB CCONJ VERB PUNCT NOUN CCONJ NOUN PUNCT VERB PRON NOUN PRON VERB
THIS is the week which could make or break John Major's Government and the British economy.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	make or break	figurative	identical	DET VERB DET NOUN ADJ VERB VERB CCONJ VERB PROPN PROPN PROPN CCONJ DET ADJ NOUN
A drastic measure considering electromagnetic pollution has, as yet, taken only a handful of lives, but compliance with a new European Directive could make or break and electronics company.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	make or break	figurative	identical	DET ADJ NOUN VERB ADJ NOUN VERB ADV ADV VERB ADV DET NOUN ADP NOUN CCONJ NOUN ADP DET ADJ PROPN PROPN VERB VERB CCONJ VERB CCONJ NOUN NOUN
‘ Mueller will have the power to make or break whole areas of Europe.	0 0 0 0 0 0 0 1 1 1 0 0 0 0	make or break	figurative	identical	PUNCT PROPN VERB VERB DET NOUN PART VERB CCONJ VERB ADJ NOUN ADP PROPN
What the charity groups think of him is hardly going to make or break him in the operatic world.’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	make or break	figurative	identical	NOUN DET NOUN NOUN VERB ADP PRON VERB ADV VERB PART VERB CCONJ VERB PRON ADP DET ADJ NOUN
Niki somehow felt this was a make - or - break race for him ; his pride was dented, his dander up.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	ADV ADV VERB DET VERB DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP PRON PUNCT ADJ NOUN VERB VERB ADJ NOUN PART
A range of emotions are consequential upon the making or breaking of close relationships — anger or anxiety when they are threatened, depression when they are lost, joy when they are reestablished.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	inflection	DET NOUN ADP NOUN VERB ADJ ADP DET NOUN CCONJ NOUN ADP ADJ NOUN PUNCT NOUN CCONJ NOUN ADV PRON VERB VERB NOUN ADV PRON VERB VERB NOUN ADV PRON VERB VERB
Nowadays no clergyman is entitled to a living of the sort which used to make or break his marital prospects in Jane Austen novels, but incumbents still enjoy tenure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	ADV DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN ADJ VERB PART VERB CCONJ VERB ADJ ADJ NOUN ADP PROPN PROPN NOUN CCONJ NOUN ADV VERB NOUN
GREAT BRITAIN rugby league stars Paul Loughlin ( broken arm ) and Mike Gregory ( knees ) plan make - or - break comebacks after lengthy injuries.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	make or break	figurative	dashes	PROPN PROPN NOUN NOUN NOUN PROPN PROPN PUNCT VERB NOUN PUNCT CCONJ PROPN PROPN PUNCT NOUN PUNCT VERB VERB PUNCT CCONJ PUNCT VERB NOUN ADP ADJ NOUN
How these banks set about merging will make or break them	0 0 0 0 0 0 0 1 1 1 0	make or break	figurative	identical	ADV DET NOUN VERB ADP NOUN VERB VERB CCONJ VERB PRON
It could make or break with vibration or thermal expansion as the machine warmed up.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	PRON VERB VERB CCONJ VERB ADP NOUN CCONJ ADJ NOUN ADP DET NOUN VERB PART
Negotiation is therefore a means of getting what you want from other people and as such qualifies as a tricky situation ( see page 168 ), where the way you behave is a make or break factor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	make or break	figurative	identical	NOUN VERB ADV DET NOUN ADP VERB NOUN PRON VERB ADP ADJ NOUN CCONJ ADP ADJ NOUN ADP DET ADJ NOUN PUNCT VERB NOUN NUM PUNCT ADV DET NOUN PRON VERB VERB DET NOUN CCONJ VERB NOUN
Rent - collection ( which for council tenants means rate - collection too ) will be the make - or - break skill this year.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0	make or break	figurative	dashes	NOUN PUNCT NOUN PUNCT ADJ ADP NOUN NOUN VERB NOUN PUNCT NOUN ADV PUNCT VERB VERB DET VERB PUNCT CCONJ PUNCT NOUN NOUN DET NOUN
A protracted final " make or break " negotiating session began in Luxembourg on Oct. 22 and ended in the early morning of Oct. 23 with the conclusion of an agreement between the seven - member European Free Trade Association ( EFTA ) and the 12-member European Communities ( EC ) on the creation from January 1993 of a common European Economic Area ( EEA ), the world's largest common market embracing 380 million people.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	DET VERB ADJ PUNCT VERB CCONJ VERB PUNCT NOUN NOUN VERB ADP PROPN ADP PROPN NUM CCONJ VERB ADP DET ADJ NOUN ADP PROPN NUM ADP DET NOUN ADP DET NOUN ADP DET NUM PUNCT NOUN PROPN PROPN PROPN PROPN PUNCT PROPN PUNCT CCONJ DET NUM PROPN PROPN PUNCT PROPN PUNCT ADP DET NOUN ADP PROPN NUM ADP DET ADJ PROPN PROPN PROPN PUNCT PROPN PUNCT DET NOUN ADJ ADJ NOUN VERB NUM NUM NOUN
Investment decisions made by just a few organisations can make or break a Supplier.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	make or break	figurative	identical	NOUN NOUN VERB ADP ADV DET ADJ NOUN VERB VERB CCONJ VERB DET NOUN
They make or break the entire supply chain process if the meal arrives as a disappointment to the consumer or, worse still, as a health hazard.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	PRON VERB CCONJ VERB DET ADJ NOUN NOUN NOUN ADP DET NOUN VERB ADP DET NOUN ADP DET NOUN CCONJ ADV ADV ADP DET NOUN NOUN
This was make or break.	0 0 1 1 1	make or break	figurative	identical	DET VERB VERB CCONJ VERB
Does he accept the make - or - break significance of the next round of type 23 frigate orders for Yarrow and the central importance of GEC - Ferranti?	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	VERB PRON VERB DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP DET ADJ NOUN ADP NOUN NUM ADJ NOUN ADP PROPN CCONJ DET ADJ NOUN ADP PROPN PUNCT PROPN
Samsung has clearly decided it's make or break time for the company in the UK PC market, launching a completely new range of low cost machines and adding a couple of new laser printers to boot.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	identical	PROPN VERB ADV VERB PRON VERB CCONJ VERB NOUN ADP DET NOUN ADP DET PROPN NOUN NOUN VERB DET ADV ADJ NOUN ADP ADJ NOUN NOUN CCONJ VERB DET NOUN ADP ADJ NOUN NOUN ADP NOUN
CHRIS Pyatt begins a three - fight chase for the chance of a world title with Matchroom promoter Barry Hearn warning : ‘ It's make or break time.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	make or break	figurative	identical	PROPN PROPN VERB DET NUM PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN ADP PROPN NOUN PROPN PROPN NOUN PUNCT PUNCT PRON VERB CCONJ VERB NOUN
Her annual garden party, for buyers of fleets of cars and trucks who dealt with her husband, was always a memorable occasion, reported upon in detail by the queen of the social columns of the Tollemarche Advent, a lady who could make or break a local hostess.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	make or break	figurative	identical	ADJ ADJ NOUN NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ NOUN NOUN VERB ADP ADJ NOUN VERB ADV DET ADJ NOUN VERB ADP ADP NOUN ADP DET NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN DET NOUN NOUN VERB VERB CCONJ VERB DET ADJ NOUN
‘ It was one of those waves,’ he recalled, ‘ that either make or break you.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	make or break	figurative	identical	PUNCT PRON VERB NUM ADP DET NOUN PRON VERB PUNCT ADP CCONJ VERB CCONJ VERB PRON
Tom Lowry, New Zealand's captain on their make - or - break tour of England in 1931	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	make or break	figurative	dashes	PROPN PROPN PROPN PROPN NOUN ADP ADJ VERB PUNCT CCONJ PUNCT VERB NOUN ADP PROPN ADP NUM
Planting, the make - or - break job, follows as soon as conditions allow, but there is still a lot of preparation that should have been completed beforehand.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	NOUN DET VERB PUNCT CCONJ PUNCT NOUN NOUN VERB ADV ADV ADP NOUN VERB CCONJ ADV VERB ADV DET NOUN ADP NOUN ADJ VERB VERB VERB VERB ADV
