To my mind we 've gone overboard on fitness.	0 0 0 0 0 1 1 0 0	go overboard	figurative	inflection	ADP ADJ NOUN PRON VERB VERB ADV ADP NOUN	▁To ▁my ▁mind ▁we ▁' ve ▁gone ▁over board ▁on ▁fitness .	0 0 0 0 0 0 1 1 1 0 0 0	ADP ADJ NOUN PRON VERB VERB VERB ADV ADV ADP NOUN NOUN
Maybe I went overboard.	0 0 1 1	go overboard	figurative	inflection	ADV PRON VERB ADV	▁May be ▁I ▁went ▁over board .	0 0 0 1 1 1 1	ADV ADV PRON VERB ADV ADV ADV
" Gone a bit overboard this time, hasn't he?	0 1 0 0 1 0 0 0 0	go overboard	figurative	combined-inflection	PUNCT VERB DET NOUN ADV DET NOUN VERB PRON	▁" ▁G one ▁a ▁bit ▁over board ▁this ▁time , ▁has n ' t ▁he ?	0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0	PUNCT VERB VERB DET NOUN ADV ADV DET NOUN NOUN VERB VERB VERB VERB PRON PRON
McCoist's effort put a better complexion on the night for Scotland though without enabling anyone to go overboard about their prospects in World Cup qualifying Group I.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	go overboard	figurative	identical	PROPN NOUN VERB DET ADJ NOUN ADP DET NOUN ADP PROPN ADV ADP VERB NOUN PART VERB ADV ADP ADJ NOUN ADP PROPN PROPN VERB PROPN PROPN	▁McC o ist ' s ▁effort ▁put ▁a ▁better ▁complex ion ▁on ▁the ▁night ▁for ▁Scotland ▁though ▁without ▁enabling ▁anyone ▁to ▁go ▁over board ▁about ▁their ▁prospects ▁in ▁World ▁C up ▁qualify ing ▁Group ▁I .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN NOUN VERB DET ADJ NOUN NOUN ADP DET NOUN ADP PROPN ADV ADP VERB NOUN PART VERB ADV ADV ADP ADJ NOUN ADP PROPN PROPN PROPN VERB VERB PROPN PROPN PROPN
You help to prevent us going overboard.’	0 0 0 0 0 1 1	go overboard	figurative	combined-inflection	PRON VERB PART VERB PRON VERB PART	▁You ▁help ▁to ▁prevent ▁us ▁going ▁over board . ’	0 0 0 0 0 1 1 1 1 1	PRON VERB PART VERB PRON VERB PART PART PART PART
No nation quite so much as the British likes its art to tell a story ( witness the pictures of Victorian England ) and no nation went overboard quite like the British to buy the Vung Tau cargo ; but with French, German, Italian, Dutch and Taiwanese buyers sharing out these decorations of the age of William and Mary, we must assume that the ‘ shipwreck factor’ in these prices appeals to more than the nation which owned the Titanic and whose schoolboys read Mr Midshipman Easy and Moby Dick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go overboard	figurative	inflection	DET NOUN ADV ADV ADV ADP DET PROPN VERB ADJ NOUN PART VERB DET NOUN PUNCT VERB DET NOUN ADP PROPN PROPN PUNCT CCONJ DET NOUN VERB ADV ADV ADP DET PROPN PART VERB DET PROPN PROPN NOUN PUNCT CCONJ ADP ADJ ADJ ADJ ADJ CCONJ ADJ NOUN VERB PART DET NOUN ADP DET NOUN ADP PROPN CCONJ PROPN PRON VERB VERB ADP DET PUNCT NOUN ADP ADP DET NOUN NOUN ADP ADJ ADP DET NOUN ADJ VERB DET NOUN CCONJ ADJ NOUN VERB PROPN PROPN PROPN CCONJ PROPN PROPN	▁No ▁nation ▁quite ▁so ▁much ▁as ▁the ▁British ▁like s ▁its ▁art ▁to ▁tell ▁a ▁story ▁( ▁witness ▁the ▁pictures ▁of ▁Victor ian ▁England ▁ ) ▁and ▁no ▁nation ▁went ▁over board ▁quite ▁like ▁the ▁British ▁to ▁buy ▁the ▁V ung ▁T au ▁cargo ▁ ; ▁but ▁with ▁French , ▁German , ▁Italian , ▁Dutch ▁and ▁Taiwan ese ▁buyers ▁sharing ▁out ▁these ▁decoration s ▁of ▁the ▁age ▁of ▁William ▁and ▁Mary , ▁we ▁must ▁assume ▁that ▁the ▁ ‘ ▁ship w re ck ▁factor ’ ▁in ▁these ▁prices ▁appeals ▁to ▁more ▁than ▁the ▁nation ▁which ▁owned ▁the ▁T ita nic ▁and ▁whose ▁school bo ys ▁read ▁Mr ▁Mid ship man ▁E asy ▁and ▁Mo by ▁D ick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADV ADV ADV ADP DET PROPN VERB VERB ADJ NOUN PART VERB DET NOUN PUNCT VERB DET NOUN ADP PROPN PROPN PROPN PUNCT PUNCT CCONJ DET NOUN VERB ADV ADV ADV ADP DET PROPN PART VERB DET PROPN PROPN PROPN PROPN NOUN PUNCT PUNCT CCONJ ADP ADJ ADJ ADJ ADJ ADJ ADJ ADJ CCONJ ADJ ADJ NOUN VERB PART DET NOUN NOUN ADP DET NOUN ADP PROPN CCONJ PROPN PROPN PRON VERB VERB ADP DET PUNCT PUNCT NOUN NOUN NOUN NOUN ADP ADP ADP DET NOUN NOUN ADP ADJ ADP DET NOUN ADJ VERB DET NOUN NOUN NOUN CCONJ ADJ NOUN NOUN NOUN VERB PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN
‘ I 'm beginning to understand why Garry went overboard for you,’ he said huskily.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	go overboard	figurative	inflection	PUNCT PRON VERB VERB PART VERB ADV PROPN VERB ADV ADP NOUN PRON VERB ADV	▁ ‘ ▁I ▁' m ▁beginning ▁to ▁understand ▁why ▁G arry ▁went ▁over board ▁for ▁you , ’ ▁he ▁said ▁husk ily .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB PART VERB ADV PROPN PROPN VERB ADV ADV ADP NOUN NOUN NOUN PRON VERB ADV ADV ADV
That's a bit going overboard that is.	0 0 0 1 1 0 0	go overboard	figurative	inflection	DET DET NOUN VERB ADV DET VERB	▁That ' s ▁a ▁bit ▁going ▁over board ▁that ▁is .	0 0 0 0 0 1 1 1 0 0 0	DET DET DET DET NOUN VERB ADV ADV DET VERB VERB
They haven't said, ‘ Oh, well, we 're not going to tell you anything,’ but they haven't either erm gone overboard as the American schools, many of them, have done, into becoming simply the ephemeral erm products of local opinion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go overboard	figurative	inflection	PRON VERB VERB PUNCT INTJ INTJ PRON VERB ADV VERB PART VERB PRON PUNCT CCONJ PRON VERB CCONJ ADV VERB ADV ADP DET ADJ NOUN ADJ ADP PRON VERB VERB ADP VERB ADV DET ADJ NOUN NOUN ADP ADJ NOUN	▁They ▁have n ' t ▁said , ▁ ‘ ▁O h , ▁well , ▁we ▁' re ▁not ▁going ▁to ▁tell ▁you ▁anything , ’ ▁but ▁they ▁have n ' t ▁either ▁er m ▁gone ▁over board ▁as ▁the ▁American ▁schools , ▁many ▁of ▁them , ▁have ▁done , ▁into ▁becoming ▁simply ▁the ▁e phem eral ▁er m ▁products ▁of ▁local ▁opinion .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB VERB VERB PUNCT PUNCT INTJ INTJ INTJ INTJ INTJ PRON VERB VERB ADV VERB PART VERB PRON PUNCT PUNCT PUNCT CCONJ PRON VERB VERB VERB VERB CCONJ ADV ADV VERB ADV ADV ADP DET ADJ NOUN NOUN ADJ ADP PRON PRON VERB VERB VERB ADP VERB ADV DET ADJ ADJ ADJ NOUN NOUN NOUN ADP ADJ NOUN NOUN
you 'd be expected to, to do a lot of work by yourself, and that's reflecting the fact that erm you 'll probably have four or five lessons in each of your three subjects, but most people would choose three subjects for A level, and that means that er, when you 're not having lessons, you 've got a lot of time that is not accountable for, you will have been, or going to a general studies period and stuff like that, but there will be a fair number of private study periods, erm, there are some people I think who, who go overboard, and you 've got such a different approach erm from er the lower sixth, people don't use the time that they have, erm, what I 'm really saying is that if you go into the sixth form and you spend less school time in the sixth form you don't need to be prepared	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go overboard	figurative	identical	PRON VERB VERB VERB PART PART VERB DET NOUN ADP NOUN ADP PRON CCONJ DET VERB DET NOUN ADP NOUN PRON VERB ADV VERB NUM CCONJ NUM NOUN ADP DET ADP ADJ NUM NOUN CCONJ ADJ NOUN VERB VERB NUM NOUN ADP DET NOUN CCONJ DET VERB ADP INTJ ADV PRON VERB ADV VERB NOUN PRON VERB VERB DET NOUN ADP NOUN ADJ VERB ADV ADJ ADP PRON VERB VERB VERB CCONJ VERB ADP DET ADJ NOUN NOUN CCONJ NOUN ADP DET CCONJ ADV VERB VERB DET ADJ NOUN ADP ADJ NOUN NOUN NOUN ADV VERB DET NOUN PRON VERB NOUN NOUN VERB ADV CCONJ PRON VERB VERB ADJ DET ADJ NOUN NOUN ADP INTJ DET ADV ADJ NOUN VERB VERB DET NOUN ADJ PRON VERB INTJ NOUN PRON VERB ADV VERB VERB ADP ADP PRON VERB ADP DET ADJ NOUN CCONJ PRON VERB ADJ NOUN NOUN ADP DET ADJ NOUN PRON VERB VERB PART VERB VERB	▁you ▁' d ▁be ▁expected ▁to , ▁to ▁do ▁a ▁lot ▁of ▁work ▁by ▁yourself , ▁and ▁that ' s ▁reflecting ▁the ▁fact ▁that ▁er m ▁you ▁' ll ▁probably ▁have ▁four ▁or ▁five ▁lessons ▁in ▁each ▁of ▁your ▁three ▁subjects , ▁but ▁most ▁people ▁would ▁choose ▁three ▁subjects ▁for ▁A ▁level , ▁and ▁that ▁means ▁that ▁er , ▁when ▁you ▁' re ▁not ▁having ▁lessons , ▁you ▁' ve ▁got ▁a ▁lot ▁of ▁time ▁that ▁is ▁not ▁accountable ▁for , ▁you ▁will ▁have ▁been , ▁or ▁going ▁to ▁a ▁general ▁studies ▁period ▁and ▁stuff ▁like ▁that , ▁but ▁there ▁will ▁be ▁a ▁fair ▁number ▁of ▁private ▁study ▁periods , ▁er m , ▁there ▁are ▁some ▁people ▁I ▁think ▁who , ▁who ▁go ▁over board , ▁and ▁you ▁' ve ▁got ▁such ▁a ▁different ▁approach ▁er m ▁from ▁er ▁the ▁lower ▁sixth , ▁people ▁don ' t ▁use ▁the ▁time ▁that ▁they ▁have , ▁er m , ▁what ▁I ▁' m ▁really ▁saying ▁is ▁that ▁if ▁you ▁go ▁into ▁the ▁sixth ▁form ▁and ▁you ▁spend ▁less ▁school ▁time ▁in ▁the ▁sixth ▁form ▁you ▁don ' t ▁need ▁to ▁be ▁prepared	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB PART PART PART VERB DET NOUN ADP NOUN ADP PRON PRON CCONJ DET DET DET VERB DET NOUN ADP NOUN NOUN PRON VERB VERB ADV VERB NUM CCONJ NUM NOUN ADP DET ADP ADJ NUM NOUN NOUN CCONJ ADJ NOUN VERB VERB NUM NOUN ADP DET NOUN NOUN CCONJ DET VERB ADP INTJ INTJ ADV PRON VERB VERB ADV VERB NOUN NOUN PRON VERB VERB VERB DET NOUN ADP NOUN ADJ VERB ADV ADJ ADP ADP PRON VERB VERB VERB VERB CCONJ VERB ADP DET ADJ NOUN NOUN CCONJ NOUN ADP DET DET CCONJ ADV VERB VERB DET ADJ NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN NOUN ADV VERB DET NOUN PRON VERB NOUN NOUN NOUN VERB ADV ADV ADV CCONJ PRON VERB VERB VERB ADJ DET ADJ NOUN NOUN NOUN ADP INTJ DET ADV ADJ ADJ NOUN VERB VERB VERB VERB DET NOUN ADJ PRON VERB VERB INTJ INTJ INTJ NOUN PRON VERB VERB ADV VERB VERB ADP ADP PRON VERB ADP DET ADJ NOUN CCONJ PRON VERB ADJ NOUN NOUN ADP DET ADJ NOUN PRON VERB VERB VERB VERB PART VERB VERB
‘ Don't go overboard with the gratitude,’ he rejoined with heavy irony.	0 0 1 1 0 0 0 0 0 0 0 0	go overboard	figurative	identical	PUNCT VERB VERB ADV ADP DET NOUN PRON VERB ADP ADJ NOUN	▁ ‘ ▁Don ' t ▁go ▁over board ▁with ▁the ▁gratitude , ’ ▁he ▁rejoin ed ▁with ▁heavy ▁iron y .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT VERB VERB VERB VERB ADV ADV ADP DET NOUN NOUN NOUN PRON VERB VERB ADP ADJ NOUN NOUN NOUN
‘ Chris has a bit of a temper sometimes and can go overboard.	0 0 0 0 0 0 0 0 0 0 0 1 1	go overboard	figurative	identical	PUNCT PROPN VERB DET NOUN ADP DET NOUN ADV CCONJ VERB VERB ADV	▁ ‘ ▁Chr is ▁has ▁a ▁bit ▁of ▁a ▁temper ▁sometimes ▁and ▁can ▁go ▁over board .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT PROPN PROPN VERB DET NOUN ADP DET NOUN ADV CCONJ VERB VERB ADV ADV ADV
You are demonstrating to them how to recognize, name and communicate their feelings without going overboard.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	go overboard	figurative	inflection	PRON VERB VERB ADP PRON ADV PART VERB VERB CCONJ VERB ADJ NOUN ADP VERB ADV	▁You ▁are ▁demonstrating ▁to ▁them ▁how ▁to ▁recognize , ▁name ▁and ▁communicate ▁their ▁feelings ▁without ▁going ▁over board .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB ADP PRON ADV PART VERB VERB VERB CCONJ VERB ADJ NOUN ADP VERB ADV ADV ADV
It was feared he 'd gone overboard and air and sea search was launched.	0 0 0 0 0 1 1 0 0 0 0 0 0 0	go overboard	literal	inflection	PRON VERB VERB PRON VERB VERB ADV CCONJ NOUN CCONJ NOUN NOUN VERB VERB	▁It ▁was ▁feared ▁he ▁' d ▁gone ▁over board ▁and ▁air ▁and ▁sea ▁search ▁was ▁launched .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB VERB PRON VERB VERB VERB ADV ADV CCONJ NOUN CCONJ NOUN NOUN VERB VERB VERB
( 68 ) Ianthe Ambrose could have gone overboard any time after 9.10, when she was seen to leave the lecture, and on her own statement she had been no swimmer.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go overboard	literal	inflection	PUNCT NUM PUNCT PROPN PROPN VERB VERB VERB ADV DET NOUN ADP NUM ADV PRON VERB VERB PART VERB DET NOUN CCONJ ADP ADJ ADJ NOUN PRON VERB VERB DET NOUN	▁( ▁68 ▁ ) ▁I an the ▁Am bro se ▁could ▁have ▁gone ▁over board ▁any ▁time ▁after ▁9 .10 , ▁when ▁she ▁was ▁seen ▁to ▁leave ▁the ▁lecture , ▁and ▁on ▁her ▁own ▁statement ▁she ▁had ▁been ▁no ▁sw im mer .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT NUM PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB VERB ADV ADV DET NOUN ADP NUM NUM NUM ADV PRON VERB VERB PART VERB DET NOUN NOUN CCONJ ADP ADJ ADJ NOUN PRON VERB VERB DET NOUN NOUN NOUN NOUN
' I don't have to go overboard with delight. '	0 0 0 0 0 1 1 0 0 0	go overboard	figurative	identical	PUNCT PRON VERB VERB PART VERB ADV ADP NOUN PUNCT	▁' ▁I ▁don ' t ▁have ▁to ▁go ▁over board ▁with ▁delight . ▁'	0 0 0 0 0 0 0 1 1 1 0 0 0 0	PUNCT PRON VERB VERB VERB VERB PART VERB ADV ADV ADP NOUN NOUN PUNCT
