Oh yes, and I suppose I 'd better come clean.	0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	INTJ INTJ CCONJ PRON VERB PRON VERB ADV VERB ADJ	▁O h ▁yes , ▁and ▁I ▁suppose ▁I ▁' d ▁better ▁come ▁clean .	0 0 0 0 0 0 0 0 0 0 0 1 1 1	INTJ INTJ INTJ INTJ CCONJ PRON VERB PRON VERB VERB ADV VERB ADJ ADJ
The Government has failed to add any convincing arguments to its feeble justifications for the changes, and dares not come clean about the real reasons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	come clean	figurative	identical	DET PROPN VERB VERB PART VERB DET ADJ NOUN ADP ADJ ADJ NOUN ADP DET NOUN CCONJ VERB ADV VERB ADJ ADP DET ADJ NOUN	▁The ▁Government ▁has ▁failed ▁to ▁add ▁any ▁convincing ▁arguments ▁to ▁its ▁fee ble ▁justification s ▁for ▁the ▁changes , ▁and ▁dare s ▁not ▁come ▁clean ▁about ▁the ▁real ▁reasons .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	DET PROPN VERB VERB PART VERB DET ADJ NOUN ADP ADJ ADJ ADJ NOUN NOUN ADP DET NOUN NOUN CCONJ VERB VERB ADV VERB ADJ ADP DET ADJ NOUN NOUN
I must come clean and admit that the concept of secularisation has become extremely confusing in sociological usage.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	PRON VERB VERB ADJ CCONJ VERB ADP DET NOUN ADP NOUN VERB VERB ADV ADJ ADP ADJ NOUN	▁I ▁must ▁come ▁clean ▁and ▁admit ▁that ▁the ▁concept ▁of ▁se cular isation ▁has ▁become ▁extremely ▁confusing ▁in ▁socio logical ▁usage .	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ CCONJ VERB ADP DET NOUN ADP NOUN NOUN NOUN VERB VERB ADV ADJ ADP ADJ ADJ NOUN NOUN
Whether William Shatner will also give up his mission to find the ultimate cosmic toupée, come clean and sport an authentic monkish tonsure has yet to be confirmed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADP PROPN PROPN VERB ADV VERB PART ADJ NOUN PART VERB DET ADJ ADJ NOUN VERB ADJ CCONJ VERB DET ADJ ADJ NOUN VERB ADV PART VERB VERB	▁W hether ▁William ▁Sha t ner ▁will ▁also ▁give ▁up ▁his ▁mission ▁to ▁find ▁the ▁ultimate ▁co s mic ▁to up ée , ▁come ▁clean ▁and ▁sport ▁an ▁authentic ▁mon k ish ▁tons ure ▁has ▁yet ▁to ▁be ▁confirmed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP PROPN PROPN PROPN PROPN VERB ADV VERB PART ADJ NOUN PART VERB DET ADJ ADJ ADJ ADJ NOUN NOUN NOUN NOUN VERB ADJ CCONJ VERB DET ADJ ADJ ADJ ADJ NOUN NOUN VERB ADV PART VERB VERB VERB
PM told to come clean over claim of sell - off hitlist	0 0 0 1 1 0 0 0 0 0 0 0	come clean	figurative	identical	PROPN VERB PART VERB ADJ ADP NOUN ADP NOUN PUNCT NOUN NOUN	▁PM ▁told ▁to ▁come ▁clean ▁over ▁claim ▁of ▁sell ▁- ▁off ▁hit list	0 0 0 1 1 0 0 0 0 0 0 0 0	PROPN VERB PART VERB ADJ ADP NOUN ADP NOUN PUNCT NOUN NOUN NOUN
" .. ~. but old Sam ’s just come clean with me.	0 0 0 0 0 0 0 0 1 1 0 0	come clean	figurative	identical	PUNCT PUNCT PUNCT CCONJ ADJ PROPN PROPN ADV VERB ADJ ADP PRON	▁" ▁ . . ▁ ~ . ▁but ▁old ▁Sam ▁ ’ s ▁just ▁come ▁clean ▁with ▁me .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT CCONJ ADJ PROPN PROPN PROPN PROPN ADV VERB ADJ ADP PRON PRON
Instead of seeking opportunities to come clean, being realistic and perceptive about when and to whom to make an ‘ advance’, and taking risks that can be recouped, self - doubt floods the whole question with anxiety, and replaces a balanced point of view with crude prejudices and images of disaster.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADV ADP VERB NOUN PART VERB ADJ VERB ADJ CCONJ VERB ADP ADV CCONJ ADP NOUN PART VERB DET NOUN NOUN CCONJ VERB NOUN ADJ VERB VERB VERB NOUN PUNCT NOUN VERB DET ADJ NOUN ADP NOUN CCONJ VERB DET ADJ NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN	▁Instead ▁of ▁seeking ▁opportunities ▁to ▁come ▁clean , ▁being ▁realistic ▁and ▁p ercept ive ▁about ▁when ▁and ▁to ▁whom ▁to ▁make ▁an ▁ ‘ ▁advance ’ , ▁and ▁taking ▁risks ▁that ▁can ▁be ▁re co up ed , ▁self ▁- ▁doubt ▁floods ▁the ▁whole ▁question ▁with ▁anxiety , ▁and ▁replaces ▁a ▁balanced ▁point ▁of ▁view ▁with ▁crude ▁prejudice s ▁and ▁images ▁of ▁disaster .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP VERB NOUN PART VERB ADJ ADJ VERB ADJ CCONJ VERB VERB VERB ADP ADV CCONJ ADP NOUN PART VERB DET NOUN NOUN NOUN NOUN NOUN CCONJ VERB NOUN ADJ VERB VERB VERB VERB VERB VERB VERB NOUN PUNCT NOUN VERB DET ADJ NOUN ADP NOUN NOUN CCONJ VERB DET ADJ NOUN ADP NOUN ADP ADJ NOUN NOUN CCONJ NOUN ADP NOUN NOUN
S&N come clean on Brown clips	0 1 1 0 0 0	come clean	figurative	identical	NOUN VERB ADJ ADP PROPN NOUN	▁S & N ▁come ▁clean ▁on ▁Brown ▁clips	0 0 0 1 1 0 0 0	NOUN NOUN NOUN VERB ADJ ADP PROPN NOUN
Was this then the moment to come clean, he wondered?	0 0 0 0 0 0 1 1 0 0	come clean	figurative	identical	VERB DET ADV DET NOUN PART VERB ADJ PRON VERB	▁Was ▁this ▁then ▁the ▁moment ▁to ▁come ▁clean , ▁he ▁wonder ed ?	0 0 0 0 0 0 1 1 1 0 0 0 0	VERB DET ADV DET NOUN PART VERB ADJ ADJ PRON VERB VERB VERB
On this page, Nick Roe visits a plant which, despite strenuous public relations efforts, has failed to convince its neighbours that it has come clean.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	ADP DET NOUN PROPN PROPN VERB DET NOUN ADJ ADP ADJ ADJ NOUN NOUN VERB VERB PART VERB ADJ NOUN ADP PRON VERB VERB ADJ	▁On ▁this ▁page , ▁N ick ▁Ro e ▁visits ▁a ▁plant ▁which , ▁despite ▁stren uous ▁public ▁relations ▁efforts , ▁has ▁failed ▁to ▁convince ▁its ▁neighbours ▁that ▁it ▁has ▁come ▁clean .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP DET NOUN NOUN PROPN PROPN PROPN PROPN VERB DET NOUN ADJ ADJ ADP ADJ ADJ ADJ NOUN NOUN NOUN VERB VERB PART VERB ADJ NOUN ADP PRON VERB VERB ADJ ADJ
The vested interests of large corporations will not come clean unless we force them.	0 0 0 0 0 0 0 0 1 1 0 0 0 0	come clean	figurative	identical	DET ADJ NOUN ADP ADJ NOUN VERB ADV VERB ADJ ADP PRON VERB PRON	▁The ▁vested ▁interests ▁of ▁large ▁corporations ▁will ▁not ▁come ▁clean ▁unless ▁we ▁force ▁them .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	DET ADJ NOUN ADP ADJ NOUN VERB ADV VERB ADJ ADP PRON VERB PRON PRON
The Profitboss comes clean : with his boss, with his people, with his colleagues.	0 0 1 1 0 0 0 0 0 0 0 0 0 0	come clean	figurative	inflection	DET PROPN VERB ADJ PUNCT ADP ADJ NOUN ADP ADJ NOUN ADP ADJ NOUN	▁The ▁Profit bo s s ▁comes ▁clean ▁ : ▁with ▁his ▁bo s s , ▁with ▁his ▁people , ▁with ▁his ▁colleagues .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN VERB ADJ PUNCT PUNCT ADP ADJ NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN ADP ADJ NOUN NOUN
Are the Government going to send other material that they want to launder to Wandsworth prison or are they now going to come clean about this episode?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	come clean	figurative	identical	VERB DET PROPN VERB PART VERB ADJ NOUN ADJ PRON VERB PART VERB ADP PROPN NOUN CCONJ VERB PRON ADV VERB PART VERB ADJ ADP DET NOUN	▁Are ▁the ▁Government ▁going ▁to ▁send ▁other ▁material ▁that ▁they ▁want ▁to ▁la under ▁to ▁W and s worth ▁prison ▁or ▁are ▁they ▁now ▁going ▁to ▁come ▁clean ▁about ▁this ▁episode ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	VERB DET PROPN VERB PART VERB ADJ NOUN ADJ PRON VERB PART VERB VERB ADP PROPN PROPN PROPN PROPN NOUN CCONJ VERB PRON ADV VERB PART VERB ADJ ADP DET NOUN NOUN
BUCKINGHAM Palace still refused to come clean last night on the Di smear letter.	0 0 0 0 0 1 1 0 0 0 0 0 0 0	come clean	figurative	identical	PROPN PROPN ADV VERB PART VERB ADJ ADJ NOUN ADP DET PROPN ADJ NOUN	▁BU CK ING HAM ▁Pal ace ▁still ▁refused ▁to ▁come ▁clean ▁last ▁night ▁on ▁the ▁Di ▁sm ear ▁letter .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN ADV VERB PART VERB ADJ ADJ NOUN ADP DET PROPN ADJ ADJ NOUN NOUN
So come clean with mild soaps or non - soap moisturising ‘ body shampoos’ and bath or shower gels.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	literal	identical	ADV VERB ADJ ADP ADJ NOUN CCONJ ADJ PUNCT NOUN VERB ADJ NOUN NOUN CCONJ NOUN CCONJ NOUN NOUN	▁So ▁come ▁clean ▁with ▁mild ▁soap s ▁or ▁non ▁- ▁soap ▁moist ur ising ▁ ‘ ▁body ▁sham po os ’ ▁and ▁bath ▁or ▁shower ▁gel s .	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB ADJ ADP ADJ NOUN NOUN CCONJ ADJ PUNCT NOUN VERB VERB VERB ADJ ADJ NOUN NOUN NOUN NOUN NOUN CCONJ NOUN CCONJ NOUN NOUN NOUN NOUN
Perhaps the best course was simply to come clean — to explain how she came to be involved in the case, and enlist Veronica's help?	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADV DET ADJ NOUN VERB ADV PART VERB ADJ PUNCT PART VERB ADV PRON VERB PART VERB VERB ADP DET NOUN CCONJ VERB PROPN NOUN	▁Perhaps ▁the ▁best ▁course ▁was ▁simply ▁to ▁come ▁clean ▁ — ▁to ▁explain ▁how ▁she ▁came ▁to ▁be ▁involved ▁in ▁the ▁case , ▁and ▁en list ▁Ver onic a ' s ▁help ?	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET ADJ NOUN VERB ADV PART VERB ADJ PUNCT PUNCT PART VERB ADV PRON VERB PART VERB VERB ADP DET NOUN NOUN CCONJ VERB VERB PROPN PROPN PROPN PROPN PROPN NOUN NOUN
From my reading of the evidence, it appears that there is a certain amount of buck - passing between the Ministers in the two Departments about who will identify the gap, where the resources will come from and who will come clean about the budget that will be set for community care provision.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADP ADJ NOUN ADP DET NOUN PRON VERB ADP ADV VERB DET ADJ NOUN ADP NOUN PUNCT VERB ADP DET PROPN ADP DET NUM PROPN ADP NOUN VERB VERB DET NOUN ADV DET NOUN VERB VERB ADP CCONJ NOUN VERB VERB ADJ ADP DET NOUN ADJ VERB VERB VERB ADP NOUN NOUN NOUN	▁From ▁my ▁reading ▁of ▁the ▁evidence , ▁it ▁appears ▁that ▁there ▁is ▁a ▁certain ▁amount ▁of ▁buck ▁- ▁passing ▁between ▁the ▁Ministers ▁in ▁the ▁two ▁Department s ▁about ▁who ▁will ▁identify ▁the ▁gap , ▁where ▁the ▁resources ▁will ▁come ▁from ▁and ▁who ▁will ▁come ▁clean ▁about ▁the ▁budget ▁that ▁will ▁be ▁set ▁for ▁community ▁care ▁provision .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN ADP DET NOUN NOUN PRON VERB ADP ADV VERB DET ADJ NOUN ADP NOUN PUNCT VERB ADP DET PROPN ADP DET NUM PROPN PROPN ADP NOUN VERB VERB DET NOUN NOUN ADV DET NOUN VERB VERB ADP CCONJ NOUN VERB VERB ADJ ADP DET NOUN ADJ VERB VERB VERB ADP NOUN NOUN NOUN NOUN
It is time that the Prime Minister came clean with the country.	0 0 0 0 0 0 0 1 1 0 0 0	come clean	figurative	inflection	PRON VERB NOUN ADP DET PROPN PROPN VERB ADJ ADP DET NOUN	▁It ▁is ▁time ▁that ▁the ▁Prime ▁Minister ▁came ▁clean ▁with ▁the ▁country .	0 0 0 0 0 0 0 1 1 0 0 0 0	PRON VERB NOUN ADP DET PROPN PROPN VERB ADJ ADP DET NOUN NOUN
Mr Armstrong said : ‘ It was as a result of this defendant coming clean that these proceedings were brought.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	come clean	figurative	inflection	PROPN PROPN VERB PUNCT PUNCT PRON VERB ADP DET NOUN ADP DET NOUN VERB ADJ ADP DET NOUN VERB VERB	▁Mr ▁Arms tron g ▁said ▁ : ▁ ‘ ▁It ▁was ▁as ▁a ▁result ▁of ▁this ▁defendant ▁coming ▁clean ▁that ▁these ▁proceedings ▁were ▁brought .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PRON VERB ADP DET NOUN ADP DET NOUN VERB ADJ ADP DET NOUN VERB VERB VERB
LABOUR were furious yesterday over the Government's refusal to come clean about plans which they suspect could cut the number of people entitled to invalidity benefit.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	PROPN VERB ADJ NOUN ADP DET PROPN NOUN PART VERB ADJ ADP NOUN ADJ PRON VERB VERB VERB DET NOUN ADP NOUN VERB ADP NOUN NOUN	▁LABOUR ▁were ▁fur ious ▁yesterday ▁over ▁the ▁Government ' s ▁refusal ▁to ▁come ▁clean ▁about ▁plans ▁which ▁they ▁suspect ▁could ▁cut ▁the ▁number ▁of ▁people ▁entitled ▁to ▁invalidity ▁benefit .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB ADJ ADJ NOUN ADP DET PROPN PROPN PROPN NOUN PART VERB ADJ ADP NOUN ADJ PRON VERB VERB VERB DET NOUN ADP NOUN VERB ADP NOUN NOUN NOUN
' They come out very clean. '	0 0 1 0 0 1 0	come clean	literal	insertion-other	PUNCT PRON VERB PART ADV ADJ PUNCT	▁' ▁They ▁come ▁out ▁very ▁clean . ▁'	0 0 1 0 0 1 1 0	PUNCT PRON VERB PART ADV ADJ ADJ PUNCT
Is it not time that the Secretary of State came clean and admitted to the House that the boats are dangerous, the cost of repair and renovation is beyond reasonable expenditure and the boats should be withdrawn?	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	inflection	VERB PRON ADV VERB ADP DET PROPN ADP PROPN VERB ADJ CCONJ VERB ADP DET PROPN ADJ DET NOUN VERB ADJ DET NOUN ADP NOUN CCONJ NOUN VERB ADP ADJ NOUN CCONJ DET NOUN VERB VERB VERB	▁Is ▁it ▁not ▁time ▁that ▁the ▁Secretary ▁of ▁State ▁came ▁clean ▁and ▁admitted ▁to ▁the ▁House ▁that ▁the ▁boats ▁are ▁dangerous , ▁the ▁cost ▁of ▁repair ▁and ▁renovation ▁is ▁beyond ▁reasonable ▁expenditure ▁and ▁the ▁boats ▁should ▁be ▁withdrawn ?	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB PRON ADV VERB ADP DET PROPN ADP PROPN VERB ADJ CCONJ VERB ADP DET PROPN ADJ DET NOUN VERB ADJ ADJ DET NOUN ADP NOUN CCONJ NOUN VERB ADP ADJ NOUN CCONJ DET NOUN VERB VERB VERB VERB
The Government still have not come clean about the information revealed in a Select Committee appendix.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	DET PROPN ADV VERB ADV VERB ADJ ADP DET NOUN VERB ADP DET PROPN PROPN NOUN	▁The ▁Government ▁still ▁have ▁not ▁come ▁clean ▁about ▁the ▁information ▁revealed ▁in ▁a ▁Select ▁Committee ▁appendix .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	DET PROPN ADV VERB ADV VERB ADJ ADP DET NOUN VERB ADP DET PROPN PROPN NOUN NOUN
