The last could be the icing on the cake couldn't it?	0 0 0 0 0 1 1 0 1 0 0	the icing on the cake	figurative	deletion-determiner	DET ADJ VERB VERB DET NOUN ADP DET NOUN VERB PRON
They led a campaign for the new centre to be built and today, Virginia Bottomley's visit turned out to be the icing on the cake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	PRON VERB DET NOUN ADP DET ADJ NOUN PART VERB VERB CCONJ NOUN PROPN PROPN NOUN VERB PART PART VERB DET NOUN ADP DET NOUN
Sponsorship should of course be the icing on the cake, there should be enough in, in competition in regattas and themselves but people are interested enough to go and to support and that sponsorship actually allows you to do things that you wouldn't have been able to do otherwise.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	NOUN VERB ADP NOUN VERB DET NOUN ADP DET NOUN ADV VERB VERB ADJ ADP ADP NOUN ADP NOUN CCONJ PRON CCONJ NOUN VERB ADJ ADV PART VERB CCONJ PART VERB CCONJ DET NOUN ADV VERB PRON PART VERB NOUN ADJ PRON VERB VERB VERB ADJ PART VERB ADV
Austicks in Leeds with its mix of academic and general bookselling, ‘ looks upon Christmas trade as the icing on the cake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	NOUN ADP NOUN ADP ADJ NOUN ADP ADJ CCONJ ADJ NOUN PUNCT NOUN ADP PROPN NOUN ADP DET NOUN ADP DET NOUN
And if he can really put the icing on the cake of this remarkable recovery story by winning, he will be the toast of the Portsmouth greyhound racing fraternity — where he's become a great favourite over the years.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	CCONJ ADP PRON VERB ADV VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN ADP VERB PRON VERB VERB DET NOUN ADP DET PROPN NOUN VERB NOUN PUNCT ADV PRON VERB DET ADJ NOUN ADP DET NOUN
He seemed to have clinched a seventh victory with his partner, Jean - Louis Schlesser, putting the icing on the cake of their shared world championship.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PRON VERB PART VERB VERB DET ADJ NOUN ADP ADJ NOUN PROPN PUNCT PROPN PROPN VERB DET NOUN ADP DET NOUN ADP ADJ VERB NOUN NOUN
Sergeant Henley prided herself on her power to prise out information by a mixture of persuasion and light bullying like the icing on a cake, and although this had never worked particularly well with Roxie in the past, this was no reason not to try it now.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	combined-other	PROPN PROPN VERB PRON ADP ADJ NOUN PART VERB PART NOUN ADP DET NOUN ADP NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP DET VERB ADV VERB ADV ADV ADP PROPN ADP DET NOUN DET VERB DET NOUN ADV PART VERB PRON ADV
It was the final icing on the cake of the plan by many post - World ~ War ~ II leaders, driven by the memory of two horrible world wars originating in and consuming Europe in the previous half - century, to forge closer economic and political ties.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PRON VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT PROPN NOUN VERB ADP DET NOUN ADP NUM ADJ NOUN NOUN VERB ADP CCONJ VERB PROPN ADP DET ADJ ADJ PUNCT NOUN PART VERB ADJ ADJ CCONJ ADJ NOUN
‘ British insects have been so well recorded that the discovery of new species is the icing on the cake of the study,’ said Dr Holmes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PUNCT ADJ NOUN VERB VERB ADV ADV VERB ADP DET NOUN ADP ADJ NOUN VERB DET NOUN ADP DET NOUN ADP DET PROPN VERB PROPN PROPN
When you grow up you realize that it's like the icing on a cake.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	combined-other	ADV PRON VERB PART PRON VERB ADP PRON ADP DET NOUN ADP DET NOUN
’ It's like the icing on the cake.	0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	PUNCT PRON ADP DET NOUN ADP DET NOUN
To put the icing on the cake, Newsboy — that's Charles Fawcus ( left)— weighed in with a 29 - 1 double yesterday through Jdaayel and Our Rita ( 5 - 1 ).	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PART VERB DET NOUN ADP DET NOUN PROPN PUNCT DET PROPN PROPN PUNCT PROPN VERB PART ADP DET NUM SYM NUM ADJ NOUN ADP PROPN CCONJ ADJ PROPN PUNCT NUM SYM NUM PUNCT
Even without this icing on the cake, I suspect that the set would be the ideal ' book ' for a physicist to be cast away with on a desert island, provided paper and pencils were also supplied.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	ADV ADP DET NOUN ADP DET NOUN PRON VERB ADP DET NOUN VERB VERB DET ADJ PUNCT NOUN PUNCT ADP DET NOUN PART VERB VERB ADV ADP ADP DET NOUN NOUN VERB NOUN CCONJ NOUN VERB ADV VERB
Items such as these are the icing on the cake.	0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	NOUN ADJ ADP DET VERB DET NOUN ADP DET NOUN
Commenting on another storming quarter — figures, page seven — Microsoft Corp, whose third quarter earnings of $ 0.80 a share were above consensus analyst estimates of $ 0.78 for the period, warned that fourth quarter growth in profits would be less impressive —‘One of the things that's different in this fourth quarter is we don't have this kicker product, the icing on the cake,’ said Microsoft investor relations chief Raymond Ferguson ; Microsoft said it shipped a record - breaking 2 m MS - DOS 6 retail upgrade copies in the two weeks since it hit the market, but the company said they would be pleased if fourth - quarter revenues rose by half the roughly 20 % sequential quarterly rate of recent years, when Microsoft has benefited from upgrade versions of Windows 3.0, MS - DOS 5 and then Windows 3.1 ; it is still likely to see its first billion dollar quarter this time ; during the fiscal third quarter, sales of applications, which accounted for 61 % of total revenues in the period, leaped 63 % over year - ago levels to $ 580 m, and Microsoft ended the quarter with $ 2,000 m in cash ; shipment of Windows NT is on schedule for late June following a late May unveiling, the firm said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	VERB ADP DET VERB NOUN PUNCT NOUN NOUN NUM PUNCT PROPN PROPN ADJ ADJ NOUN NOUN ADP SYM NUM DET NOUN VERB ADP NOUN NOUN NOUN ADP SYM NUM ADP DET NOUN VERB ADP ADJ NOUN NOUN ADP NOUN VERB VERB ADV ADJ NUM ADP DET NOUN ADJ ADJ ADP DET ADJ NOUN VERB PRON VERB VERB DET NOUN NOUN DET NOUN ADP DET NOUN VERB PROPN NOUN NOUN NOUN PROPN PROPN PUNCT PROPN VERB PRON VERB DET NOUN PUNCT VERB NUM NOUN PROPN PUNCT PROPN NUM ADJ NOUN NOUN ADP DET NUM NOUN ADP PRON VERB DET NOUN CCONJ DET NOUN VERB PRON VERB VERB ADJ ADP ADJ PUNCT NOUN NOUN VERB ADP ADJ DET ADV NUM NOUN ADJ ADJ NOUN ADP ADJ NOUN ADV PROPN VERB VERB ADP NOUN NOUN ADP PROPN NUM PROPN PUNCT PROPN NUM CCONJ ADV PROPN NUM PUNCT PRON VERB ADV ADJ PART VERB ADJ ADJ NUM NOUN NOUN DET NOUN PUNCT ADP DET ADJ ADJ NOUN NOUN ADP NOUN ADJ VERB ADP NUM NOUN ADP ADJ NOUN ADP DET NOUN VERB NUM NOUN ADP NOUN PUNCT ADJ NOUN ADP SYM NUM NOUN CCONJ PROPN VERB DET NOUN ADP SYM NUM NOUN ADP NOUN PUNCT NOUN ADP PROPN PROPN VERB ADP NOUN ADP ADJ PROPN VERB DET ADJ PROPN NOUN DET NOUN VERB
But when, says Juliet Clough, you do find them, the sights can prove both beautiful and satisfying The icing on the cake	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	CCONJ ADV VERB PROPN PROPN PRON VERB VERB PRON DET NOUN VERB VERB DET ADJ CCONJ VERB DET NOUN ADP DET NOUN
And for the family business with such humble beginnings the expansion is just the icing on the cake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	CCONJ ADP DET NOUN NOUN ADP ADJ ADJ NOUN DET NOUN VERB ADV DET NOUN ADP DET NOUN
In this context, the current postwar peace proposals now being advanced in Western capitals are merely the icing on the global security cake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1	the icing on the cake	figurative	combined-other	ADP DET NOUN DET ADJ ADJ NOUN NOUN ADV VERB ADJ ADP ADJ NOUN VERB ADV DET NOUN ADP DET ADJ NOUN NOUN
And as the icing on the cake, Gilliland also reported a smaller, but clearly present, fluctuation in solar size which ties in with the 11-year sunspot cycle.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	CCONJ ADP DET NOUN ADP DET NOUN PROPN ADV VERB DET ADJ CCONJ ADV ADJ NOUN ADP ADJ NOUN ADJ VERB PART ADP DET NUM NOUN NOUN
But for Miss Mates the ‘ really truly’ was the icing on the cake, even if she had more doubts about Sally - Anne's stamina than her missing references.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	CCONJ ADP PROPN PROPN DET PUNCT ADV ADJ VERB DET NOUN ADP DET NOUN ADV ADP PRON VERB ADJ NOUN ADP PROPN PUNCT PROPN NOUN ADP ADJ VERB NOUN
A REVIVAL in local radio has put the icing on the cake for GWR, the M4 corridor operator which also has a large slice of Classic FM for which TV star Henry Kelly is a regular presenter.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	DET PROPN ADP ADJ NOUN VERB VERB DET NOUN ADP DET NOUN ADP PROPN DET PROPN NOUN NOUN ADJ ADV VERB DET ADJ NOUN ADP PROPN PROPN ADP ADJ NOUN NOUN PROPN PROPN VERB DET ADJ NOUN
The icing on the cake for Strabane may well be the continued good form with the ball of the ageless Terence Patton whose medium paced deliveries have produced a promising early harvest.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	DET NOUN ADP DET NOUN ADP PROPN VERB ADV VERB DET VERB ADJ NOUN ADP DET NOUN ADP DET NOUN PROPN PROPN ADJ NOUN VERB NOUN VERB VERB DET ADJ ADJ NOUN
The icing on the cake	0 1 1 0 1	the icing on the cake	literal	deletion-determiner	DET NOUN ADP DET NOUN
It was an important match, and after being 2–0 down at half time, that goal would have been the icing on the cake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	PRON VERB DET ADJ NOUN CCONJ ADP VERB NUM ADV ADP ADJ NOUN DET NOUN VERB VERB VERB DET NOUN ADP DET NOUN
Polo parks ( one was constructed recently at Châteaux Giscours ), marble bottling halls ( Michel Delon's at Léoville - Lascases is so highly polished that workers have been issued with special boots ), Versailles - style formal gardens with sunken cellars provide the spectacular icing on the cake of wealth accumulated by the leading châteaux over the last decade by the simple expedient of charging much more for their wines than it costs to make them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	ADJ NOUN PUNCT NUM VERB VERB ADV ADP PROPN PROPN PUNCT NOUN NOUN NOUN PUNCT PROPN PROPN ADP PROPN PUNCT PROPN VERB ADV ADV ADJ ADP NOUN VERB VERB VERB ADP ADJ NOUN PUNCT PROPN PUNCT NOUN ADJ NOUN ADP ADJ NOUN VERB DET ADJ NOUN ADP DET NOUN ADP NOUN VERB ADP DET VERB NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP VERB ADV ADJ ADP ADJ NOUN ADP PRON VERB PART VERB PRON
Wright's magnificent second goal was just the icing on the cake before a near 30,000 crowd, and proves that they will certainly be in with a shout when the title race really hots up.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PROPN ADJ ADJ NOUN VERB ADV DET NOUN ADP DET NOUN ADP DET ADJ NUM NOUN CCONJ VERB ADP PRON VERB ADV VERB ADP ADP DET NOUN ADV DET NOUN NOUN ADV VERB PART
A successful tour is the priority — the icing on the cake would come if wife, Wendy, could hang on a week or so for the birth of their second child due a month before the end of the tour. ‘	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	DET ADJ NOUN VERB DET NOUN PUNCT DET NOUN ADP DET NOUN VERB VERB ADP NOUN NOUN VERB VERB ADP DET NOUN CCONJ ADV ADP DET NOUN ADP ADJ ADJ NOUN ADJ DET NOUN ADP DET NOUN ADP DET NOUN PUNCT
Birmingham were now in complete control and put the icing on the cake four minutes before the interval when on loan Karl Shutt put over a cross which Saville, completely unmarked, headed into the root of the net.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PROPN VERB ADV ADP ADJ NOUN CCONJ VERB DET NOUN ADP DET NOUN NUM NOUN ADP DET NOUN ADV ADP NOUN PROPN PROPN VERB PART DET NOUN ADJ PROPN ADV ADJ VERB ADP DET NOUN ADP DET NOUN
Soccer : Rogan's icing on the cake	0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	NOUN PUNCT PROPN NOUN ADP DET NOUN
But the second process — the creation of organic molecules incorporating hydrogen — was the icing on the cake which gave the photosynthesizing organisms their supremacy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	CCONJ DET ADJ NOUN PUNCT DET NOUN ADP ADJ NOUN VERB NOUN PUNCT VERB DET NOUN ADP DET NOUN ADJ VERB DET NOUN VERB ADJ NOUN
More goals would have been the icing on the cake.’	0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	ADJ NOUN VERB VERB VERB DET NOUN ADP DET NOUN
That would be the icing on the cake.’	0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	DET VERB VERB DET NOUN ADP DET NOUN
The final icing on the birthday cake came in the form of THE CANDYSKINS ' immaculate rendition of ' You Sexy Thing ', although whether or not this was addressed to their host, we are not told.	0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	combined-other	DET ADJ NOUN ADP DET NOUN NOUN VERB ADP DET NOUN ADP DET PROPN PART NOUN NOUN ADP PUNCT PRON PROPN NOUN PUNCT ADP ADP CCONJ ADV DET VERB VERB ADP ADJ NOUN PRON VERB ADV VERB
The Safrane, Renault's direct replacement for the R25, aims to be the icing on the cake and, as such, has to raise the game of the competent but uninspired R25 on to a higher plane.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	DET PROPN PROPN ADJ NOUN ADP DET PROPN VERB PART VERB DET NOUN ADP DET NOUN CCONJ ADP ADJ VERB PART VERB DET NOUN ADP DET ADJ CCONJ ADJ NOUN ADP ADP DET ADJ NOUN
Slopers, smearing and associated delicate manoeuvres allow absorbing progress to be made, while the unexpectedly good protection completes the icing on the cake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	NOUN VERB CCONJ VERB ADJ NOUN VERB VERB NOUN PART VERB VERB ADP DET ADV ADJ NOUN VERB DET NOUN ADP DET NOUN
The final icing on the cake is the beautifully - cut brass nut which looks terrific against the sunbursting.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	DET ADJ NOUN ADP DET NOUN VERB DET ADV PUNCT VERB NOUN NOUN ADJ VERB ADJ ADP DET NOUN
To make the space creatures, shape small ovals from the green icing and position on the cake.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1	the icing on the cake	literal	combined-other	PART VERB DET NOUN NOUN VERB ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN ADP DET NOUN
