And she's going places.’	0 0 1 1	go places	figurative	combined-inflection	CCONJ PRON VERB ADJ	▁And ▁she ' s ▁going ▁places . ’	0 0 0 0 1 1 1 1	CCONJ PRON PRON PRON VERB ADJ ADJ ADJ
Why don't you and me go some place, see who's out and about down the Grove?	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	go places	literal	combined-inflection	ADV VERB PRON CCONJ PRON VERB DET NOUN VERB NOUN ADV CCONJ ADP ADP DET PROPN	▁Why ▁don ' t ▁you ▁and ▁me ▁go ▁some ▁place , ▁see ▁who ' s ▁out ▁and ▁about ▁down ▁the ▁Gro ve ?	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB VERB VERB PRON CCONJ PRON VERB DET NOUN NOUN VERB NOUN NOUN NOUN ADV CCONJ ADP ADP DET PROPN PROPN PROPN
Moran said : ‘ Director Jack Walker's money has enabled the manager to put down a good foundation and if we can get Roy coming in alongside the likes of Alan Shearer, the club will really be going places.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	go places	figurative	combined-inflection	PROPN VERB PUNCT PUNCT PROPN PROPN PROPN NOUN VERB VERB DET NOUN PART VERB PART DET ADJ NOUN CCONJ ADP PRON VERB VERB PROPN VERB PART ADP DET NOUN ADP PROPN PROPN DET NOUN VERB ADV VERB VERB ADJ	▁Mor an ▁said ▁ : ▁ ‘ ▁Director ▁Jack ▁W al ker ' s ▁money ▁has ▁enabled ▁the ▁manager ▁to ▁put ▁down ▁a ▁good ▁foundation ▁and ▁if ▁we ▁can ▁get ▁Roy ▁coming ▁in ▁alongside ▁the ▁like s ▁of ▁A lan ▁She ar er , ▁the ▁club ▁will ▁really ▁be ▁going ▁places . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB DET NOUN PART VERB PART DET ADJ NOUN CCONJ ADP PRON VERB VERB PROPN VERB PART ADP DET NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN VERB ADV VERB VERB ADJ ADJ ADJ
In fact, you 're a girl who's going places — once you 've untied yourself from this man who's been like a millstone around your neck for the last four years.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go places	figurative	inflection	ADP NOUN PRON VERB DET NOUN NOUN VERB NOUN PUNCT ADP PRON VERB VERB PRON ADP DET NOUN NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NUM NOUN	▁In ▁fact , ▁you ▁' re ▁a ▁girl ▁who ' s ▁going ▁places ▁ — ▁once ▁you ▁' ve ▁un ti ed ▁yourself ▁from ▁this ▁man ▁who ' s ▁been ▁like ▁a ▁mill stone ▁around ▁your ▁neck ▁for ▁the ▁last ▁four ▁years .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN PRON VERB VERB DET NOUN NOUN NOUN NOUN VERB NOUN PUNCT PUNCT ADP PRON VERB VERB VERB VERB VERB PRON ADP DET NOUN NOUN NOUN NOUN VERB ADP DET NOUN NOUN ADP ADJ NOUN ADP DET ADJ NUM NOUN NOUN
He's certainly going places.	0 0 1 1	go places	figurative	inflection	PRON ADV VERB NOUN	▁He ' s ▁certainly ▁going ▁places .	0 0 0 0 1 1 1	PRON PRON PRON ADV VERB NOUN NOUN
‘ What a team — we could go places.’	0 0 0 0 0 0 0 1 1	go places	figurative	dashes	PUNCT ADJ DET NOUN PUNCT PRON VERB VERB ADJ	▁ ‘ ▁What ▁a ▁team ▁ — ▁we ▁could ▁go ▁places . ’	0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT ADJ DET NOUN PUNCT PUNCT PRON VERB VERB ADJ ADJ ADJ
Foundations are good, with an excellent youth policy, and a manager who is going places.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	go places	figurative	combined-inflection	NOUN VERB ADJ ADP DET ADJ NOUN NOUN CCONJ DET NOUN NOUN VERB VERB ADJ	▁Foundation s ▁are ▁good , ▁with ▁an ▁excellent ▁youth ▁policy , ▁and ▁a ▁manager ▁who ▁is ▁going ▁places . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN VERB ADJ ADJ ADP DET ADJ NOUN NOUN NOUN CCONJ DET NOUN NOUN VERB VERB ADJ ADJ ADJ
' Playing regularly in south Wales has helped us to go places and 10 years on it's nice to crown it with a win like this.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go places	figurative	identical	PUNCT VERB ADV ADP ADJ PROPN VERB VERB PRON PART VERB NOUN CCONJ NUM NOUN ADP PRON ADJ PART VERB PRON ADP DET NOUN ADP DET	▁' ▁P laying ▁regularly ▁in ▁south ▁Wales ▁has ▁helped ▁us ▁to ▁go ▁places ▁and ▁10 ▁years ▁on ▁it ' s ▁nice ▁to ▁crown ▁it ▁with ▁a ▁win ▁like ▁this .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT VERB VERB ADV ADP ADJ PROPN VERB VERB PRON PART VERB NOUN CCONJ NUM NOUN ADP PRON PRON PRON ADJ PART VERB PRON ADP DET NOUN ADP DET DET
Then we went some places.	0 0 1 0 1	go places	literal	combined-inflection	ADV PRON VERB DET NOUN	▁Then ▁we ▁went ▁some ▁places .	0 0 1 0 1 1	ADV PRON VERB DET NOUN NOUN
Jonathon Morris, you will have gathered, is going places — and no one could be happier than the man himself.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	go places	figurative	inflection	PROPN PROPN PRON VERB VERB VERB VERB VERB NOUN PUNCT CCONJ DET NOUN VERB VERB ADJ ADP DET NOUN PRON	▁Jo nat hon ▁Morris , ▁you ▁will ▁have ▁gathered , ▁is ▁going ▁places ▁ — ▁and ▁no ▁one ▁could ▁be ▁h app ier ▁than ▁the ▁man ▁himself .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PRON VERB VERB VERB VERB VERB VERB NOUN PUNCT PUNCT CCONJ DET NOUN VERB VERB ADJ ADJ ADJ ADP DET NOUN PRON PRON
And then we had to go straight away there and we went different places, Northampton, s you know different places in the country like, in England.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	go places	literal	combined-inflection	CCONJ ADV PRON VERB PART VERB ADV ADV ADV CCONJ PRON VERB ADJ NOUN PROPN VERB PRON VERB ADJ NOUN ADP DET NOUN ADP ADP PROPN	▁And ▁then ▁we ▁had ▁to ▁go ▁straight ▁away ▁there ▁and ▁we ▁went ▁different ▁places , ▁North ampton , ▁s ▁you ▁know ▁different ▁places ▁in ▁the ▁country ▁like , ▁in ▁England .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV PRON VERB PART VERB ADV ADV ADV CCONJ PRON VERB ADJ NOUN NOUN PROPN PROPN PROPN VERB PRON VERB ADJ NOUN ADP DET NOUN ADP ADP ADP PROPN PROPN
And in fact they 've gone one place down the table, they 've moved down to eighteenth with West Brom having a good win away at Blackburn.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go places	literal	combined-inflection	CCONJ ADP NOUN PRON VERB VERB NUM NOUN ADP DET NOUN PRON VERB VERB ADV PART VERB ADP PROPN PROPN VERB DET ADJ NOUN ADV ADP PROPN	▁And ▁in ▁fact ▁they ▁' ve ▁gone ▁one ▁place ▁down ▁the ▁table , ▁they ▁' ve ▁moved ▁down ▁to ▁eighteen th ▁with ▁West ▁B rom ▁having ▁a ▁good ▁win ▁away ▁at ▁Black burn .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP NOUN PRON VERB VERB VERB NUM NOUN ADP DET NOUN NOUN PRON VERB VERB VERB ADV PART VERB VERB ADP PROPN PROPN PROPN VERB DET ADJ NOUN ADV ADP PROPN PROPN PROPN
For drivers who are really going places	0 0 0 0 0 1 1	go places	figurative	inflection	ADP NOUN NOUN VERB ADV VERB NOUN	▁For ▁drivers ▁who ▁are ▁really ▁going ▁places	0 0 0 0 0 1 1	ADP NOUN NOUN VERB ADV VERB NOUN
For a start, I will travel and go places I 've not seen, and return to places I 've been to but not really seen because of the tennis.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go places	figurative	identical	ADP DET NOUN PRON VERB VERB CCONJ VERB NOUN PRON VERB ADV VERB CCONJ VERB ADP NOUN PRON VERB VERB PART CCONJ ADV ADV VERB ADP ADP DET NOUN	▁For ▁a ▁start , ▁I ▁will ▁travel ▁and ▁go ▁places ▁I ▁' ve ▁not ▁seen , ▁and ▁return ▁to ▁places ▁I ▁' ve ▁been ▁to ▁but ▁not ▁really ▁seen ▁because ▁of ▁the ▁ten nis .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN PRON VERB VERB CCONJ VERB NOUN PRON VERB VERB ADV VERB VERB CCONJ VERB ADP NOUN PRON VERB VERB VERB PART CCONJ ADV ADV VERB ADP ADP DET NOUN NOUN NOUN
One punter refers to a typically fateful day : 1 August 1988 - " … the day I returned from a holiday abroad, Harvard telephoned me out of the blue ( 8th April 1986 ), and a chap who sounded like an enthusiastic young cockney told me how wonderful Towerbell was and that it was going places with top stars in tow! "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	go places	figurative	inflection	NUM NOUN VERB ADP DET ADV ADJ NOUN PUNCT NUM PROPN NUM PUNCT PUNCT PUNCT DET NOUN PRON VERB ADP DET NOUN ADV PROPN VERB PRON ADP ADP DET ADJ PUNCT ADJ PROPN NUM PUNCT CCONJ DET NOUN NOUN VERB ADP DET ADJ ADJ NOUN VERB PRON ADV ADJ PROPN VERB CCONJ ADP PRON VERB VERB NOUN ADP ADJ NOUN ADP NOUN PUNCT	▁One ▁p unt er ▁refers ▁to ▁a ▁typically ▁fate ful ▁day ▁ : ▁1 ▁August ▁1988 ▁- ▁" ▁... ▁the ▁day ▁I ▁returned ▁from ▁a ▁holiday ▁abroad , ▁Har var d ▁telephone d ▁me ▁out ▁of ▁the ▁blue ▁( ▁8 th ▁April ▁1986 ▁ ), ▁and ▁a ▁chap ▁who ▁sound ed ▁like ▁an ▁enthusiastic ▁young ▁ cock ney ▁told ▁me ▁how ▁wonderful ▁Tower b ell ▁was ▁and ▁that ▁it ▁was ▁going ▁places ▁with ▁top ▁stars ▁in ▁to w ! ▁"	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	NUM NOUN NOUN NOUN VERB ADP DET ADV ADJ ADJ NOUN PUNCT PUNCT NUM PROPN NUM PUNCT PUNCT PUNCT DET NOUN PRON VERB ADP DET NOUN ADV ADV PROPN PROPN PROPN VERB VERB PRON ADP ADP DET ADJ PUNCT ADJ ADJ PROPN NUM PUNCT PUNCT CCONJ DET NOUN NOUN VERB VERB ADP DET ADJ ADJ NOUN NOUN NOUN VERB PRON ADV ADJ PROPN PROPN PROPN VERB CCONJ ADP PRON VERB VERB NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN PUNCT
And all these projects — you could really go places.’	0 0 0 0 0 0 0 0 1 1	go places	figurative	dashes	CCONJ ADJ DET NOUN PUNCT PRON VERB ADV VERB ADJ	▁And ▁all ▁these ▁projects ▁ — ▁you ▁could ▁really ▁go ▁places . ’	0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ ADJ DET NOUN PUNCT PUNCT PRON VERB ADV VERB ADJ ADJ ADJ
‘ What's more, we 're still going places.’	0 0 0 0 0 0 1 1	go places	figurative	combined-inflection	PUNCT NOUN ADJ PRON VERB ADV VERB ADJ	▁ ‘ ▁What ' s ▁more , ▁we ▁' re ▁still ▁going ▁places . ’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT NOUN NOUN NOUN ADJ ADJ PRON VERB VERB ADV VERB ADJ ADJ ADJ
I went different places.	0 1 0 1	go places	literal	combined-inflection	PRON VERB ADJ NOUN	▁I ▁went ▁different ▁places .	0 1 0 1 1	PRON VERB ADJ NOUN NOUN
Olajade was going places until he was badly beaten by Michael Nunn, but he will provide Benn with fighting experience.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go places	figurative	inflection	PROPN VERB VERB NOUN ADP PRON VERB ADV VERB ADP PROPN PROPN CCONJ PRON VERB VERB PROPN ADP NOUN NOUN	▁Ol aj ade ▁was ▁going ▁places ▁until ▁he ▁was ▁badly ▁beat en ▁by ▁Michael ▁Nu nn , ▁but ▁he ▁will ▁provide ▁Ben n ▁with ▁fighting ▁experience .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB NOUN ADP PRON VERB ADV VERB VERB ADP PROPN PROPN PROPN PROPN CCONJ PRON VERB VERB PROPN PROPN ADP NOUN NOUN NOUN
The 23-year - old failed to score a single goal last season but Brady adds : ‘ When I was at West Ham I saw he was going places.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	go places	figurative	combined-inflection	DET NUM PUNCT ADJ VERB PART VERB DET ADJ NOUN ADJ NOUN CCONJ PROPN VERB PUNCT PUNCT ADV PRON VERB ADP PROPN PROPN PRON VERB PRON VERB VERB ADJ	▁The ▁23 - year ▁- ▁old ▁failed ▁to ▁score ▁a ▁single ▁goal ▁last ▁season ▁but ▁Bra dy ▁adds ▁ : ▁ ‘ ▁When ▁I ▁was ▁at ▁West ▁Ham ▁I ▁saw ▁he ▁was ▁going ▁places . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NUM NUM NUM PUNCT ADJ VERB PART VERB DET ADJ NOUN ADJ NOUN CCONJ PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT ADV PRON VERB ADP PROPN PROPN PRON VERB PRON VERB VERB ADJ ADJ ADJ
This course is now going places, take it from me, and once the fixture log jam is solved I see happy days ahead.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go places	figurative	inflection	DET NOUN VERB ADV VERB NOUN VERB PRON ADP PRON CCONJ ADV DET ADJ NOUN NOUN VERB VERB PRON VERB ADJ NOUN ADV	▁This ▁course ▁is ▁now ▁going ▁places , ▁take ▁it ▁from ▁me , ▁and ▁once ▁the ▁fixture ▁log ▁ jam ▁is ▁solved ▁I ▁see ▁happy ▁days ▁ahead .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV VERB NOUN NOUN VERB PRON ADP PRON PRON CCONJ ADV DET ADJ NOUN NOUN NOUN VERB VERB PRON VERB ADJ NOUN ADV ADV
Batty, who watched Blackburn's disappointing goalless home League Cup draw with third division Shrewsbury Tuesday night, added : ' I have enjoyed eight good years at Leeds but I can see that Blackburn intend to go places.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	go places	figurative	identical	PROPN NOUN VERB PROPN ADJ ADJ NOUN PROPN PROPN VERB ADP ADJ NOUN PROPN PROPN NOUN VERB PUNCT PUNCT PRON VERB VERB NUM ADJ NOUN ADP PROPN CCONJ PRON VERB VERB ADP PROPN VERB PART VERB NOUN	▁B att y , ▁who ▁watch ed ▁Black burn ' s ▁disappointing ▁goal less ▁home ▁League ▁C up ▁draw ▁with ▁third ▁division ▁S h rew s bur y ▁Tuesday ▁night , ▁added ▁ : ▁' ▁I ▁have ▁enjoyed ▁eight ▁good ▁years ▁at ▁Le ed s ▁but ▁I ▁can ▁see ▁that ▁Black burn ▁intend ▁to ▁go ▁places .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PROPN PROPN PROPN PROPN NOUN VERB VERB PROPN PROPN PROPN PROPN ADJ ADJ ADJ NOUN PROPN PROPN PROPN VERB ADP ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB PUNCT PUNCT PUNCT PRON VERB VERB NUM ADJ NOUN ADP PROPN PROPN PROPN CCONJ PRON VERB VERB ADP PROPN PROPN VERB PART VERB NOUN NOUN
