It's the swings and roundabout argument isn't it?	0 0 1 1 1 0 0 0	swings and roundabouts	figurative	inflection	PRON DET NOUN CCONJ ADJ NOUN VERB PRON	▁It ' s ▁the ▁sw ing s ▁and ▁round about ▁argument ▁is n ' t ▁it ?	0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0	PRON PRON PRON DET NOUN NOUN NOUN CCONJ ADJ ADJ NOUN VERB VERB VERB VERB PRON PRON
A case of swings and roundabouts perhaps?	0 0 0 1 1 1 0	swings and roundabouts	figurative	identical	DET NOUN ADP NOUN CCONJ NOUN ADV	▁A ▁case ▁of ▁sw ing s ▁and ▁round about s ▁perhaps ?	0 0 0 1 1 1 1 1 1 1 0 0	DET NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADV ADV
What has happened is a swings - and - roundabouts operation, whereby last year pensioners received more than the cost of living that they had incurred, whereas this year they will receive less.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	swings and roundabouts	figurative	dashes	NOUN VERB VERB VERB DET NOUN PUNCT CCONJ PUNCT NOUN NOUN ADV ADJ NOUN NOUN VERB ADV ADP DET NOUN ADP VERB ADP PRON VERB VERB ADP DET NOUN PRON VERB VERB ADJ	▁What ▁has ▁happened ▁is ▁a ▁sw ing s ▁- ▁and ▁- ▁round about s ▁operation , ▁whereby ▁last ▁year ▁pensioners ▁received ▁more ▁than ▁the ▁cost ▁of ▁living ▁that ▁they ▁had ▁incurred , ▁whereas ▁this ▁year ▁they ▁will ▁receive ▁less .	0 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB VERB DET NOUN NOUN NOUN PUNCT CCONJ PUNCT NOUN NOUN NOUN NOUN NOUN ADV ADJ NOUN NOUN VERB ADV ADP DET NOUN ADP VERB ADP PRON VERB VERB VERB ADP DET NOUN PRON VERB VERB ADJ ADJ
The son learned his football in a shared backyard or on ‘ patches of grit and oily grass, hemmed in by the crouched streets, with the rusty swings and roundabouts, which creaked under a cafuffle of ragged children.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	swings and roundabouts	literal	identical	DET NOUN VERB ADJ NOUN ADP DET VERB NOUN CCONJ ADP ADJ NOUN ADP ADJ CCONJ ADJ NOUN VERB PART ADP DET VERB NOUN ADP DET ADJ NOUN CCONJ NOUN ADJ VERB ADP DET NOUN ADP ADJ NOUN	▁The ▁son ▁learned ▁his ▁f ootball ▁in ▁a ▁shared ▁back yard ▁or ▁on ▁ ‘ ▁patches ▁of ▁g rit ▁and ▁oil y ▁grass , ▁he mm ed ▁in ▁by ▁the ▁cro uch ed ▁streets , ▁with ▁the ▁ rust y ▁sw ing s ▁and ▁round about s , ▁which ▁cre ak ed ▁under ▁a ▁ca f uff le ▁of ▁r agged ▁children .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADJ NOUN NOUN ADP DET VERB NOUN NOUN CCONJ ADP ADJ ADJ NOUN ADP ADJ ADJ CCONJ ADJ ADJ NOUN NOUN VERB VERB VERB PART ADP DET VERB VERB VERB NOUN NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN ADJ VERB VERB VERB ADP DET NOUN NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN
it's swings and roundabouts	0 1 1 1	swings and roundabouts	figurative	identical	PRON NOUN CCONJ NOUN	▁it ' s ▁sw ing s ▁and ▁round about s	0 0 0 1 1 1 1 1 1 1	PRON PRON PRON NOUN NOUN NOUN CCONJ NOUN NOUN NOUN
So really it is a case of swings and roundabouts.	0 0 0 0 0 0 0 1 1 1	swings and roundabouts	figurative	identical	ADV ADV PRON VERB DET NOUN ADP NOUN CCONJ NOUN	▁So ▁really ▁it ▁is ▁a ▁case ▁of ▁sw ing s ▁and ▁round about s .	0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	ADV ADV PRON VERB DET NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN
It's a swings and roundabouts situation which perhaps only a locking nut cures completely, but again cost enters the picture, as indeed does personal preference.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	swings and roundabouts	figurative	identical	PRON DET NOUN CCONJ NOUN NOUN ADJ ADV ADV DET NOUN NOUN NOUN ADV CCONJ ADV VERB NOUN DET NOUN ADP ADV VERB ADJ NOUN	▁It ' s ▁a ▁sw ing s ▁and ▁round about s ▁situation ▁which ▁perhaps ▁only ▁a ▁locking ▁nut ▁cure s ▁completely , ▁but ▁again ▁cost ▁enters ▁the ▁picture , ▁as ▁indeed ▁does ▁personal ▁preference .	0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON DET NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN ADJ ADV ADV DET NOUN NOUN NOUN NOUN ADV ADV CCONJ ADV VERB NOUN DET NOUN NOUN ADP ADV VERB ADJ NOUN NOUN
But life with Thomas isn't just a merry - go - round it can be swings and roundabouts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	swings and roundabouts	figurative	identical	CCONJ NOUN ADP PROPN VERB ADV DET NOUN PUNCT NOUN PUNCT NOUN PRON VERB VERB NOUN CCONJ NOUN	▁But ▁life ▁with ▁Thomas ▁is n ' t ▁just ▁a ▁me rry ▁- ▁go ▁- ▁round ▁it ▁can ▁be ▁sw ing s ▁and ▁round about s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	CCONJ NOUN ADP PROPN VERB VERB VERB VERB ADV DET NOUN NOUN PUNCT NOUN PUNCT NOUN PRON VERB VERB NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN
So it's it is swings and roundabouts there.	0 0 0 0 1 1 1 0	swings and roundabouts	figurative	identical	ADV PRON PRON VERB NOUN CCONJ NOUN ADV	▁So ▁it ' s ▁it ▁is ▁sw ing s ▁and ▁round about s ▁there .	0 0 0 0 0 0 1 1 1 1 1 1 1 0 0	ADV PRON PRON PRON PRON VERB NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADV ADV
the whole business looks like being a swings - and - roundabouts affair ; but the worst should be known by about March unless there are any further hold - ups.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	swings and roundabouts	figurative	dashes	DET ADJ NOUN VERB ADP VERB DET NOUN PUNCT CCONJ PUNCT NOUN NOUN PUNCT CCONJ DET ADJ VERB VERB VERB ADP ADP PROPN ADP ADV VERB DET ADJ NOUN PUNCT NOUN	▁the ▁whole ▁business ▁looks ▁like ▁being ▁a ▁sw ing s ▁- ▁and ▁- ▁round about s ▁affair ▁ ; ▁but ▁the ▁worst ▁should ▁be ▁known ▁by ▁about ▁March ▁unless ▁there ▁are ▁any ▁further ▁hold ▁- ▁up s .	0 0 0 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB ADP VERB DET NOUN NOUN NOUN PUNCT CCONJ PUNCT NOUN NOUN NOUN NOUN PUNCT PUNCT CCONJ DET ADJ VERB VERB VERB ADP ADP PROPN ADP ADV VERB DET ADJ NOUN PUNCT NOUN NOUN NOUN
It is a long way from swings and roundabouts.	0 0 0 0 0 0 1 1 1	swings and roundabouts	figurative	identical	PRON VERB DET ADJ NOUN ADP NOUN CCONJ NOUN	▁It ▁is ▁a ▁long ▁way ▁from ▁sw ing s ▁and ▁round about s .	0 0 0 0 0 0 1 1 1 1 1 1 1 1	PRON VERB DET ADJ NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN
C.4 ' Swings and roundabouts '	0 0 1 1 1 0	swings and roundabouts	figurative	case	PROPN PUNCT NOUN CCONJ NOUN PUNCT	▁C .4 ▁' ▁S wing s ▁and ▁round about s ▁'	0 0 0 1 1 1 1 1 1 1 0	PROPN PROPN PUNCT NOUN NOUN NOUN CCONJ NOUN NOUN NOUN PUNCT
