Smith's copies have spent the last six days under lock and key at its Dunstable depot.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	under lock and key	figurative	identical	PROPN NOUN VERB VERB DET ADJ NUM NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN
But Welsh and English alike took care to put their valuables and their armour, if they had any, safely under lock and key, for if the returning troops were to be billeted in the town, even for a few nights, there would certainly be some looting, and no sane burgess was so loyal a king's man as to be complacent about losing goods and gear without a struggle to preserve them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	CCONJ PROPN CCONJ PROPN ADV VERB NOUN PART VERB ADJ NOUN CCONJ ADJ NOUN ADP PRON VERB DET ADV ADP NOUN CCONJ NOUN ADP ADP DET VERB NOUN VERB PART VERB VERB ADP DET NOUN ADV ADP DET ADJ NOUN ADV VERB ADV VERB DET NOUN CCONJ DET ADJ NOUN VERB ADV ADJ DET NOUN NOUN ADP PART VERB ADJ ADP VERB NOUN CCONJ NOUN ADP DET NOUN PART VERB PRON
This is the book where we keep their records, and of course it must always be kept securely under lock and key when not in use.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	under lock and key	figurative	identical	DET VERB DET NOUN ADV PRON VERB ADJ NOUN CCONJ ADP NOUN PRON VERB ADV VERB VERB ADV ADP NOUN CCONJ NOUN ADV ADV ADP NOUN
But nothing, nothing would soften his mind now against that hapless youngster held safely under lock and key to await his penance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	under lock and key	figurative	identical	CCONJ NOUN NOUN VERB VERB ADJ NOUN ADV ADP DET ADJ NOUN VERB ADV ADP NOUN CCONJ NOUN PART VERB ADJ NOUN
Monday 9 pm : Finished tape is taken to BBC events unit at Kensington House, Shepherd's Bush, west London, where it is kept ‘ under lock and key’, according to a BBC spokesman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	under lock and key	figurative	dashes	PROPN NUM NOUN PUNCT VERB NOUN VERB VERB ADP PROPN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN ADV PRON VERB VERB NUM ADP NOUN CCONJ PROPN VERB ADP DET PROPN NOUN
When he stepped on to the seventh tee he was five shots clear of all challengers and the title was safely under lock and key.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	under lock and key	figurative	identical	ADV PRON VERB PART ADP DET ADJ NOUN PRON VERB NUM NOUN ADJ ADP DET NOUN CCONJ DET NOUN VERB ADV ADP NOUN CCONJ NOUN
NAPOLEON Bonaparte's penis is in a velvet - lined box under lock and key in New York.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	under lock and key	figurative	identical	PROPN PROPN NOUN VERB ADP DET NOUN PUNCT VERB NOUN ADP NOUN CCONJ NOUN ADP PROPN PROPN
With a nervous swallow he bearded the formidable young lady at the desk at the head of the room : she had always struck him as the sort of librarian who would prefer to see all the desks in her domain empty and all the books permanently under lock and key.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	under lock and key	figurative	identical	ADP DET ADJ NOUN PRON VERB DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT PRON VERB ADV VERB PRON ADP DET NOUN ADP NOUN NOUN VERB VERB PART VERB ADJ DET NOUN ADP ADJ NOUN ADJ CCONJ ADJ DET NOUN ADV ADP NOUN CCONJ NOUN
They should have been safely under lock and key.	0 0 0 0 0 1 1 1 1	under lock and key	figurative	identical	PRON VERB VERB VERB ADV ADP NOUN CCONJ NOUN
Since then, that length of self - healing cable has been kept under lock and key at the railway inspectorate building at Reading.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	under lock and key	figurative	identical	ADP ADV DET NOUN ADP NOUN PUNCT NOUN NOUN VERB VERB VERB ADP NOUN CCONJ NOUN ADP DET NOUN NOUN NOUN ADP PROPN
A member of the Schlemming ~ Band ( who by the way are nearly all under lock and key ) named Moses, said at the last trial that he repented of nothing so much as the murder of a fellow believer, Aaron, whom he had killed in a wood, and then found only sixpence on the body.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	DET NOUN ADP DET PROPN PUNCT PROPN PUNCT NOUN ADP DET NOUN VERB ADV DET ADP NOUN CCONJ NOUN PUNCT VERB PROPN VERB ADP DET ADJ NOUN ADP PRON VERB ADP NOUN ADV ADV ADP DET NOUN ADP DET NOUN NOUN PROPN NOUN PRON VERB VERB ADP DET NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN
Actually I have been something of a clothesaholic recently, don't tell Derek, but I have to put that fitted wardrobe under lock and key when he's back and hope he doesn't keek in through the louvres because I wouldn't want him to think I was extravagant.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	ADV PRON VERB VERB NOUN ADP DET NOUN ADV VERB VERB PROPN CCONJ PRON VERB PART VERB DET VERB NOUN ADP NOUN CCONJ NOUN ADV PRON ADV CCONJ VERB PRON VERB VERB PART ADP DET NOUN ADP PRON VERB VERB PRON PART VERB PRON VERB ADJ
‘ The girl is under lock and key.	0 0 0 0 1 1 1 1	under lock and key	figurative	identical	PUNCT DET NOUN VERB ADP NOUN CCONJ NOUN
‘ The lad you want is under lock and key,’ said Cadfael, dismayed.	0 0 0 0 0 0 1 1 1 1 0 0 0	under lock and key	figurative	dashes	PUNCT DET NOUN PRON VERB VERB ADP NOUN CCONJ NOUN VERB PROPN VERB
The letters or packages are kept under lock and key or in the safe and when guests collect them they must sign the record book to indicate that they have taken delivery.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	DET NOUN CCONJ NOUN VERB VERB ADP NOUN CCONJ NOUN CCONJ ADP DET ADJ CCONJ ADV NOUN VERB PRON PRON VERB VERB DET NOUN NOUN PART VERB ADP PRON VERB VERB NOUN
Stamp folders should be kept under lock and key to avoid pilfering.	0 0 0 0 0 1 1 1 1 0 0 0	under lock and key	figurative	identical	NOUN NOUN VERB VERB VERB ADP NOUN CCONJ NOUN PART VERB VERB
‘ But the 1861 to 1865 papers are kept under lock and key,’ warned the owner, inferring that those that I freely but reverently leafed through might have to have similar protection one day.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	dashes	PUNCT CCONJ DET NUM PART NUM NOUN VERB VERB ADP NOUN CCONJ NOUN VERB DET NOUN VERB ADP DET ADJ PRON ADV CCONJ ADV VERB ADP VERB VERB PART VERB ADJ NOUN NUM NOUN
