And she still didn't know what was on Luke Hunter's mind.	0 0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ PRON ADV VERB VERB NOUN VERB ADP PROPN PROPN NOUN	▁And ▁she ▁still ▁did n ' t ▁know ▁what ▁was ▁on ▁L uke ▁Hun ter ' s ▁mind .	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1	CCONJ PRON ADV VERB VERB VERB VERB VERB NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN
Such a man has lunch on his mind - his and his family's.	0 0 0 0 0 1 1 1 0 0 0 0 0	on someone's mind	figurative	possessive	ADJ DET NOUN VERB NOUN ADP ADJ NOUN PUNCT ADJ CCONJ ADJ NOUN	▁Such ▁a ▁man ▁has ▁lunch ▁on ▁his ▁mind ▁- ▁his ▁and ▁his ▁family ' s .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADJ DET NOUN VERB NOUN ADP ADJ NOUN PUNCT ADJ CCONJ ADJ NOUN NOUN NOUN NOUN
But Mrs Willmot had more important things on her mind, it seemed : she wished to enlist Edward's support for the Parent - Teacher Association fund - raising concert in the autumn.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	CCONJ PROPN PROPN VERB ADV ADJ NOUN ADP ADJ NOUN PRON VERB PUNCT PRON VERB PART VERB PROPN NOUN ADP DET PROPN PUNCT PROPN PROPN NOUN PUNCT VERB NOUN ADP DET NOUN	▁But ▁Mrs ▁Will mo t ▁had ▁more ▁important ▁things ▁on ▁her ▁mind , ▁it ▁seemed ▁ : ▁she ▁wished ▁to ▁en list ▁Edward ' s ▁support ▁for ▁the ▁Parent ▁- ▁Teacher ▁Association ▁fund ▁- ▁raising ▁concert ▁in ▁the ▁autumn .	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN PROPN PROPN VERB ADV ADJ NOUN ADP ADJ NOUN NOUN PRON VERB PUNCT PUNCT PRON VERB PART VERB VERB PROPN PROPN PROPN NOUN ADP DET PROPN PUNCT PROPN PROPN NOUN PUNCT VERB NOUN ADP DET NOUN NOUN
The debt played on my mind as I half listened to a soprano trying to sing Lulu's ‘ Shout’.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	DET NOUN VERB ADP ADJ NOUN ADP PRON NOUN VERB ADP DET NOUN VERB PART VERB PROPN ADJ NOUN	▁The ▁debt ▁played ▁on ▁my ▁mind ▁as ▁I ▁half ▁listened ▁to ▁a ▁so pra no ▁trying ▁to ▁s ing ▁L ulu ' s ▁ ‘ ▁S hout ’ .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADP ADJ NOUN ADP PRON NOUN VERB ADP DET NOUN NOUN NOUN VERB PART VERB VERB PROPN PROPN PROPN PROPN ADJ ADJ NOUN NOUN NOUN NOUN
He had much on his mind.	0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADJ ADP ADJ NOUN	▁He ▁had ▁much ▁on ▁his ▁mind .	0 0 0 1 1 1 1	PRON VERB ADJ ADP ADJ NOUN NOUN
Although I seem, I slept alright last night, but I think when you 've got things on your mind no I didn't sleep alright, I was too warm, I tossed and turned most of night!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADP PRON VERB PRON VERB INTJ ADJ NOUN CCONJ PRON VERB ADV PRON VERB VERB NOUN ADP ADJ NOUN INTJ PRON VERB VERB INTJ PRON VERB ADV ADJ PRON VERB CCONJ VERB ADJ ADP NOUN	▁Although ▁I ▁seem , ▁I ▁sl ept ▁al right ▁last ▁night , ▁but ▁I ▁think ▁when ▁you ▁' ve ▁got ▁things ▁on ▁your ▁mind ▁no ▁I ▁did n ' t ▁sleep ▁al right , ▁I ▁was ▁too ▁warm , ▁I ▁to s s ed ▁and ▁turned ▁most ▁of ▁night !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB PRON VERB VERB INTJ INTJ ADJ NOUN NOUN CCONJ PRON VERB ADV PRON VERB VERB VERB NOUN ADP ADJ NOUN INTJ PRON VERB VERB VERB VERB VERB INTJ INTJ INTJ PRON VERB ADV ADJ ADJ PRON VERB VERB VERB VERB CCONJ VERB ADJ ADP NOUN NOUN
That was because it enabled the whole rugby fraternity to participate, with financial reward being the last thing on anyone's mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	DET VERB ADP PRON VERB DET ADJ NOUN NOUN PART VERB ADP ADJ NOUN VERB DET ADJ NOUN ADP NOUN NOUN	▁That ▁was ▁because ▁it ▁enabled ▁the ▁whole ▁ rug by ▁fra tern ity ▁to ▁participate , ▁with ▁financial ▁reward ▁being ▁the ▁last ▁thing ▁on ▁anyone ' s ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	DET VERB ADP PRON VERB DET ADJ NOUN NOUN NOUN NOUN NOUN NOUN PART VERB VERB ADP ADJ NOUN VERB DET ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN
It's been on my mind since Bruges.’	0 0 1 1 1 0 0	on someone's mind	figurative	possessive	PRON VERB ADP ADJ NOUN ADP NOUN	▁It ' s ▁been ▁on ▁my ▁mind ▁since ▁Bru ges . ’	0 0 0 0 1 1 1 0 0 0 0 0	PRON PRON PRON VERB ADP ADJ NOUN ADP NOUN NOUN NOUN NOUN
‘ With all you 've just said on my mind?	0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PUNCT ADP DET PRON VERB ADV VERB ADP ADJ NOUN	▁ ‘ ▁With ▁all ▁you ▁' ve ▁just ▁said ▁on ▁my ▁mind ?	0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT ADP DET PRON VERB VERB ADV VERB ADP ADJ NOUN NOUN
Egypt on Jordan's Mind	0 1 1 1	on someone's mind	figurative	combined-other	PROPN ADP PROPN PROPN	▁Egypt ▁on ▁Jordan ' s ▁Min d	0 1 1 1 1 1 1	PROPN ADP PROPN PROPN PROPN PROPN PROPN
I can see why nuns wear white when they take the veil, but when you think of the way everyone goes on at the prospect of the wedding night innocence is the last thing on anyone's mind. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	on someone's mind	figurative	combined-other	PRON VERB VERB ADV NOUN VERB ADJ ADV PRON VERB DET NOUN CCONJ ADV PRON VERB ADP DET NOUN NOUN VERB PART ADP DET NOUN ADP DET NOUN NOUN NOUN VERB DET ADJ NOUN ADP NOUN NOUN PUNCT	▁I ▁can ▁see ▁why ▁nu ns ▁wear ▁white ▁when ▁they ▁take ▁the ▁veil , ▁but ▁when ▁you ▁think ▁of ▁the ▁way ▁everyone ▁goes ▁on ▁at ▁the ▁prospect ▁of ▁the ▁we dding ▁night ▁in no c ence ▁is ▁the ▁last ▁thing ▁on ▁anyone ' s ▁mind . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0	PRON VERB VERB ADV NOUN NOUN VERB ADJ ADV PRON VERB DET NOUN NOUN CCONJ ADV PRON VERB ADP DET NOUN NOUN VERB PART ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB DET ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN PUNCT
Only the Sikh men seemed to have other things on their mind as, twirling their moustaches, they downed great tumblers of whisky and tried to lure the prettiest girls on to the dance floor.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV DET PROPN NOUN VERB PART VERB ADJ NOUN ADP ADJ NOUN ADP VERB ADJ NOUN PRON VERB ADJ NOUN ADP NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP ADP DET NOUN NOUN	▁Only ▁the ▁Si kh ▁men ▁seemed ▁to ▁have ▁other ▁things ▁on ▁their ▁mind ▁as , ▁t wi rling ▁their ▁mo ust ach es , ▁they ▁down ed ▁great ▁tumble rs ▁of ▁whisky ▁and ▁tried ▁to ▁l ure ▁the ▁p retti est ▁girls ▁on ▁to ▁the ▁dance ▁floor .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET PROPN PROPN NOUN VERB PART VERB ADJ NOUN ADP ADJ NOUN ADP ADP VERB VERB VERB ADJ NOUN NOUN NOUN NOUN NOUN PRON VERB VERB ADJ NOUN NOUN ADP NOUN CCONJ VERB PART VERB VERB DET ADJ ADJ ADJ NOUN ADP ADP DET NOUN NOUN NOUN
As Heath went down to electoral defeat in February 1974, the yellowing of the 1970 Reorganisation of Central Government White Paper was the last thing on people's mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	ADP PROPN VERB PART ADP ADJ NOUN ADP PROPN NUM DET NOUN ADP DET NUM NOUN ADP PROPN PROPN PROPN PROPN VERB DET ADJ NOUN ADP NOUN NOUN	▁As ▁He ath ▁went ▁down ▁to ▁elector al ▁defeat ▁in ▁February ▁1974, ▁the ▁yellow ing ▁of ▁the ▁1970 ▁Re organisation ▁of ▁Central ▁Government ▁White ▁Paper ▁was ▁the ▁last ▁thing ▁on ▁people ' s ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADP PROPN PROPN VERB PART ADP ADJ ADJ NOUN ADP PROPN NUM DET NOUN NOUN ADP DET NUM NOUN NOUN ADP PROPN PROPN PROPN PROPN VERB DET ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN
In subsequent races this will be on their mind and create a major obstacle to future success.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADP ADJ NOUN DET VERB VERB ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN	▁In ▁subsequent ▁race s ▁this ▁will ▁be ▁on ▁their ▁mind ▁and ▁create ▁a ▁major ▁obstacle ▁to ▁future ▁success .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN NOUN DET VERB VERB ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN NOUN
Visible ideas are signs and indications of tangible ideas, and have a constant and universal connection with them which was ‘ learnt at our first entrance into the world ; and ever since, almost every moment of our lives, it has been occurring to our thoughts, and fastening and striking deeper on our minds.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-inflection	ADJ NOUN VERB NOUN CCONJ NOUN ADP ADJ NOUN CCONJ VERB DET ADJ CCONJ ADJ NOUN ADP PRON ADJ VERB PUNCT ADJ ADP ADJ ADJ NOUN ADP DET NOUN PUNCT CCONJ ADV ADV ADV DET NOUN ADP ADJ NOUN PRON VERB VERB VERB ADP ADJ NOUN CCONJ VERB CCONJ VERB ADV ADP ADJ NOUN	▁Vi sible ▁ideas ▁are ▁signs ▁and ▁indications ▁of ▁tangible ▁ideas , ▁and ▁have ▁a ▁constant ▁and ▁universal ▁connection ▁with ▁them ▁which ▁was ▁ ‘ ▁learnt ▁at ▁our ▁first ▁entrance ▁into ▁the ▁world ▁ ; ▁and ▁ever ▁since , ▁almost ▁every ▁moment ▁of ▁our ▁lives , ▁it ▁has ▁been ▁occurring ▁to ▁our ▁thoughts , ▁and ▁fastening ▁and ▁striking ▁deeper ▁on ▁our ▁minds . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADJ ADJ NOUN VERB NOUN CCONJ NOUN ADP ADJ NOUN NOUN CCONJ VERB DET ADJ CCONJ ADJ NOUN ADP PRON ADJ VERB PUNCT PUNCT ADJ ADP ADJ ADJ NOUN ADP DET NOUN PUNCT PUNCT CCONJ ADV ADV ADV ADV DET NOUN ADP ADJ NOUN NOUN PRON VERB VERB VERB ADP ADJ NOUN NOUN CCONJ VERB CCONJ VERB ADV ADP ADJ NOUN NOUN NOUN
Napoleon's house of exile, San Martino, is worth a visit, although Boney was quite frugal when it came to buying furniture, clearly having other things on his mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PROPN NOUN ADP NOUN PROPN PROPN VERB ADJ DET NOUN ADP PROPN VERB ADV ADJ ADV PRON VERB ADP VERB NOUN ADV VERB ADJ NOUN ADP ADJ NOUN	▁Napol e on ' s ▁house ▁of ▁exile , ▁San ▁Martin o , ▁is ▁worth ▁a ▁visit , ▁although ▁Bon ey ▁was ▁quite ▁f rug al ▁when ▁it ▁came ▁to ▁buying ▁furniture , ▁clearly ▁having ▁other ▁things ▁on ▁his ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN PROPN PROPN PROPN NOUN ADP NOUN NOUN PROPN PROPN PROPN PROPN VERB ADJ DET NOUN NOUN ADP PROPN PROPN VERB ADV ADJ ADJ ADJ ADV PRON VERB ADP VERB NOUN NOUN ADV VERB ADJ NOUN ADP ADJ NOUN NOUN
Let Lucy say for herself what was on her mind.	0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	VERB PROPN VERB ADP PRON NOUN VERB ADP ADJ NOUN	▁Let ▁Luc y ▁say ▁for ▁herself ▁what ▁was ▁on ▁her ▁mind .	0 0 0 0 0 0 0 0 1 1 1 1	VERB PROPN PROPN VERB ADP PRON NOUN VERB ADP ADJ NOUN NOUN
Most doctors have three things on their mind, ill, pill and bill.	0 0 0 0 0 1 1 1 0 0 0 0	on someone's mind	figurative	possessive	ADJ NOUN VERB NUM NOUN ADP ADJ NOUN ADJ NOUN CCONJ NOUN	▁Most ▁doctors ▁have ▁three ▁things ▁on ▁their ▁mind , ▁ill , ▁pill ▁and ▁bill .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	ADJ NOUN VERB NUM NOUN ADP ADJ NOUN NOUN ADJ ADJ NOUN CCONJ NOUN NOUN
Always on my mind	0 1 1 1	on someone's mind	figurative	possessive	ADV ADP ADJ NOUN	▁Always ▁on ▁my ▁mind	0 1 1 1	ADV ADP ADJ NOUN
Moreover since he did not wish to have preying on his mind any malice or grudge by reason of which his father might later be offended, he revealed that he had pledged himself to support the barons of Aquitaine against his brother Richard and said that he had done this because Richard had fortified the castle of Clairvaux though it really belonged to the Angevin patrimony which he should inherit from his father. "	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV ADP PRON VERB ADV VERB PART VERB VERB ADP ADJ NOUN DET NOUN CCONJ NOUN ADP NOUN ADP ADJ ADJ NOUN VERB ADV VERB VERB PRON VERB ADP PRON VERB VERB PRON PART VERB DET NOUN ADP PROPN ADP ADJ NOUN PROPN CCONJ VERB ADP PRON VERB VERB DET ADP PROPN VERB VERB DET NOUN ADP PROPN ADP PRON ADV VERB ADP DET PROPN NOUN ADJ PRON VERB VERB ADP ADJ NOUN PUNCT	▁Moreover ▁since ▁he ▁did ▁not ▁wish ▁to ▁have ▁pre ying ▁on ▁his ▁mind ▁any ▁mal ice ▁or ▁gr udge ▁by ▁reason ▁of ▁which ▁his ▁father ▁might ▁later ▁be ▁off ended , ▁he ▁revealed ▁that ▁he ▁had ▁pledged ▁himself ▁to ▁support ▁the ▁bar ons ▁of ▁A qui tain e ▁against ▁his ▁brother ▁Richard ▁and ▁said ▁that ▁he ▁had ▁done ▁this ▁because ▁Richard ▁had ▁for tified ▁the ▁cast le ▁of ▁C lair va ux ▁though ▁it ▁really ▁belonged ▁to ▁the ▁An ge vin ▁pat rim ony ▁which ▁he ▁should ▁in her it ▁from ▁his ▁father . ▁"	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP PRON VERB ADV VERB PART VERB VERB VERB ADP ADJ NOUN DET NOUN NOUN CCONJ NOUN NOUN ADP NOUN ADP ADJ ADJ NOUN VERB ADV VERB VERB VERB VERB PRON VERB ADP PRON VERB VERB PRON PART VERB DET NOUN NOUN ADP PROPN PROPN PROPN PROPN ADP ADJ NOUN PROPN CCONJ VERB ADP PRON VERB VERB DET ADP PROPN VERB VERB VERB DET NOUN NOUN ADP PROPN PROPN PROPN PROPN ADP PRON ADV VERB ADP DET PROPN PROPN PROPN NOUN NOUN NOUN ADJ PRON VERB VERB VERB VERB ADP ADJ NOUN NOUN PUNCT
