CRUEL BODY BLOW FOR ANITA	0 1 1 0 0	body blow	figurative	case	ADJ NOUN NOUN ADP NOUN
How can Unionism possibly survive when Protestant and Catholic are no longer at each other's throats, when discrimination has been dealt a body - blow? …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	body blow	figurative	dashes	ADV VERB PROPN ADV VERB ADV ADJ CCONJ PROPN VERB ADV ADV ADP DET ADJ NOUN ADV NOUN VERB VERB VERB DET NOUN PUNCT NOUN PUNCT
Brown isn't a man with a big punch ; it's those telling body - blows that sap your opponent, plus some sly head - butts in the clinch.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	body blow	literal	combined-inflection	PROPN VERB DET NOUN ADP DET ADJ NOUN PUNCT PRON DET VERB NOUN PUNCT NOUN ADJ VERB ADJ NOUN CCONJ DET ADJ NOUN PUNCT NOUN ADP DET NOUN
And Zinoviev, crying, " This day we have paid our debt to the international proletariat, and struck a terrible blow at the war, a terrible body - blow at ~ all the imperialists and particularly at Wilhelm the Executioner ....	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	dashes	CCONJ PROPN VERB PUNCT DET NOUN PRON VERB VERB ADJ NOUN ADP DET ADJ NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN DET ADJ NOUN PUNCT NOUN ADP PUNCT ADJ DET NOUN CCONJ ADV ADP PROPN DET PROPN PUNCT
No city could absorb such a body - blow without showing the effects, and by 1937 Danzig was in severe financial difficulties.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	dashes	DET NOUN VERB VERB ADJ DET NOUN PUNCT NOUN ADP VERB DET NOUN CCONJ ADP NUM PROPN VERB ADP ADJ ADJ NOUN
The heat had gradually become an expected body blow which was endurable with certain rules.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	body blow	figurative	identical	DET NOUN VERB ADV VERB DET VERB NOUN NOUN ADJ VERB ADJ ADP ADJ NOUN
Suddenly the confidence of the new radicals received a body blow.	0 0 0 0 0 0 0 0 0 1 1	body blow	figurative	identical	ADV DET NOUN ADP DET ADJ NOUN VERB DET NOUN NOUN
Greg's first round 74 had not done any damage, though, and he went on to inflict a body - blow on the course, the rest of the field, and the title.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	dashes	PROPN ADJ NOUN NUM VERB ADV VERB DET NOUN ADV CCONJ PRON VERB PART PART VERB DET NOUN PUNCT NOUN ADP DET NOUN DET NOUN ADP DET NOUN CCONJ DET NOUN
Warnock, under fire after a 6 - 0 blasting by Millwall, said : ‘ Millwall was a body blow but I 've told my players that I 've always been a fighter.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	identical	PROPN ADP NOUN ADP DET NUM SYM NUM NOUN ADP PROPN VERB PUNCT PUNCT PROPN VERB DET NOUN NOUN CCONJ PRON VERB VERB ADJ NOUN ADJ PRON VERB ADV VERB DET NOUN
His words were like a body - blow.	0 0 0 0 0 1 0 1	body blow	figurative	dashes	ADJ NOUN VERB ADP DET NOUN PUNCT NOUN
Another body - blow, another betrayal.	0 1 0 1 0 0	body blow	figurative	dashes	DET NOUN PUNCT NOUN DET NOUN
For a communist militant who had devoted his life to the struggle against fascist barbarism and oppression, the revelation that the Soviet communist state had come to a private agreement with Hitler's Nazi Germany was a mortal body blow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	body blow	figurative	identical	ADP DET ADJ NOUN NOUN VERB VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ NOUN DET NOUN ADP DET ADJ ADJ NOUN VERB VERB ADP DET ADJ NOUN ADP PROPN PROPN PROPN VERB DET ADJ NOUN NOUN
The Japanese decision, announced on April 23, was particularly unexpected, and was welcomed by environmentalists as a " body blow to the pro - mining camp ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	body blow	figurative	identical	DET ADJ NOUN VERB ADP PROPN NUM VERB ADV ADJ CCONJ VERB VERB ADP NOUN ADP DET PUNCT NOUN NOUN ADP DET ADJ PUNCT NOUN NOUN PUNCT
Just when there's talk of the recession at least loosening its grip comes a body blow to Gloucestershire's economy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	body blow	figurative	identical	ADV ADV ADV NOUN ADP DET NOUN ADP ADJ VERB ADJ NOUN VERB DET NOUN NOUN ADP PROPN NOUN
The upheaval of 1905 and repression which followed had dealt a body - blow to the popular, paternal image of the Tsar.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	body blow	figurative	dashes	DET NOUN ADP NUM CCONJ NOUN ADJ VERB VERB VERB DET NOUN PUNCT NOUN ADP DET ADJ ADJ NOUN ADP DET PROPN
Malaysia's tin industry, suffering its worst production slump since the second world war, has been dealt a body blow with the announcement that Malaysia mining corporation, one of the country's biggest tin producers, is pulling out of tin mining.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	identical	PROPN NOUN NOUN VERB ADJ ADJ NOUN NOUN ADP DET ADJ NOUN NOUN VERB VERB VERB DET NOUN NOUN ADP DET NOUN ADP PROPN NOUN NOUN NUM ADP DET NOUN ADJ NOUN NOUN VERB VERB ADP ADP NOUN NOUN
DUKE McKenzie suffered the cruellest of body blows to his career and pride last night the loss of his third world title on a split decision in his home country.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	inflection	PROPN PROPN VERB DET NOUN ADP NOUN VERB ADP ADJ NOUN CCONJ NOUN ADJ NOUN DET NOUN ADP ADJ ADJ NOUN NOUN ADP DET ADJ NOUN ADP ADJ NOUN NOUN
Does the Minister agree that agriculture is the backbone of the rural economy and that the loss to the Angus economy of more than £ 1 million due to the closure of Anglia Canners in Brechin is a body blow to agriculture, transport, ancillary industries and the whole community?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	body blow	figurative	identical	VERB DET PROPN VERB ADP NOUN VERB DET NOUN ADP DET ADJ NOUN CCONJ ADP DET NOUN ADP DET PROPN NOUN ADP ADJ ADP SYM NUM NUM ADP ADP DET NOUN ADP PROPN PROPN ADP PROPN VERB DET NOUN NOUN ADP NOUN NOUN ADJ NOUN CCONJ DET ADJ NOUN
