It was far safer politically and economically to sit on the scientific fence.	0 0 0 0 0 0 0 0 1 1 0 0 1	sit on the fence	figurative	insertion-other	PRON VERB ADV ADJ ADV CCONJ ADV PART VERB ADP DET ADJ NOUN
The people were commanded to assemble and were faced with a simple choice : ‘ Elijah stepped forward and said to the people, ‘ How long will you sit on the fence?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	sit on the fence	figurative	identical	DET NOUN VERB VERB PART VERB CCONJ VERB VERB ADP DET ADJ NOUN PUNCT PUNCT PROPN VERB ADV CCONJ VERB ADP DET NOUN PUNCT ADV ADJ VERB PRON VERB ADP DET NOUN
‘ None of us can sit on the fence.	0 0 0 0 0 1 1 0 1	sit on the fence	figurative	identical	PUNCT NOUN ADP PRON VERB VERB ADP DET NOUN
Yellow sits on the fence between the powerful punches of red and true - blue ; curiously, green ties are often associated with failure.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	inflection	PROPN VERB ADP DET NOUN ADP DET ADJ NOUN ADP ADJ CCONJ ADJ PUNCT ADJ PUNCT ADV ADJ NOUN VERB ADV VERB ADP NOUN
The right hon. Member for Worcester has said in characteristically self - deprecating phrases that he does not have a great desire to be remembered but I am sure that, given his record, he will take it as an accolade to be thought of, in H. L. Mencken's happy phrase, as a politician who could sit on the fence and have both ears to the ground at the same time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	identical	DET ADJ NOUN PROPN ADP PROPN VERB VERB ADP ADV NOUN PUNCT VERB NOUN ADP PRON VERB ADV VERB DET ADJ NOUN PART VERB VERB CCONJ PRON VERB ADJ ADP VERB ADJ NOUN PRON VERB VERB PRON ADP DET NOUN PART VERB VERB ADP ADP PROPN PROPN PROPN ADJ NOUN ADP DET NOUN NOUN VERB VERB ADP DET NOUN CCONJ VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN
Well that sound like sitting on the fence to me Mickey.	0 0 0 0 1 1 0 1 0 0 0	sit on the fence	figurative	inflection	INTJ DET NOUN ADP VERB ADP DET NOUN ADP PRON PROPN
This did not mean sitting on the fence but, in theory, jumping to and fro.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	sit on the fence	figurative	inflection	DET VERB ADV VERB VERB ADP DET NOUN CCONJ ADP NOUN VERB ADP CCONJ ADJ
In actual fact, coil - tap notwithstanding, the sounds produced are a sort of sit - on - the - fence compromise between the two.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0	sit on the fence	figurative	dashes	ADP ADJ NOUN NOUN PUNCT NOUN ADP DET NOUN VERB VERB DET NOUN ADP VERB PUNCT ADP PUNCT DET PUNCT NOUN NOUN ADP DET NUM
John Bitumen ( or Raging Bullshit as he's known amongst his colleagues ), is never one to sit on the fence ( vandalising it is more to his nature ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	identical	PROPN PROPN PUNCT CCONJ PROPN PROPN ADP PRON VERB ADP ADJ NOUN PUNCT VERB ADV NUM PART VERB ADP DET NOUN PUNCT VERB PRON VERB ADJ ADP ADJ NOUN PUNCT
I mean all this sitting on the fence I mean they must have very sore bums.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	sit on the fence	figurative	inflection	PRON VERB ADJ DET VERB ADP DET NOUN PRON VERB PRON VERB VERB ADV ADJ NOUN
A large part of the Syrian population – the middle class in Damascus and Aleppo, the Christians, and other minorities – are passive or sitting on the fence, worried that the alternative to the status quo is chaos, civil war, and possibly a radical Islamist takeover.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	inflection	DET ADJ NOUN ADP DET ADJ NOUN PUNCT DET ADJ NOUN ADP PROPN CCONJ PROPN DET PROPN CCONJ ADJ NOUN PUNCT VERB ADJ CCONJ VERB ADP DET NOUN VERB ADP DET NOUN ADP DET NOUN NOUN VERB NOUN ADJ NOUN CCONJ ADV DET ADJ ADJ NOUN
Does he realise that he can not sit on the fence on this one, and what does he intend to do about it?	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	identical	VERB PRON VERB ADP PRON VERB ADV VERB ADP DET NOUN ADP DET NOUN CCONJ NOUN VERB PRON VERB PART VERB ADP PRON
They always said that : it was somehow symptomatic of PR : sit on the fence — never upset anybody.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	sit on the fence	figurative	identical	PRON ADV VERB ADP PUNCT PRON VERB ADV ADJ ADP NOUN PUNCT VERB ADP DET NOUN PUNCT ADV VERB NOUN
