Er a complete dead loss about which way to go and turn basically.	0 0 0 0 0 0 0 1 1 1 0 0 0	way to go	literal	identical	INTJ DET ADJ ADJ NOUN ADP ADJ NOUN PART VERB CCONJ VERB ADV	▁Er ▁a ▁complete ▁dead ▁loss ▁about ▁which ▁way ▁to ▁go ▁and ▁turn ▁basic ally .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	INTJ DET ADJ ADJ NOUN ADP ADJ NOUN PART VERB CCONJ VERB ADV ADV ADV
Clearly at the state of the talks with the T & G, we still have a long long way to go to reach this new goal and there's a strong rumour that there has been discussions between Sir John Edmunds and Lord Bill Morris the name of the new union already and I think an apt title for the union at the moment would be Yugoslavia because we 're in ethnic groups, we are sections, we 've got the boiler makers who are still claiming things they lost ten years ago when they merged.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADV ADP DET NOUN ADP DET NOUN ADP DET PROPN CCONJ PROPN PRON ADV VERB DET ADJ ADJ NOUN PART VERB PART VERB DET ADJ NOUN CCONJ ADV DET ADJ NOUN ADJ ADV VERB VERB NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN DET NOUN ADP DET ADJ NOUN ADV CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN VERB VERB PROPN ADP PRON VERB ADP ADJ NOUN PRON VERB NOUN PRON VERB VERB DET NOUN NOUN NOUN VERB ADV VERB NOUN PRON VERB NUM NOUN ADV ADV PRON VERB	▁Clearly ▁at ▁the ▁state ▁of ▁the ▁talks ▁with ▁the ▁T ▁& ▁G , ▁we ▁still ▁have ▁a ▁long ▁long ▁way ▁to ▁go ▁to ▁reach ▁this ▁new ▁goal ▁and ▁there ' s ▁a ▁strong ▁r umour ▁that ▁there ▁has ▁been ▁discussions ▁between ▁Sir ▁John ▁E d mun ds ▁and ▁Lord ▁Bill ▁Morris ▁the ▁name ▁of ▁the ▁new ▁union ▁already ▁and ▁I ▁think ▁an ▁a pt ▁title ▁for ▁the ▁union ▁at ▁the ▁moment ▁would ▁be ▁Yugoslavia ▁because ▁we ▁' re ▁in ▁ethnic ▁groups , ▁we ▁are ▁sections , ▁we ▁' ve ▁got ▁the ▁boiler ▁makers ▁who ▁are ▁still ▁claiming ▁things ▁they ▁lost ▁ten ▁years ▁ago ▁when ▁they ▁merged .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP DET NOUN ADP DET NOUN ADP DET PROPN CCONJ PROPN PROPN PRON ADV VERB DET ADJ ADJ NOUN PART VERB PART VERB DET ADJ NOUN CCONJ ADV ADV ADV DET ADJ NOUN NOUN ADJ ADV VERB VERB NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN DET NOUN ADP DET ADJ NOUN ADV CCONJ PRON VERB DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN VERB VERB PROPN ADP PRON VERB VERB ADP ADJ NOUN NOUN PRON VERB NOUN NOUN PRON VERB VERB VERB DET NOUN NOUN NOUN VERB ADV VERB NOUN PRON VERB NUM NOUN ADV ADV PRON VERB VERB
It's a long way to go if he's just round the corner.’	0 0 0 1 1 1 0 0 0 0 0 0	way to go	literal	identical	PRON DET ADJ NOUN PART VERB ADP PRON ADV ADP DET NOUN	▁It ' s ▁a ▁long ▁way ▁to ▁go ▁if ▁he ' s ▁just ▁round ▁the ▁corner . ’	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON DET ADJ NOUN PART VERB ADP PRON PRON PRON ADV ADP DET NOUN NOUN NOUN
Forget the doubters : British Coal knows that it has only one way to go, and that is forward.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	way to go	literal	identical	VERB DET NOUN PUNCT PROPN PROPN VERB ADP PRON VERB ADV NUM NOUN PART VERB CCONJ DET VERB ADV	▁For get ▁the ▁doubt ers ▁ : ▁British ▁Coal ▁knows ▁that ▁it ▁has ▁only ▁one ▁way ▁to ▁go , ▁and ▁that ▁is ▁forward .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	VERB VERB DET NOUN NOUN PUNCT PUNCT PROPN PROPN VERB ADP PRON VERB ADV NUM NOUN PART VERB VERB CCONJ DET VERB ADV ADV
Well, making his room fit to live in was just possibly a better way to go about it than writing him twelve - page letters, as dearest Tessa might in time come to realize.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	INTJ VERB ADJ NOUN ADJ PART VERB ADP VERB ADV ADV DET ADJ NOUN PART VERB ADP PRON ADP VERB PRON NUM PUNCT NOUN NOUN ADP ADJ NOUN VERB ADP NOUN VERB PART VERB	▁Well , ▁making ▁his ▁room ▁fit ▁to ▁live ▁in ▁was ▁just ▁possibly ▁a ▁better ▁way ▁to ▁go ▁about ▁it ▁than ▁writing ▁him ▁twelve ▁- ▁page ▁letters , ▁as ▁dear est ▁T essa ▁might ▁in ▁time ▁come ▁to ▁realize .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ VERB ADJ NOUN ADJ PART VERB ADP VERB ADV ADV DET ADJ NOUN PART VERB ADP PRON ADP VERB PRON NUM PUNCT NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN VERB ADP NOUN VERB PART VERB VERB
Unfortunately, we have some way to go before we reach that happy condition.	0 0 0 0 1 1 1 0 0 0 0 0 0	way to go	literal	identical	ADV PRON VERB DET NOUN PART VERB ADP PRON VERB ADP ADJ NOUN	▁Unfortunately , ▁we ▁have ▁some ▁way ▁to ▁go ▁before ▁we ▁reach ▁that ▁happy ▁condition .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	ADV ADV PRON VERB DET NOUN PART VERB ADP PRON VERB ADP ADJ NOUN NOUN
And there is the increase in shrieks of ‘ way to go’.	0 0 0 0 0 0 0 0 0 1 1 1	way to go	figurative	dashes	CCONJ ADV VERB DET NOUN ADP NOUN ADP ADJ NOUN ADP PROPN	▁And ▁there ▁is ▁the ▁increase ▁in ▁sh rie ks ▁of ▁ ‘ ▁way ▁to ▁go ’ .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	CCONJ ADV VERB DET NOUN ADP NOUN NOUN NOUN ADP ADJ ADJ NOUN ADP PROPN PROPN PROPN
But even Heathrow has a long way to go.	0 0 0 0 0 0 1 1 1	way to go	literal	identical	CCONJ ADV PROPN VERB DET ADJ NOUN PART VERB	▁But ▁even ▁He ath row ▁has ▁a ▁long ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 1 1 1 1	CCONJ ADV PROPN PROPN PROPN VERB DET ADJ NOUN PART VERB VERB
Only it seems a long way to go!	0 0 0 0 0 1 1 1	way to go	literal	identical	ADV PRON VERB DET ADJ NOUN PART VERB	▁Only ▁it ▁seems ▁a ▁long ▁way ▁to ▁go !	0 0 0 0 0 1 1 1 1	ADV PRON VERB DET ADJ NOUN PART VERB VERB
There's still a long way to go.	0 0 0 0 1 1 1	way to go	literal	identical	ADV ADV DET ADJ NOUN PART VERB	▁There ' s ▁still ▁a ▁long ▁way ▁to ▁go .	0 0 0 0 0 0 1 1 1 1	ADV ADV ADV ADV DET ADJ NOUN PART VERB VERB
‘ We have a long way to go before we are able to record and translate accurately such imprints of ourselves left behind in the void of time.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PUNCT PRON VERB DET ADJ NOUN PART VERB ADP PRON VERB ADJ PART VERB CCONJ VERB ADV ADJ NOUN ADP PRON VERB ADV ADP DET NOUN ADP NOUN	▁ ‘ ▁We ▁have ▁a ▁long ▁way ▁to ▁go ▁before ▁we ▁are ▁able ▁to ▁record ▁and ▁translate ▁accurately ▁such ▁imprint s ▁of ▁ourselves ▁left ▁behind ▁in ▁the ▁void ▁of ▁time .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB DET ADJ NOUN PART VERB ADP PRON VERB ADJ PART VERB CCONJ VERB ADV ADJ NOUN NOUN ADP PRON VERB ADV ADP DET NOUN ADP NOUN NOUN
Clearly they have some way to go but they can still look back on 1989 with a glimmer of pride.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADV PRON VERB DET NOUN PART VERB CCONJ PRON VERB ADV VERB ADV ADP NUM ADP DET NOUN ADP NOUN	▁Clearly ▁they ▁have ▁some ▁way ▁to ▁go ▁but ▁they ▁can ▁still ▁look ▁back ▁on ▁1989 ▁with ▁a ▁glim mer ▁of ▁pride .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB DET NOUN PART VERB CCONJ PRON VERB ADV VERB ADV ADP NUM ADP DET NOUN NOUN ADP NOUN NOUN
Once there, she paused, debating which way to go.	0 0 0 0 0 0 1 1 1	way to go	literal	identical	ADV ADV PRON VERB VERB ADJ NOUN PART VERB	▁Once ▁there , ▁she ▁pause d , ▁debating ▁which ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADV ADV PRON VERB VERB VERB VERB ADJ NOUN PART VERB VERB
But he's a long way to go before I 'd consider him a success.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	way to go	literal	identical	CCONJ PRON DET ADJ NOUN PART VERB ADP PRON VERB VERB PRON DET NOUN	▁But ▁he ' s ▁a ▁long ▁way ▁to ▁go ▁before ▁I ▁' d ▁consider ▁him ▁a ▁success .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	CCONJ PRON PRON PRON DET ADJ NOUN PART VERB ADP PRON VERB VERB VERB PRON DET NOUN NOUN
‘ It would be stupid to rule out promotion because there is a long way to go and we are now looking a decent team,’ he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PUNCT PRON VERB VERB ADJ PART VERB PART NOUN ADP ADV VERB DET ADJ NOUN PART VERB CCONJ PRON VERB ADV VERB DET ADJ NOUN PRON VERB	▁ ‘ ▁It ▁would ▁be ▁stupid ▁to ▁rule ▁out ▁promotion ▁because ▁there ▁is ▁a ▁long ▁way ▁to ▁go ▁and ▁we ▁are ▁now ▁looking ▁a ▁decent ▁team , ’ ▁he ▁said .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB ADJ PART VERB PART NOUN ADP ADV VERB DET ADJ NOUN PART VERB CCONJ PRON VERB ADV VERB DET ADJ NOUN NOUN NOUN PRON VERB VERB
Which way to go?	0 1 1 1	way to go	literal	identical	ADJ NOUN PART VERB	▁Which ▁way ▁to ▁go ?	0 1 1 1 1	ADJ NOUN PART VERB VERB
I said, ‘ There's only one way to go — right across the out - of - bounds.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PRON VERB PUNCT ADV ADV NUM NOUN PART VERB PUNCT ADV ADP DET ADJ PUNCT ADP PUNCT PROPN	▁I ▁said , ▁ ‘ ▁There ' s ▁only ▁one ▁way ▁to ▁go ▁ — ▁right ▁across ▁the ▁out ▁- ▁of ▁- ▁bound s . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PUNCT PUNCT ADV ADV ADV ADV NUM NOUN PART VERB PUNCT PUNCT ADV ADP DET ADJ PUNCT ADP PUNCT PROPN PROPN PROPN PROPN
If the OIC wishes to change many people ’s perception that Islam violates human ~ rights, suppressing freedom of speech is hardly the best way to go about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	way to go	literal	identical	ADP DET PROPN VERB PART VERB ADJ NOUN PART NOUN ADP PROPN VERB ADJ PUNCT NOUN VERB NOUN ADP NOUN VERB ADV DET ADJ NOUN PART VERB ADP PRON	▁If ▁the ▁O IC ▁wishes ▁to ▁change ▁many ▁people ▁ ’ s ▁perception ▁that ▁Islam ▁violate s ▁human ▁ ~ ▁rights , ▁suppress ing ▁freedom ▁of ▁speech ▁is ▁hardly ▁the ▁best ▁way ▁to ▁go ▁about ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADP DET PROPN PROPN VERB PART VERB ADJ NOUN PART PART PART NOUN ADP PROPN VERB VERB ADJ PUNCT PUNCT NOUN NOUN VERB VERB NOUN ADP NOUN VERB ADV DET ADJ NOUN PART VERB ADP PRON PRON
This was how it looked two years ago — now there's more height in the garden, but there's still a long way to go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	DET VERB ADV PRON VERB NUM NOUN ADV PUNCT ADV ADV ADJ NOUN ADP DET NOUN CCONJ ADV ADV DET ADJ NOUN PART VERB	▁This ▁was ▁how ▁it ▁looked ▁two ▁years ▁ago ▁ — ▁now ▁there ' s ▁more ▁height ▁in ▁the ▁garden , ▁but ▁there ' s ▁still ▁a ▁long ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET VERB ADV PRON VERB NUM NOUN ADV PUNCT PUNCT ADV ADV ADV ADV ADJ NOUN ADP DET NOUN NOUN CCONJ ADV ADV ADV ADV DET ADJ NOUN PART VERB VERB
It looks like an insane risk, but it's the only way to go, so the adventurers will do it eventually.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	way to go	literal	identical	PRON VERB ADP DET ADJ NOUN CCONJ PRON DET ADJ NOUN PART VERB ADP DET NOUN VERB VERB PRON ADV	▁It ▁looks ▁like ▁an ▁in s ane ▁risk , ▁but ▁it ' s ▁the ▁only ▁way ▁to ▁go , ▁so ▁the ▁adventure rs ▁will ▁do ▁it ▁eventually .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB ADP DET ADJ ADJ ADJ NOUN NOUN CCONJ PRON PRON PRON DET ADJ NOUN PART VERB VERB ADP DET NOUN NOUN VERB VERB PRON ADV ADV
I think it's absolutely the right way to go, and I think that one of the things that the English Tourist Boards are doing, which is quite right, is to make people more aware of their classification and grading schemes.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PRON VERB PRON ADV DET ADJ NOUN PART VERB CCONJ PRON VERB ADP NUM ADP DET NOUN ADJ DET PROPN PROPN PROPN VERB VERB ADJ VERB ADV ADJ VERB PART VERB NOUN ADV ADJ ADP ADJ NOUN CCONJ NOUN NOUN	▁I ▁think ▁it ' s ▁absolutely ▁the ▁right ▁way ▁to ▁go , ▁and ▁I ▁think ▁that ▁one ▁of ▁the ▁things ▁that ▁the ▁English ▁Tour ist ▁Board s ▁are ▁doing , ▁which ▁is ▁quite ▁right , ▁is ▁to ▁make ▁people ▁more ▁aware ▁of ▁their ▁classification ▁and ▁grading ▁schemes .	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON PRON PRON ADV DET ADJ NOUN PART VERB VERB CCONJ PRON VERB ADP NUM ADP DET NOUN ADJ DET PROPN PROPN PROPN PROPN PROPN VERB VERB VERB ADJ VERB ADV ADJ ADJ VERB PART VERB NOUN ADV ADJ ADP ADJ NOUN CCONJ NOUN NOUN NOUN
It is a long - established custom to assume that the way to go about making a career is to fit ourselves into ready - made jobs.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PRON VERB DET ADV PUNCT VERB NOUN PART VERB ADP DET NOUN PART VERB ADP VERB DET NOUN VERB PART VERB PRON ADP ADV PUNCT VERB NOUN	▁It ▁is ▁a ▁long ▁- ▁established ▁custom ▁to ▁assume ▁that ▁the ▁way ▁to ▁go ▁about ▁making ▁a ▁career ▁is ▁to ▁fit ▁ourselves ▁into ▁ready ▁- ▁made ▁jobs .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADV PUNCT VERB NOUN PART VERB ADP DET NOUN PART VERB ADP VERB DET NOUN VERB PART VERB PRON ADP ADV PUNCT VERB NOUN NOUN
It's under way and this is the way to go with it.	0 0 0 0 0 0 0 1 1 1 0 0	way to go	literal	identical	PRON ADP NOUN CCONJ DET VERB DET NOUN PART VERB ADP PRON	▁It ' s ▁under ▁way ▁and ▁this ▁is ▁the ▁way ▁to ▁go ▁with ▁it .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	PRON PRON PRON ADP NOUN CCONJ DET VERB DET NOUN PART VERB ADP PRON PRON
