As you know, I ' ve lost my job, so I ' m having trouble making ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	inflection	ADP PRON VERB PRON PUNCT VERB VERB ADJ NOUN CCONJ PRON PUNCT VERB VERB NOUN VERB NOUN VERB	▁As ▁you ▁know , ▁I ▁' ▁ve ▁lost ▁my ▁job , ▁so ▁I ▁' ▁m ▁having ▁trouble ▁making ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB VERB PRON PUNCT VERB VERB ADJ NOUN NOUN CCONJ PRON PUNCT VERB VERB NOUN VERB NOUN VERB VERB
My brother Charlie's left ' ome an ' sister Mary's married an ' Mum ' as to go out cleaning the fish an ' chip shop to make ends meet.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	dashes	ADJ NOUN PROPN VERB PUNCT ADJ DET PUNCT NOUN PROPN VERB DET PUNCT PROPN PUNCT ADP PART VERB PART VERB DET NOUN DET PUNCT NOUN NOUN PART VERB NOUN PROPN	▁My ▁brother ▁Char lie ' s ▁left ▁' ▁ ome ▁an ▁' ▁sister ▁Mary ' s ▁married ▁an ▁' ▁M um ▁' ▁as ▁to ▁go ▁out ▁cleaning ▁the ▁fish ▁an ▁' ▁ chip ▁shop ▁to ▁make ▁ends ▁meet . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADJ NOUN PROPN PROPN PROPN PROPN VERB PUNCT ADJ ADJ DET PUNCT NOUN PROPN PROPN PROPN VERB DET PUNCT PROPN PROPN PUNCT ADP PART VERB PART VERB DET NOUN DET PUNCT NOUN NOUN NOUN PART VERB NOUN PROPN PROPN PROPN
IT MAY be of little comfort to Euro Disney's shareholders, but all France's leisure parks are struggling to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON VERB VERB ADP ADJ NOUN ADP PROPN PROPN NOUN CCONJ DET PROPN NOUN NOUN VERB VERB PART VERB NOUN VERB	▁IT ▁MAY ▁be ▁of ▁little ▁comfort ▁to ▁Euro ▁Dis ney ' s ▁shareholders , ▁but ▁all ▁France ' s ▁leisure ▁parks ▁are ▁struggling ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB ADP ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN CCONJ DET PROPN PROPN PROPN NOUN NOUN VERB VERB PART VERB NOUN VERB VERB
Some employers will cease the opportunity as a chance to pay less and thereby making it even more difficult to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	DET NOUN VERB VERB DET NOUN ADP DET NOUN PART VERB ADJ CCONJ ADV VERB PRON ADV ADV ADJ PART VERB NOUN VERB	▁Some ▁employers ▁will ▁cease ▁the ▁opportunity ▁as ▁a ▁chance ▁to ▁pay ▁less ▁and ▁thereby ▁making ▁it ▁even ▁more ▁difficult ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN VERB VERB DET NOUN ADP DET NOUN PART VERB ADJ CCONJ ADV VERB PRON ADV ADV ADJ PART VERB NOUN VERB VERB
So, early this century, the regulatory position might be briefly summarised as protecting the minority of people driven into debt to make ends meet ; on the assumption that they faced not only hardship in itself but also particular risk of exploitation by unscrupulous lenders.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	ADV ADV DET NOUN DET ADJ NOUN VERB VERB ADV VERB ADP VERB DET NOUN ADP NOUN VERB ADP NOUN PART VERB NOUN VERB PUNCT ADP DET NOUN ADP PRON VERB ADV ADV NOUN ADP PRON CCONJ ADV ADJ NOUN ADP NOUN ADP ADJ NOUN	▁So , ▁early ▁this ▁century , ▁the ▁regulatory ▁position ▁might ▁be ▁briefly ▁summarised ▁as ▁protecting ▁the ▁minority ▁of ▁people ▁driven ▁into ▁debt ▁to ▁make ▁ends ▁meet ▁ ; ▁on ▁the ▁assumption ▁that ▁they ▁faced ▁not ▁only ▁hardship ▁in ▁itself ▁but ▁also ▁particular ▁risk ▁of ▁exploitation ▁by ▁un scrupulous ▁lender s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV DET NOUN NOUN DET ADJ NOUN VERB VERB ADV VERB ADP VERB DET NOUN ADP NOUN VERB ADP NOUN PART VERB NOUN VERB PUNCT PUNCT ADP DET NOUN ADP PRON VERB ADV ADV NOUN ADP PRON CCONJ ADV ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN NOUN NOUN
They were finding it hard to make ends meet and life had become very miserable.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	make ends meet	figurative	identical	PRON VERB VERB PRON ADJ PART VERB NOUN VERB CCONJ NOUN VERB VERB ADV ADJ	▁They ▁were ▁finding ▁it ▁hard ▁to ▁make ▁ends ▁meet ▁and ▁life ▁had ▁become ▁very ▁mis er able .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON ADJ PART VERB NOUN VERB CCONJ NOUN VERB VERB ADV ADJ ADJ ADJ ADJ
Almost 25 per cent of all the farms in Wales were reported as having low standards of living ‘ with an element of struggle in making ends meet financially’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	make ends meet	figurative	inflection	ADV NUM NOUN NOUN ADP ADJ DET NOUN ADP PROPN VERB VERB ADP VERB ADJ NOUN ADP VERB PRON ADP DET NOUN ADP NOUN ADP VERB NOUN VERB DET	▁Almost ▁25 ▁per ▁cent ▁of ▁all ▁the ▁farms ▁in ▁Wales ▁were ▁reported ▁as ▁having ▁low ▁standards ▁of ▁living ▁ ‘ ▁with ▁an ▁element ▁of ▁struggle ▁in ▁making ▁ends ▁meet ▁financially ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADV NUM NOUN NOUN ADP ADJ DET NOUN ADP PROPN VERB VERB ADP VERB ADJ NOUN ADP VERB PRON PRON ADP DET NOUN ADP NOUN ADP VERB NOUN VERB DET DET DET
Father had given up tobacco and alcohol to send me £ 2 15s ( Pounds 2.75 ) a week to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PROPN VERB VERB PART NOUN CCONJ NOUN PART VERB PRON SYM NUM NOUN PUNCT NOUN NUM PUNCT DET NOUN PART VERB NOUN VERB	▁Father ▁had ▁given ▁up ▁tobacco ▁and ▁alcohol ▁to ▁send ▁me ▁£ ▁2 ▁15 s ▁( ▁P ound s ▁2. 75 ▁ ) ▁a ▁week ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN VERB VERB PART NOUN CCONJ NOUN PART VERB PRON SYM NUM NOUN NOUN PUNCT NOUN NOUN NOUN NUM NUM PUNCT PUNCT DET NOUN PART VERB NOUN VERB VERB
Most of the rainforests belong to developing countries which have to resort to milking their most precious resource to make ends meet, and to pay back money lent to them by Western countries.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	ADJ ADP DET NOUN VERB ADP VERB NOUN ADJ VERB PART VERB ADP VERB ADJ ADV ADJ NOUN PART VERB NOUN VERB CCONJ PART VERB PART NOUN VERB ADP PRON ADP ADJ NOUN	▁Most ▁of ▁the ▁rain forest s ▁belong ▁to ▁developing ▁countries ▁which ▁have ▁to ▁resort ▁to ▁milk ing ▁their ▁most ▁precious ▁resource ▁to ▁make ▁ends ▁meet , ▁and ▁to ▁pay ▁back ▁money ▁lent ▁to ▁them ▁by ▁Western ▁countries .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADP DET NOUN NOUN NOUN VERB ADP VERB NOUN ADJ VERB PART VERB ADP VERB VERB ADJ ADV ADJ NOUN PART VERB NOUN VERB VERB CCONJ PART VERB PART NOUN VERB ADP PRON ADP ADJ NOUN NOUN
What is clear is that when people do resort to credit to make ends meet, their anxieties increase.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	make ends meet	figurative	identical	NOUN VERB ADJ VERB ADP ADV NOUN VERB VERB ADP NOUN PART VERB NOUN VERB ADJ NOUN VERB	▁What ▁is ▁clear ▁is ▁that ▁when ▁people ▁do ▁resort ▁to ▁credit ▁to ▁make ▁ends ▁meet , ▁their ▁anxieties ▁increase .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	NOUN VERB ADJ VERB ADP ADV NOUN VERB VERB ADP NOUN PART VERB NOUN VERB VERB ADJ NOUN VERB VERB
Thank you very much for lending me $ 500 when I was having difficulty making ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	inflection	VERB PRON ADV ADV ADP VERB PRON SYM NUM ADV PRON VERB VERB NOUN VERB NOUN VERB	▁Thank ▁you ▁very ▁much ▁for ▁lending ▁me ▁$ ▁500 ▁when ▁I ▁was ▁having ▁difficulty ▁making ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	VERB PRON ADV ADV ADP VERB PRON SYM NUM ADV PRON VERB VERB NOUN VERB NOUN VERB VERB
Gary was a hard - working lad just trying to make ends meet.’	0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	dashes	PROPN VERB DET ADV PUNCT VERB NOUN ADV VERB PART VERB NOUN PROPN	▁G ary ▁was ▁a ▁hard ▁- ▁working ▁la d ▁just ▁trying ▁to ▁make ▁ends ▁meet . ’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN VERB DET ADV PUNCT VERB NOUN NOUN ADV VERB PART VERB NOUN PROPN PROPN PROPN
It is alarming that families with children who accept a social fund loan have to try to make ends meet on 85 per cent of their normal income support entitlement.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	PRON VERB VERB ADP NOUN ADP NOUN NOUN VERB DET ADJ NOUN NOUN VERB PART VERB PART VERB NOUN VERB ADP NUM ADP NOUN ADP ADJ ADJ NOUN NOUN NOUN	▁It ▁is ▁alarming ▁that ▁families ▁with ▁children ▁who ▁accept ▁a ▁social ▁fund ▁loan ▁have ▁to ▁try ▁to ▁make ▁ends ▁meet ▁on ▁85 ▁per ▁cent ▁of ▁their ▁normal ▁income ▁support ▁entitlement .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP NOUN ADP NOUN NOUN VERB DET ADJ NOUN NOUN VERB PART VERB PART VERB NOUN VERB ADP NUM ADP NOUN ADP ADJ ADJ NOUN NOUN NOUN NOUN
What happened, people should have been paying in for ten years were suddenly taking out for ten years and these huge enormous sums and obviously the surplus which our members had helped to build up er and provide through the years and we 've got seventy - five year olds on you know, extremely low pensions hardly making ends meet, and there were vast sums of money being given away to the employees, that the employers took a contribution holiday and so they weren't paying into the fund either you know, and all the profits of B T as you all know were soaring and partially because of the use of the pension funds and this has greatly obviously erm upset our members and we feel very strongly about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	inflection	NOUN VERB NOUN VERB VERB VERB VERB PART ADP NUM NOUN VERB ADV VERB PART ADP NUM NOUN CCONJ DET ADJ ADJ NOUN CCONJ ADV DET NOUN ADJ ADJ NOUN VERB VERB PART VERB PART INTJ CCONJ VERB ADP DET NOUN CCONJ PRON VERB VERB NUM PUNCT NUM NOUN NOUN ADP PRON VERB ADV ADJ NOUN ADV VERB NOUN VERB CCONJ ADV VERB ADJ NOUN ADP NOUN VERB VERB ADV ADP DET NOUN ADP DET NOUN VERB DET NOUN NOUN CCONJ ADV PRON VERB VERB ADP DET NOUN CCONJ PRON VERB CCONJ ADJ DET NOUN ADP PROPN PROPN ADP PRON DET VERB VERB VERB CCONJ ADV ADP ADP DET NOUN ADP DET NOUN NOUN CCONJ DET VERB ADV ADV ADV ADJ ADJ NOUN CCONJ PRON VERB ADV ADV ADP PRON	▁What ▁happened , ▁people ▁should ▁have ▁been ▁paying ▁in ▁for ▁ten ▁years ▁were ▁suddenly ▁taking ▁out ▁for ▁ten ▁years ▁and ▁these ▁huge ▁enormous ▁sums ▁and ▁obviously ▁the ▁surplus ▁which ▁our ▁members ▁had ▁helped ▁to ▁build ▁up ▁er ▁and ▁provide ▁through ▁the ▁years ▁and ▁we ▁' ve ▁got ▁seventy ▁- ▁five ▁year ▁old s ▁on ▁you ▁know , ▁extremely ▁low ▁pensions ▁hardly ▁making ▁ends ▁meet , ▁and ▁there ▁were ▁vast ▁sums ▁of ▁money ▁being ▁given ▁away ▁to ▁the ▁employees , ▁that ▁the ▁employers ▁took ▁a ▁contribution ▁holiday ▁and ▁so ▁they ▁were n ' t ▁paying ▁into ▁the ▁fund ▁either ▁you ▁know , ▁and ▁all ▁the ▁profits ▁of ▁B ▁T ▁as ▁you ▁all ▁know ▁were ▁so ar ing ▁and ▁partially ▁because ▁of ▁the ▁use ▁of ▁the ▁pension ▁funds ▁and ▁this ▁has ▁greatly ▁obviously ▁er m ▁upset ▁our ▁members ▁and ▁we ▁feel ▁very ▁strongly ▁about ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB NOUN VERB VERB VERB VERB PART ADP NUM NOUN VERB ADV VERB PART ADP NUM NOUN CCONJ DET ADJ ADJ NOUN CCONJ ADV DET NOUN ADJ ADJ NOUN VERB VERB PART VERB PART INTJ CCONJ VERB ADP DET NOUN CCONJ PRON VERB VERB VERB NUM PUNCT NUM NOUN NOUN NOUN ADP PRON VERB VERB ADV ADJ NOUN ADV VERB NOUN VERB VERB CCONJ ADV VERB ADJ NOUN ADP NOUN VERB VERB ADV ADP DET NOUN NOUN ADP DET NOUN VERB DET NOUN NOUN CCONJ ADV PRON VERB VERB VERB VERB VERB ADP DET NOUN CCONJ PRON VERB VERB CCONJ ADJ DET NOUN ADP PROPN PROPN ADP PRON DET VERB VERB VERB VERB VERB CCONJ ADV ADP ADP DET NOUN ADP DET NOUN NOUN CCONJ DET VERB ADV ADV ADV ADV ADJ ADJ NOUN CCONJ PRON VERB ADV ADV ADP PRON PRON
Many of their pees are much less visible because they are cares trapped at home or are struggling to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADJ ADP ADJ NOUN VERB ADV ADV ADJ ADP PRON VERB NOUN VERB ADP NOUN CCONJ VERB VERB PART VERB NOUN VERB	▁Many ▁of ▁their ▁p ees ▁are ▁much ▁less ▁visible ▁because ▁they ▁are ▁care s ▁trapped ▁at ▁home ▁or ▁are ▁struggling ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ ADP ADJ NOUN NOUN VERB ADV ADV ADJ ADP PRON VERB NOUN NOUN VERB ADP NOUN CCONJ VERB VERB PART VERB NOUN VERB VERB
