But many more could be slipping through the net.	0 0 0 0 0 1 1 0 1	slip through the net	figurative	inflection	CCONJ ADJ ADJ VERB VERB VERB ADP DET NOUN
It is a wonder that no Flemish or Francophone equivalent of the Corrective Party — or Screaming Comte Ghent — has ever managed to slip through the net.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip through the net	figurative	identical	PRON VERB DET NOUN ADP DET PROPN CCONJ PROPN NOUN ADP DET PROPN PROPN PUNCT CCONJ PROPN PROPN PROPN PUNCT VERB ADV VERB PART VERB ADP DET NOUN
Clearly, a plant which stores 1 tonne less than is required for notification slips through the net, while large numbers of handling sites ( warehouses, for instance ) are not covered.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip through the net	figurative	inflection	ADV DET NOUN ADJ VERB NUM NOUN ADV ADP VERB VERB ADP NOUN NOUN ADP DET NOUN ADP ADJ NOUN ADP VERB NOUN PUNCT NOUN ADP NOUN PUNCT VERB ADV VERB
Her foot slipped suddenly through the net.	0 0 1 0 1 0 1	slip through the net	literal	combined-inflection	ADJ NOUN VERB ADV ADP DET NOUN
Paul Merton slipped through the net.	0 0 1 1 0 1	slip through the net	figurative	inflection	PROPN PROPN VERB ADP DET NOUN
Critics fear tomorrows changes in community care will mean some councils cope better than others in providing a service, so more people will slip through the net.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip through the net	figurative	identical	NOUN VERB VERB NOUN ADP NOUN NOUN VERB VERB DET NOUN VERB ADJ ADP NOUN ADP VERB DET NOUN CCONJ ADJ NOUN VERB VERB ADP DET NOUN
Jeff Young is also confident that not too many acts slip through the net cast by his department.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	slip through the net	figurative	identical	PROPN PROPN VERB ADV ADJ ADP ADV ADV ADJ NOUN VERB ADP DET ADJ NOUN ADP ADJ NOUN
If Niki the man slips through this net of approbation, much of the fault must rest with his own capacity to mythologize, his utter disrespect for those who seek to read his mind and the kinds of people he has always kept about him, like court jesters, to keep his market value high.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip through the net	figurative	combined-inflection	ADP PROPN DET NOUN VERB ADP DET NOUN ADP NOUN ADJ ADP DET NOUN VERB VERB ADP ADJ ADJ NOUN PART VERB ADJ ADJ NOUN ADP DET NOUN VERB PART VERB ADJ NOUN CCONJ DET NOUN ADP NOUN PRON VERB ADV VERB ADP PRON ADP NOUN NOUN PART VERB ADJ NOUN NOUN ADJ
And how many more children slip through the net that way?	0 0 0 0 0 1 1 0 1 0 0	slip through the net	figurative	identical	CCONJ ADV ADJ ADJ NOUN VERB ADP DET NOUN DET NOUN
Clearly the single - celled algae are slipping through the net ( or foam ).	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	slip through the net	literal	inflection	ADV DET ADV PUNCT VERB NOUN VERB VERB ADP DET NOUN PUNCT CCONJ NOUN PUNCT
Maggie feels no doubt about that : so small a word, so small and so necessary a word is bound to survive, to slip through the net of destruction that she and Fenna — no, that she herself, alone — will loose on the cold sky tonight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip through the net	figurative	identical	PROPN VERB DET NOUN ADP DET PUNCT ADV ADJ DET NOUN ADV ADJ CCONJ ADV ADJ DET NOUN VERB VERB PART VERB PART VERB ADP DET NOUN ADP NOUN ADP PRON CCONJ PROPN PUNCT INTJ ADP PRON PRON ADV PUNCT VERB VERB ADP DET ADJ NOUN NOUN
Graham, on the other hand, had nearly slipped through the net.	0 0 0 0 0 0 0 1 1 0 1	slip through the net	figurative	inflection	PROPN ADP DET ADJ NOUN VERB ADV VERB ADP DET NOUN
There is one person responsible for ensuring that the individual does not ‘ slip through the net’ or drift away from the service, a factor which is particularly important in mental health services.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip through the net	figurative	dashes	ADV VERB NUM NOUN ADJ ADP VERB ADP DET NOUN VERB ADV VERB NOUN ADP DET PROPN CCONJ VERB ADV ADP DET NOUN DET NOUN ADJ VERB ADV ADJ ADP ADJ NOUN NOUN
Norse longships had long troubled the coast of Ulthuan, slipping through the net of Elf warships.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	slip through the net	figurative	inflection	PROPN NOUN VERB ADV VERB DET NOUN ADP PROPN VERB ADP DET NOUN ADP PROPN NOUN
slip through the net so far but they 've got to be done.	1 1 0 1 0 0 0 0 0 0 0 0 0	slip through the net	figurative	identical	VERB ADP DET NOUN ADV ADV CCONJ PRON VERB VERB PART VERB VERB
It, it's a domestic policy, hands off, it's got nothing to do with international trade at all, it is purely a domestic policy and that is essentially the argument that is erm, prevented agriculture erm, from sort of slipping through the GATT net.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	slip through the net	figurative	combined-inflection	PRON PRON DET ADJ NOUN VERB PART PRON VERB NOUN PART VERB ADP ADJ NOUN ADV ADV PRON VERB ADV DET ADJ NOUN CCONJ DET VERB ADV DET NOUN ADJ VERB NOUN VERB NOUN NOUN ADP ADV ADV VERB ADP DET PROPN NOUN
Prohibition of imports continued, in theory if not in practice, until 1842, though many European cattle did manage to slip through the net.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip through the net	figurative	identical	NOUN ADP NOUN VERB ADP NOUN ADP ADV ADP NOUN ADP NUM ADP ADJ ADJ NOUN VERB VERB PART VERB ADP DET NOUN
I was disappointed that Yorkshire didn't want me, but quite a few players have made good careers for themselves after slipping through their net and I am determined to become another. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	slip through the net	figurative	combined-inflection	PRON VERB VERB ADP PROPN VERB VERB PRON CCONJ ADJ DET ADJ NOUN VERB VERB ADJ NOUN ADP PRON ADP VERB ADP ADJ NOUN CCONJ PRON VERB VERB PART VERB DET PUNCT
An inquest into Beverley's death found she died of natural causes but had slipped through the net of caring representatives like her GP and social worker.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	slip through the net	figurative	inflection	DET NOUN ADP PROPN NOUN VERB PRON VERB ADP ADJ NOUN CCONJ VERB VERB ADP DET NOUN ADP VERB NOUN ADP ADJ PROPN CCONJ ADJ NOUN
Does he accept, however, that — sadly — many of those who are sleeping rough in our cities and elsewhere have indeed been discharged from psychiatric hospitals and have slipped through the care package net?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1	slip through the net	figurative	combined-inflection	VERB PRON VERB ADV ADP PUNCT ADV PUNCT ADJ ADP DET NOUN VERB VERB ADJ ADP ADJ NOUN CCONJ ADV VERB ADV VERB VERB ADP ADJ NOUN CCONJ VERB VERB ADP DET NOUN NOUN NOUN
This is a good example of a local commemoration which almost slipped through the net, had it not been for the sleuthing abilities of north east enthusiast David Thompson.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip through the net	figurative	inflection	DET VERB DET ADJ NOUN ADP DET ADJ NOUN ADJ ADV VERB ADP DET NOUN VERB PRON ADV VERB ADP DET NOUN NOUN ADP NOUN NOUN NOUN PROPN PROPN
Some undesirable employees will always slip through the net ; and some employees will change over time.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	slip through the net	figurative	identical	DET ADJ NOUN VERB ADV VERB ADP DET NOUN PUNCT CCONJ DET NOUN VERB VERB ADP NOUN
If it turns out that girls at risk of not receiving all three doses of the HPV vaccine are also those with an elevated risk of being infected and missing cervical screenings as adults, they may be slipping through not one but two nets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1	slip through the net	figurative	combined-inflection	ADP PRON VERB PART ADP NOUN ADP NOUN ADP ADV VERB DET NUM NOUN ADP DET PROPN NOUN VERB ADV DET ADP DET ADJ NOUN ADP VERB VERB CCONJ VERB ADJ NOUN ADP NOUN PRON VERB VERB VERB ADP ADV NUM CCONJ NUM NOUN
Some of the cases where children lost their lives, Jasmine Beckford, Kimberly Carlisle, Tara Henry, where somehow the child's need has slipped through the net.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip through the net	figurative	inflection	DET ADP DET NOUN ADV NOUN VERB ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN ADV ADV DET NOUN NOUN VERB VERB ADP DET NOUN
