Before I settled among the Tuthanach I wandered further up the river, crossing the great marsh.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	up the river	literal	identical	ADP PRON VERB ADP DET PROPN PRON VERB ADV ADP DET NOUN VERB DET ADJ NOUN
Her move three miles up river to Old Town was the first step in a gradual journey into the district of Okoyong and away from European settlement on the coast.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	deletion-determiner	ADJ VERB NUM NOUN ADP NOUN ADP PROPN PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN ADP PROPN CCONJ ADV ADP ADJ NOUN ADP DET NOUN
They finally reached the edge of the ancient lake late on the second day of their journey up the river, and in company they had not expected to attract.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	up the river	literal	identical	PRON ADV VERB DET NOUN ADP DET ADJ NOUN ADV ADP DET ADJ NOUN ADP ADJ NOUN PART DET NOUN CCONJ ADP NOUN PRON VERB ADV VERB PART VERB
The first body, found in the Thames, was discovered accidentally by a bargee, who had been poling his way up the river and had been more than mildly surprised when he had brought his pole up from the river bed to find a sodden brown parcel on the end with a baby's arm sticking out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	DET ADJ NOUN VERB ADP DET PROPN VERB VERB ADV ADP DET NOUN NOUN VERB VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB VERB ADJ ADP ADV ADJ ADV PRON VERB VERB ADJ NOUN PART ADP DET NOUN NOUN PART VERB DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN VERB PART
They took what there was to take, all the mounts that were fit to travel, all the arms that lay masterless about the field, and vanished in the dusk up - river into the mountains with their prisoners and their triumph.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	up the river	literal	combined-other	PRON VERB NOUN ADV VERB PART VERB ADJ DET NOUN ADJ VERB ADJ PART VERB ADJ DET NOUN ADJ VERB ADV ADP DET NOUN CCONJ VERB ADP DET NOUN ADP PUNCT NOUN ADP DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN
I been beaten up by hoods, framed on a murder rap, beaten up by cops, sent up the river, beaten up by prison bulls, got a last - minute reprieve from the governor, and been beaten up by my girl.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	figurative	identical	PRON VERB VERB PART ADP NOUN VERB ADP DET NOUN NOUN VERB PART ADP NOUN VERB PART DET NOUN VERB PART ADP NOUN NOUN VERB DET ADJ PUNCT NOUN NOUN ADP DET NOUN CCONJ VERB VERB PART ADP ADJ NOUN
A second lorry driver Peter Walling later saw a man naked from the waist up scramble up the river bank but disappear when he saw the lorry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	up the river	literal	identical	DET ADJ NOUN NOUN PROPN PROPN ADV VERB DET NOUN ADJ ADP DET NOUN PART VERB PART DET NOUN NOUN CCONJ VERB ADV PRON VERB DET NOUN
And you go from Portugal up the river and into Spain don't you.	0 0 0 0 0 1 0 1 0 0 0 0 0	up the river	literal	identical	CCONJ PRON VERB ADP PROPN PART DET NOUN CCONJ ADP PROPN VERB PRON
‘ There's a boat coming up the river now,’ said John, ‘ but she may be going right up to Ipswich … ’	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	PUNCT ADV DET NOUN VERB PART DET NOUN NOUN VERB PROPN PUNCT CCONJ PRON VERB VERB VERB ADV ADP ADP PROPN PUNCT PUNCT
Cos the the reason they, they er done away with the steam tugs and had a diesel, because a diesel you could start up and er when the dredging finished they tipped the tug at Ipswich and er if they want they one of the big ships up the river, cos then they could start the diesel up quite, right away, whereby a steam tug you a fire there all the time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	ADP DET DET NOUN PRON PRON INTJ VERB ADV ADP DET NOUN NOUN CCONJ VERB DET NOUN ADP DET NOUN PRON VERB VERB PART CCONJ INTJ ADV DET NOUN VERB PRON VERB DET NOUN ADP PROPN CCONJ INTJ ADP PRON VERB PRON NUM ADP DET ADJ NOUN ADP DET NOUN ADP ADV PRON VERB VERB DET NOUN ADV ADV ADV ADV ADV DET NOUN NOUN PRON DET NOUN ADV ADJ DET NOUN
As we walked up the river I began a monologue about how difficult it was to catch Don trout.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	ADP PRON VERB ADP DET NOUN PRON VERB DET NOUN ADP ADV ADJ PRON VERB PART VERB PROPN NOUN
Then, unbelievably, I saw the line move up the river.	0 0 0 0 0 0 0 1 0 1	up the river	literal	identical	ADV ADV PRON VERB DET NOUN VERB ADP DET NOUN
Pull it in to the small boat, lay it on a box and then we 'd pull the chain in by hand and then we 'd rerun it further up the river.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	up the river	literal	identical	VERB PRON PART ADP DET ADJ NOUN VERB PRON ADP DET NOUN CCONJ ADV PRON VERB VERB DET NOUN ADP ADP NOUN CCONJ ADV PRON VERB VERB PRON ADV ADP DET NOUN
When the Belgian nuclear industry decided to allow reporters into its new reactors at Doel near Antwerp, it followed the time honoured tradition of entertaining the thirsty hacks on a boat trip up the river Schelde.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	up the river	literal	identical	ADV DET ADJ ADJ NOUN VERB PART VERB NOUN ADP ADJ ADJ NOUN ADP PROPN ADP PROPN PRON VERB DET NOUN VERB NOUN ADP VERB DET ADJ NOUN ADP DET NOUN NOUN PART DET NOUN PROPN
A much - trodden path also threads a way up - river through the trees, keeping clear of the precipitous edge, to a bridge spanning the gorge, this too revealing a frightening prospect far beneath.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	combined-other	DET ADV PUNCT NOUN NOUN ADV VERB DET NOUN ADP PUNCT NOUN ADP DET NOUN VERB ADJ ADP DET ADJ NOUN ADP DET NOUN VERB DET NOUN DET ADV VERB DET ADJ NOUN ADV ADV
He fills up the rivers he fills up the roads, like tentacles	0 0 1 0 1 0 0 0 0 0 0 0	up the river	literal	inflection	PRON VERB PART DET NOUN PRON VERB PART DET NOUN ADP NOUN
Down river, or was it up the river?	0 0 0 0 0 1 0 1	up the river	literal	identical	ADP NOUN CCONJ VERB PRON ADP DET NOUN
But what would happen if the companies concerned bought up the rivers and lakes?	0 0 0 0 0 0 0 0 0 1 0 1 0 0	up the river	literal	inflection	CCONJ NOUN VERB VERB ADP DET NOUN VERB VERB PART DET NOUN CCONJ NOUN
There was a story that she had once been married to a hollow cheeked Indian tour guide called Willy Wither who had taken us up the river and touchingly offered me the use of his very expensive camera ( ‘ A holiday without a camera is a terrible thing.’ ),	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	ADV VERB DET NOUN ADJ PRON VERB ADV VERB VERB ADP DET ADJ VERB ADJ NOUN NOUN VERB PROPN PROPN NOUN VERB VERB PRON ADP DET NOUN CCONJ ADV VERB PRON DET NOUN ADP ADJ ADV ADJ NOUN PUNCT PUNCT DET NOUN ADP DET NOUN VERB DET ADJ NOUN PUNCT
Thereafter, a physiological change may cause them to develop a preference for fresher water so they are lured up the rivers, just as spiny lobsters, at a particular time of the year, are drawn to lower temperatures.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	inflection	ADV DET ADJ NOUN VERB VERB PRON PART VERB DET NOUN ADP ADJ NOUN ADP PRON VERB VERB PART DET NOUN ADV ADP ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN VERB VERB ADP ADJ NOUN
The wind rushing up the river shook the whole building, and the rain beat violently against the windows.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	DET NOUN VERB PART DET NOUN VERB DET ADJ NOUN CCONJ DET NOUN VERB ADV ADP DET NOUN
The spraying boat, affectionately known as the ‘ Black Pig’, would set off on its regular journey up the river without any adjustment on the spraying nozzle.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	up the river	literal	identical	DET VERB NOUN ADV VERB ADP DET PUNCT PROPN PROPN VERB VERB PART ADP ADJ ADJ NOUN PART DET NOUN ADP DET NOUN ADP DET VERB NOUN
The slender 102 ft spire was once a landmark for ships sailing up the river Humber to Hull.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	up the river	literal	identical	DET ADJ NUM PROPN NOUN VERB ADV DET NOUN ADP NOUN VERB PART DET NOUN PROPN ADP PROPN
On the second day of their slow ride up the river they found traces of Morthen, a snail - shell hair net, slung from the branch of a tree close to the cold remains of a fire.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	ADP DET ADJ NOUN ADP ADJ ADJ NOUN ADP DET NOUN PRON VERB NOUN ADP PROPN DET NOUN PUNCT NOUN NOUN NOUN VERB ADP DET NOUN ADP DET NOUN ADV ADP DET ADJ NOUN ADP DET NOUN
Yes that used to but sometimes they used to bring it up the river and they use a lot the ballast we er did dredge for erm, for the first part of Cliff Quay, used it when they built that.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	INTJ DET VERB ADP CCONJ ADV PRON VERB PART VERB PRON ADP DET NOUN CCONJ PRON VERB DET NOUN DET NOUN PRON INTJ VERB NOUN ADP NOUN ADP DET ADJ NOUN ADP PROPN PROPN VERB PRON ADV PRON VERB DET
What the older Michael mostly remembered about this were the games — croquet in which the parents joined the children, tennis, a sort of squash with his brother hitting a tennis ball against a veranda wall, expeditions up the river through the Backs and then up to the village of Grantchester.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	NOUN DET ADJ PROPN ADV VERB ADP DET VERB DET NOUN PUNCT NOUN ADP ADJ DET NOUN VERB DET NOUN NOUN DET NOUN ADP NOUN ADP ADJ NOUN VERB DET NOUN NOUN ADP DET NOUN NOUN NOUN ADP DET NOUN ADP DET PROPN CCONJ ADV ADP ADP DET NOUN ADP PROPN
She 'd been wanting to slip away today, away up the river and over the hill to a clear pool where the girls swam and giggled and the boys shifted like shadows among the trees.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	PRON VERB VERB VERB PART VERB ADV NOUN ADV PART DET NOUN CCONJ ADP DET NOUN ADP DET ADJ NOUN ADV DET NOUN NOUN CCONJ VERB CCONJ DET NOUN VERB ADP NOUN ADP DET NOUN
At Aldridges of Bath recently, for example, auctioneers and saleroom alike were astonished when a Pountney and Allies meat plate, showing a view of Hotwells with the Irish packet St Patrick sailing up the river, sold for £ 1,600.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	up the river	literal	identical	ADP NOUN ADP PROPN ADV ADP NOUN NOUN CCONJ VERB ADV VERB VERB ADV DET PROPN CCONJ PROPN NOUN NOUN VERB DET NOUN ADP PROPN ADP DET ADJ NOUN PROPN PROPN NOUN PART DET NOUN VERB ADP SYM NUM
B. Sailing ships could carry their cargoes far inland ( 12 km ) up the river, helped by the very high tides.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	up the river	literal	identical	PROPN PROPN NOUN VERB VERB ADJ NOUN ADV ADV PUNCT NUM NOUN PUNCT ADP DET NOUN VERB ADP DET ADV ADJ NOUN
Well shipping Angus, so you know when the dredgers go on er er er creeping ahead, see we used to have er what we call the head wire there used to be a wire which was all stretched out say about half a mile and what you s and erm and all according what erm how much mud you were dredging for the depth of water and then my father would give the signal to say right, cos on the, on the head wire used to have a pull, we call the pulls and they were like er a jutted piece off the wheel and he 'd say five pulls ahead and we 'd say one two three four five right and we went ahead with it and then when we were dredging sidewards you see, used to sidewards, you never went ahead with it, not all the time you c you went sidewards across the river, and erm once you got ahead your side chains they moving up cos you got so far ahead th that the side chains weren't much good to you, so you had to then move your side chains so you got a little off the mud in an old boat and then re further up the river.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	up the river	literal	identical	INTJ VERB PROPN ADV PRON VERB ADV DET NOUN VERB ADP INTJ INTJ INTJ VERB ADV VERB PRON VERB PART VERB INTJ NOUN PRON VERB DET NOUN NOUN ADV VERB PART VERB DET NOUN ADJ VERB ADV VERB PART VERB ADP ADJ DET NOUN CCONJ NOUN PRON VERB CCONJ NOUN CCONJ DET VERB NOUN NOUN ADV ADJ NOUN PRON VERB VERB ADP DET NOUN ADP NOUN CCONJ ADV ADJ NOUN VERB VERB DET NOUN PART VERB INTJ ADP ADP DET ADP DET NOUN NOUN VERB PART VERB DET NOUN PRON VERB DET NOUN CCONJ PRON VERB INTJ INTJ DET ADJ NOUN ADP DET NOUN CCONJ PRON VERB VERB NUM NOUN ADV CCONJ PRON VERB VERB NUM NUM NUM NUM NUM INTJ CCONJ PRON VERB ADV ADP PRON CCONJ ADV ADV PRON VERB VERB NOUN PRON VERB VERB ADP NOUN PRON ADV VERB ADV ADP PRON ADV ADJ DET NOUN PRON VERB PRON VERB NOUN ADP DET NOUN CCONJ NOUN ADP PRON VERB ADV ADJ NOUN NOUN PRON VERB PART ADP PRON VERB ADV ADV ADV X ADP DET NOUN NOUN VERB ADV ADJ ADP PRON ADV PRON VERB PART ADV VERB ADJ NOUN NOUN ADP PRON VERB DET ADJ ADP DET NOUN ADP DET ADJ NOUN CCONJ ADV VERB ADV ADP DET NOUN
They carried gold and coal, machinery and books, tea and wool, cotton goods and cheap tin trays, not only to the ends of the earth but also round the coasts and up the rivers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	up the river	literal	inflection	PRON VERB NOUN CCONJ NOUN NOUN CCONJ NOUN NOUN CCONJ NOUN NOUN NOUN CCONJ ADJ NOUN NOUN ADV ADV ADP DET NOUN ADP DET NOUN CCONJ ADV VERB DET NOUN CCONJ ADP DET NOUN
His advisers hit on the idea of announcing that he was going on a cruise up the Hudson river where, away from prying eyes, he was propped up in a chair against the mast and anaesthetised.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	insertion-other	ADJ NOUN VERB ADP DET NOUN ADP VERB ADP PRON VERB VERB ADP DET NOUN ADP DET PROPN NOUN ADV ADV ADP VERB NOUN PRON VERB VERB PART ADP DET NOUN ADP DET NOUN CCONJ ADJ
We often lost each other on the seven barges being pushed a thousand miles up the Zaire River, once Conrad's Congo.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	up the river	literal	combined-other	PRON ADV VERB DET ADJ ADP DET NUM NOUN VERB VERB DET NUM NOUN ADP DET PROPN PROPN ADV PROPN PROPN
The ice disappeared from the Volga in the last days of April, when steamers, tugs, and barges converged at Tsaritsyn on the warmer Lower Volga to transport supplies up the river and its tributaries.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	up the river	literal	identical	DET NOUN VERB ADP DET PROPN ADP DET ADJ NOUN ADP PROPN ADV NOUN NOUN CCONJ NOUN VERB ADP PROPN ADP DET ADJ ADJ PROPN PART VERB NOUN PART DET NOUN CCONJ ADJ NOUN
But suddenly, like catching a whiff of the sea when you 're still miles up the river, I had a feeling there was more to life than this.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	CCONJ ADV ADP VERB DET NOUN ADP DET NOUN ADV PRON VERB ADV NOUN ADP DET NOUN PRON VERB DET NOUN ADV VERB ADJ ADP NOUN ADP DET
Well I mean if you er, if your chain was going too far astern you might pull the dredger astern too much so got ta keep your chain up the river, that's what you go got to do all the time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	INTJ PRON VERB ADP PRON INTJ ADP ADJ NOUN VERB VERB ADV ADV ADJ PRON VERB VERB DET NOUN NOUN ADV ADV ADV VERB PART VERB ADJ NOUN ADP DET NOUN DET NOUN PRON VERB VERB PART VERB ADJ DET NOUN
Sort of seventeenish, that sort of age erm, and I had this really weird dream, that we were canoe canoeing up this river and erm,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	up the river	literal	determiner-narrow	ADV ADP NOUN DET NOUN ADP NOUN NOUN CCONJ PRON VERB DET ADV ADJ NOUN ADP PRON VERB NOUN VERB PART DET NOUN CCONJ NOUN
Gould's brother - in - law's station, 160 miles from Newcastle on the coast up the Hunter River at Yarrundi, far exceeded Gould's expectations both in size and in beauty.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	combined-other	PROPN NOUN PUNCT ADP PUNCT NOUN NOUN NUM NOUN ADP PROPN ADP DET NOUN ADP DET PROPN PROPN ADP PROPN ADV VERB PROPN NOUN CCONJ ADP NOUN CCONJ ADP NOUN
Having achieved this, they provoked disquiet in two quarters : first, those concerned with the defence of Basrah, up the river to the north, and the nearby port of Umm Qasr ; and, second, the government of Kuwait ( an important source of support for Iraq throughout the war ), which had already suffered air attacks and was to be struck again before the fighting was over.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	VERB VERB DET PRON VERB NOUN ADP NUM NOUN PUNCT ADV DET ADJ ADP DET NOUN ADP PROPN ADP DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN ADP PROPN PROPN PUNCT CCONJ ADJ DET NOUN ADP PROPN PUNCT DET ADJ NOUN ADP NOUN ADP PROPN ADP DET NOUN PUNCT ADJ VERB ADV VERB NOUN NOUN CCONJ VERB PART VERB VERB ADV ADP DET NOUN VERB ADV
And then we come along, another lot of white men who 've also got two chaps in long black skirts with them, who also want to be poled up the river to the Orinoco.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	up the river	literal	identical	CCONJ ADV PRON VERB PART DET NOUN ADP ADJ NOUN NOUN VERB ADV VERB NUM NOUN ADP ADJ ADJ NOUN ADP PRON NOUN ADV VERB PART VERB VERB PART DET NOUN ADP DET PROPN
So I arranged for one of the estate stalkers to take the remains up the river, when the Colonel and his lady were out for the day.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	up the river	literal	identical	ADV PRON VERB ADP NUM ADP DET NOUN NOUN PART VERB DET VERB PART DET NOUN ADV DET PROPN CCONJ ADJ NOUN VERB PART ADP DET NOUN
