Foreign policy will take a back seat while Clinton sorts out domestic problems.	0 0 0 1 0 1 1 0 0 0 0 0 0	take a back seat	figurative	identical	ADJ NOUN VERB VERB DET ADJ NOUN ADP PROPN VERB PART ADJ NOUN
He really couldn't share the burden of campaigning any more arid took a back seat.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	take a back seat	figurative	inflection	PRON ADV VERB VERB DET NOUN ADP VERB DET ADJ NOUN VERB DET ADJ NOUN
So when Andrew started seeing Sarah, the Princess took a back seat.	0 0 0 0 0 0 0 0 1 0 1 1	take a back seat	figurative	inflection	ADV ADV PROPN VERB VERB PROPN DET PROPN VERB DET ADJ NOUN
Today, with personnel management much more established, it is far easier for many managers to take a back seat and leave recruitment and selection to specialists and even outside consultants.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	NOUN ADP NOUN NOUN ADV ADV VERB PRON VERB ADV ADJ ADP ADJ NOUN PART VERB DET ADJ NOUN CCONJ VERB NOUN CCONJ NOUN ADP NOUN CCONJ ADV ADJ NOUN
Human ~ rights need not take a back seat to doing business with China.	0 0 0 0 0 1 0 1 1 0 0 0 0 0	take a back seat	figurative	identical	ADJ PUNCT NOUN VERB ADV VERB DET ADJ NOUN ADP VERB NOUN ADP PROPN
These days Peter takes a back seat.	0 0 0 1 0 1 1	take a back seat	figurative	inflection	DET NOUN PROPN VERB DET ADJ NOUN
My husband take a back seat?	0 0 1 0 1 1	take a back seat	figurative	identical	ADJ NOUN VERB DET ADJ NOUN
Once again, community care was to take a back seat while the hospital services received the main attention.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	ADV ADV NOUN NOUN VERB PART VERB DET ADJ NOUN ADP DET NOUN NOUN VERB DET ADJ NOUN
‘ The run is unique in Merseyside because it is aimed at the fun runner serious runners have to be prepared to take a back seat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	take a back seat	figurative	identical	PUNCT DET NOUN VERB ADJ ADP PROPN ADP PRON VERB VERB ADP DET ADJ NOUN ADJ NOUN VERB PART VERB VERB PART VERB DET ADJ NOUN
In the meantime he 'll have to take a back seat whilst his team - mates bid for World Cup glory.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	ADP DET NOUN PRON VERB VERB PART VERB DET ADJ NOUN ADP ADJ NOUN PUNCT NOUN NOUN ADP PROPN PROPN NOUN
Columbia, now owned by Japan's Sony, has become as well known for the high spending of its management team, Peter Guber and Jon Peters, as its films ; Mr Peters has now taken a back seat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	take a back seat	figurative	inflection	PROPN ADV VERB ADP PROPN PROPN VERB VERB ADV ADV VERB ADP DET ADJ NOUN ADP ADJ NOUN NOUN PROPN PROPN CCONJ PROPN PROPN ADP ADJ NOUN PUNCT PROPN PROPN VERB ADV VERB DET ADJ NOUN
Son Stephen, aged 18, had driven since he was a junior but decided the time was right to take a back seat to pursue a career.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	take a back seat	figurative	identical	PROPN PROPN VERB NUM VERB VERB ADP PRON VERB DET ADJ CCONJ VERB DET NOUN VERB ADJ PART VERB DET ADJ NOUN PART VERB DET NOUN
Carr has taken a back seat since retiring because of persistent injuries in October 1988.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	PROPN VERB VERB DET ADJ NOUN ADP VERB ADP ADP ADJ NOUN ADP PROPN NUM
From D F Malan, trained nav students go down to Langebaanweg to take the back - seat ( literally! ) in Atlas Impala jet trainers for further instruction.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take a back seat	literal	combined-other	ADP PROPN PROPN PROPN VERB NOUN NOUN VERB PART ADP PROPN PART VERB DET NOUN PUNCT NOUN PUNCT ADV PUNCT ADP PROPN PROPN NOUN NOUN ADP ADJ NOUN
So far the EPA has taken a back seat to the Department of the Interior in shaping new environmental policy in the new administration ; Interior Secretary Bruce Babbitt has already taken action on endangered species, land management issues and reorganizing its science programme.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	ADV ADV DET PROPN VERB VERB DET ADJ NOUN ADP DET PROPN ADP DET PROPN ADP VERB ADJ ADJ NOUN ADP DET ADJ NOUN PUNCT PROPN PROPN PROPN PROPN VERB ADV VERB NOUN ADP VERB NOUN NOUN NOUN NOUN CCONJ VERB ADJ NOUN NOUN
Despite the recent assault on its Director of Communication, the Church of Christ ( Eglise du Christ ) in Zaire is refusing to take a back seat in the process.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	take a back seat	figurative	identical	ADP DET ADJ NOUN ADP ADJ PROPN ADP PROPN DET PROPN ADP PROPN PUNCT ADV PROPN PROPN PUNCT ADP PROPN VERB VERB PART VERB DET ADJ NOUN ADP DET NOUN
Capped 10 times by Ireland the former Ulster captain was forced to take a back seat just before Christmas because of a recurring back injury.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	VERB NUM NOUN ADP PROPN DET ADJ PROPN NOUN VERB VERB PART VERB DET ADJ NOUN ADV ADP PROPN ADP ADP DET VERB ADJ NOUN
While Robinson develops his remarkable rapport with the crowd, the rest of the band take a back - seat, and simply get on with the important business of shaking their flowing locks, sporting massive Stetsons and playing their gee - tars ( man ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	dashes	ADP PROPN VERB ADJ ADJ NOUN ADP DET NOUN DET NOUN ADP DET NOUN VERB DET NOUN PUNCT NOUN CCONJ ADV VERB PART ADP DET ADJ NOUN ADP VERB ADJ VERB NOUN VERB ADJ PROPN CCONJ VERB ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT
You 've not only you 're, you 're not only yourself but you 've got ki, your child to look, look after, you 've also got who you 're caring for, you 've got their emotional needs as well, and you 're emotional needs tend to take a back seat, for want of a better way of putting it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	PRON VERB ADV ADV PRON VERB PRON VERB ADV ADV PRON CCONJ PRON VERB VERB NOUN ADJ NOUN PART VERB VERB ADV PRON VERB ADV VERB NOUN PRON VERB VERB ADP PRON VERB VERB ADJ ADJ NOUN ADV ADV CCONJ PRON VERB ADJ NOUN VERB PART VERB DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADP VERB PRON
Even Midnight's show - jumping had taken a back seat.	0 0 0 0 0 0 1 0 1 1	take a back seat	figurative	inflection	ADV PROPN NOUN PUNCT VERB VERB VERB DET ADJ NOUN
As the relentless publicity machinery of pop set about building Kylie into the perfectly - packaged star, however, the cerebral was taking a back seat to the sensational.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	take a back seat	figurative	inflection	ADP DET ADJ NOUN NOUN ADP NOUN NOUN ADP VERB PROPN ADP DET ADV PUNCT VERB NOUN ADV DET NOUN VERB VERB DET ADJ NOUN ADP DET ADJ
Stipe continues to take a back seat on ‘ Endgame’, a largely instrumental piece with horns and strings taking centre stage while the singer ululates in the wings.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	PROPN VERB PART VERB DET ADJ NOUN ADP PUNCT PROPN DET ADV ADJ NOUN ADP NOUN CCONJ NOUN VERB NOUN NOUN ADP DET NOUN VERB ADP DET NOUN
Then came the mythic sixties when young people suddenly acquired their own cash and really got into looking different from old(er ) people and when social class momentarily took a back seat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	take a back seat	figurative	inflection	ADV VERB DET ADJ NOUN ADV ADJ NOUN ADV VERB ADJ ADJ NOUN CCONJ ADV VERB ADP VERB ADJ ADP ADJ PUNCT NOUN CCONJ ADV ADJ NOUN ADV VERB DET ADJ NOUN
In previous years this was how the BBC treated the competition, but gradually, with its revamped Sunday Grandstand, cricket took a back seat to free - fall dominoes and the like.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	ADP ADJ NOUN DET VERB ADV DET PROPN VERB DET NOUN CCONJ ADV ADP ADJ VERB PROPN PROPN NOUN VERB DET ADJ NOUN ADP ADJ PUNCT NOUN NOUN CCONJ DET ADJ
‘ Sometimes your beliefs have to take a back seat in your life, otherwise they become obsessions to the exclusion of all else.’	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	PUNCT ADV ADJ NOUN VERB PART VERB DET ADJ NOUN ADP ADJ NOUN ADV PRON VERB NOUN ADP DET NOUN ADP DET NOUN
But even now, some senior DUP men are slightly perplexed at the apparent willingness of non - evangelicals to ‘ take a back seat and push the others forward’, as one man put it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	CCONJ ADV ADV DET ADJ PROPN NOUN VERB ADV VERB ADP DET ADJ NOUN ADP ADJ PUNCT NOUN ADP PUNCT VERB DET ADJ NOUN CCONJ VERB DET NOUN NOUN ADP NUM NOUN VERB PRON
He is also trying to finish a commerce degree at university, but the remarkable series of events which has seen South Africa catapulted into the cricketing limelight means that studies might have to take a back seat for at least 1992.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	take a back seat	figurative	identical	PRON VERB ADV VERB PART VERB DET NOUN NOUN ADP NOUN CCONJ DET ADJ NOUN ADP NOUN ADJ VERB VERB PROPN PROPN VERB ADP DET VERB NOUN VERB ADP NOUN VERB VERB PART VERB DET ADJ NOUN ADP ADP ADJ NUM
All the feelings that had taken a back seat since they had slept together resurfaced, and she suddenly felt lost and confused.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	ADJ DET NOUN ADJ VERB VERB DET ADJ NOUN ADP PRON VERB VERB ADV VERB CCONJ PRON ADV VERB VERB CCONJ ADJ
Until this improves, it's likely that Russia will take a back seat for Western investment.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	take a back seat	figurative	identical	ADP DET VERB PRON ADJ ADP PROPN VERB VERB DET ADJ NOUN ADP ADJ NOUN
Expressing his absolute contempt of bands who rely on ambient, effect - heavy swirling guitar sounds, Bernard insists his own playing will never take a back seat musically.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	take a back seat	figurative	identical	VERB ADJ ADJ NOUN ADP NOUN NOUN VERB ADP ADJ NOUN PUNCT ADJ NOUN NOUN NOUN PROPN VERB ADJ ADJ NOUN VERB ADV VERB DET ADJ NOUN ADV
Even Waterman's own trusted experts, stylist Sharron and dancer Claire, both of whom had been a backbone of Kylie's organisation, took a back seat as Kylie took control herself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	take a back seat	figurative	inflection	ADV PROPN ADJ ADJ NOUN NOUN PROPN CCONJ NOUN PROPN DET ADP NOUN VERB VERB DET NOUN ADP PROPN NOUN VERB DET ADJ NOUN ADP PROPN VERB NOUN PRON
The pain seemed to take a back seat momentarily, then he moved his right hand and it came thundering back into his mind.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	DET NOUN VERB PART VERB DET ADJ NOUN ADV ADV PRON VERB ADJ ADJ NOUN CCONJ PRON VERB VERB ADV ADP ADJ NOUN
If you can't agree to disagree, then take a back seat and let others have their way on this occasion.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	ADP PRON VERB VERB PART VERB ADV VERB DET ADJ NOUN CCONJ VERB NOUN VERB ADJ NOUN ADP DET NOUN
It does appear that from the late 1950s he took a back seat, leaving the direction of affairs to a collective leadership : Giap as military chief, Pham Van Dong as premier, Truong Chinh as formulator of ideology, Nguyen Duy Trinh as planner and programmer and Le Duan, brought back from the south, taking over as party chief from Ho late in 1957.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	PRON VERB VERB ADP ADP DET ADJ NOUN PRON VERB DET ADJ NOUN VERB DET NOUN ADP NOUN ADP DET ADJ NOUN PUNCT PROPN ADP ADJ NOUN PROPN PROPN PROPN ADP NOUN PROPN PROPN ADP NOUN ADP NOUN PROPN PROPN PROPN ADP NOUN CCONJ NOUN CCONJ PROPN PROPN VERB ADV ADP DET NOUN VERB PART ADP NOUN NOUN ADP PROPN ADV ADP NUM
No longer could French and Fordham take a back seat advisory role.	0 0 0 0 0 0 1 0 1 1 0 0	take a back seat	figurative	identical	ADV ADV VERB ADJ CCONJ PROPN VERB DET ADJ NOUN ADJ NOUN
well all other sport has to take a back seat this week … there's only game to follow that's racing … only one place to be Cheltenham … and Central South is here racing gold …	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	INTJ DET ADJ NOUN VERB PART VERB DET ADJ NOUN DET NOUN PUNCT ADV ADJ NOUN PART VERB DET VERB PUNCT ADV NUM NOUN PART VERB PROPN PUNCT CCONJ PROPN PROPN VERB ADV VERB NOUN PUNCT
Many feel reluctant to take a back seat and allow their children to enjoy the special attractiveness of the teens and twenties.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	ADJ VERB ADJ PART VERB DET ADJ NOUN CCONJ VERB ADJ NOUN PART VERB DET ADJ NOUN ADP DET NOUN CCONJ NOUN
Responsibility is an aspect of autonomy to which lip - service is commonly paid but which takes a back seat in most discussions about children.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	take a back seat	figurative	inflection	NOUN VERB DET NOUN ADP NOUN PART ADJ NOUN PUNCT NOUN VERB ADV VERB CCONJ ADJ VERB DET ADJ NOUN ADP ADJ NOUN ADP NOUN
Both Sonatas are cleanly played, but the inner momentum of Rachmaninov's first movement is lost : Yo - Yo Ma too often takes a back seat when he ought to be showing the lead, and this affects the balance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	DET PROPN VERB ADV VERB CCONJ DET ADJ NOUN ADP PROPN ADJ NOUN VERB VERB PUNCT PROPN PUNCT PROPN PROPN ADV ADV VERB DET ADJ NOUN ADV PRON VERB PART VERB VERB DET NOUN CCONJ DET VERB DET NOUN
Hallett, who has slipped from seventh to 24th in the provisional world ranking list for next season, missed an easy green in the opening frame then took a back seat as rampant Wattana raced 5–0 ahead.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	take a back seat	figurative	inflection	PROPN NOUN VERB VERB ADP ADJ ADP NOUN ADP DET ADJ NOUN NOUN NOUN ADP ADJ NOUN VERB DET ADJ NOUN ADP DET NOUN NOUN ADV VERB DET ADJ NOUN ADP ADJ PROPN VERB NUM ADV
LONDON – For far too long, the cause of universal education has taken a back seat to other great international movements for change.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	take a back seat	figurative	inflection	PROPN PUNCT ADP ADV ADV ADV DET NOUN ADP ADJ NOUN VERB VERB DET ADJ NOUN ADP ADJ ADJ ADJ NOUN ADP NOUN
McDonough has just been handed his third suspension of the season following his sending off offence at Rochdale last weekend, and he is prepared to take a back seat for much of the rest of this season — if not all of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	PROPN VERB ADV VERB VERB ADJ ADJ NOUN ADP DET NOUN VERB ADJ VERB PART NOUN ADP PROPN ADJ NOUN CCONJ PRON VERB ADJ PART VERB DET ADJ NOUN ADP ADJ ADP DET NOUN ADP DET NOUN PUNCT ADP ADV DET ADP PRON
Critics compare him to Jeremy Thomas, who produced The Last Emperor but whose name takes a back seat to Bertolucci's.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	take a back seat	figurative	inflection	NOUN VERB PRON ADP PROPN PROPN NOUN VERB DET ADJ PROPN CCONJ ADJ NOUN VERB DET ADJ NOUN ADP PROPN
‘ It certainly hasn't taken a back seat and there have been developments, but I 'd better not tell you what they are until the details are officially released.’	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	PUNCT PRON ADV VERB VERB DET ADJ NOUN CCONJ ADV VERB VERB NOUN CCONJ PRON VERB ADV ADV VERB PRON NOUN PRON VERB ADP DET NOUN VERB ADV NOUN
The singing took a back seat while he concentrated on his soap career.	0 0 1 0 1 1 0 0 0 0 0 0 0	take a back seat	figurative	inflection	DET NOUN VERB DET ADJ NOUN ADP PRON VERB ADP ADJ NOUN NOUN
Slemen added : ‘ We accept we must take a back seat to the national side, but we are still determined to succeed where the Midlands and England B failed.’	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	PROPN VERB PUNCT PUNCT PRON VERB PRON VERB VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ PRON VERB ADV ADJ PART VERB ADV DET PROPN CCONJ PROPN PROPN NOUN
To some extent this was natural, for, as economic mobilisation became total, finance took a back seat to the direct controls over labour and materials.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	ADP DET NOUN DET VERB ADJ ADP ADP ADJ NOUN VERB ADJ NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN CCONJ NOUN
As sense of humour and what is regarded as acceptable changes, traditional cards, liberally sprinkled with glitter and sugary prose, take a back seat as titillating varieties, sometimes extremely rude, find increasing space on the shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	ADP NOUN ADP NOUN CCONJ NOUN VERB VERB ADP ADJ NOUN ADJ NOUN ADV VERB ADP NOUN CCONJ ADJ NOUN VERB DET ADJ NOUN ADP VERB NOUN ADV ADV ADJ VERB VERB NOUN ADP DET NOUN
Karoly Grosz, the outgoing general secretary, cut a lonely figure as he bowed out, dropping hints that in future he would be taking a back seat in politics.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	take a back seat	figurative	inflection	PROPN PROPN DET ADJ ADJ NOUN VERB DET ADJ NOUN ADP PRON VERB PART VERB NOUN ADP ADP NOUN PRON VERB VERB VERB DET ADJ NOUN ADP NOUN
Long - term planning took a back seat in the deliberations of the senior engineers whose efforts were principally devoted to overcoming short - term problems.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	ADJ PUNCT NOUN NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN ADJ NOUN VERB ADV ADJ ADP VERB ADJ PUNCT NOUN NOUN
To do all the things whether you feel like it or not, oh no, I usually take a back seat and then when it's, I 'm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	take a back seat	figurative	identical	PART VERB ADJ DET NOUN ADP PRON VERB ADP PRON CCONJ ADV INTJ INTJ PRON ADV VERB DET ADJ NOUN CCONJ ADV ADV PRON PRON NOUN
Add to this the possibility that by eating organic produce we might be filling the cornfields with poppies once again and I suspect that mere flavour often takes a back seat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	take a back seat	figurative	inflection	VERB ADP DET DET NOUN ADP ADP VERB ADJ NOUN PRON VERB VERB VERB DET NOUN ADP NOUN ADV ADV CCONJ PRON VERB ADP ADJ NOUN ADV VERB DET ADJ NOUN
Urban road construction took a back seat as new interest was shown in restrictions on existing road usage, possibilities of upgrading public transport ( as suggested by the introduction of the metro for Tyne - Wear ), and policies on subsidized fares.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	ADJ NOUN NOUN VERB DET ADJ NOUN ADP ADJ NOUN VERB VERB ADP NOUN ADP VERB NOUN NOUN NOUN ADP VERB ADJ NOUN PUNCT ADP VERB ADP DET NOUN ADP DET NOUN ADP PROPN PUNCT PROPN PUNCT CCONJ NOUN ADP ADJ NOUN
Golf Faldo forced to take a back seat to Walker Cup team.	0 0 0 0 1 0 1 1 0 0 0 0	take a back seat	figurative	identical	PROPN PROPN VERB PART VERB DET ADJ NOUN ADP PROPN PROPN NOUN
