But Walsh got stuck into the project with typical determination.	0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	inflection	CCONJ PROPN VERB VERB ADP DET NOUN ADP ADJ NOUN	▁But ▁W al sh ▁got ▁stuck ▁into ▁the ▁project ▁with ▁typical ▁determination .	0 0 0 0 1 1 1 0 0 0 0 0 0	CCONJ PROPN PROPN PROPN VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN
But you can't do everything all at once, so start with just one thing — maybe your attitude to teachers, or your willingness to speak up for Jesus : whatever is a problem for you at the moment — and get stuck into sorting that one thing out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	identical	CCONJ PRON VERB VERB NOUN DET ADP ADV ADV VERB ADP ADV NUM NOUN PUNCT ADV ADJ NOUN ADP NOUN CCONJ ADJ NOUN PART VERB PART ADP PROPN PUNCT NOUN VERB DET NOUN ADP PRON ADP DET NOUN PUNCT CCONJ VERB VERB ADP VERB DET NUM NOUN PART	▁But ▁you ▁can ' t ▁do ▁everything ▁all ▁at ▁once , ▁so ▁start ▁with ▁just ▁one ▁thing ▁ — ▁maybe ▁your ▁attitude ▁to ▁teachers , ▁or ▁your ▁willingness ▁to ▁speak ▁up ▁for ▁Jesus ▁ : ▁whatever ▁is ▁a ▁problem ▁for ▁you ▁at ▁the ▁moment ▁ — ▁and ▁get ▁stuck ▁into ▁sorting ▁that ▁one ▁thing ▁out .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	CCONJ PRON VERB VERB VERB VERB NOUN DET ADP ADV ADV ADV VERB ADP ADV NUM NOUN PUNCT PUNCT ADV ADJ NOUN ADP NOUN NOUN CCONJ ADJ NOUN PART VERB PART ADP PROPN PUNCT PUNCT NOUN VERB DET NOUN ADP PRON ADP DET NOUN PUNCT PUNCT CCONJ VERB VERB ADP VERB DET NUM NOUN PART PART
So we 're gon na catch every traffic light on red now there was something I wanted to go into Wisbech for but I can't think for the life of me what it was, I must get stuck into this Christmas shopping again, really must so much to do and such little time to do it in oh he's, he's put that car down five hundred pounds, that price of that car was, that he got for sale on it seven, seven, nine, five,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	ADV PRON VERB VERB PART VERB DET NOUN NOUN ADP ADJ ADV ADV VERB NOUN PRON VERB PART VERB ADP PROPN ADP CCONJ PRON VERB VERB ADP DET NOUN ADP PRON NOUN PRON VERB PRON VERB VERB VERB ADP DET PROPN NOUN ADV ADV VERB ADV ADV PART VERB CCONJ ADJ ADJ NOUN PART VERB PRON PART INTJ PRON PRON VERB DET NOUN ADV NUM NUM NOUN DET NOUN ADP DET NOUN VERB ADP PRON VERB ADP NOUN ADP PRON NUM NUM NUM NUM	▁So ▁we ▁' re ▁ gon ▁na ▁catch ▁every ▁traffic ▁light ▁on ▁red ▁now ▁there ▁was ▁something ▁I ▁wanted ▁to ▁go ▁into ▁Wi s b ech ▁for ▁but ▁I ▁can ' t ▁think ▁for ▁the ▁life ▁of ▁me ▁what ▁it ▁was , ▁I ▁must ▁get ▁stuck ▁into ▁this ▁Christmas ▁shopping ▁again , ▁really ▁must ▁so ▁much ▁to ▁do ▁and ▁such ▁little ▁time ▁to ▁do ▁it ▁in ▁ oh ▁he ' s , ▁he ' s ▁put ▁that ▁car ▁down ▁five ▁hundred ▁pounds , ▁that ▁price ▁of ▁that ▁car ▁was , ▁that ▁he ▁got ▁for ▁sale ▁on ▁it ▁seven , ▁seven , ▁nine , ▁five ,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB VERB VERB VERB PART VERB DET NOUN NOUN ADP ADJ ADV ADV VERB NOUN PRON VERB PART VERB ADP PROPN PROPN PROPN PROPN ADP CCONJ PRON VERB VERB VERB VERB ADP DET NOUN ADP PRON NOUN PRON VERB VERB PRON VERB VERB VERB ADP DET PROPN NOUN ADV ADV ADV VERB ADV ADV PART VERB CCONJ ADJ ADJ NOUN PART VERB PRON PART INTJ INTJ PRON PRON PRON PRON PRON PRON PRON VERB DET NOUN ADV NUM NUM NOUN NOUN DET NOUN ADP DET NOUN VERB VERB ADP PRON VERB ADP NOUN ADP PRON NUM NUM NUM NUM NUM NUM NUM NUM
He tended to bow out when the other old codgers were getting stuck into tedious reminiscence, clearly lacking the high boredom threshold necessary to keep these dissidents happy.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	inflection	PRON VERB PART VERB PART ADV DET ADJ ADJ NOUN VERB VERB VERB ADP ADJ NOUN ADV VERB DET ADJ NOUN NOUN ADJ PART VERB DET NOUN ADJ	▁He ▁tended ▁to ▁bow ▁out ▁when ▁the ▁other ▁old ▁cod gers ▁were ▁gett ing ▁stuck ▁into ▁ ted ious ▁re mini s c ence , ▁clearly ▁lacking ▁the ▁high ▁bore dom ▁threshold ▁necessary ▁to ▁keep ▁these ▁dis s ident s ▁happy .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB PART ADV DET ADJ ADJ NOUN NOUN VERB VERB VERB VERB ADP ADJ ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN ADV VERB DET ADJ NOUN NOUN NOUN ADJ PART VERB DET NOUN NOUN NOUN NOUN ADJ ADJ
What I 'm doing is getting stuck into erotic literature and pornography : the club has a fascinating, not to say incredible, collection, and I can't imagine the opportunity is likely to arise again.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	inflection	NOUN PRON VERB VERB VERB VERB VERB ADP ADJ NOUN CCONJ NOUN PUNCT DET NOUN VERB DET ADJ ADV PART VERB ADJ NOUN CCONJ PRON VERB VERB DET NOUN VERB ADJ PART VERB ADV	▁What ▁I ▁' m ▁doing ▁is ▁gett ing ▁stuck ▁into ▁er otic ▁literature ▁and ▁pornography ▁ : ▁the ▁club ▁has ▁a ▁fascinating , ▁not ▁to ▁say ▁incredible , ▁collection , ▁and ▁I ▁can ' t ▁imagine ▁the ▁opportunity ▁is ▁likely ▁to ▁arise ▁again .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PRON VERB VERB VERB VERB VERB VERB VERB ADP ADJ ADJ NOUN CCONJ NOUN PUNCT PUNCT DET NOUN VERB DET ADJ ADJ ADV PART VERB ADJ ADJ NOUN NOUN CCONJ PRON VERB VERB VERB VERB DET NOUN VERB ADJ PART VERB ADV ADV
At night - times I 've got my jobs to get stuck into on the shopfloor as well, just hope that everybody works as a strong team basically.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	ADP NOUN PUNCT NOUN PRON VERB VERB ADJ NOUN PART VERB VERB ADP ADP DET ADJ ADV ADV ADV VERB ADP NOUN VERB ADP DET ADJ NOUN ADV	▁At ▁night ▁- ▁times ▁I ▁' ve ▁got ▁my ▁jobs ▁to ▁get ▁stuck ▁into ▁on ▁the ▁shop floor ▁as ▁well , ▁just ▁hope ▁that ▁everybody ▁works ▁as ▁a ▁strong ▁team ▁basic ally .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN PUNCT NOUN PRON VERB VERB VERB ADJ NOUN PART VERB VERB ADP ADP DET ADJ ADJ ADV ADV ADV ADV VERB ADP NOUN VERB ADP DET ADJ NOUN ADV ADV ADV
Starring cast Daniel Day - Lewis as Hawkeye, the legendary hero of Fenimore Cooper's panoramic tale of derring - do set during the French / British wars of 1757 in and around New York State, Michael Mann's production dispenses with any namby - pamby pretence of squeamishness and gets stuck into the gore from the opening scenes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	get stuck into	figurative	inflection	VERB VERB PROPN PROPN PUNCT PROPN ADP PROPN DET ADJ NOUN ADP PROPN PROPN ADJ NOUN ADP NOUN PUNCT VERB NOUN ADP DET ADJ SYM ADJ NOUN ADP NUM ADP CCONJ ADP PROPN PROPN PROPN PROPN PROPN NOUN VERB ADP DET NOUN PUNCT NOUN NOUN ADP NOUN CCONJ VERB VERB ADP DET NOUN ADP DET NOUN NOUN	▁Star ring ▁cast ▁Daniel ▁Day ▁- ▁Le wi s ▁as ▁H aw key e , ▁the ▁leg end ary ▁her o ▁of ▁Fen i more ▁Cooper ' s ▁pan or amic ▁ tale ▁of ▁der ring ▁- ▁do ▁set ▁during ▁the ▁French ▁/ ▁British ▁wars ▁of ▁17 57 ▁in ▁and ▁around ▁New ▁York ▁State , ▁Michael ▁Mann ' s ▁production ▁dispense s ▁with ▁any ▁ nam by ▁- ▁p am by ▁pre tence ▁of ▁s que am ish ness ▁and ▁get s ▁stuck ▁into ▁the ▁go re ▁from ▁the ▁opening ▁scene s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	VERB VERB VERB PROPN PROPN PUNCT PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN DET ADJ ADJ ADJ NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ NOUN NOUN ADP NOUN NOUN PUNCT VERB NOUN ADP DET ADJ SYM ADJ NOUN ADP NUM NUM ADP CCONJ ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB ADP DET NOUN NOUN NOUN PUNCT NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN CCONJ VERB VERB VERB ADP DET NOUN NOUN ADP DET NOUN NOUN NOUN NOUN
' Get stuck into each other, you two, ' shouted Trentham, but although Charlie started to jab away at Tommy's chest he made no attempt to inflict any real pain.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	case	PUNCT VERB VERB ADP DET ADJ PRON NUM PUNCT VERB PROPN CCONJ ADP PROPN VERB PART VERB ADV ADP PROPN NOUN PRON VERB DET NOUN PART VERB DET ADJ NOUN	▁' ▁G et ▁stuck ▁into ▁each ▁other , ▁you ▁two , ▁' ▁shout ed ▁T rent ham , ▁but ▁although ▁Char lie ▁started ▁to ▁ja b ▁away ▁at ▁Tom my ' s ▁chest ▁he ▁made ▁no ▁attempt ▁to ▁in flict ▁any ▁real ▁pain .	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT VERB VERB VERB ADP DET ADJ ADJ PRON NUM NUM PUNCT VERB VERB PROPN PROPN PROPN PROPN CCONJ ADP PROPN PROPN VERB PART VERB VERB ADV ADP PROPN PROPN PROPN PROPN NOUN PRON VERB DET NOUN PART VERB VERB DET ADJ NOUN NOUN
Unfortunately for those of a nervous DOSposition ( rotten pun, I know ) the FastLynx package has no install utility, so setting up the device drivers to enable what amounts to a two machine network involves rolling up the sleeves and getting stuck into editing a file or two.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	inflection	ADV ADP DET ADP DET ADJ PROPN PUNCT ADJ NOUN PRON VERB PUNCT DET PROPN NOUN VERB DET NOUN NOUN ADV VERB PART DET NOUN NOUN PART VERB NOUN VERB ADP DET NUM NOUN NOUN VERB VERB PART DET NOUN CCONJ VERB VERB ADP VERB DET NOUN CCONJ NUM	▁Unfortunately ▁for ▁those ▁of ▁a ▁nervous ▁D OS position ▁( ▁rot ten ▁p un , ▁I ▁know ▁ ) ▁the ▁Fast L yn x ▁package ▁has ▁no ▁install ▁utility , ▁so ▁setting ▁up ▁the ▁device ▁drivers ▁to ▁enable ▁what ▁amounts ▁to ▁a ▁two ▁machine ▁network ▁involves ▁rolling ▁up ▁the ▁sleeves ▁and ▁gett ing ▁stuck ▁into ▁ed it ing ▁a ▁file ▁or ▁two .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	ADV ADP DET ADP DET ADJ PROPN PROPN PROPN PUNCT ADJ ADJ NOUN NOUN NOUN PRON VERB PUNCT PUNCT DET PROPN PROPN PROPN PROPN NOUN VERB DET NOUN NOUN NOUN ADV VERB PART DET NOUN NOUN PART VERB NOUN VERB ADP DET NUM NOUN NOUN VERB VERB PART DET NOUN CCONJ VERB VERB VERB ADP VERB VERB VERB DET NOUN CCONJ NUM NUM
Let's get stuck into them!’	0 1 1 1 0	get stuck into	figurative	identical	VERB VERB VERB ADP NOUN	▁Let ' s ▁get ▁stuck ▁into ▁them ! ’	0 0 0 1 1 1 0 0 0	VERB VERB VERB VERB VERB ADP NOUN NOUN NOUN
You don't have to get stuck into Sky to hear the cry Burn Hollywood Burn.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	PRON VERB VERB PART VERB VERB ADP PROPN PART VERB DET NOUN PROPN PROPN PROPN	▁You ▁don ' t ▁have ▁to ▁get ▁stuck ▁into ▁Sky ▁to ▁hear ▁the ▁cry ▁Bur n ▁Hol ly wood ▁Bur n .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB PART VERB VERB ADP PROPN PART VERB DET NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
In the dressing room before kick - off, Ian won't need anyone to dangle pieces of raw meat in front of him and make him strain at the leash because he 'll be bursting to get stuck into the Turks more than anyone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	identical	ADP DET NOUN NOUN ADP NOUN PUNCT NOUN PROPN VERB VERB NOUN PART VERB NOUN ADP ADJ NOUN ADP NOUN ADP PRON CCONJ VERB PRON VERB ADP DET NOUN ADP PRON VERB VERB VERB PART VERB VERB ADP DET PROPN ADJ ADP NOUN	▁In ▁the ▁dressing ▁room ▁before ▁kick ▁- ▁off , ▁I an ▁won ' t ▁need ▁anyone ▁to ▁d angle ▁pieces ▁of ▁raw ▁meat ▁in ▁front ▁of ▁him ▁and ▁make ▁him ▁strain ▁at ▁the ▁le ash ▁because ▁he ▁' ll ▁be ▁burst ing ▁to ▁get ▁stuck ▁into ▁the ▁Turks ▁more ▁than ▁anyone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	ADP DET NOUN NOUN ADP NOUN PUNCT NOUN NOUN PROPN PROPN VERB VERB VERB VERB NOUN PART VERB VERB NOUN ADP ADJ NOUN ADP NOUN ADP PRON CCONJ VERB PRON VERB ADP DET NOUN NOUN ADP PRON VERB VERB VERB VERB VERB PART VERB VERB ADP DET PROPN ADJ ADP NOUN NOUN
When their big friends get stuck into close combat the Snotlings throw themselves on the enemy, screaming and yelling crazily, waving their wooden clubs and biting the foes with their sharp teeth.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	ADV ADJ ADJ NOUN VERB VERB ADP ADJ NOUN DET PROPN VERB PRON ADP DET NOUN VERB CCONJ VERB ADV VERB ADJ ADJ NOUN CCONJ VERB DET NOUN ADP ADJ ADJ NOUN	▁When ▁their ▁big ▁friends ▁get ▁stuck ▁into ▁close ▁combat ▁the ▁S not ling s ▁throw ▁themselves ▁on ▁the ▁enemy , ▁s cream ing ▁and ▁y elling ▁cr azi ly , ▁wa ving ▁their ▁wooden ▁clubs ▁and ▁bit ing ▁the ▁fo es ▁with ▁their ▁sharp ▁teeth .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADJ ADJ NOUN VERB VERB ADP ADJ NOUN DET PROPN PROPN PROPN PROPN VERB PRON ADP DET NOUN NOUN VERB VERB VERB CCONJ VERB VERB ADV ADV ADV ADV VERB VERB ADJ ADJ NOUN CCONJ VERB VERB DET NOUN NOUN ADP ADJ ADJ NOUN NOUN
Before you get stuck into the	0 0 1 1 1 0	get stuck into	figurative	identical	ADP PRON VERB VERB ADP DET	▁Before ▁you ▁get ▁stuck ▁into ▁the	0 0 1 1 1 0	ADP PRON VERB VERB ADP DET
The boys and girls brought their buckets and spades and old clothes to get stuck into their task and are finding it a lot of fun.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	DET NOUN CCONJ NOUN VERB ADJ NOUN CCONJ NOUN CCONJ ADJ NOUN PART VERB VERB ADP ADJ NOUN CCONJ VERB VERB PRON DET NOUN ADP NOUN	▁The ▁boys ▁and ▁girls ▁brought ▁their ▁bucket s ▁and ▁sp ades ▁and ▁old ▁clothes ▁to ▁get ▁stuck ▁into ▁their ▁task ▁and ▁are ▁finding ▁it ▁a ▁lot ▁of ▁fun .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	DET NOUN CCONJ NOUN VERB ADJ NOUN NOUN CCONJ NOUN NOUN CCONJ ADJ NOUN PART VERB VERB ADP ADJ NOUN CCONJ VERB VERB PRON DET NOUN ADP NOUN NOUN
