More job losses are in the pipeline.	0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN NOUN VERB ADP DET NOUN	▁More ▁job ▁losses ▁are ▁in ▁the ▁pipeline .	0 0 0 0 1 0 1 1	ADJ NOUN NOUN VERB ADP DET NOUN NOUN
But a spokesman said there should be no need for further job cuts on top of 1,250 redundancies already in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ DET NOUN VERB ADV VERB VERB DET NOUN ADP ADJ NOUN NOUN ADP NOUN ADP NUM NOUN ADV ADP DET NOUN	▁But ▁a ▁spokesman ▁said ▁there ▁should ▁be ▁no ▁need ▁for ▁further ▁job ▁cuts ▁on ▁top ▁of ▁1 , 250 ▁redundancies ▁already ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ DET NOUN VERB ADV VERB VERB DET NOUN ADP ADJ NOUN NOUN ADP NOUN ADP NUM NUM NUM NOUN ADV ADP DET NOUN NOUN
This, thanks to the trainers and N.D.O., is all in the pipeline, with Taster Days and leaflets distributed to get a new training course off to a good start in Cambridge, this September.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET NOUN ADP DET NOUN CCONJ PROPN VERB DET ADP DET NOUN ADP PROPN PROPN CCONJ NOUN VERB PART VERB DET ADJ NOUN NOUN ADV ADP DET ADJ NOUN ADP PROPN DET PROPN	▁This , ▁thanks ▁to ▁the ▁trainers ▁and ▁N . D . O . , ▁is ▁all ▁in ▁the ▁pipeline , ▁with ▁T aster ▁Day s ▁and ▁leaflet s ▁distributed ▁to ▁get ▁a ▁new ▁training ▁course ▁off ▁to ▁a ▁good ▁start ▁in ▁Cambridge , ▁this ▁September .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET DET NOUN ADP DET NOUN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET ADP DET NOUN NOUN ADP PROPN PROPN PROPN PROPN CCONJ NOUN NOUN VERB PART VERB DET ADJ NOUN NOUN ADV ADP DET ADJ NOUN ADP PROPN PROPN DET PROPN PROPN
Other plans in the pipeline at that time included two new cutters, longer and beamier than Venturous, capable of high speeds and suitable for working the stormy waters of the north.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ NOUN ADP DET NOUN ADP DET NOUN VERB NUM ADJ NOUN ADV CCONJ ADJ ADP PROPN ADJ ADP ADJ NOUN CCONJ ADJ ADP VERB DET ADJ NOUN ADP DET NOUN	▁Other ▁plans ▁in ▁the ▁pipeline ▁at ▁that ▁time ▁included ▁two ▁new ▁cutter s , ▁longer ▁and ▁beam ier ▁than ▁Vent ur ous , ▁capable ▁of ▁high ▁speeds ▁and ▁suitable ▁for ▁working ▁the ▁storm y ▁waters ▁of ▁the ▁north .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN ADP DET NOUN ADP DET NOUN VERB NUM ADJ NOUN NOUN NOUN ADV CCONJ ADJ ADJ ADP PROPN PROPN PROPN PROPN ADJ ADP ADJ NOUN CCONJ ADJ ADP VERB DET ADJ ADJ NOUN ADP DET NOUN NOUN
It is important to note that amendments to the UK's insider dealing laws are in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PRON VERB ADJ PART VERB ADP NOUN ADP DET PROPN NOUN VERB NOUN VERB ADP DET NOUN	▁It ▁is ▁important ▁to ▁note ▁that ▁amendments ▁to ▁the ▁UK ' s ▁in sider ▁dealing ▁laws ▁are ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADJ PART VERB ADP NOUN ADP DET PROPN PROPN PROPN NOUN NOUN VERB NOUN VERB ADP DET NOUN NOUN
Administrator Denise Gilgallon said many exciting projects were in the pipeline.	0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN PROPN PROPN VERB ADJ ADJ NOUN VERB ADP DET NOUN	▁Administrator ▁Den ise ▁Gil gal lon ▁said ▁many ▁excit ing ▁projects ▁were ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN PROPN PROPN PROPN PROPN PROPN VERB ADJ ADJ ADJ NOUN VERB ADP DET NOUN NOUN
Erm which is points up a weakness there on the public relations side there I mean going back to their post share repurchase they said that they 'd got no new products in the pipeline, no research and development really sort of throwing anything up in the near future.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN ADJ VERB NOUN PART DET NOUN ADV ADP DET ADJ NOUN NOUN ADV PRON VERB VERB ADV ADP ADJ NOUN NOUN VERB PRON VERB ADP PRON VERB VERB DET ADJ NOUN ADP DET NOUN DET NOUN CCONJ NOUN ADV ADV ADV VERB NOUN PART ADP DET ADJ NOUN	▁E rm ▁which ▁is ▁points ▁up ▁a ▁weakness ▁there ▁on ▁the ▁public ▁relations ▁side ▁there ▁I ▁mean ▁going ▁back ▁to ▁their ▁post ▁share ▁repurchase ▁they ▁said ▁that ▁they ▁' d ▁got ▁no ▁new ▁products ▁in ▁the ▁pipeline , ▁no ▁research ▁and ▁development ▁really ▁sort ▁of ▁throw ing ▁anything ▁up ▁in ▁the ▁near ▁future .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN ADJ VERB NOUN PART DET NOUN ADV ADP DET ADJ NOUN NOUN ADV PRON VERB VERB ADV ADP ADJ NOUN NOUN VERB PRON VERB ADP PRON VERB VERB VERB DET ADJ NOUN ADP DET NOUN NOUN DET NOUN CCONJ NOUN ADV ADV ADV VERB VERB NOUN PART ADP DET ADJ NOUN NOUN
Three other superstore applications are in the planning pipeline for Bangor.	0 0 0 0 0 1 0 0 1 0 0	in the pipeline	figurative	insertion-other	NUM ADJ NOUN NOUN VERB ADP DET NOUN NOUN ADP PROPN	▁Three ▁other ▁super st ore ▁applications ▁are ▁in ▁the ▁planning ▁pipeline ▁for ▁B ang or .	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	NUM ADJ NOUN NOUN NOUN NOUN VERB ADP DET NOUN NOUN ADP PROPN PROPN PROPN PROPN
The city council has sixty prosecutions in the pipeline, including cases against B and Q and the Reject shop.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET NOUN NOUN VERB NUM NOUN ADP DET NOUN VERB NOUN ADP NOUN CCONJ PROPN CCONJ DET PROPN NOUN	▁The ▁city ▁council ▁has ▁sixty ▁prosecution s ▁in ▁the ▁pipeline , ▁including ▁cases ▁against ▁B ▁and ▁Q ▁and ▁the ▁Re ject ▁shop .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB NUM NOUN NOUN ADP DET NOUN NOUN VERB NOUN ADP NOUN CCONJ PROPN CCONJ DET PROPN PROPN NOUN NOUN
There is no sense in doing this, however, unless there is an order in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV VERB DET NOUN ADP VERB DET ADV ADP ADV VERB DET NOUN ADP DET NOUN	▁There ▁is ▁no ▁sense ▁in ▁doing ▁this , ▁however , ▁unless ▁there ▁is ▁an ▁order ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV VERB DET NOUN ADP VERB DET DET ADV ADV ADP ADV VERB DET NOUN ADP DET NOUN NOUN
And perhaps to placate Rhinehart before he sues, there is a documentary on the enigmatic American author in the pipeline, as well as Diary Of A Teenage Health Freak and a children's comedy, Jackson Pace.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	CCONJ ADV PART VERB PROPN ADP PRON VERB ADV VERB DET NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN ADV ADV ADP PROPN ADP PROPN PROPN PROPN PROPN CCONJ DET NOUN NOUN PROPN PROPN	▁And ▁perhaps ▁to ▁p lac ate ▁Rhine har t ▁before ▁he ▁sue s , ▁there ▁is ▁a ▁documentary ▁on ▁the ▁en ig matic ▁American ▁author ▁in ▁the ▁pipeline , ▁as ▁well ▁as ▁Di ary ▁Of ▁A ▁Te en age ▁Health ▁Fre ak ▁and ▁a ▁children ' s ▁come dy , ▁Jackson ▁P ace .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV PART VERB VERB VERB PROPN PROPN PROPN ADP PRON VERB VERB VERB ADV VERB DET NOUN ADP DET ADJ ADJ ADJ ADJ NOUN ADP DET NOUN NOUN ADV ADV ADP PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ DET NOUN NOUN NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN
Now, they haven't come yet, so erm presumably they 're in the pipeline are they?	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the pipeline	figurative	identical	ADV PRON VERB VERB ADV ADV ADV ADV PRON VERB ADP DET NOUN VERB PRON	▁Now , ▁they ▁have n ' t ▁come ▁yet , ▁so ▁er m ▁presum ably ▁they ▁' re ▁in ▁the ▁pipeline ▁are ▁they ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	ADV ADV PRON VERB VERB VERB VERB VERB ADV ADV ADV ADV ADV ADV ADV PRON VERB VERB ADP DET NOUN VERB PRON PRON
MORE BIG collaborative projects involving the government, academic researchers and industry are in the pipeline following the go - ahead given by British ministers this week to a £ 350 million programme in information technology.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ ADJ ADJ NOUN VERB DET NOUN ADJ NOUN CCONJ NOUN VERB ADP DET NOUN VERB DET NOUN PUNCT NOUN VERB ADP ADJ NOUN DET NOUN ADP DET SYM NUM NUM NOUN ADP NOUN NOUN	▁MORE ▁B IG ▁collaborative ▁projects ▁involving ▁the ▁government , ▁academic ▁researchers ▁and ▁industry ▁are ▁in ▁the ▁pipeline ▁following ▁the ▁go ▁- ▁ahead ▁given ▁by ▁British ▁ministers ▁this ▁week ▁to ▁a ▁£ ▁350 ▁million ▁programme ▁in ▁information ▁technology .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ ADJ NOUN VERB DET NOUN NOUN ADJ NOUN CCONJ NOUN VERB ADP DET NOUN VERB DET NOUN PUNCT NOUN VERB ADP ADJ NOUN DET NOUN ADP DET SYM NUM NUM NOUN ADP NOUN NOUN NOUN
Penal US duties on European steel, wheat and wine are already in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PROPN PROPN NOUN ADP ADJ NOUN NOUN CCONJ NOUN VERB ADV ADP DET NOUN	▁Pen al ▁US ▁duties ▁on ▁European ▁steel , ▁wheat ▁and ▁wine ▁are ▁already ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN NOUN ADP ADJ NOUN NOUN NOUN CCONJ NOUN VERB ADV ADP DET NOUN NOUN
In total one can only marvel at the numerous stations opened in the 1980s and it is pleasing to note that many more are in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP ADJ PRON VERB ADV VERB ADP DET ADJ NOUN VERB ADP DET NOUN CCONJ PRON VERB ADJ PART VERB ADP ADJ ADJ VERB ADP DET NOUN	▁In ▁total ▁one ▁can ▁only ▁mar vel ▁at ▁the ▁numerous ▁stations ▁opened ▁in ▁the ▁1980 s ▁and ▁it ▁is ▁plea s ing ▁to ▁note ▁that ▁many ▁more ▁are ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP ADJ PRON VERB ADV VERB VERB ADP DET ADJ NOUN VERB ADP DET NOUN NOUN CCONJ PRON VERB ADJ ADJ ADJ PART VERB ADP ADJ ADJ VERB ADP DET NOUN NOUN
Both the big store and the smaller, independent retailer will assess the stock carried and any national advertising programmes in the pipeline, before deciding what product to promote.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the pipeline	figurative	identical	DET DET ADJ NOUN CCONJ DET ADJ ADJ NOUN VERB VERB DET NOUN VERB CCONJ DET ADJ NOUN NOUN ADP DET NOUN ADP VERB ADJ NOUN PART VERB	▁Both ▁the ▁big ▁store ▁and ▁the ▁smaller , ▁independent ▁retailer ▁will ▁assess ▁the ▁stock ▁carried ▁and ▁any ▁national ▁advertising ▁programmes ▁in ▁the ▁pipeline , ▁before ▁deciding ▁what ▁product ▁to ▁promote .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	DET DET ADJ NOUN CCONJ DET ADJ ADJ ADJ NOUN VERB VERB DET NOUN VERB CCONJ DET ADJ NOUN NOUN ADP DET NOUN NOUN ADP VERB ADJ NOUN PART VERB VERB
We have a very exciting development in the pipeline : a completely new look Today's Horse.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PRON VERB DET ADV ADJ NOUN ADP DET NOUN PUNCT DET ADV ADJ NOUN PROPN NOUN	▁We ▁have ▁a ▁very ▁excit ing ▁development ▁in ▁the ▁pipeline ▁ : ▁a ▁completely ▁new ▁look ▁Today ' s ▁Horse .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADV ADJ ADJ NOUN ADP DET NOUN PUNCT PUNCT DET ADV ADJ NOUN PROPN PROPN PROPN NOUN NOUN
Djax - Up are currently releasing records faster than most people can note and, with at least another seven in the pipeline over the next two months, they continue to stop anybody standing in their way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PROPN PUNCT PROPN VERB ADV VERB NOUN ADV ADP ADJ NOUN VERB VERB CCONJ ADP ADV ADV DET NUM ADP DET NOUN ADP DET ADJ NUM NOUN PRON VERB PART VERB NOUN VERB ADP ADJ NOUN	▁D ja x ▁- ▁Up ▁are ▁currently ▁releas ing ▁records ▁faster ▁than ▁most ▁people ▁can ▁note ▁and , ▁with ▁at ▁least ▁another ▁seven ▁in ▁the ▁pipeline ▁over ▁the ▁next ▁two ▁months , ▁they ▁continue ▁to ▁stop ▁anybody ▁standing ▁in ▁their ▁way .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PUNCT PROPN VERB ADV VERB VERB NOUN ADV ADP ADJ NOUN VERB VERB CCONJ CCONJ ADP ADV ADV DET NUM ADP DET NOUN ADP DET ADJ NUM NOUN NOUN PRON VERB PART VERB NOUN VERB ADP ADJ NOUN NOUN
With new products such as these in the pipeline, chairman David Parker says the group's future is bright.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADP ADJ NOUN ADJ ADP DET ADP DET NOUN NOUN PROPN PROPN VERB DET NOUN NOUN VERB ADJ	▁With ▁new ▁products ▁such ▁as ▁these ▁in ▁the ▁pipeline , ▁chairman ▁David ▁Park er ▁says ▁the ▁group ' s ▁future ▁is ▁bright .	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN ADJ ADP DET ADP DET NOUN NOUN NOUN PROPN PROPN PROPN VERB DET NOUN NOUN NOUN NOUN VERB ADJ ADJ
Another 95 were being axed in 51 schools, with a possible 90 further redundancies in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET NUM VERB VERB VERB ADP NUM NOUN ADP DET ADJ NUM ADJ NOUN ADP DET NOUN	▁Another ▁95 ▁were ▁being ▁axe d ▁in ▁51 ▁schools , ▁with ▁a ▁possible ▁90 ▁further ▁redundancies ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NUM VERB VERB VERB VERB ADP NUM NOUN NOUN ADP DET ADJ NUM ADJ NOUN ADP DET NOUN NOUN
