I 'd wager she wishes she could turn tail and run already!’	0 0 0 0 0 0 0 1 1 0 0 0	turn tail	figurative	identical	PRON VERB VERB PRON VERB PRON VERB VERB NOUN CCONJ VERB NOUN	▁I ▁' d ▁wage r ▁she ▁wishes ▁she ▁could ▁turn ▁tail ▁and ▁run ▁already ! ’	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	PRON VERB VERB VERB VERB PRON VERB PRON VERB VERB NOUN CCONJ VERB NOUN NOUN NOUN
But if I said nothing, turned tail and ran from Gyggle, what hope was there for an ordinary life for Ian Wharton?	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	CCONJ ADP PRON VERB NOUN VERB NOUN CCONJ VERB ADP PROPN NOUN NOUN VERB ADV ADP DET ADJ NOUN ADP PROPN PROPN	▁But ▁if ▁I ▁said ▁nothing , ▁turned ▁tail ▁and ▁ran ▁from ▁Gy g gle , ▁what ▁hope ▁was ▁there ▁for ▁an ▁ordinary ▁life ▁for ▁I an ▁W har ton ?	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP PRON VERB NOUN NOUN VERB NOUN CCONJ VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN VERB ADV ADP DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN
I was so shocked I just turned tail and ran home as fast as I could.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	PRON VERB ADV ADJ PRON ADV VERB NOUN CCONJ VERB ADV ADV ADV ADP PRON VERB	▁I ▁was ▁so ▁shock ed ▁I ▁just ▁turned ▁tail ▁and ▁ran ▁home ▁as ▁fast ▁as ▁I ▁could .	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADJ ADJ PRON ADV VERB NOUN CCONJ VERB ADV ADV ADV ADP PRON VERB VERB
She wanted to turn tail and run and keep on running away from him, away from what she might discover, away from what could only break her heart, yet she knew that was impossible.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	identical	PRON VERB PART VERB NOUN CCONJ VERB CCONJ VERB PART VERB ADV ADP PRON ADV ADP NOUN PRON VERB VERB ADV ADP NOUN VERB ADV VERB ADJ NOUN CCONJ PRON VERB DET VERB ADJ	▁She ▁wanted ▁to ▁turn ▁tail ▁and ▁run ▁and ▁keep ▁on ▁running ▁away ▁from ▁him , ▁away ▁from ▁what ▁she ▁might ▁discover , ▁away ▁from ▁what ▁could ▁only ▁break ▁her ▁heart , ▁yet ▁she ▁knew ▁that ▁was ▁impossible .	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB NOUN CCONJ VERB CCONJ VERB PART VERB ADV ADP PRON PRON ADV ADP NOUN PRON VERB VERB VERB ADV ADP NOUN VERB ADV VERB ADJ NOUN NOUN CCONJ PRON VERB DET VERB ADJ ADJ
At the sight of windows lit against the gathering gloom she had a sudden desire to turn tail and run, to take refuge below in the Angharad.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	turn tail	figurative	identical	ADP DET NOUN ADP NOUN VERB ADP DET NOUN NOUN PRON VERB DET ADJ NOUN PART VERB NOUN CCONJ VERB PART VERB NOUN ADV ADP DET PROPN	▁At ▁the ▁sight ▁of ▁windows ▁lit ▁against ▁the ▁gathering ▁g loom ▁she ▁had ▁a ▁sudden ▁desire ▁to ▁turn ▁tail ▁and ▁run , ▁to ▁take ▁refuge ▁below ▁in ▁the ▁An g har ad .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP NOUN VERB ADP DET NOUN NOUN NOUN PRON VERB DET ADJ NOUN PART VERB NOUN CCONJ VERB VERB PART VERB NOUN ADV ADP DET PROPN PROPN PROPN PROPN PROPN
But er it wasn't long after that there was another big bang on the platform and they all sort of turned tail and went away for their own safety.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	turn tail	figurative	inflection	CCONJ INTJ PRON VERB ADV ADP ADP ADV VERB DET ADJ NOUN ADP DET NOUN CCONJ PRON DET ADV ADV VERB NOUN CCONJ VERB ADV ADP ADJ ADJ NOUN	▁But ▁er ▁it ▁was n ' t ▁long ▁after ▁that ▁there ▁was ▁another ▁big ▁ban g ▁on ▁the ▁platform ▁and ▁they ▁all ▁sort ▁of ▁turned ▁tail ▁and ▁went ▁away ▁for ▁their ▁own ▁safety .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	CCONJ INTJ PRON VERB VERB VERB VERB ADV ADP ADP ADV VERB DET ADJ NOUN NOUN ADP DET NOUN CCONJ PRON DET ADV ADV VERB NOUN CCONJ VERB ADV ADP ADJ ADJ NOUN NOUN
Stone Systems, the would - be Sparc merchant from Hong Kong ( UX No 358 ), has turned tail and fled the US marketplace shutting down its one American office last week.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	PROPN PROPN DET VERB PUNCT VERB PROPN NOUN ADP PROPN PROPN PUNCT PROPN PROPN NUM PUNCT VERB VERB NOUN CCONJ VERB DET PROPN NOUN VERB PART ADJ NUM ADJ NOUN ADJ NOUN	▁Stone ▁Systems , ▁the ▁would ▁- ▁be ▁Spa rc ▁merchant ▁from ▁Hong ▁Kong ▁( ▁ UX ▁No ▁358 ▁ ), ▁has ▁turned ▁tail ▁and ▁fled ▁the ▁US ▁marketplace ▁shutt ing ▁down ▁its ▁one ▁American ▁office ▁last ▁week .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN DET VERB PUNCT VERB PROPN PROPN NOUN ADP PROPN PROPN PUNCT PROPN PROPN PROPN NUM PUNCT PUNCT VERB VERB NOUN CCONJ VERB DET PROPN NOUN VERB VERB PART ADJ NUM ADJ NOUN ADJ NOUN NOUN
It looked at me in the kind of easy, assessing way dogs on their peculiar errands do look at strangers — and then looked again, and stopped dead : his hackles rose : he backed, he made a kind of howling noise, turned tail, and fled.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	turn tail	figurative	inflection	PRON VERB ADP PRON ADP DET NOUN ADP ADJ VERB NOUN NOUN ADP ADJ ADJ NOUN VERB VERB ADP NOUN PUNCT CCONJ ADV VERB ADV CCONJ VERB ADJ PUNCT ADJ NOUN VERB PUNCT PRON VERB PRON VERB DET NOUN ADP VERB NOUN VERB NOUN CCONJ VERB	▁It ▁looked ▁at ▁me ▁in ▁the ▁kind ▁of ▁easy , ▁assessing ▁way ▁dogs ▁on ▁their ▁peculiar ▁err and s ▁do ▁look ▁at ▁stranger s ▁ — ▁and ▁then ▁looked ▁again , ▁and ▁stopped ▁dead ▁ : ▁his ▁h ack les ▁rose ▁ : ▁he ▁backed , ▁he ▁made ▁a ▁kind ▁of ▁how ling ▁noise , ▁turned ▁tail , ▁and ▁fled .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	PRON VERB ADP PRON ADP DET NOUN ADP ADJ ADJ VERB NOUN NOUN ADP ADJ ADJ NOUN NOUN NOUN VERB VERB ADP NOUN NOUN PUNCT PUNCT CCONJ ADV VERB ADV ADV CCONJ VERB ADJ PUNCT PUNCT ADJ NOUN NOUN NOUN VERB PUNCT PUNCT PRON VERB VERB PRON VERB DET NOUN ADP VERB VERB NOUN NOUN VERB NOUN NOUN CCONJ VERB VERB
But the panic soon subsided, helped by the news that the Scots had already turned tail.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	turn tail	figurative	inflection	CCONJ DET NOUN ADV VERB VERB ADP DET NOUN ADP DET NOUN VERB ADV VERB NOUN	▁But ▁the ▁pan ic ▁soon ▁subsid ed , ▁helped ▁by ▁the ▁new s ▁that ▁the ▁Sc ots ▁had ▁already ▁turned ▁tail .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	CCONJ DET NOUN NOUN ADV VERB VERB VERB VERB ADP DET NOUN NOUN ADP DET NOUN NOUN VERB ADV VERB NOUN NOUN
With every nerve straining to turn tail and run, she 'd backed away as quietly as possible and once she was out of earshot raced back down to the beach to find the tide had turned.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	identical	ADP DET NOUN NOUN PART VERB NOUN CCONJ VERB PRON VERB VERB PART ADV ADV ADP ADJ CCONJ ADP PRON VERB ADP ADP NOUN VERB ADV ADV ADP DET NOUN PART VERB DET NOUN VERB VERB	▁With ▁every ▁nerve ▁strain ing ▁to ▁turn ▁tail ▁and ▁run , ▁she ▁' d ▁backed ▁away ▁as ▁quiet ly ▁as ▁possible ▁and ▁once ▁she ▁was ▁out ▁of ▁ears hot ▁race d ▁back ▁down ▁to ▁the ▁be ach ▁to ▁find ▁the ▁tide ▁had ▁turned .	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN NOUN PART VERB NOUN CCONJ VERB VERB PRON VERB VERB VERB PART ADV ADV ADV ADP ADJ CCONJ ADP PRON VERB ADP ADP NOUN NOUN VERB VERB ADV ADV ADP DET NOUN NOUN PART VERB DET NOUN VERB VERB VERB
I like to think it was the gun in my bunker that hit it and forced the pilot to turn tail and dump his bombs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	turn tail	figurative	identical	PRON VERB PART VERB PRON VERB DET NOUN ADP ADJ NOUN ADJ VERB PRON CCONJ VERB DET NOUN PART VERB NOUN CCONJ VERB ADJ NOUN	▁I ▁like ▁to ▁think ▁it ▁was ▁the ▁gun ▁in ▁my ▁bunker ▁that ▁hit ▁it ▁and ▁forced ▁the ▁pilot ▁to ▁turn ▁tail ▁and ▁dump ▁his ▁bomb s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	PRON VERB PART VERB PRON VERB DET NOUN ADP ADJ NOUN ADJ VERB PRON CCONJ VERB DET NOUN PART VERB NOUN CCONJ VERB ADJ NOUN NOUN NOUN
