On the face of it, the decision in three cases suggests that the reader's client has little hope.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN ADP NUM NOUN VERB ADP DET NOUN NOUN VERB ADJ NOUN
On the face of it it looks very much as though this is erm very little social justice	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB ADV ADV ADP ADP DET VERB ADV ADV ADJ ADJ NOUN
But on the face of it, Borg is preeminent within that small category of sportsmen — they are almost invariably men, because women are at least offered an alternative role by Nature — whose existence seems entirely bound up with their success.	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ ADP DET NOUN ADP PRON PROPN VERB NOUN ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB ADV ADV NOUN ADP NOUN VERB ADP ADJ VERB DET ADJ NOUN ADP NOUN PUNCT ADJ NOUN VERB ADV VERB PART ADP ADJ NOUN
The report to the DTI was due to be published shortly anyway, so, on the face of it, its premature appearance may not seem too important.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN ADP DET PROPN VERB ADJ PART VERB VERB ADV ADV ADV ADP DET NOUN ADP PRON ADJ ADJ NOUN VERB ADV VERB ADV ADJ
On the face of it, the penis could not be more uncomplicated and our demands on it could not be more reasonable.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB ADV VERB ADV ADJ CCONJ ADJ NOUN ADP PRON VERB ADV VERB ADV ADJ
Rockhoppers nearly always nest in colonies up on the tops of cliffs, sometimes 30 metres above the sea, which, on the face of it, seems a daft place for a bird which can not fly!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	NOUN ADV ADV VERB ADP NOUN PART ADP DET NOUN ADP NOUN ADV NUM NOUN ADP DET NOUN ADJ ADP DET NOUN ADP PRON VERB DET NOUN NOUN ADP DET NOUN ADJ VERB ADV VERB
On the face of it, if such increased levels of maintenance can be collected from many more absent parents, then it looks as if lone mothers stand to gain quite substantially.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADP ADJ ADJ NOUN ADP NOUN VERB VERB VERB ADP ADJ ADJ ADJ NOUN ADV PRON VERB ADP ADP ADJ NOUN VERB PART VERB ADV ADV
On the face of it, green - job creation seems straightforward.	1 0 1 1 1 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADJ PUNCT NOUN NOUN VERB ADJ
This does not seem to me a very sensible strategy, because on the face of it these ideas would appear to be of potential relevance to pedagogic practice.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET VERB ADV VERB ADP PRON DET ADV ADJ NOUN ADP ADP DET NOUN ADP PRON DET NOUN VERB VERB PART VERB ADP ADJ NOUN ADP ADJ NOUN
There seems, on the face of it, no reason why there should not be an aftermarket in release allocations.’	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADV VERB ADP DET NOUN ADP PRON DET NOUN ADV ADV VERB ADV VERB DET NOUN ADP NOUN NOUN
Any asset sale which is not commercially justifiable as being in the interests of the vendor as a whole will, on the face of it, be a breach of the duties of the directors of the vendor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN NOUN ADJ VERB ADV ADV ADJ ADP VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADP DET NOUN ADP PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN
Of these,(i ) was on the face of it within the scope of the US Navy task force deployed in the Indian Ocean and led by an aircraft carrier.	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP NOUN PUNCT VERB ADP DET NOUN ADP PRON ADP DET NOUN ADP DET PROPN PROPN NOUN NOUN VERB ADP DET PROPN PROPN CCONJ VERB ADP DET NOUN NOUN
On the face of it, there was an enviable simplicity about Armstrong's own view.	1 0 1 1 1 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADV VERB DET ADJ NOUN ADP PROPN ADJ NOUN
Our citizens can not accept that the European ~ Union takes decisions in a way that is, at ~ least on the face of it, bureaucratic.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0	on the face of it	figurative	identical	ADJ NOUN VERB ADV VERB ADP DET PROPN PUNCT PROPN VERB NOUN ADP DET NOUN ADJ VERB ADP PUNCT ADJ ADP DET NOUN ADP PRON ADJ
On the face of it, it is easy to sympathise with the president's view that ' as a sovereign state, ' Kenya will no longer accept ' any form of economic arm - twisting from any quarter. '	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB ADJ PART VERB ADP DET NOUN NOUN ADP PUNCT ADP DET ADJ NOUN PUNCT PROPN VERB ADV ADV VERB PUNCT DET NOUN ADP ADJ NOUN PUNCT VERB ADP DET NOUN PUNCT
On the face of it, leys are ideally suited to a statistical approach.	1 0 1 1 1 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON NOUN VERB ADV VERB ADP DET ADJ NOUN
On the face of it, however, this does not seem to favour an anti - correctionalist position, but rather a redirection of its focus from lower - to upper - class crime.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADV DET VERB ADV VERB PART VERB DET ADV PUNCT NOUN NOUN CCONJ ADV DET NOUN ADP ADJ NOUN ADP ADJ PUNCT ADP ADJ PUNCT NOUN NOUN
On the face of it this seems to be a good idea : one frequently voiced criticism of comprehensive education is that all pupils have been forced to follow a grammar - school curriculum.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB PART VERB DET ADJ NOUN PUNCT NOUN ADV VERB NOUN ADP ADJ NOUN VERB ADP DET NOUN VERB VERB VERB PART VERB DET NOUN PUNCT NOUN NOUN
On the face of it, it may seem that these two approaches can be made to coincide as long as the rules are drawn up to reflect the facts.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB VERB ADP DET NUM NOUN VERB VERB VERB PART VERB ADV ADV ADP DET NOUN VERB VERB PART PART VERB DET NOUN
On the face of it, this could only be a good thing.	1 0 1 1 1 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB ADV VERB DET ADJ NOUN
On the face of it, this criticism carries the day against any rule utilitarianism which is genuinely distinguishable from act utilitarianism.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB DET NOUN ADP DET NOUN NOUN ADJ VERB ADV ADJ ADP NOUN NOUN
If I only ever give you one piece of advice in life — which is highly likely on the face of it — it's stay away from that man.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP PRON ADV ADV VERB PRON NUM NOUN ADP NOUN ADP NOUN PUNCT ADJ VERB ADV ADJ ADP DET NOUN ADP PRON PUNCT PRON VERB ADV ADP DET NOUN
It is on the face of it a very simple amendment to a quite a small and in some sense insignificant piece of legislation that isn't, erm I hope members would agree that by changing that piece of legislation to say that if you 're a trader you must display who you are and how people can get hold of you if the have a problem about products they buy from you, will not be too burdensome erm in these days of deregulation and so forth but on the other hand would help enforcements considerably and would also enable people to pursue their own remedies where they are dissatisfied with what they bought.	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PRON VERB ADP DET NOUN ADP PRON DET ADV ADJ NOUN ADP DET ADV DET ADJ CCONJ ADP DET NOUN ADJ NOUN ADP NOUN ADJ VERB INTJ PRON VERB NOUN VERB VERB ADP ADP VERB DET NOUN ADP NOUN PART VERB ADP ADP PRON VERB DET NOUN PRON VERB VERB NOUN PRON VERB CCONJ ADV NOUN VERB VERB NOUN ADP PRON ADP DET VERB DET NOUN ADP NOUN PRON VERB ADP PRON VERB ADV VERB ADV ADJ NOUN ADP DET NOUN ADP NOUN CCONJ ADV ADV CCONJ ADP DET ADJ NOUN VERB VERB NOUN ADV CCONJ VERB ADV VERB NOUN PART VERB ADJ ADJ NOUN ADV PRON VERB ADJ ADP NOUN PRON VERB
On the face of it, Vietnam's exit is good news.	1 0 1 1 1 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PROPN NOUN VERB ADJ NOUN
On the face of it, this is a very substantial flow of funds, being approximately twice the increase in building society funds.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB DET ADV ADJ NOUN ADP NOUN VERB ADV ADJ DET NOUN ADP VERB NOUN NOUN
This seems a contradiction on the face of it.	0 0 0 0 1 0 1 1 1	on the face of it	figurative	identical	DET VERB DET NOUN ADP DET NOUN ADP PRON
In the sense that, in a way going on from what I was saying on the face of it south China ought to be the area where land reform will be easiest to achieve in the sense that here you 've got a society which is landlord dominated, heavily landlord dominated and therefore w where one would expect that the antagonism, antagonisms between landlords and tenants would be at their greatest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP DET NOUN ADP ADP DET NOUN VERB PART ADP NOUN PRON VERB VERB ADP DET NOUN ADP PRON ADV PROPN VERB PART VERB DET NOUN ADV NOUN NOUN VERB VERB ADJ PART VERB ADP DET NOUN ADP ADV PRON VERB VERB DET NOUN ADJ VERB NOUN VERB ADV NOUN VERB CCONJ ADV PUNCT ADV PRON VERB VERB ADP DET NOUN NOUN ADP NOUN CCONJ NOUN VERB VERB ADP ADJ ADJ
My Lords the my er justification for that is of course that particular clause in the Bill which my amendments seeks to seeks to change both are I admit on the face of it entirely incomprehensible.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0	on the face of it	figurative	identical	ADJ PROPN DET ADJ INTJ NOUN ADP DET VERB ADP NOUN ADP ADJ NOUN ADP DET PROPN ADJ ADJ NOUN VERB ADP NOUN PART VERB DET VERB PRON VERB ADP DET NOUN ADP PRON ADV ADJ
On the face of it one might say that an upstanding, law - abiding trade should have nothing to fear where this is concerned ; they should simply not deal in masterpieces without a provenance.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB VERB ADP DET NOUN NOUN PUNCT VERB NOUN VERB VERB NOUN PART VERB ADV DET VERB VERB PUNCT PRON VERB ADV ADV VERB ADP NOUN ADP DET NOUN
On the face of it, the crown had a very raw deal.	1 0 1 1 1 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB DET ADV ADJ NOUN
On the face of it section 6 of the 1980 Act has added little in the way of parental rights to section 76 of the 1944 Act.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON NOUN NUM ADP DET NUM PROPN VERB VERB ADJ ADP DET NOUN ADP ADJ NOUN ADP NOUN NUM ADP DET NUM PROPN
When the skilled manager encounters what, on the face of it, is an intolerable set of work practices, attitudes and performance he does not necessarily take drastic action, he identifies the natural processes of change and accelerates them.	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADV DET ADJ NOUN VERB NOUN ADP DET NOUN ADP PRON VERB DET ADJ NOUN ADP NOUN NOUN NOUN CCONJ NOUN PRON VERB ADV ADV VERB ADJ NOUN PRON VERB DET ADJ NOUN ADP NOUN CCONJ VERB PRON
Lewis added : ' On the face of it … the decision does look heartless because Morris has natural aspirations to captain England and his own county appear to be cutting them down.	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	PROPN VERB PUNCT PUNCT ADP DET NOUN ADP PRON PUNCT DET NOUN VERB VERB NOUN ADP PROPN VERB ADJ NOUN PART VERB PROPN CCONJ ADJ ADJ NOUN VERB PART VERB VERB PRON PART
On the face of it, this is a month when you should be concentrating on your future and accepting your share of the limelight.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB DET NOUN ADV PRON VERB VERB VERB ADP ADJ NOUN CCONJ VERB ADJ NOUN ADP DET NOUN
On the face of it they may appear to do little more than give effect to the government's consistent promise to maximise the opportunities for parental choice in the education system.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB VERB PART VERB ADJ ADJ ADP VERB NOUN ADP DET NOUN ADJ NOUN PART VERB DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN
If by " meaning " is understood the objective content of linguistic utterances, or what might also be called their " objective thought - content " ( I shall discuss later the " historical ", performative aspects of such utterances ), then, on the face of it at least, there seems to be nothing odd or improper in making identifying cross - references to meanings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP ADP PUNCT NOUN PUNCT VERB VERB DET ADJ NOUN ADP ADJ NOUN CCONJ NOUN VERB ADV VERB VERB ADJ PUNCT ADJ NOUN PUNCT NOUN PUNCT PUNCT PRON VERB VERB ADV DET PUNCT ADJ PUNCT ADJ NOUN ADP ADJ NOUN PUNCT ADV ADP DET NOUN ADP PRON ADP ADJ ADV VERB PART VERB NOUN ADJ CCONJ ADJ ADP VERB VERB NOUN PUNCT NOUN ADP NOUN
Nor is ‘ bottom’ the only foundation on which Mr Smith's claim to the succession rests : a heart attack may not, on the face of it, appear to be an especially useful item in a would - be prime minister's CV.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ VERB PUNCT NOUN DET ADJ NOUN ADP ADJ PROPN PROPN NOUN ADP DET NOUN VERB PUNCT DET NOUN NOUN VERB ADV ADP DET NOUN ADP PRON VERB PART VERB DET ADV ADJ NOUN ADP DET VERB PUNCT VERB ADJ NOUN PROPN
On the face of it there was no cause for concern.	1 0 1 1 1 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADV VERB DET NOUN ADP NOUN
Yet yesterday's appointment of Howard Kendall as manager seems, on the face of it, one of the most rational and sensible moves the Blues have made in recent years.	0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ NOUN NOUN ADP PROPN PROPN ADP NOUN VERB ADP DET NOUN ADP PRON NUM ADP DET ADV ADJ CCONJ ADJ NOUN DET NOUN VERB VERB ADP ADJ NOUN
The two men knew each other much better now but, on the face of it, despite their joint passion for Sherlock Holmes and Eliot's reliance upon Hayward's editorial skills ( not only did he inspect the poetry, but he also removed social malapropisms from the drama ), they were an oddly matched pair.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NUM NOUN VERB DET ADJ ADV ADJ ADV CCONJ ADP DET NOUN ADP PRON ADP ADJ ADJ NOUN ADP PROPN PROPN CCONJ PROPN NOUN ADP PROPN NOUN NOUN PUNCT ADV ADV VERB PRON VERB DET NOUN CCONJ PRON ADV VERB ADJ NOUN ADP DET NOUN PUNCT PRON VERB DET ADV VERB NOUN
