Er and they thought of, I mean they thought the world of their their animals and but	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	think the world of	figurative	inflection	INTJ CCONJ PRON VERB ADP PRON VERB PRON VERB DET NOUN ADP ADJ ADJ NOUN CCONJ CCONJ
To Fabia, who thought the world of her, this latest interview was further proof of how good at her job Cara was.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	ADP PROPN NOUN VERB DET NOUN ADP PRON DET ADJ NOUN VERB ADJ NOUN ADP ADV ADJ ADP ADJ NOUN PROPN VERB
Teenage magazines often have stories about girls who fall in love with handsome, exciting young men who don't care for them at all while ignoring the nice, but rather ordinary, boy - next - door who thinks the world of them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	inflection	ADJ NOUN ADV VERB NOUN ADP NOUN NOUN VERB ADP NOUN ADP ADJ ADJ ADJ NOUN NOUN VERB VERB ADP PRON ADV ADV ADP VERB DET ADJ CCONJ ADV ADJ NOUN PUNCT ADJ PUNCT NOUN NOUN VERB DET NOUN ADP PRON
Constanza seemed all right, and I could see that he thought the world of her.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	inflection	PROPN VERB ADV ADJ CCONJ PRON VERB VERB ADP PRON VERB DET NOUN ADP PRON
‘ My mother thought the world of her.	0 0 0 1 0 1 1 0	think the world of	figurative	inflection	PUNCT ADJ NOUN VERB DET NOUN ADP PRON
So I mostly chose Uncle Bill because I thought the world of him, but I was cunning enough to go to Uncle Geordie's about every fourth week.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	CCONJ PRON ADV VERB PROPN PROPN ADP PRON VERB DET NOUN ADP PRON CCONJ PRON VERB ADJ ADV PART VERB ADP PROPN PROPN ADV DET ADJ NOUN
They think the world of him at the Northern.	0 1 0 1 1 0 0 0 0	think the world of	figurative	identical	PRON VERB DET NOUN ADP PRON ADP DET PROPN
The thing that made Lee Marvin such a perfect rogue is that, despite all the stories of his being drunk on the set and causing producers to have palpitations, there is probably no single director or actor who worked with him who didn't think the world of him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	identical	DET NOUN ADJ VERB PROPN PROPN ADJ DET ADJ NOUN VERB ADP ADP ADJ DET NOUN ADP ADJ VERB ADJ ADP DET NOUN CCONJ VERB NOUN PART VERB NOUN ADV VERB ADV DET ADJ NOUN CCONJ NOUN NOUN VERB ADP PRON NOUN VERB VERB DET NOUN ADP PRON
My children think the world of their gerbil.	0 0 1 0 1 1 0 0	think the world of	literal	identical	ADJ NOUN VERB DET NOUN ADP ADJ NOUN
‘ They know each other well and the prince thinks the world of her but their relationship is purely platonic,’ she said.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	PUNCT PRON VERB DET ADJ NOUN CCONJ DET NOUN VERB DET NOUN ADP PRON CCONJ ADJ NOUN VERB ADV X PRON VERB
It was obvious to Juliet that she thought the world of David.	0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	inflection	PRON VERB ADJ ADP PROPN ADP PRON VERB DET NOUN ADP PROPN
‘ Daddy's always thought the world of you, and I know Mummy likes you.	0 0 0 1 0 1 1 0 0 0 0 0 0 0	think the world of	figurative	inflection	PUNCT NOUN ADV VERB DET NOUN ADP PRON CCONJ PRON VERB PROPN VERB PRON
I can't see your face when you sit in that comer,’ said Bella. ‘ — You thought the world of that Simon, didn't you?— I know just what it's like.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	PRON VERB VERB ADJ NOUN ADV PRON VERB ADP DET PROPN VERB PROPN PUNCT PUNCT PRON VERB DET NOUN ADP DET PROPN VERB VERB PRON VERB ADV NOUN PRON ADP
Pretty perennial plants : BBC Gardeners ' World editor Pasco thinks the world of globe artichokes	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	think the world of	figurative	inflection	ADV ADJ NOUN PUNCT PROPN PROPN PART PROPN NOUN PROPN VERB DET NOUN ADP NOUN NOUN
We have two children, aged eight and six, and I know my husband thinks the world of them, but he is carrying on living the life of a single man, with no thought for me.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	PRON VERB NUM NOUN VERB NUM CCONJ NUM CCONJ PRON VERB ADJ NOUN VERB DET NOUN ADP PRON CCONJ PRON VERB VERB ADP VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP PRON
Then she said, with apparent irrelevance : ‘ Those two lassies, they think the world of you.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	identical	ADV PRON VERB ADP ADJ NOUN PUNCT PUNCT DET NUM NOUN PRON VERB DET NOUN ADP NOUN
‘ He thought the world of the shop, I couldn't have told him to retire because it meant everything to him.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	PUNCT PRON VERB DET NOUN ADP DET NOUN PRON VERB VERB VERB PRON PART VERB ADP PRON VERB NOUN ADP PRON
Annabel thinks the world of her.’	0 1 0 1 1 0	think the world of	figurative	inflection	PROPN VERB DET NOUN ADP NOUN
Everyone thought the world of her.’	0 1 0 1 1 0	think the world of	figurative	inflection	NOUN VERB DET NOUN ADP NOUN
If you think the world of modelling is all glamour and nothing like hard work, think again.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	identical	ADP PRON VERB DET NOUN ADP NOUN VERB DET NOUN CCONJ NOUN ADP ADJ NOUN VERB ADV
I think the world of him.’	0 1 0 1 1 0	think the world of	figurative	identical	PRON VERB DET NOUN ADP NOUN
No wonder Jack Charlton thinks the world of his defenders.	0 0 0 0 1 0 1 1 0 0	think the world of	figurative	inflection	DET NOUN PROPN PROPN VERB DET NOUN ADP ADJ NOUN
I 'm sure you have perfectly good adoptive parents who think the world of you.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	identical	PRON VERB ADJ PRON VERB ADV ADJ ADJ NOUN NOUN VERB DET NOUN ADP PRON
‘ He 'll be in touch, Lizzy, he thinks the world of you.’	0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	inflection	PUNCT PRON VERB VERB ADP NOUN PROPN PRON VERB DET NOUN ADP NOUN
Hugh Stoddart has also written scripts for BEGGING THE RING, THE TRESPASSER, TO THE LIGHTHOUSE, HARD TRAVELLING and WE THINK THE WORLD OF YOU.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	case	PROPN PROPN VERB ADV VERB NOUN ADP VERB DET NOUN DET PROPN ADP DET NOUN ADJ NOUN CCONJ PRON VERB DET NOUN ADP PRON
And they both think the world of Heather.	0 0 0 1 0 1 1 0	think the world of	figurative	identical	CCONJ PRON DET VERB DET NOUN ADP PROPN
She thought the world of him.	0 1 0 1 1 0	think the world of	figurative	inflection	PRON VERB DET NOUN ADP PRON
I thought the world of my father.	0 1 0 1 1 0 0	think the world of	figurative	inflection	PRON VERB DET NOUN ADP ADJ NOUN
I 'm 40, I 've been living with my fiancé, who's the same age, for three years and I think the world of him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	identical	PRON VERB NUM PRON VERB VERB VERB ADP ADJ NOUN NOUN DET ADJ NOUN ADP NUM NOUN CCONJ PRON VERB DET NOUN ADP PRON
‘ He did everything for that dog and thought the world of him.	0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	inflection	PUNCT PRON VERB NOUN ADP DET NOUN CCONJ VERB DET NOUN ADP PRON
And yet, you know, he's, he's marv, he's super and they think the world of him	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	think the world of	figurative	identical	CCONJ ADV PRON VERB PRON PRON ADJ PRON ADJ CCONJ PRON VERB DET NOUN ADP PRON
