It 'll be out of order then though	0 0 0 1 1 1 0 0	out of order	figurative	identical	PRON VERB VERB ADP ADP NOUN ADV ADP
Hi, there,’ he was trying the role for size, ‘ your telephone's been reported out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	INTJ ADJ PRON VERB VERB DET NOUN ADP NOUN PUNCT ADJ NOUN VERB VERB ADP ADP NOUN
It's out of order.	0 1 1 1	out of order	figurative	identical	PRON ADP ADP NOUN
That's out of order.	0 1 1 1	out of order	figurative	identical	DET ADP ADP NOUN
I had never been in the lift since moving — either it was out of order or I could smell the putrid stench seeping out into the lobby and avoided it.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB ADV VERB ADP DET NOUN ADP VERB PUNCT CCONJ PRON VERB ADP ADP NOUN CCONJ PRON VERB VERB DET NOUN NOUN VERB PART ADP DET NOUN CCONJ VERB PRON
It was ruled out of order by the Standing Orders Committee as it fell foul of rule A three, the subject was within the remit of Congress.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB VERB ADP ADP NOUN ADP DET PROPN PROPN PROPN ADP PRON VERB ADV ADP NOUN DET NUM DET NOUN VERB ADP DET NOUN ADP PROPN
really out of order.	0 1 1 1	out of order	figurative	identical	ADV ADP ADP NOUN
I didn't mention that my facts were slightly out of their proper order.	0 0 0 0 0 0 0 0 1 1 0 0 1	out of order	literal	insertion-other	PRON VERB VERB ADP ADJ NOUN VERB ADV ADP ADP ADJ ADJ NOUN
Having made two journeys to India and stayed with Indian friends there, I did not find the quote at all out of order, and to me the emphasis naturally fell on the words ' now that their lives have been ruined ' rather than the five preceding words.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	VERB VERB NUM NOUN ADP PROPN CCONJ VERB ADP ADJ NOUN ADV PRON VERB ADV VERB DET NOUN ADV ADV ADP ADP NOUN CCONJ ADP PRON DET NOUN ADV VERB ADP DET NOUN PUNCT ADV ADP ADJ NOUN VERB VERB VERB PUNCT ADV ADP DET NUM VERB NOUN
She spotted the out - of - order phone box and drew up beside it.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	out of order	figurative	dashes	PRON VERB DET ADJ PUNCT ADP PUNCT NOUN NOUN NOUN CCONJ VERB PART ADP PRON
So you might be out - of - order in speaking, in fact.	0 0 0 0 1 0 1 0 1 0 0 0 0	out of order	figurative	dashes	ADV PRON VERB VERB ADV PUNCT ADP PUNCT NOUN ADP VERB ADP NOUN
That was out of order that	0 0 1 1 1 0	out of order	figurative	identical	DET VERB ADP ADP NOUN ADP
The main rule is : don't suppress conflict by declaring it out of order.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	DET ADJ NOUN VERB PUNCT VERB VERB NOUN ADP VERB PRON ADP ADP NOUN
maintenance / inspection of the escalators was not performed properly ; much of the equipment in the control room was out of order	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	NOUN SYM NOUN ADP DET NOUN VERB ADV VERB ADV PUNCT ADJ ADP DET NOUN ADP DET NOUN NOUN VERB ADP ADP NOUN
‘ Lavatories out of order.	0 0 1 1 1	out of order	figurative	identical	PUNCT NOUN ADP ADP NOUN
And Paul comes up to him and says, you 're totally wrong, out of order here Peter, erm you know what, what you know I mean you 're afraid, that's, that's your problem.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	CCONJ PROPN VERB PART ADP PRON CCONJ VERB PRON VERB ADV ADJ ADP ADP NOUN ADV PROPN ADV PRON VERB NOUN NOUN PRON VERB PRON VERB PRON VERB ADJ DET DET ADJ NOUN
We 're out of order.’	0 0 1 1 1	out of order	figurative	dashes	PRON VERB ADP ADP NOUN
Oh yes, I can see what you 've done, I tried to ring you and it said erm out of order, cos I was ringing to say I 'm coming to the bank this morning so I 'll pop in for coffee.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	INTJ INTJ PRON VERB VERB NOUN PRON VERB VERB PRON VERB PART VERB PRON CCONJ PRON VERB ADV ADP ADP NOUN ADP PRON VERB VERB PART VERB PRON VERB VERB ADP DET NOUN DET NOUN ADV PRON VERB VERB ADV ADP NOUN
‘ The phone's been out of order all week, and the man who came to mend it has broken a lamp I was very fond of.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PUNCT DET NOUN VERB ADP ADP NOUN DET NOUN CCONJ DET NOUN NOUN VERB PART VERB PRON VERB VERB DET NOUN PRON VERB ADV ADJ ADP
It does not ratify the Maastricht Treaty and any political discussion about whether it should or not is out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PRON VERB ADV VERB DET PROPN PROPN CCONJ DET ADJ NOUN ADP ADP PRON VERB CCONJ ADV VERB ADP ADP NOUN
Cos he's well out of order, when you, were you there when he was	0 0 0 1 1 1 0 0 0 0 0 0 0 0	out of order	figurative	identical	NOUN PRON ADV ADP ADP NOUN ADV PRON VERB PRON ADV ADV PRON VERB
That's out of order that is, the girls go mental over that.	0 1 1 1 0 0 0 0 0 0 0 0	out of order	figurative	identical	DET ADP ADP NOUN ADJ ADV DET NOUN VERB ADJ ADP DET
mail on the list is getting more and more out of order every day.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	out of order	figurative	identical	NOUN ADP DET NOUN VERB VERB ADJ CCONJ ADV ADP ADP NOUN DET NOUN
‘ I know what happened at Leeds and he was out of order.	0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PUNCT PRON VERB NOUN VERB ADP PROPN CCONJ PRON VERB ADP ADP NOUN
Many telephones were out of order, and rail services were disrupted by damage to the line at Deganwy.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADJ NOUN VERB ADP ADP NOUN CCONJ NOUN NOUN VERB VERB ADP NOUN ADP DET NOUN ADP PROPN
Her face twisting with anger and bitterness, she spat at her brother, ‘ Oh, yes, the classic trick — lead me on until I say something really out of order!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	ADJ NOUN VERB ADP NOUN CCONJ NOUN PRON VERB ADP ADJ NOUN PUNCT INTJ INTJ DET ADJ NOUN PUNCT VERB PRON PART ADP PRON VERB NOUN ADV ADP ADP NOUN
But when it was discussed by councillors, a move to censure him was ruled out of order by the convener, Jackie Tait.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out of order	figurative	identical	CCONJ ADV PRON VERB VERB ADP NOUN DET NOUN PART VERB PRON VERB VERB ADP ADP NOUN ADP DET NOUN PROPN PROPN
out of order.	1 1 1	out of order	figurative	identical	ADP ADP NOUN
I know of certain coal - mines near Kharkov which were fired and flooded by their owners, of textile factories at Moscow whose engineers put the machinery out of order when they left, of railroad officials caught by the workers in the act of crippling locomotives ....	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB ADP ADJ NOUN PUNCT NOUN ADP PROPN ADJ VERB VERB CCONJ VERB ADP ADJ NOUN ADP ADJ NOUN ADP PROPN ADJ NOUN VERB DET NOUN ADP ADP NOUN ADV PRON VERB ADP NOUN NOUN VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN PUNCT
I think you 're being a bit out of order there old boy.	0 0 0 0 0 0 0 1 1 1 0 0 0	out of order	figurative	identical	PRON VERB PRON VERB VERB DET NOUN ADP ADP NOUN ADV ADJ NOUN
Yet, I always conclude, it might have seemed strange and unnatural to have shown too much feeling ; strange, and perhaps embarrassing and out of order, I being somewhat far down in the family hierarchy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADV PRON ADV VERB PRON VERB VERB VERB ADJ CCONJ ADJ PART VERB VERB ADV ADJ NOUN PUNCT ADJ CCONJ ADV ADJ CCONJ ADP ADP NOUN PRON VERB ADV ADV ADV ADP DET NOUN NOUN
This puts the Law literally and metaphorically on the side of the blacks, who are also deemed ‘ out of order’ for having broken the rules of a fair fight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out of order	figurative	dashes	DET VERB DET PROPN ADV CCONJ ADV ADP DET NOUN ADP DET NOUN NOUN VERB ADV VERB PRON ADP ADP NOUN ADP VERB VERB DET NOUN ADP DET ADJ NOUN
I also remember that on that occasion some cautious, niggly comments circulated, suggesting that it was somehow out of order to rejoice in this magnificent sound.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of order	figurative	identical	PRON ADV VERB ADP ADP DET NOUN DET ADJ ADV NOUN VERB VERB ADP PRON VERB ADV ADP ADP NOUN PART VERB ADP DET ADJ NOUN
For instance, if in constitutional law you are directed to write a note on the ‘ kangaroo ’(a method of curtailing discussion in the House of Commons ), a discussion of the closure and guillotine ( two other methods of curtailing discussion ) would generally be out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	ADP NOUN ADP ADP ADJ NOUN PRON VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADJ NOUN ADP VERB NOUN ADP DET PROPN ADP PROPN PUNCT DET NOUN ADP DET NOUN CCONJ NOUN PUNCT NUM ADJ NOUN ADP VERB NOUN PUNCT VERB ADV VERB ADP ADP NOUN
Joe Harris, chairman of Darlington LVA and landlord of the Half Moon at Barton, described the idea of cafe licenses as ‘ totally out of order’ as the increase in competition would hit hard pressed publicans.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	out of order	figurative	dashes	PROPN PROPN NOUN ADP PROPN PROPN CCONJ NOUN ADP DET PROPN PROPN ADP PROPN VERB DET NOUN ADP NOUN NOUN ADP PUNCT ADV ADP ADP NOUN ADP DET NOUN ADP NOUN VERB VERB ADV VERB NOUN
Well out of order, the thing is if that 'd been, if that 'd been another troop trying to do it to him, there would of been, there would of been shit	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	INTJ ADP ADP NOUN DET NOUN VERB ADP DET VERB VERB ADP DET VERB VERB DET NOUN VERB PART VERB PRON ADP PRON ADV VERB VERB VERB ADV VERB VERB VERB NOUN
But you and your gran are out of order with your plotting.	0 0 0 0 0 0 1 1 1 0 0 0	out of order	figurative	identical	CCONJ PRON CCONJ ADJ NOUN VERB ADP ADP NOUN ADP ADJ NOUN
Which was completely out of order.	0 0 0 1 1 1	out of order	figurative	identical	ADJ VERB ADV ADP ADP NOUN
‘ As for me, I think he was tougher because I was a girl — one who felt that any kind of talkback would have just been out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PUNCT ADP ADP PRON PRON VERB PRON VERB ADJ ADP PRON VERB DET NOUN PUNCT NUM NOUN VERB ADP DET NOUN ADP NOUN VERB VERB ADV VERB ADP ADP NOUN
Cos I don't reckon we should go and call on her cos that's a bit out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	NOUN PRON VERB VERB PRON VERB VERB CCONJ VERB ADP PRON ADP DET DET NOUN ADP ADP NOUN
The Standing Orders Committee ruled it out of order under rule A three, within the remit of Congress.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	DET PROPN PROPN PROPN VERB PRON ADP ADP NOUN ADP NOUN DET NUM ADP DET NOUN ADP PROPN
The Kodak laboratories of my eidesis were being dismantled ; soon all that would be left was an out - of - order passport - photo - booth, mouldering on an empty station platform.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	dashes	DET PROPN NOUN ADP ADJ NOUN VERB VERB VERB PUNCT ADV DET ADJ VERB VERB VERB VERB DET ADJ PUNCT ADP PUNCT NOUN NOUN PUNCT NOUN PUNCT NOUN VERB ADP DET ADJ NOUN NOUN
I mean but don't you think that's a bit out of order Bonnie got offered a job, so Honey goes and tries and gets it.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB CCONJ VERB PRON VERB DET DET NOUN ADP ADP NOUN PROPN VERB VERB DET NOUN ADV PROPN VERB CCONJ VERB CCONJ VERB PRON
Well it's out of order to anyone.	0 0 1 1 1 0 0	out of order	figurative	identical	INTJ PRON ADP ADP NOUN ADP NOUN
I know I know I 'm taking it out of order but rather than wait until we get there, this has been raised, why can't we deal with it now?	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB PRON VERB PRON VERB VERB PRON ADP ADP NOUN CCONJ ADV ADP VERB ADP PRON VERB ADV DET VERB VERB VERB ADV VERB PRON VERB ADP PRON ADV
‘ The line must be out of order.	0 0 0 0 0 1 1 1	out of order	figurative	identical	PUNCT DET NOUN VERB VERB ADP ADP NOUN
CARPHONE OUT OF ORDER, so could girls 17 - 21 drop me a line- Must like acid, Balearic, deep, etc- Love ' n 'stuff, Bri.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	case	VERB ADP ADP NOUN CCONJ VERB VERB NUM SYM NUM NOUN PRON DET NOUN VERB ADP NOUN PROPN ADJ PROPN NOUN PUNCT CCONJ NOUN PROPN
The previous section depicted all sorts of situations in which it would be natural to describe animals or human babies as recognising something — names, parents, fellow - creatures, their own bodies ( but not their ‘ self’)— and it was concluded that there was nothing out of order in so doing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of order	figurative	identical	DET ADJ NOUN VERB DET NOUN ADP NOUN ADP ADJ PRON VERB VERB ADJ PART VERB NOUN CCONJ ADJ NOUN ADP VERB NOUN PUNCT NOUN NOUN NOUN PUNCT NOUN ADJ ADJ NOUN PUNCT CCONJ ADV ADJ ADJ NOUN CCONJ PRON VERB VERB ADP ADV VERB NOUN ADP ADP NOUN ADP ADV VERB
That's why you I think you 're well out of order.	0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	DET ADV PRON PRON VERB PRON VERB ADV ADP ADP NOUN
The last thing that I want to do is stray out of order.	0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	DET ADJ NOUN ADJ PRON VERB PART VERB VERB VERB ADP ADP NOUN
Since then, they have been out of order frequently — seven days in August alone.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of order	figurative	identical	ADP ADV PRON VERB VERB ADP ADP NOUN ADV PUNCT NUM NOUN ADP PROPN ADV
So in that sense, the build the, the equities have kept pace, but if you think in the short term, you 'll always be out of, out of order with shares, if you 're thinking of going in for three or four years, you you 're likely to get your fingers burnt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	CCONJ ADP DET NOUN DET NOUN DET DET NOUN VERB VERB NOUN CCONJ ADP PRON VERB ADP DET ADJ NOUN PRON VERB ADV VERB ADP ADP ADP ADP NOUN ADP NOUN ADP PRON VERB VERB ADP VERB PART ADP NUM CCONJ NUM NOUN PRON PRON VERB ADJ PART VERB ADJ NOUN VERB
I know it's out of order, me coming here like this, but it's urgent, couldn't wait.’	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB PRON ADP ADP NOUN PRON VERB ADV ADP DET CCONJ PRON ADJ VERB VERB
It's a bit out of order	0 0 0 1 1 1	out of order	figurative	identical	PRON DET NOUN ADP ADP NOUN
When these are out of order they cause delays, traffic jams and accidents.	0 0 0 1 1 1 0 0 0 0 0 0 0	out of order	figurative	identical	ADV DET VERB ADP ADP NOUN PRON VERB NOUN NOUN NOUN CCONJ NOUN
There were suggestions from the American air force that the controls may have been put out of order by the fire which caused the crash and that, even if the pilot had stayed in his cockpit until the collision, he would not have been able to do more.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADV VERB NOUN ADP DET ADJ NOUN NOUN ADJ DET NOUN VERB VERB VERB VERB ADP ADP NOUN ADP DET NOUN ADJ VERB DET NOUN CCONJ ADP ADV ADP DET NOUN VERB VERB ADP ADJ NOUN ADP DET NOUN PRON VERB ADV VERB VERB ADJ PART VERB ADJ
Since everyone wanted reform the students could not be ruled out of order.	0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	ADP NOUN VERB NOUN DET NOUN VERB ADV VERB VERB ADP ADP NOUN
Mr Jack Adams, chairman of the union side, said that action would have to take place within a 28-day period from yesterday's anouncement or it would be ruled out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PROPN PROPN PROPN NOUN ADP DET NOUN NOUN VERB ADP NOUN VERB VERB PART VERB NOUN ADP DET NUM NOUN ADP NOUN NOUN CCONJ PRON VERB VERB VERB ADP ADP NOUN
We stopped beside a autobank, which was out of order.	0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PRON VERB ADP DET NOUN ADJ VERB ADP ADP NOUN
The thing is said to handle instructions out of order and speculatively.	0 0 0 0 0 0 0 1 1 1 0 0	out of order	figurative	identical	DET NOUN VERB VERB PART VERB NOUN ADP ADP NOUN CCONJ ADV
Vincent - Jones continues : ‘ We decided that some sort of celebration would not be out of order on the occasion of this remarkable escape.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of order	figurative	identical	PROPN PUNCT PROPN VERB PUNCT PUNCT PRON VERB ADP DET NOUN ADP NOUN VERB ADV VERB ADP ADP NOUN ADP DET NOUN ADP DET ADJ NOUN
It's well out of order!	0 0 1 1 1	out of order	figurative	identical	PRON ADV ADP ADP NOUN
‘ Chris was well out of order,’ he said.	0 0 0 0 1 1 1 0 0	out of order	figurative	dashes	PUNCT PROPN VERB ADV ADP ADP PRON PRON VERB
I hope, Madam Deputy Speaker, that my comments were not out of order or tasteless, but I shall rephrase them.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB PROPN PROPN PROPN ADP ADJ NOUN VERB ADV ADP ADP NOUN CCONJ ADJ CCONJ PRON VERB VERB PRON
Well we we often had people coming and asking to use our telephone, because either the telephones were erm all out of order, or you could only dial for emergencies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of order	figurative	identical	INTJ PRON PRON ADV VERB NOUN VERB CCONJ VERB PART VERB ADJ NOUN ADP CCONJ DET NOUN VERB ADV DET ADP ADP NOUN CCONJ PRON VERB ADV VERB ADP NOUN
The first part of the question that was asked by the hon. Member for Esher ( Mr. Taylor ) was in order, but the second part was out of order, as was the second part of the question asked by his hon. Friend the Member for Colne Valley ( Mr. Riddick ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	DET ADJ NOUN ADP DET NOUN ADJ VERB VERB ADP DET NOUN PROPN ADP PROPN PUNCT PROPN PROPN PUNCT VERB ADP NOUN CCONJ DET ADJ NOUN VERB ADP ADP NOUN ADP VERB DET ADJ NOUN ADP DET NOUN VERB ADP ADJ NOUN VERB DET PROPN ADP PROPN PROPN PUNCT PROPN PROPN PUNCT
