‘ Go on, get a move on!’ said Marie.	0 0 0 1 0 1 1 0 0	get a move on	figurative	dashes	PUNCT VERB PART VERB DET NOUN PUNCT VERB PROPN	▁ ‘ ▁Go ▁on , ▁get ▁a ▁move ▁on ! ’ ▁said ▁ Marie .	0 0 0 0 0 1 0 1 1 1 1 0 0 0 0	PUNCT PUNCT VERB PART PART VERB DET NOUN PUNCT PUNCT PUNCT VERB PROPN PROPN PROPN
If they didn't get a move on, I would miss my gig and lose vital cash — as I hadn't come in my own car, I was stranded.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	ADP PRON VERB VERB DET NOUN ADV PRON VERB VERB ADJ NOUN CCONJ VERB ADJ NOUN PUNCT ADP PRON VERB VERB ADP ADJ ADJ NOUN PRON VERB VERB	▁If ▁they ▁did n ' t ▁get ▁a ▁move ▁on , ▁I ▁would ▁miss ▁my ▁g ig ▁and ▁lose ▁vital ▁cash ▁ — ▁as ▁I ▁had n ' t ▁come ▁in ▁my ▁own ▁car , ▁I ▁was ▁ stranded .	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB VERB VERB VERB DET NOUN ADV ADV PRON VERB VERB ADJ NOUN NOUN CCONJ VERB ADJ NOUN PUNCT PUNCT ADP PRON VERB VERB VERB VERB VERB ADP ADJ ADJ NOUN NOUN PRON VERB VERB VERB VERB
And tell her to get a move on!’	0 0 0 0 1 0 1 1	get a move on	figurative	dashes	CCONJ VERB PRON PART VERB DET NOUN ADP	▁And ▁tell ▁her ▁to ▁get ▁a ▁move ▁on ! ’	0 0 0 0 1 0 1 1 1 1	CCONJ VERB PRON PART VERB DET NOUN ADP ADP ADP
‘ Oh my God, if I don't get a move on I 'm going to be late.’	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	get a move on	figurative	identical	PUNCT INTJ ADJ PROPN ADP PRON VERB VERB DET NOUN ADP PRON VERB VERB PART VERB ADP	▁ ‘ ▁O h ▁my ▁God , ▁if ▁I ▁don ' t ▁get ▁a ▁move ▁on ▁I ▁' m ▁going ▁to ▁be ▁late . ’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	PUNCT PUNCT INTJ INTJ ADJ PROPN PROPN ADP PRON VERB VERB VERB VERB DET NOUN ADP PRON VERB VERB VERB PART VERB ADP ADP ADP
You better get a move on!	0 0 1 0 1 1	get a move on	figurative	identical	PRON ADV VERB DET NOUN ADV	▁You ▁better ▁get ▁a ▁move ▁on !	0 0 1 0 1 1 1	PRON ADV VERB DET NOUN ADV ADV
Get a move on. '	1 0 1 1 0	get a move on	figurative	case	VERB DET NOUN ADV PUNCT	▁G et ▁a ▁move ▁on . ▁'	1 1 0 1 1 1 0	VERB VERB DET NOUN ADV ADV PUNCT
I 'd better get a move on.	0 0 0 1 0 1 1	get a move on	figurative	identical	PRON VERB ADV VERB DET NOUN ADV	▁I ▁' d ▁better ▁get ▁a ▁move ▁on .	0 0 0 0 1 0 1 1 1	PRON VERB VERB ADV VERB DET NOUN ADV ADV
Er, you get ready and yo by quarter to seven the head lad see goes and walks round and he says, oh eh okay, come on, get a move on we wanna be out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	get a move on	figurative	identical	INTJ PRON VERB ADJ CCONJ INTJ ADP NOUN ADP NUM DET NOUN NOUN VERB VERB CCONJ VERB ADV CCONJ PRON VERB INTJ INTJ INTJ VERB PART VERB DET NOUN ADP PRON ADV VERB ADV	▁Er , ▁you ▁get ▁ready ▁and ▁ yo ▁by ▁quarter ▁to ▁seven ▁the ▁head ▁la d ▁see ▁goes ▁and ▁walk s ▁round ▁and ▁he ▁says , ▁ oh ▁ eh ▁o ka y , ▁come ▁on , ▁get ▁a ▁move ▁on ▁we ▁w anna ▁be ▁out .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	INTJ INTJ PRON VERB ADJ CCONJ INTJ INTJ ADP NOUN ADP NUM DET NOUN NOUN NOUN VERB VERB CCONJ VERB VERB ADV CCONJ PRON VERB VERB INTJ INTJ INTJ INTJ INTJ INTJ INTJ INTJ VERB PART PART VERB DET NOUN ADP PRON ADV ADV VERB ADV ADV
‘ Breakfast in twenty minutes, get a move on,’ said Warder Swain, slamming the door shut behind Robinson and Porter.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	dashes	PUNCT NOUN ADP NUM NOUN VERB DET NOUN ADV VERB PROPN PROPN VERB DET NOUN VERB ADP PROPN CCONJ PROPN	▁ ‘ ▁Break fast ▁in ▁twenty ▁minutes , ▁get ▁a ▁move ▁on , ’ ▁said ▁War der ▁Sw ain , ▁sl a mming ▁the ▁door ▁shut ▁behind ▁Ro bin son ▁and ▁Port er .	0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT NOUN NOUN ADP NUM NOUN NOUN VERB DET NOUN ADV ADV ADV VERB PROPN PROPN PROPN PROPN PROPN VERB VERB VERB DET NOUN VERB ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN
Yeah, anyway, she she's told to get a move on.	0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	INTJ INTJ PRON PRON VERB PART VERB DET NOUN ADV	▁Ye ah , ▁anyway , ▁she ▁she ' s ▁told ▁to ▁get ▁a ▁move ▁on .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	INTJ INTJ INTJ INTJ INTJ PRON PRON PRON PRON VERB PART VERB DET NOUN ADV ADV
‘ Would you tell everyone to get a move on?’ she asked a startled nurse.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	get a move on	figurative	dashes	PUNCT VERB PRON VERB NOUN PART VERB DET NOUN NOUN PRON VERB DET ADJ NOUN	▁ ‘ ▁Would ▁you ▁tell ▁everyone ▁to ▁get ▁a ▁move ▁on ? ’ ▁she ▁asked ▁a ▁start led ▁nurse .	0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT VERB PRON VERB NOUN PART VERB DET NOUN NOUN NOUN NOUN PRON VERB DET ADJ ADJ NOUN NOUN
If we get a move on,’ he said pointedly.	0 0 1 0 1 1 0 0 0	get a move on	figurative	dashes	ADP PRON VERB DET NOUN ADV PRON VERB ADV	▁If ▁we ▁get ▁a ▁move ▁on , ’ ▁he ▁said ▁pointed ly .	0 0 1 0 1 1 1 1 0 0 0 0 0	ADP PRON VERB DET NOUN ADV ADV ADV PRON VERB ADV ADV ADV
‘ If you 're still planning to come with me, you 'd better get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	PUNCT ADP PRON VERB ADV VERB PART VERB ADP PRON PRON VERB ADV VERB DET NOUN ADV	▁ ‘ ▁If ▁you ▁' re ▁still ▁planning ▁to ▁come ▁with ▁me , ▁you ▁' d ▁better ▁get ▁a ▁move ▁on .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT ADP PRON VERB VERB ADV VERB PART VERB ADP PRON PRON PRON VERB VERB ADV VERB DET NOUN ADV ADV
For her the slow, wide - winged beating across the waves of morning said it was time to run to the rocks and tug in the lines and get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	ADP PRON DET ADJ ADV PUNCT VERB NOUN ADP DET NOUN ADP NOUN VERB PRON VERB NOUN PART VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN CCONJ VERB DET NOUN ADV	▁For ▁her ▁the ▁slow , ▁wide ▁- ▁wing ed ▁be ating ▁across ▁the ▁waves ▁of ▁morning ▁said ▁it ▁was ▁time ▁to ▁run ▁to ▁the ▁rock s ▁and ▁tu g ▁in ▁the ▁lines ▁and ▁get ▁a ▁move ▁on .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP PRON DET ADJ ADJ ADV PUNCT VERB VERB NOUN NOUN ADP DET NOUN ADP NOUN VERB PRON VERB NOUN PART VERB ADP DET NOUN NOUN CCONJ NOUN NOUN ADP DET NOUN CCONJ VERB DET NOUN ADV ADV
‘ Well, tell ' i m ter get a move on, luv.	0 0 0 0 0 0 0 1 0 1 1 0	get a move on	figurative	identical	PUNCT INTJ VERB PUNCT PRON VERB NOUN VERB DET NOUN ADV INTJ	▁ ‘ ▁Well , ▁tell ▁' ▁i ▁m ▁ter ▁get ▁a ▁move ▁on , ▁lu v .	0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	PUNCT PUNCT INTJ INTJ VERB PUNCT PRON VERB NOUN VERB DET NOUN ADV ADV INTJ INTJ INTJ
If we didn't get a move on there wouldn't be a route left to do!	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	get a move on	figurative	identical	ADP PRON VERB VERB DET NOUN ADP ADV VERB VERB DET NOUN VERB PART VERB	▁If ▁we ▁did n ' t ▁get ▁a ▁move ▁on ▁there ▁would n ' t ▁be ▁a ▁route ▁left ▁to ▁do !	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB VERB VERB VERB DET NOUN ADP ADV VERB VERB VERB VERB VERB DET NOUN VERB PART VERB VERB
Now get a move on.	0 1 0 1 1	get a move on	figurative	identical	ADV VERB DET NOUN ADV	▁Now ▁get ▁a ▁move ▁on .	0 1 0 1 1 1	ADV VERB DET NOUN ADV ADV
Cos then we sort of, turn out, get a finger out and get a move on!	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	NOUN ADV PRON ADV ADV VERB PART VERB DET NOUN PART CCONJ VERB DET NOUN ADV	▁Co s ▁then ▁we ▁sort ▁of , ▁turn ▁out , ▁get ▁a ▁finger ▁out ▁and ▁get ▁a ▁move ▁on !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	NOUN NOUN ADV PRON ADV ADV ADV VERB PART PART VERB DET NOUN PART CCONJ VERB DET NOUN ADV ADV
