Flashman has made us the laughing stock of football.	0 0 0 0 0 1 1 0 0	laughing stock	figurative	identical	PROPN VERB VERB PRON DET VERB NOUN ADP NOUN
Is it my fault if the King has spoilt his son and made him a laughing stock in Europe?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	laughing stock	figurative	identical	VERB PRON ADJ NOUN ADP DET PROPN VERB VERB ADJ NOUN CCONJ VERB PRON DET VERB NOUN ADP PROPN
And in doing so they have become the laughing stock of world sport over the great ball - changing saga in the Texaco Trophy one - day international.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	CCONJ ADP VERB ADV PRON VERB VERB DET VERB NOUN ADP NOUN NOUN ADP DET ADJ NOUN PUNCT VERB NOUN ADP DET PROPN PROPN NUM PUNCT NOUN ADJ
‘ I think we 'd make ourselves a laughing - stock.’	0 0 0 0 0 0 0 0 1 0 0	laughing stock	figurative	dashes	PUNCT PRON VERB PRON VERB VERB PRON DET VERB PUNCT NOUN
‘ It is no wonder we are becoming the laughing stock of the world.’	0 0 0 0 0 0 0 0 0 1 1 0 0 0	laughing stock	figurative	identical	PUNCT PRON VERB DET NOUN PRON VERB VERB DET VERB NOUN ADP DET NOUN
She 'll just become a laughing stock if she's not that already.’	0 0 0 0 0 1 1 0 0 0 0 0	laughing stock	figurative	identical	PRON VERB ADV VERB DET VERB NOUN ADP PRON ADV ADP NOUN
He said he would be a laughing - stock ; he hadn't the legs for it.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	laughing stock	figurative	dashes	PRON VERB PRON VERB VERB DET VERB PUNCT NOUN PUNCT PRON VERB DET NOUN ADP PRON
It gave Spinal Tap the inspiration for ‘ Stonehenge’, but otherwise the Reading Festival must have barely registered beyond ‘ laughing stock’ status in the minds of Barbara's ‘ intelligent, discerning’young music fans.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	dashes	PRON VERB PROPN PROPN DET NOUN ADP PUNCT PROPN CCONJ ADV DET PROPN PROPN VERB VERB ADV VERB ADP ADJ NOUN NOUN NOUN ADP DET NOUN ADP PROPN PUNCT ADJ ADJ NOUN NOUN
Ardent royalist Dorothy Myers, a nurse of Rochdale, Lancs, said : ‘ That woman has made the Royal Family into a laughing stock.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	laughing stock	figurative	dashes	PROPN NOUN PROPN PROPN DET NOUN ADP PROPN PROPN VERB PUNCT PUNCT DET NOUN VERB VERB DET PROPN PROPN ADP DET VERB NOUN
cock up in, you know in Britain and it would just be the laughing stock, I mean you can't do that, you can't shelter everybody	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	VERB PART ADV PRON VERB ADP PROPN CCONJ PRON VERB ADV VERB DET VERB NOUN PRON VERB PRON VERB VERB DET PRON VERB VERB NOUN
Italy, once the laughing stock, was closing on Britain in the GNP league, while Germany seemed a prodigy of industrial discipline, boasting productivity rates 50 per cent higher than in Britain.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	PROPN ADV DET VERB NOUN VERB VERB ADP PROPN ADP DET PROPN NOUN ADP PROPN VERB DET NOUN ADP ADJ NOUN VERB NOUN NOUN NUM NOUN NOUN ADJ ADP ADP PROPN
The plain fact is that the feeble PC beep, usually allied to a tiny ( and tinny ) speaker is the laughing stock of the computer world — almost every other type of computer has sound capabilities that make the PC more to be pitied than laughed at.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	DET ADJ NOUN VERB ADP DET ADJ NOUN NOUN ADV VERB ADP DET ADJ PUNCT CCONJ NOUN PUNCT NOUN VERB DET VERB NOUN ADP DET NOUN NOUN PUNCT ADV DET ADJ NOUN ADP NOUN VERB ADJ NOUN ADJ VERB DET NOUN ADJ PART VERB VERB ADP VERB ADP
The Waipu club, who are considering an appeal against the local union suspension, had better make sure of their ground unless they wish to become a laughing stock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	laughing stock	figurative	identical	DET PROPN NOUN NOUN VERB VERB DET NOUN ADP DET ADJ NOUN NOUN VERB ADV VERB ADJ ADP ADJ NOUN ADP PRON VERB PART VERB DET VERB NOUN
You 're just a laughing stock at the moment.	0 0 0 0 1 1 0 0 0	laughing stock	figurative	identical	PRON VERB ADV DET VERB NOUN ADP DET NOUN
Set him up to be a laughing - stock.	0 0 0 0 0 0 1 0 1	laughing stock	figurative	dashes	VERB PRON PART PART VERB DET VERB PUNCT NOUN
One Government Minister told the Daily Mirror Mr Lamont had become ‘ a laughing stock’.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	laughing stock	figurative	dashes	NUM PROPN PROPN VERB DET PROPN PROPN PROPN PROPN VERB VERB PRON DET VERB NOUN
I felt like Rip Van Winkle, an anachronistic laughing - stock, a freak.	0 0 0 0 0 0 0 0 1 0 1 0 0	laughing stock	figurative	dashes	PRON VERB ADP PROPN PROPN PROPN DET ADJ VERB PUNCT NOUN DET NOUN
IT 'S FUNNY how Hawkwind's ultra - happy laser shows have gotten really hip again while the Hawks themselves remain a laughing stock to most people.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	laughing stock	figurative	identical	PRON VERB PROPN ADV PROPN ADJ PUNCT ADJ NOUN NOUN VERB VERB ADV NOUN ADV ADP DET PROPN PRON VERB DET VERB NOUN ADP ADJ NOUN
She's making herself a laughing - stock.	0 0 0 0 1 0 1	laughing stock	figurative	dashes	PRON VERB PRON DET VERB PUNCT NOUN
Doesn't this show yet again that back to basics is making this government a laughing stock?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	laughing stock	figurative	identical	VERB DET NOUN ADV ADV DET ADV ADP NOUN VERB VERB DET NOUN DET VERB NOUN
And the managing director of RSO storms : ‘ We 're a laughing stock.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	laughing stock	figurative	identical	CCONJ DET VERB NOUN ADP PROPN NOUN PUNCT PUNCT PRON VERB DET VERB NOUN
Either the commission intuitively knows how supply and demand will change — in which case the commission is miraculous but unnecessary — or else the commission is applying some other unspecified standards and judgements of its own — in which case the commission will be a tyrant if it can impose its decisions and a laughing stock if it can not.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	laughing stock	figurative	identical	CCONJ DET NOUN ADV VERB ADV NOUN CCONJ NOUN VERB VERB PUNCT ADP ADJ NOUN DET NOUN VERB ADJ CCONJ ADJ PUNCT CCONJ ADV DET NOUN VERB VERB DET ADJ ADJ NOUN CCONJ NOUN ADP ADJ ADJ PUNCT ADP ADJ NOUN DET NOUN VERB VERB DET NOUN ADP PRON VERB VERB ADJ NOUN CCONJ DET VERB NOUN ADP PRON VERB ADV
The press would have had a field day, and what Frank didn't realize is that he himself would have been a laughing stock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	laughing stock	figurative	identical	DET NOUN VERB VERB VERB DET NOUN NOUN CCONJ NOUN PROPN VERB VERB VERB ADP PRON PRON VERB VERB VERB DET VERB NOUN
What it wouldn't do was ensure good pictures, and Herbert Wilcox saw at once that such legislation would create an ‘ awkward squad’ of British films which would immediately become the laughing stock of the world.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	laughing stock	figurative	identical	NOUN PRON VERB VERB VERB VERB ADJ NOUN CCONJ PROPN PROPN VERB ADP ADV ADP ADJ NOUN VERB VERB DET ADJ ADJ NOUN ADP ADJ NOUN ADJ VERB ADV VERB DET VERB NOUN ADP DET NOUN
But if she had missed this one, she would be the laughing stock of her class.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	laughing stock	figurative	identical	CCONJ ADP PRON VERB VERB DET NOUN PRON VERB VERB DET VERB NOUN ADP ADJ NOUN
Poor Crossley became the laughing stock of a 19,326 crowd when Vinnie Jones overhit a through ball, leaving the Forest No 1 with the seemingly easy task of collecting it yards ahead of the advancing Clarke.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	PROPN PROPN VERB DET VERB NOUN ADP DET NUM NOUN ADV PROPN PROPN VERB DET ADP NOUN VERB DET PROPN NOUN NUM ADP DET ADV ADJ NOUN ADP VERB PRON VERB ADV ADP DET VERB PROPN
‘ It is no wonder we are becoming the laughing stock of the world,’ he said.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	laughing stock	figurative	identical	PUNCT PRON VERB DET NOUN PRON VERB VERB DET VERB NOUN ADP DET NOUN PRON VERB
The way in which the cuts and budgetary controls are applied makes Derbyshire the laughing stock of the country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	laughing stock	figurative	identical	DET NOUN ADP ADJ DET NOUN CCONJ ADJ NOUN VERB VERB VERB VERB DET VERB NOUN ADP DET NOUN
Just before he resigned in January Mr Peckford made himself a laughing stock for the C$ 20 m ( $ 17 m ) he poured into a huge complex for growing cucumbers.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	ADV ADP PRON VERB ADP PROPN PROPN PROPN VERB PRON DET VERB NOUN ADP DET SYM NUM NOUN PUNCT SYM NUM NOUN PUNCT PRON VERB ADP DET ADJ NOUN ADP VERB NOUN
Now I think that the way the law is used in this country against the gay community is really making Britain the laughing stock of Europe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	laughing stock	figurative	identical	ADV PRON VERB ADP DET NOUN DET NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN VERB ADV VERB PROPN DET VERB NOUN ADP PROPN
By the time the fleet of ambulances arrived, Elfman had metamorphosized from popular hero to universal laughing - stock and he never fully recovered from the experience.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	laughing stock	figurative	dashes	ADP DET NOUN DET NOUN ADP NOUN VERB PROPN VERB VERB ADP ADJ NOUN ADP ADJ VERB PUNCT NOUN CCONJ PRON ADV ADV VERB ADP DET NOUN
How big a laughing stock am I?’	0 0 0 1 1 0 0	laughing stock	figurative	identical	ADV ADJ DET VERB NOUN VERB VERB
In its early days, the Reagan administration made a laughing stock of itself by blaming trees for pollution.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	laughing stock	figurative	identical	ADP ADJ ADJ NOUN DET PROPN NOUN VERB DET VERB NOUN ADP PRON ADP VERB NOUN ADP NOUN
write to him as well disgusting, as if you don't, you don't need that sort of aggravation from a teacher stirring up trouble like that making the kids making him a laughing stock, he does not need that, its just not on is it?, and as he says I 'm sure she does it on purpose.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	laughing stock	figurative	identical	VERB ADP PRON ADV ADV ADJ ADP ADP PRON VERB PRON VERB VERB DET NOUN ADV NOUN ADP DET NOUN VERB PART NOUN ADP DET VERB DET NOUN VERB PRON DET VERB NOUN PRON VERB ADV VERB DET ADJ ADV ADV ADV VERB PRON CCONJ ADP PRON VERB PRON VERB ADJ PRON VERB PRON ADP NOUN
This bloke will make pool a laughing stock.’	0 0 0 0 0 0 1 1	laughing stock	figurative	dashes	DET NOUN VERB VERB NOUN DET VERB NOUN
We are determined to make it work — the last thing I want is to be a laughing stock among local farmers if I fail.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	laughing stock	figurative	identical	PRON VERB ADJ PART VERB PRON VERB PUNCT DET ADJ NOUN PRON VERB VERB PART VERB DET VERB NOUN ADP ADJ NOUN ADP PRON VERB
