No it's black and blu black and blue.	0 0 0 0 0 1 1 1	black and blue	literal	identical	INTJ PRON ADJ CCONJ NOUN ADJ CCONJ ADJ
He beat my mother black and blue, and then when she was too worn out to fight back he turned his attention to me … until I grew big enough to beat him back!’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	black and blue	figurative	identical	PRON VERB ADJ NOUN ADJ CCONJ ADJ CCONJ ADV ADV PRON VERB ADV VERB PART PART VERB ADV PRON VERB ADJ NOUN ADP PRON PUNCT ADP PRON VERB ADJ ADV PART VERB PRON NOUN
‘ Call it what you like, but at least I don't get beaten black and blue.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	black and blue	figurative	dashes	PUNCT VERB PRON NOUN PRON VERB CCONJ ADP ADJ PRON VERB VERB VERB NOUN CCONJ NOUN
He was black and blue all over and looked half dead.’	0 0 1 1 1 0 0 0 0 0 0	black and blue	figurative	identical	PRON VERB ADJ CCONJ ADJ DET ADV CCONJ VERB ADV NOUN
While beating children Black and Blue,	0 0 0 1 1 1	black and blue	figurative	case	ADP VERB NOUN ADJ CCONJ PROPN
The same afternoon we were supposed to be interrogated and on this occasion I met my father again, but did not recognise him, since his garments were tattered and torn and he himself beaten black and ~ blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	black and blue	figurative	dashes	DET ADJ NOUN PRON VERB VERB PART VERB VERB CCONJ ADP DET NOUN PRON VERB ADJ NOUN ADV CCONJ VERB ADV VERB PRON ADP ADJ NOUN VERB VERB CCONJ VERB CCONJ PRON PRON VERB ADJ CCONJ PUNCT ADJ
I 'm telling you, Pat, we go out the back, into the garden and cut a swish from that bleeding forsythia bush, then come back in and beat the buggers ' arses black and blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	black and blue	figurative	identical	PRON VERB VERB PRON PROPN PRON VERB PART DET NOUN ADP DET NOUN CCONJ VERB DET NOUN ADP ADP VERB NOUN NOUN ADV VERB ADV ADV CCONJ VERB DET NOUN PART NOUN ADJ CCONJ ADJ
He 'll beat him black and blue,’ she said hopefully, but without much conviction.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	black and blue	figurative	dashes	PRON VERB VERB PRON ADJ CCONJ PROPN PRON VERB ADV CCONJ ADP ADJ NOUN
I think it should have been the other way round because I was black and blue from head to toe.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	black and blue	figurative	identical	PRON VERB PRON VERB VERB VERB DET ADJ NOUN ADV ADP PRON VERB ADJ CCONJ ADJ ADP NOUN ADP NOUN
‘ I 'm black and blue.’	0 0 0 1 1 1	black and blue	figurative	dashes	PUNCT PRON VERB ADJ CCONJ NOUN
She showed us her arms, and we saw with horror that her skin was black and blue where she had been beaten.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	black and blue	figurative	identical	PRON VERB PRON ADJ NOUN CCONJ PRON VERB ADP NOUN ADP ADJ NOUN VERB ADJ CCONJ ADJ ADV PRON VERB VERB VERB
‘ Except, of course, when I beat you black and blue.’	0 0 0 0 0 0 0 0 1 1 1	black and blue	figurative	dashes	PUNCT ADP ADP NOUN ADV PRON VERB PRON ADJ CCONJ NOUN
When Clark took off his shirt he had black - and - blue bruises over his shoulders and arm.	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	black and blue	figurative	dashes	ADV PROPN VERB PART ADJ NOUN PRON VERB ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP ADJ NOUN CCONJ NOUN
He was the most handsome man she had ever seen, although his face was marred by the marks of her nails, and by bruises which would soon turn black and blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	black and blue	figurative	identical	PRON VERB DET ADV ADJ NOUN PRON VERB ADV VERB ADP ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN CCONJ ADP NOUN ADJ VERB ADV VERB ADJ CCONJ ADJ
Black and blue?	1 1 1	black and blue	figurative	case	ADJ CCONJ ADJ
It comes in black and blue, or black and red, as standard, but there is also a range of 225 colour combinations.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	black and blue	literal	identical	PRON VERB ADP ADJ CCONJ ADJ CCONJ ADJ CCONJ ADJ ADP NOUN CCONJ ADV VERB ADV DET NOUN ADP NUM NOUN NOUN
Unable to get his life and work in gear, Chris Penn changed his name and for a time worked on a building site before earning good money being beaten black and blue as a prize fighter.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	black and blue	figurative	identical	ADJ PART VERB ADJ NOUN CCONJ NOUN ADP NOUN PROPN PROPN VERB ADJ NOUN CCONJ ADP DET NOUN VERB ADP DET NOUN NOUN ADP VERB ADJ NOUN VERB VERB ADJ CCONJ ADJ ADP DET NOUN NOUN
