At the moment all we 're doing is keeping the lid on a still a pretty serious problem.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	keep a lid on	figurative	inflection	ADP DET NOUN DET PRON VERB VERB VERB VERB DET NOUN ADP DET ADV DET ADV ADJ NOUN
D'Arcy's aircraft had nosed cautiously down through the dense, sluggish cloudcover which had kept the lid firmly on the sultry atmosphere of the city for the past week.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	combined-inflection	PROPN NOUN VERB VERB ADV ADV ADP DET ADJ ADJ NOUN ADJ VERB VERB DET NOUN ADV ADP DET NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN
Kline keeps a very tight lid on his own private life.	0 1 0 0 0 1 1 0 0 0 0	keep a lid on	figurative	combined-inflection	PROPN VERB DET ADV ADJ NOUN ADP ADJ ADJ ADJ NOUN
All this will combine to keep the lid on prices.	0 0 0 0 0 1 0 1 1 0	keep a lid on	figurative	inflection	ADJ DET VERB VERB PART VERB DET NOUN ADP NOUN
The Bundesbank is due to meet this morning, and the cost of borrowing is likely to remain unchanged to keep a lid on the German economy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	keep a lid on	figurative	identical	DET PROPN VERB ADJ PART VERB DET NOUN CCONJ DET NOUN ADP NOUN VERB ADJ PART VERB ADJ PART VERB DET NOUN ADP DET ADJ NOUN
Israel's well - equipped military has managed to keep a lid on the uprising degenerating into chaos, but it hasn't defeated the armies of stone - throwing youths.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	identical	PROPN ADV PUNCT VERB NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN VERB ADP NOUN CCONJ PRON VERB VERB DET NOUN ADP NOUN PUNCT NOUN NOUN
Polly recognised Nathan's insistence on her learning how to navigate as an attempt to keep the lid on a situation which was escalating rapidly out of control.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	inflection	PROPN VERB PROPN NOUN ADP ADJ VERB ADV PART VERB ADP DET NOUN PART VERB DET NOUN ADP DET NOUN ADJ VERB VERB ADV ADP ADP NOUN
Up with the lark and wanting to get out of town, I have to keep the lid on my impatience.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	keep a lid on	figurative	inflection	ADP ADP DET NOUN CCONJ VERB PART VERB ADP ADP NOUN PRON VERB PART VERB DET NOUN ADP ADJ NOUN
They were barely out of the club before Rory turned on Adam, no longer able to keep the lid on her simmering anger.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	keep a lid on	figurative	inflection	PRON VERB ADV ADP ADP DET NOUN ADP PROPN VERB ADP PROPN ADV ADV ADJ PART VERB DET NOUN ADP ADJ VERB NOUN
In fact, the Princess of Wales — a woman Selina is often compared with — must wish she was able to keep the lid on her private life as tightly as Selina has.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	keep a lid on	figurative	inflection	ADP NOUN DET PROPN ADP PROPN PUNCT DET NOUN PROPN VERB ADV VERB ADP PUNCT VERB VERB PRON VERB ADJ PART VERB DET NOUN ADP ADJ ADJ NOUN ADV ADV ADP PROPN VERB
Whereas the massive unemployment which had plagued the interwar period has at least served to keep the lid on money wages, the switch to Keynesian policies, with their emphasis on the objective of maintaining full employment, might open a Pandora's box of inflationary money wage claims.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	inflection	ADP DET ADJ NOUN ADJ VERB VERB DET ADJ NOUN VERB ADP ADJ VERB PART VERB DET NOUN ADP NOUN NOUN DET NOUN ADP ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP VERB ADJ NOUN VERB VERB DET PROPN NOUN ADP ADJ NOUN NOUN NOUN
