An eerie blast on a horn signalled the start of the ceremony and the crowd became silent.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	determiner-narrow	DET ADJ NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN CCONJ DET NOUN VERB ADJ	▁An ▁e er ie ▁blast ▁on ▁a ▁horn ▁signal led ▁the ▁start ▁of ▁the ▁ceremony ▁and ▁the ▁crowd ▁became ▁silent .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ ADJ NOUN ADP DET NOUN VERB VERB DET NOUN ADP DET NOUN CCONJ DET NOUN VERB ADJ ADJ
‘ Enjoy your nice, quiet evening — and don't worry, Ross is bound to be getting in touch with you, very soon,’ she added softly, before running off to answer yet another imperative toot on the horn.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the horn	literal	identical	PUNCT VERB ADJ ADJ ADJ NOUN PUNCT CCONJ VERB VERB PROPN VERB VERB PART VERB VERB ADP NOUN ADP PRON ADV VERB PRON VERB ADV ADP VERB PART PART VERB ADV DET ADJ NOUN ADP DET NOUN	▁ ‘ ▁En jo y ▁your ▁nice , ▁quiet ▁evening ▁ — ▁and ▁don ' t ▁worry , ▁Ross ▁is ▁bound ▁to ▁be ▁gett ing ▁in ▁touch ▁with ▁you , ▁very ▁soon , ’ ▁she ▁added ▁soft ly , ▁before ▁running ▁off ▁to ▁answer ▁yet ▁another ▁imperative ▁to ot ▁on ▁the ▁horn .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT VERB VERB VERB ADJ ADJ ADJ ADJ NOUN PUNCT PUNCT CCONJ VERB VERB VERB VERB VERB PROPN VERB VERB PART VERB VERB VERB ADP NOUN ADP PRON PRON ADV VERB VERB VERB PRON VERB ADV ADV ADV ADP VERB PART PART VERB ADV DET ADJ NOUN NOUN ADP DET NOUN NOUN
Buckets of water were thrown in the bull's face and Harrod says that if a ' bad bull ' was produced, the bullards were known to have ' sawn on his horns, cut on his tail, fired a train of gunpowder along his back, and poured aqua fortis ( vitriol ) on the same '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	determiner-broad	NOUN ADP NOUN VERB VERB ADP DET NOUN NOUN CCONJ PROPN VERB ADP ADP DET PUNCT ADJ NOUN PUNCT VERB VERB DET NOUN VERB VERB PART VERB PUNCT NOUN ADP ADJ NOUN VERB ADP ADJ NOUN VERB DET NOUN ADP NOUN ADP ADJ NOUN CCONJ VERB ADJ NOUN PUNCT NOUN PUNCT ADP DET ADJ PUNCT	▁B uck ets ▁of ▁water ▁were ▁thrown ▁in ▁the ▁bull ' s ▁face ▁and ▁Har rod ▁says ▁that ▁if ▁a ▁' ▁bad ▁bull ▁' ▁was ▁produced , ▁the ▁bull ards ▁were ▁known ▁to ▁have ▁' ▁sawn ▁on ▁his ▁horn s , ▁cut ▁on ▁his ▁tail , ▁fired ▁a ▁train ▁of ▁gun powder ▁along ▁his ▁back , ▁and ▁poured ▁a qua ▁for tis ▁( ▁vi tri ol ▁ ) ▁on ▁the ▁same ▁' .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN ADP NOUN VERB VERB ADP DET NOUN NOUN NOUN NOUN CCONJ PROPN PROPN VERB ADP ADP DET PUNCT ADJ NOUN PUNCT VERB VERB VERB DET NOUN NOUN VERB VERB PART VERB PUNCT NOUN ADP ADJ NOUN NOUN NOUN VERB ADP ADJ NOUN NOUN VERB DET NOUN ADP NOUN NOUN ADP ADJ NOUN NOUN CCONJ VERB ADJ ADJ NOUN NOUN PUNCT NOUN NOUN NOUN PUNCT PUNCT ADP DET ADJ PUNCT PUNCT
She is often shown with doves perching on her ; sometimes birds are shown perched on sacral horns or on a double - axe, as if to suggest the invisible presence of the goddess.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	determiner-broad	PRON VERB ADV VERB ADP NOUN VERB ADP PRON PUNCT ADV NOUN VERB VERB VERB ADP ADJ NOUN CCONJ ADP DET ADJ PUNCT NOUN ADP ADP PART VERB DET ADJ NOUN ADP DET NOUN	▁She ▁is ▁often ▁shown ▁with ▁do ves ▁per ching ▁on ▁her ▁ ; ▁sometimes ▁birds ▁are ▁shown ▁per ched ▁on ▁sacr al ▁horn s ▁or ▁on ▁a ▁double ▁- ▁axe , ▁as ▁if ▁to ▁suggest ▁the ▁in vis ible ▁presence ▁of ▁the ▁go d des s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB ADP NOUN NOUN VERB VERB ADP PRON PUNCT PUNCT ADV NOUN VERB VERB VERB VERB ADP ADJ ADJ NOUN NOUN CCONJ ADP DET ADJ PUNCT NOUN NOUN ADP ADP PART VERB DET ADJ ADJ ADJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN
He went on around the block, again and again, until a space opened up in a barely - lit alley and he slipped the car in ahead of a Mercedes driver who, to judge from how he leaned on the horn, was well along the way to a heart condition.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the horn	literal	identical	PRON VERB PART ADP DET NOUN ADV CCONJ ADV ADP DET NOUN VERB PART ADP DET ADV PUNCT VERB NOUN CCONJ PRON VERB DET NOUN ADP ADV ADP DET PROPN NOUN NOUN PART VERB ADP ADV PRON VERB ADP DET NOUN VERB ADV ADP DET NOUN ADP DET NOUN NOUN	▁He ▁went ▁on ▁around ▁the ▁block , ▁again ▁and ▁again , ▁until ▁a ▁space ▁opened ▁up ▁in ▁a ▁barely ▁- ▁lit ▁all ey ▁and ▁he ▁slip ped ▁the ▁car ▁in ▁ahead ▁of ▁a ▁Merc ed es ▁driver ▁who , ▁to ▁judge ▁from ▁how ▁he ▁lean ed ▁on ▁the ▁horn , ▁was ▁well ▁along ▁the ▁way ▁to ▁a ▁heart ▁condition .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB PART ADP DET NOUN NOUN ADV CCONJ ADV ADV ADP DET NOUN VERB PART ADP DET ADV PUNCT VERB NOUN NOUN CCONJ PRON VERB VERB DET NOUN ADP ADV ADP DET PROPN PROPN PROPN NOUN NOUN NOUN PART VERB ADP ADV PRON VERB VERB ADP DET NOUN NOUN VERB ADV ADP DET NOUN ADP DET NOUN NOUN NOUN
Of Belle Isle, or running on the Horn.	0 0 0 0 0 1 0 1	on the horn	literal	case	ADP PROPN PROPN CCONJ VERB ADP DET PROPN	▁Of ▁B elle ▁Isle , ▁or ▁running ▁on ▁the ▁Horn .	0 0 0 0 0 0 0 1 0 1 1	ADP PROPN PROPN PROPN PROPN CCONJ VERB ADP DET PROPN PROPN
‘ Give them a toot on the horn.’	0 0 0 0 0 1 0 1	on the horn	literal	dashes	PUNCT VERB PRON DET NOUN ADP DET NOUN	▁ ‘ ▁Give ▁them ▁a ▁to ot ▁on ▁the ▁horn . ’	0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT VERB PRON DET NOUN NOUN ADP DET NOUN NOUN NOUN
The gilding on the st'lyan's horns glittered as they tossed their heads.	0 0 1 0 0 1 0 0 0 0 0 0	on the horn	literal	combined-inflection	DET NOUN ADP DET PROPN NOUN VERB ADP PRON VERB ADJ NOUN	▁The ▁g il d ing ▁on ▁the ▁st ' ly an ' s ▁horn s ▁gli t tered ▁as ▁they ▁to s s ed ▁their ▁heads .	0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB VERB VERB ADP PRON VERB VERB VERB VERB ADJ NOUN NOUN
parked behind, but then somebody else came and parked in front of him, and he was there and sort, you could see him looking you know, he looked at the driveway and he looked, he was looking in his rear view mirror and then he turned round and looked like this, then he looked at the front, and he was thinking my god I can't get out of here, and all of a sudden a little car comes up the road stops, goes beep, beep on the horn, wanna get in the drive, this bloke went ha, ha, ha, ha and he couldn't do anything	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	identical	VERB ADV CCONJ ADV NOUN ADV VERB CCONJ VERB ADP NOUN ADP PRON CCONJ PRON VERB ADV CCONJ ADV PRON VERB VERB PRON VERB PRON VERB PRON VERB ADP DET NOUN CCONJ PRON VERB PRON VERB VERB ADP ADJ ADJ NOUN NOUN CCONJ ADV PRON VERB ADV CCONJ VERB ADP DET ADV PRON VERB ADP DET NOUN CCONJ PRON VERB VERB ADJ INTJ PRON VERB VERB ADP ADP ADV CCONJ DET ADP ADV ADV DET ADJ NOUN VERB PART DET NOUN NOUN VERB NOUN VERB ADP DET NOUN NOUN VERB ADP DET NOUN DET VERB VERB INTJ INTJ INTJ INTJ CCONJ PRON VERB VERB NOUN	▁park ed ▁behind , ▁but ▁then ▁somebody ▁else ▁came ▁and ▁park ed ▁in ▁front ▁of ▁him , ▁and ▁he ▁was ▁there ▁and ▁sort , ▁you ▁could ▁see ▁him ▁looking ▁you ▁know , ▁he ▁looked ▁at ▁the ▁drive way ▁and ▁he ▁looked , ▁he ▁was ▁looking ▁in ▁his ▁rear ▁view ▁mirror ▁and ▁then ▁he ▁turned ▁round ▁and ▁looked ▁like ▁this , ▁then ▁he ▁looked ▁at ▁the ▁front , ▁and ▁he ▁was ▁thinking ▁my ▁go d ▁I ▁can ' t ▁get ▁out ▁of ▁here , ▁and ▁all ▁of ▁a ▁sudden ▁a ▁little ▁car ▁comes ▁up ▁the ▁road ▁stops , ▁goes ▁be ep , ▁be ep ▁on ▁the ▁horn , ▁w anna ▁get ▁in ▁the ▁drive , ▁this ▁b lo ke ▁went ▁ha , ▁ha , ▁ha , ▁ha ▁and ▁he ▁could n ' t ▁do ▁anything	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADV ADV CCONJ ADV NOUN ADV VERB CCONJ VERB VERB ADP NOUN ADP PRON PRON CCONJ PRON VERB ADV CCONJ ADV ADV PRON VERB VERB PRON VERB PRON VERB VERB PRON VERB ADP DET NOUN NOUN CCONJ PRON VERB VERB PRON VERB VERB ADP ADJ ADJ NOUN NOUN CCONJ ADV PRON VERB ADV CCONJ VERB ADP DET DET ADV PRON VERB ADP DET NOUN NOUN CCONJ PRON VERB VERB ADJ INTJ INTJ PRON VERB VERB VERB VERB ADP ADP ADV ADV CCONJ DET ADP ADV ADV DET ADJ NOUN VERB PART DET NOUN NOUN NOUN VERB NOUN NOUN NOUN VERB VERB ADP DET NOUN NOUN NOUN NOUN VERB ADP DET NOUN NOUN DET VERB VERB VERB VERB INTJ INTJ INTJ INTJ INTJ INTJ INTJ CCONJ PRON VERB VERB VERB VERB VERB NOUN
Beeby, get the Guinness Book of Records on the horn.	0 0 0 0 0 0 0 1 0 1	on the horn	figurative	identical	PROPN VERB DET PROPN PROPN ADP PROPN ADP DET NOUN	▁Be e by , ▁get ▁the ▁Gu in ness ▁Book ▁of ▁Records ▁on ▁the ▁horn .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN VERB DET PROPN PROPN PROPN PROPN ADP PROPN ADP DET NOUN NOUN
Tears blurred her vision as she swung out, hammering on the horn.	0 0 0 0 0 0 0 0 0 1 0 1	on the horn	literal	identical	NOUN VERB ADJ NOUN ADP PRON VERB PART VERB ADP DET NOUN	▁Te ars ▁blurred ▁her ▁vision ▁as ▁she ▁sw ung ▁out , ▁hammer ing ▁on ▁the ▁horn .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN VERB ADJ NOUN ADP PRON VERB VERB PART PART VERB VERB ADP DET NOUN NOUN
The driver banged on his horn but Gregson drove on at speed, unconcerned by the accident he 'd almost caused.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	determiner-broad	DET NOUN VERB ADP ADJ NOUN CCONJ PROPN VERB PART ADP NOUN VERB ADP DET NOUN PRON VERB ADV VERB	▁The ▁driver ▁ban g ed ▁on ▁his ▁horn ▁but ▁Gre g son ▁ dro ve ▁on ▁at ▁speed , ▁un concerned ▁by ▁the ▁accident ▁he ▁' d ▁almost ▁caused .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB VERB ADP ADJ NOUN CCONJ PROPN PROPN PROPN VERB VERB VERB PART ADP NOUN NOUN VERB VERB ADP DET NOUN PRON VERB VERB ADV VERB VERB
There was a curious magnetism about him that, for one brief moment, caused her heart to miss a beat, but a blast on the horn of an impatient motorist behind her brought her quickly back to reality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	identical	ADV VERB DET ADJ NOUN ADP PRON ADP ADP NUM ADJ NOUN VERB ADJ NOUN PART VERB DET NOUN CCONJ DET NOUN ADP DET NOUN ADP DET ADJ NOUN ADP PRON VERB PRON ADV ADV ADP NOUN	▁There ▁was ▁a ▁curious ▁magnet ism ▁about ▁him ▁that , ▁for ▁one ▁brief ▁moment , ▁caused ▁her ▁heart ▁to ▁miss ▁a ▁beat , ▁but ▁a ▁blast ▁on ▁the ▁horn ▁of ▁an ▁im patient ▁motor ist ▁behind ▁her ▁brought ▁her ▁quickly ▁back ▁to ▁reality .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET ADJ NOUN NOUN ADP PRON ADP ADP ADP NUM ADJ NOUN NOUN VERB ADJ NOUN PART VERB DET NOUN NOUN CCONJ DET NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN NOUN ADP PRON VERB PRON ADV ADV ADP NOUN NOUN
The profession's eagerness for scientific advance had impaled it on the horns of a dilemma, forcing an unnatural choice between science and morality.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the horn	figurative	inflection	DET NOUN NOUN ADP ADJ NOUN VERB VERB PRON ADP DET NOUN ADP DET NOUN VERB DET ADJ NOUN ADP NOUN CCONJ NOUN	▁The ▁profession ' s ▁eager ness ▁for ▁scientific ▁advance ▁had ▁imp al ed ▁it ▁on ▁the ▁horn s ▁of ▁a ▁dilemma , ▁forcing ▁an ▁un natural ▁choice ▁between ▁science ▁and ▁morality .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN NOUN ADP ADJ NOUN VERB VERB VERB VERB PRON ADP DET NOUN NOUN ADP DET NOUN NOUN VERB DET ADJ ADJ NOUN ADP NOUN CCONJ NOUN NOUN
Tiguary's men recognised his value from the chased silver on his powder horn and on the barrel of his gun, and the gleaming gold gimp on his velvet breeches.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the horn	literal	combined-other	PROPN NOUN VERB ADJ NOUN ADP DET VERB NOUN ADP ADJ NOUN NOUN CCONJ ADP DET NOUN ADP ADJ NOUN CCONJ DET VERB NOUN NOUN ADP ADJ NOUN NOUN	▁Ti gu ary ' s ▁men ▁recognised ▁his ▁value ▁from ▁the ▁chase d ▁silver ▁on ▁his ▁powder ▁horn ▁and ▁on ▁the ▁barrel ▁of ▁his ▁gun , ▁and ▁the ▁g lea ming ▁gold ▁g imp ▁on ▁his ▁ vel vet ▁breeches .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN NOUN VERB ADJ NOUN ADP DET VERB VERB NOUN ADP ADJ NOUN NOUN CCONJ ADP DET NOUN ADP ADJ NOUN NOUN CCONJ DET VERB VERB VERB NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN
All down the line drivers had their hands on the horn button.	0 0 0 0 0 0 0 0 1 0 1 0	on the horn	literal	identical	DET ADP DET NOUN NOUN VERB ADJ NOUN ADP DET NOUN NOUN	▁All ▁down ▁the ▁line ▁drivers ▁had ▁their ▁hands ▁on ▁the ▁horn ▁button .	0 0 0 0 0 0 0 0 1 0 1 0 0	DET ADP DET NOUN NOUN VERB ADJ NOUN ADP DET NOUN NOUN NOUN
Little Boy Blue, come blow on your horn,	0 0 0 0 0 1 0 1	on the horn	literal	determiner-broad	ADJ INTJ PROPN VERB NOUN ADP ADJ NOUN	▁Little ▁Boy ▁Blue , ▁come ▁blow ▁on ▁your ▁horn ,	0 0 0 0 0 0 1 0 1 1	ADJ INTJ PROPN PROPN VERB NOUN ADP ADJ NOUN NOUN
