‘ All right, I 'll take you out to lunch one day.’	0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	PUNCT ADV ADV PRON VERB VERB PRON PART ADP NOUN NUM ADJ	▁ ‘ ▁All ▁right , ▁I ▁' ll ▁take ▁you ▁out ▁to ▁lunch ▁one ▁day . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	PUNCT PUNCT ADV ADV ADV PRON VERB VERB VERB PRON PART ADP NOUN NUM ADJ ADJ ADJ
I had called Professor Ruiperez from my hostal, and at once he came to take me out to lunch at an expensive restaurant featuring all the local dishes, including a hearty paella and fine Rioja wines.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB PROPN PROPN ADP ADJ ADJ CCONJ ADP ADV PRON VERB PART VERB PRON PART ADP NOUN ADP DET ADJ NOUN VERB ADJ DET ADJ NOUN VERB DET ADJ NOUN CCONJ ADJ PROPN NOUN	▁I ▁had ▁called ▁Professor ▁Ru i per ez ▁from ▁my ▁host al , ▁and ▁at ▁once ▁he ▁came ▁to ▁take ▁me ▁out ▁to ▁lunch ▁at ▁an ▁expensive ▁restaurant ▁fe atur ing ▁all ▁the ▁local ▁dishes , ▁including ▁a ▁heart y ▁p a ella ▁and ▁fine ▁Rio ja ▁wines .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PROPN PROPN PROPN PROPN PROPN ADP ADJ ADJ ADJ ADJ CCONJ ADP ADV PRON VERB PART VERB PRON PART ADP NOUN ADP DET ADJ NOUN VERB VERB VERB ADJ DET ADJ NOUN NOUN VERB DET ADJ ADJ NOUN NOUN NOUN CCONJ ADJ PROPN PROPN NOUN NOUN
and him, my mother was away and erm I was with him and we went out he took me out to lunch and he took me shopping and stu well I mean he took, but he was really really, you know how your father always dotes on you if it's just you and him?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	CCONJ PRON ADJ NOUN VERB ADV CCONJ NOUN PRON VERB ADP PRON CCONJ PRON VERB PART PRON VERB PRON PART ADP NOUN CCONJ PRON VERB PRON NOUN CCONJ NOUN INTJ PRON VERB PRON VERB CCONJ PRON VERB ADV ADV PRON VERB ADV ADJ NOUN ADV VERB ADP PRON ADP PRON ADV PRON CCONJ PRON	▁and ▁him , ▁my ▁mother ▁was ▁away ▁and ▁er m ▁I ▁was ▁with ▁him ▁and ▁we ▁went ▁out ▁he ▁took ▁me ▁out ▁to ▁lunch ▁and ▁he ▁took ▁me ▁shopping ▁and ▁stu ▁well ▁I ▁mean ▁he ▁took , ▁but ▁he ▁was ▁really ▁really , ▁you ▁know ▁how ▁your ▁father ▁always ▁do tes ▁on ▁you ▁if ▁it ' s ▁just ▁you ▁and ▁him ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON PRON ADJ NOUN VERB ADV CCONJ NOUN NOUN PRON VERB ADP PRON CCONJ PRON VERB PART PRON VERB PRON PART ADP NOUN CCONJ PRON VERB PRON NOUN CCONJ NOUN INTJ PRON VERB PRON VERB VERB CCONJ PRON VERB ADV ADV ADV PRON VERB ADV ADJ NOUN ADV VERB VERB ADP PRON ADP PRON PRON PRON ADV PRON CCONJ PRON PRON
Come Friday, take her out to lunch ( and make sure that it's the best restaurant around and, furthermore, that you pay — not the company ).	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PROPN PROPN VERB PRON PART ADP NOUN PUNCT CCONJ VERB ADJ ADP PRON DET ADJ NOUN ADV CCONJ ADV ADP PRON VERB PUNCT ADV DET NOUN PUNCT	▁Com e ▁Friday , ▁take ▁her ▁out ▁to ▁lunch ▁( ▁and ▁make ▁sure ▁that ▁it ' s ▁the ▁best ▁restaurant ▁around ▁and , ▁furthermore , ▁that ▁you ▁pay ▁ — ▁not ▁the ▁company ▁ ).	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB PRON PART ADP NOUN PUNCT CCONJ VERB ADJ ADP PRON PRON PRON DET ADJ NOUN ADV CCONJ CCONJ ADV ADV ADP PRON VERB PUNCT PUNCT ADV DET NOUN PUNCT PUNCT
We went out to lunch to er Tesco's we got to pick Christopher up from school and we went just for lunch time, that was quite nice	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PART ADP NOUN ADP INTJ PROPN PRON VERB PART VERB PROPN PART ADP NOUN CCONJ PRON VERB ADV ADP NOUN NOUN ADJ VERB ADV ADJ	▁We ▁went ▁out ▁to ▁lunch ▁to ▁er ▁Te s co ' s ▁we ▁got ▁to ▁pick ▁Christopher ▁up ▁from ▁school ▁and ▁we ▁went ▁just ▁for ▁lunch ▁time , ▁that ▁was ▁quite ▁nice	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART ADP NOUN ADP INTJ PROPN PROPN PROPN PROPN PROPN PRON VERB PART VERB PROPN PART ADP NOUN CCONJ PRON VERB ADV ADP NOUN NOUN NOUN ADJ VERB ADV ADJ
Next spring, a messenger from the hospital told me that two of those men had come back to say ‘ Thank you’ and take Deputy Superintendent Dr Lloyd out to lunch to celebrate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	ADJ NOUN DET NOUN ADP DET NOUN VERB PRON ADP NUM ADP DET NOUN VERB VERB ADV PART VERB PUNCT PROPN NOUN CCONJ VERB PROPN PROPN PROPN PROPN PART ADP NOUN PART VERB	▁Next ▁spring , ▁a ▁messenger ▁from ▁the ▁hospital ▁told ▁me ▁that ▁two ▁of ▁those ▁men ▁had ▁come ▁back ▁to ▁say ▁ ‘ ▁Thank ▁you ’ ▁and ▁take ▁Deputy ▁Super in ten dent ▁Dr ▁Lloyd ▁out ▁to ▁lunch ▁to ▁celebrate .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADJ NOUN NOUN DET NOUN ADP DET NOUN VERB PRON ADP NUM ADP DET NOUN VERB VERB ADV PART VERB PUNCT PUNCT PROPN NOUN NOUN CCONJ VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PART ADP NOUN PART VERB VERB
‘ I think he's finally out to lunch.	0 0 0 0 0 1 1 1	out to lunch	figurative	identical	PUNCT PRON VERB PRON ADV ADP ADP NOUN	▁ ‘ ▁I ▁think ▁he ' s ▁finally ▁out ▁to ▁lunch .	0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT PRON VERB PRON PRON PRON ADV ADP ADP NOUN NOUN
‘ We are going out to lunch,’ Alain informed her, reading her expression with little difficulty.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out to lunch	literal	dashes	PUNCT PRON VERB VERB PART ADP PROPN PROPN VERB PRON VERB ADJ NOUN ADP ADJ NOUN	▁ ‘ ▁We ▁are ▁going ▁out ▁to ▁lunch , ’ ▁A lain ▁informed ▁her , ▁reading ▁her ▁expression ▁with ▁little ▁difficulty .	0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB PART ADP PROPN PROPN PROPN PROPN PROPN VERB PRON PRON VERB ADJ NOUN ADP ADJ NOUN NOUN
And we 're all going to go out to lunch together.	0 0 0 0 0 0 0 1 1 1 0	out to lunch	literal	identical	CCONJ PRON VERB DET VERB PART VERB PART ADP NOUN ADV	▁And ▁we ▁' re ▁all ▁going ▁to ▁go ▁out ▁to ▁lunch ▁together .	0 0 0 0 0 0 0 0 1 1 1 0 0	CCONJ PRON VERB VERB DET VERB PART VERB PART ADP NOUN ADV ADV
Don't you have a boyfriend to take you out to lunch?’	0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	dashes	VERB PRON VERB DET NOUN PART VERB PRON PART ADP NOUN	▁Don ' t ▁you ▁have ▁a ▁boy fri end ▁to ▁take ▁you ▁out ▁to ▁lunch ? ’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	VERB VERB VERB PRON VERB DET NOUN NOUN NOUN PART VERB PRON PART ADP NOUN NOUN NOUN
That is why reporters at Westminster spend half their time drinking in the bars or taking politicians out to lunch and dinner.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	DET VERB ADV NOUN ADP PROPN VERB ADJ ADJ NOUN NOUN ADP DET NOUN CCONJ VERB NOUN PART ADP NOUN CCONJ NOUN	▁That ▁is ▁why ▁report ers ▁at ▁West min ster ▁spend ▁half ▁their ▁time ▁drinking ▁in ▁the ▁bars ▁or ▁taking ▁politician s ▁out ▁to ▁lunch ▁and ▁dinner .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	DET VERB ADV NOUN NOUN ADP PROPN PROPN PROPN VERB ADJ ADJ NOUN NOUN ADP DET NOUN CCONJ VERB NOUN NOUN PART ADP NOUN CCONJ NOUN NOUN
He reminded her of her concern when she had heard her father had gone out to lunch the day he died, and he put it to her that she had guessed whom he had met.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PRON ADP ADJ NOUN ADV PRON VERB VERB ADJ NOUN VERB VERB ADV ADP NOUN DET NOUN PRON VERB CCONJ PRON VERB PRON ADP PRON ADP PRON VERB VERB NOUN PRON VERB VERB	▁He ▁reminded ▁her ▁of ▁her ▁concern ▁when ▁she ▁had ▁heard ▁her ▁father ▁had ▁gone ▁out ▁to ▁lunch ▁the ▁day ▁he ▁died , ▁and ▁he ▁put ▁it ▁to ▁her ▁that ▁she ▁had ▁guess ed ▁whom ▁he ▁had ▁met .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON ADP ADJ NOUN ADV PRON VERB VERB ADJ NOUN VERB VERB ADV ADP NOUN DET NOUN PRON VERB VERB CCONJ PRON VERB PRON ADP PRON ADP PRON VERB VERB VERB NOUN PRON VERB VERB VERB
I rang Sorrel's flat from Sergeant Purvis's desk, and as he was out to lunch I sat on it and rearranged his pencils in a petty and thoroughly satisfying bit of vandalism.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PROPN ADJ ADP PROPN PROPN NOUN CCONJ ADP PRON VERB ADV ADP NOUN PRON VERB ADP PRON CCONJ VERB ADJ NOUN ADP DET ADJ CCONJ ADV VERB NOUN ADP NOUN	▁I ▁ rang ▁S or rel ' s ▁flat ▁from ▁Ser ge ant ▁Pur vis ' s ▁desk , ▁and ▁as ▁he ▁was ▁out ▁to ▁lunch ▁I ▁sat ▁on ▁it ▁and ▁rear range d ▁his ▁pencil s ▁in ▁a ▁p etty ▁and ▁thoroughly ▁satisfying ▁bit ▁of ▁van d alism .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PROPN PROPN PROPN PROPN PROPN ADJ ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN CCONJ ADP PRON VERB ADV ADP NOUN PRON VERB ADP PRON CCONJ VERB VERB VERB ADJ NOUN NOUN ADP DET ADJ ADJ CCONJ ADV VERB NOUN ADP NOUN NOUN NOUN NOUN
‘ Why me Lord?’ is asking God if he was out to lunch when this painful incident occurred.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out to lunch	literal	identical	PUNCT ADV PRON VERB VERB VERB PROPN ADP PRON VERB ADV ADP NOUN ADV DET ADJ NOUN VERB	▁ ‘ ▁Why ▁me ▁Lord ? ’ ▁is ▁asking ▁God ▁if ▁he ▁was ▁out ▁to ▁lunch ▁when ▁this ▁painful ▁incident ▁occurred .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PUNCT PUNCT ADV PRON VERB VERB VERB VERB VERB PROPN ADP PRON VERB ADV ADP NOUN ADV DET ADJ NOUN VERB VERB
Which was why, on Thursday 13th December, he was taking Gerald Venables out to lunch.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	identical	ADJ VERB ADV ADP PROPN NOUN PROPN PRON VERB VERB PROPN PROPN PART ADP NOUN	▁Which ▁was ▁why , ▁on ▁Thursday ▁13 th ▁December , ▁he ▁was ▁taking ▁G erald ▁Ven able s ▁out ▁to ▁lunch .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ VERB ADV ADV ADP PROPN NOUN NOUN PROPN PROPN PRON VERB VERB PROPN PROPN PROPN PROPN PROPN PART ADP NOUN NOUN
" Where do you go when you take people out to lunch from the office? "	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	out to lunch	literal	identical	PUNCT ADV VERB PRON VERB ADV PRON VERB NOUN PART ADP NOUN ADP DET NOUN PUNCT	▁" ▁Where ▁do ▁you ▁go ▁when ▁you ▁take ▁people ▁out ▁to ▁lunch ▁from ▁the ▁office ? ▁"	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	PUNCT ADV VERB PRON VERB ADV PRON VERB NOUN PART ADP NOUN ADP DET NOUN NOUN PUNCT
‘ Haven't you noticed how often he takes his dear friend Councillor Waverly out to lunch?’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	dashes	PUNCT VERB PRON VERB ADV ADV PRON VERB ADJ ADJ NOUN PROPN PROPN ADP ADP NOUN	▁ ‘ ▁Have n ' t ▁you ▁noticed ▁how ▁often ▁he ▁takes ▁his ▁dear ▁friend ▁Council lor ▁Wa ver ly ▁out ▁to ▁lunch ? ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT VERB VERB VERB VERB PRON VERB ADV ADV PRON VERB ADJ ADJ NOUN PROPN PROPN PROPN PROPN PROPN ADP ADP NOUN NOUN NOUN
Mother Francis stood at a window and watched little Eve go down the long avenue of the convent out to Sunday lunch on her own with the Hogans.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	out to lunch	literal	insertion-other	PROPN PROPN VERB ADP DET NOUN CCONJ VERB ADJ PROPN VERB ADP DET ADJ NOUN ADP DET NOUN PART ADP PROPN NOUN ADP ADJ ADJ ADP DET PROPN	▁M other ▁Franc is ▁stood ▁at ▁a ▁window ▁and ▁watch ed ▁little ▁E ve ▁go ▁down ▁the ▁long ▁avenue ▁of ▁the ▁conven t ▁out ▁to ▁Sunday ▁lunch ▁on ▁her ▁own ▁with ▁the ▁Ho gan s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB ADP DET NOUN CCONJ VERB VERB ADJ PROPN PROPN VERB ADP DET ADJ NOUN ADP DET NOUN NOUN PART ADP PROPN NOUN ADP ADJ ADJ ADP DET PROPN PROPN PROPN PROPN
She was invited to a few parties, kissed good - night outside her door in South Kensington, taken out to lunch by a young man training to be a chartered accountant, and to an Italian film by another who was ‘ in the City’ ; she was beginning to forget about Rupert when one evening towards the end of January she was later than usual leaving Toogood and Shelve, the publishers, where she worked as secretary to Mr Shelve.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB ADP DET ADJ NOUN VERB ADJ PUNCT NOUN ADP ADJ NOUN ADP PROPN PROPN VERB PART ADP NOUN ADP DET ADJ NOUN VERB PART VERB DET VERB NOUN CCONJ ADP DET ADJ NOUN ADP DET NOUN VERB VERB ADP DET NOUN PUNCT PRON VERB VERB PART VERB ADP PROPN ADV NUM NOUN ADP DET NOUN ADP PROPN PRON VERB ADV ADP ADJ VERB PROPN CCONJ PROPN DET NOUN ADV PRON VERB ADP NOUN ADP PROPN PROPN	▁She ▁was ▁invited ▁to ▁a ▁few ▁parties , ▁k isse d ▁good ▁- ▁night ▁outside ▁her ▁door ▁in ▁South ▁K ens ing ton , ▁taken ▁out ▁to ▁lunch ▁by ▁a ▁young ▁man ▁training ▁to ▁be ▁a ▁charter ed ▁account ant , ▁and ▁to ▁an ▁Italian ▁film ▁by ▁another ▁who ▁was ▁ ‘ ▁in ▁the ▁City ’ ▁ ; ▁she ▁was ▁beginning ▁to ▁forget ▁about ▁Ru per t ▁when ▁one ▁evening ▁towards ▁the ▁end ▁of ▁January ▁she ▁was ▁later ▁than ▁usual ▁leaving ▁To o good ▁and ▁She lve , ▁the ▁publishers , ▁where ▁she ▁worked ▁as ▁secretary ▁to ▁Mr ▁She lve .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP DET ADJ NOUN NOUN VERB VERB VERB ADJ PUNCT NOUN ADP ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN VERB PART ADP NOUN ADP DET ADJ NOUN VERB PART VERB DET VERB VERB NOUN NOUN NOUN CCONJ ADP DET ADJ NOUN ADP DET NOUN VERB VERB VERB ADP DET NOUN NOUN PUNCT PUNCT PRON VERB VERB PART VERB ADP PROPN PROPN PROPN ADV NUM NOUN ADP DET NOUN ADP PROPN PRON VERB ADV ADP ADJ VERB PROPN PROPN PROPN CCONJ PROPN PROPN PROPN DET NOUN NOUN ADV PRON VERB ADP NOUN ADP PROPN PROPN PROPN PROPN
