Has a woman who knew herself to be well dressed ever caught a cold?	0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	inflection	VERB DET NOUN NOUN VERB PRON PART VERB ADV VERB ADV VERB DET NOUN	▁Has ▁a ▁woman ▁who ▁knew ▁herself ▁to ▁be ▁well ▁dressed ▁ever ▁caught ▁a ▁cold ?	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	VERB DET NOUN NOUN VERB PRON PART VERB ADV VERB ADV VERB DET NOUN NOUN
Certain kinds of illness and illness - proneness are experienced : people are more likely to catch a cold or flu, for example, and be less able to shake it off ; they feel generally run down and may suffer from mysterious but more debilitating viruses, such as ME or glandular fever, that are difficult to diagnose and take a long time to clear up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	identical	ADJ NOUN ADP NOUN CCONJ ADJ PUNCT NOUN VERB ADJ PUNCT NOUN VERB ADV ADJ PART VERB DET NOUN CCONJ NOUN ADP NOUN CCONJ VERB ADV ADJ PART VERB PRON PART PUNCT PRON VERB ADV VERB PART CCONJ VERB VERB ADP ADJ CCONJ ADJ ADJ NOUN ADJ ADP PROPN CCONJ ADJ NOUN ADJ VERB ADJ PART VERB CCONJ VERB DET ADJ NOUN PART VERB PART	▁Certain ▁kinds ▁of ▁illness ▁and ▁illness ▁- ▁pro ne ness ▁are ▁experienced ▁ : ▁people ▁are ▁more ▁likely ▁to ▁catch ▁a ▁cold ▁or ▁flu , ▁for ▁example , ▁and ▁be ▁less ▁able ▁to ▁shake ▁it ▁off ▁ ; ▁they ▁feel ▁generally ▁run ▁down ▁and ▁may ▁suffer ▁from ▁my ster ious ▁but ▁more ▁de bil it ating ▁viruses , ▁such ▁as ▁ME ▁or ▁gland ular ▁fever , ▁that ▁are ▁difficult ▁to ▁diagnose ▁and ▁take ▁a ▁long ▁time ▁to ▁clear ▁up .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN ADP NOUN CCONJ ADJ PUNCT NOUN NOUN NOUN VERB ADJ PUNCT PUNCT NOUN VERB ADV ADJ PART VERB DET NOUN CCONJ NOUN NOUN ADP NOUN NOUN CCONJ VERB ADV ADJ PART VERB PRON PART PUNCT PUNCT PRON VERB ADV VERB PART CCONJ VERB VERB ADP ADJ ADJ ADJ CCONJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN ADJ ADP PROPN CCONJ ADJ ADJ NOUN NOUN ADJ VERB ADJ PART VERB CCONJ VERB DET ADJ NOUN PART VERB PART PART
Those who are delicate in health are apt to catch a cold when the cold season sets in.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	catch a cold	figurative	identical	DET NOUN VERB ADJ ADP NOUN VERB ADJ PART VERB DET NOUN ADV DET ADJ NOUN NOUN PART	▁T hose ▁who ▁are ▁delicate ▁in ▁health ▁are ▁a pt ▁to ▁catch ▁a ▁cold ▁when ▁the ▁cold ▁season ▁sets ▁in .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	DET DET NOUN VERB ADJ ADP NOUN VERB ADJ ADJ PART VERB DET NOUN ADV DET ADJ NOUN NOUN PART PART
He caught a cold on his way to Tangiers which affected his left lung, but this was merely the prelude to what became an unfortunate trip.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	inflection	PRON VERB DET NOUN ADP ADJ NOUN ADP NOUN ADJ VERB ADJ ADJ NOUN CCONJ DET VERB ADV DET NOUN ADP NOUN VERB DET ADJ NOUN	▁He ▁caught ▁a ▁cold ▁on ▁his ▁way ▁to ▁T ang ier s ▁which ▁affected ▁his ▁left ▁lung , ▁but ▁this ▁was ▁mere ly ▁the ▁pre lude ▁to ▁what ▁became ▁an ▁unfortunate ▁trip .	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN NOUN ADJ VERB ADJ ADJ NOUN NOUN CCONJ DET VERB ADV ADV DET NOUN NOUN ADP NOUN VERB DET ADJ NOUN NOUN
Then, if you began to sing, they 'd tell you your mother, your brother, your children even, would catch a cold on your behalf.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	catch a cold	figurative	identical	ADV ADP PRON VERB PART VERB PRON VERB VERB PRON ADJ NOUN ADJ NOUN ADJ NOUN ADV VERB VERB DET NOUN ADP ADJ NOUN	▁Then , ▁if ▁you ▁began ▁to ▁s ing , ▁they ▁' d ▁tell ▁you ▁your ▁mother , ▁your ▁brother , ▁your ▁children ▁even , ▁would ▁catch ▁a ▁cold ▁on ▁your ▁behalf .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADV ADV ADP PRON VERB PART VERB VERB VERB PRON VERB VERB VERB PRON ADJ NOUN NOUN ADJ NOUN NOUN ADJ NOUN ADV ADV VERB VERB DET NOUN ADP ADJ NOUN NOUN
Fifteen per cent of those who enjoyed a daily drink caught a cold compared to 45 per cent of non - drinkers, he told the British Psychological Society conference in London.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	inflection	NUM ADP NOUN ADP DET NOUN VERB DET ADJ NOUN VERB DET NOUN VERB ADP NUM NOUN NOUN ADP ADJ PUNCT NOUN PRON VERB DET PROPN PROPN PROPN NOUN ADP PROPN	▁Fifteen ▁per ▁cent ▁of ▁those ▁who ▁enjoyed ▁a ▁daily ▁drink ▁caught ▁a ▁cold ▁compared ▁to ▁45 ▁per ▁cent ▁of ▁non ▁- ▁drink ers , ▁he ▁told ▁the ▁British ▁Psycho logical ▁Society ▁conference ▁in ▁London .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM ADP NOUN ADP DET NOUN VERB DET ADJ NOUN VERB DET NOUN VERB ADP NUM NOUN NOUN ADP ADJ PUNCT NOUN NOUN NOUN PRON VERB DET PROPN PROPN PROPN PROPN NOUN ADP PROPN PROPN
When we consider the essential role of susceptibility it becomes plain that the people who caught a cold in the bus were ‘ ill’ before they ever stepped onto it, for if they had been healthy they would never have picked up the bugs in the first place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	inflection	ADV PRON VERB DET ADJ NOUN ADP NOUN PRON VERB ADJ ADP DET NOUN NOUN VERB DET NOUN ADP DET NOUN VERB NUM PROPN ADP PRON ADV VERB ADP PRON ADP ADP PRON VERB VERB ADJ PRON VERB ADV VERB VERB PART DET NOUN ADP DET ADJ NOUN	▁When ▁we ▁consider ▁the ▁essential ▁role ▁of ▁susceptibility ▁it ▁becomes ▁plain ▁that ▁the ▁people ▁who ▁caught ▁a ▁cold ▁in ▁the ▁bus ▁were ▁ ‘ ▁ill ’ ▁before ▁they ▁ever ▁stepped ▁onto ▁it , ▁for ▁if ▁they ▁had ▁been ▁healthy ▁they ▁would ▁never ▁have ▁picked ▁up ▁the ▁bu g s ▁in ▁the ▁first ▁place .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB DET ADJ NOUN ADP NOUN PRON VERB ADJ ADP DET NOUN NOUN VERB DET NOUN ADP DET NOUN VERB NUM NUM PROPN PROPN ADP PRON ADV VERB ADP PRON PRON ADP ADP PRON VERB VERB ADJ PRON VERB ADV VERB VERB PART DET NOUN NOUN NOUN ADP DET ADJ NOUN NOUN
She 'd caught another one there on the spot, quicker than you 'd catch a cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	identical	PRON VERB VERB DET NOUN ADV ADP DET NOUN ADV ADP PRON VERB VERB DET NOUN	▁She ▁' d ▁caught ▁another ▁one ▁there ▁on ▁the ▁spot , ▁quicker ▁than ▁you ▁' d ▁catch ▁a ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB VERB DET NOUN ADV ADP DET NOUN NOUN ADV ADP PRON VERB VERB VERB DET NOUN NOUN
I had heard Mum say to Grandma that it wasn't healthy for a brother and sister to share, and it seemed to be true because Davey hadn't caught my cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	combined-inflection	PRON VERB VERB PROPN VERB ADP PROPN ADP PRON VERB ADJ ADP DET NOUN CCONJ NOUN PART VERB CCONJ PRON VERB PART VERB ADJ ADP PROPN VERB VERB ADJ NOUN	▁I ▁had ▁heard ▁M um ▁say ▁to ▁Grand ma ▁that ▁it ▁was n ' t ▁healthy ▁for ▁a ▁brother ▁and ▁sister ▁to ▁share , ▁and ▁it ▁seemed ▁to ▁be ▁true ▁because ▁D ave y ▁had n ' t ▁caught ▁my ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB PROPN PROPN VERB ADP PROPN PROPN ADP PRON VERB VERB VERB VERB ADJ ADP DET NOUN CCONJ NOUN PART VERB VERB CCONJ PRON VERB PART VERB ADJ ADP PROPN PROPN PROPN VERB VERB VERB VERB VERB ADJ NOUN NOUN
Mr Edgar caught a bad cold, which seemed to get worse and worse.	0 0 1 0 0 1 0 0 0 0 0 0 0	catch a cold	figurative	combined-inflection	PROPN PROPN VERB DET ADJ NOUN ADJ VERB PART VERB ADJ CCONJ ADJ	▁Mr ▁E d gar ▁caught ▁a ▁bad ▁cold , ▁which ▁seemed ▁to ▁get ▁worse ▁and ▁worse .	0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB DET ADJ NOUN NOUN ADJ VERB PART VERB ADJ CCONJ ADJ ADJ
Unfortunately, catching a cold is easier than getting rid of one.	0 1 0 1 0 0 0 0 0 0 0	catch a cold	figurative	inflection	ADV VERB DET NOUN VERB ADJ ADP VERB VERB ADP NUM	▁Unfortunately , ▁catching ▁a ▁cold ▁is ▁easier ▁than ▁gett ing ▁rid ▁of ▁one .	0 0 1 0 1 0 0 0 0 0 0 0 0 0	ADV ADV VERB DET NOUN VERB ADJ ADP VERB VERB VERB ADP NUM NUM
You 'll have to wear warm clothes, otherwise you 'll catch a cold.	0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	identical	PRON VERB VERB PART VERB ADJ NOUN ADV PRON VERB VERB DET NOUN	▁You ▁' ll ▁have ▁to ▁wear ▁warm ▁clothes , ▁otherwise ▁you ▁' ll ▁catch ▁a ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB VERB PART VERB ADJ NOUN NOUN ADV PRON VERB VERB VERB DET NOUN NOUN
‘ I never catch a cold’ says A — and indeed he doesn't.	0 0 0 1 0 1 0 0 0 0 0 0 0	catch a cold	literal	dashes	PUNCT PRON ADV VERB DET NOUN VERB DET PUNCT CCONJ ADV PRON VERB	▁ ‘ ▁I ▁never ▁catch ▁a ▁cold ’ ▁says ▁A ▁ — ▁and ▁indeed ▁he ▁does n ' t .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON ADV VERB DET NOUN NOUN VERB DET PUNCT PUNCT CCONJ ADV PRON VERB VERB VERB VERB VERB
B&Q's contribution fell 10 per cent to £ 81.1 million in very tough trading, but only Chartwell Land, which manages the group's property portfolio, caught a cold, with a small drop in profits to £ 34.5 million.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	inflection	PROPN NOUN VERB NUM NOUN NOUN ADP SYM NUM NUM ADP ADV ADJ NOUN CCONJ ADV PROPN PROPN ADJ VERB DET NOUN NOUN NOUN VERB DET NOUN ADP DET ADJ NOUN ADP NOUN ADP SYM NUM NUM	▁B & Q ' s ▁contribution ▁fell ▁10 ▁per ▁cent ▁to ▁£ ▁81 .1 ▁million ▁in ▁very ▁tough ▁trading , ▁but ▁only ▁Chart well ▁Land , ▁which ▁manages ▁the ▁group ' s ▁property ▁portfolio , ▁caught ▁a ▁cold , ▁with ▁a ▁small ▁drop ▁in ▁profits ▁to ▁£ ▁3 4.5 ▁million .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN NOUN VERB NUM NOUN NOUN ADP SYM NUM NUM NUM ADP ADV ADJ NOUN NOUN CCONJ ADV PROPN PROPN PROPN PROPN ADJ VERB DET NOUN NOUN NOUN NOUN NOUN NOUN VERB DET NOUN NOUN ADP DET ADJ NOUN ADP NOUN ADP SYM NUM NUM NUM NUM
‘ I think I caught a cold on Sunday.’	0 0 0 0 1 0 1 0 0	catch a cold	figurative	inflection	PUNCT PRON VERB PRON VERB DET NOUN ADP NOUN	▁ ‘ ▁I ▁think ▁I ▁caught ▁a ▁cold ▁on ▁Sunday . ’	0 0 0 0 0 1 0 1 0 0 0 0	PUNCT PUNCT PRON VERB PRON VERB DET NOUN ADP NOUN NOUN NOUN
Tom doesn't like being around children because he's always afraid of catching a cold from one of them.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	catch a cold	figurative	inflection	PROPN VERB VERB VERB ADP NOUN ADP PRON ADV ADJ ADP VERB DET NOUN ADP NUM ADP PRON	▁Tom ▁does n ' t ▁like ▁being ▁around ▁children ▁because ▁he ' s ▁always ▁afraid ▁of ▁catching ▁a ▁cold ▁from ▁one ▁of ▁them .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PROPN VERB VERB VERB VERB VERB VERB ADP NOUN ADP PRON PRON PRON ADV ADJ ADP VERB DET NOUN ADP NUM ADP PRON PRON
On his return to London in June, however, he caught a cold which aggravated his emphysema and his doctor advised him to go once more to Brighton in order to recuperate.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	inflection	ADP ADJ NOUN ADP PROPN ADP PROPN ADV PRON VERB DET ADJ ADJ VERB ADJ NOUN CCONJ ADJ NOUN VERB PRON PART VERB ADV ADV ADP PROPN ADP NOUN PART VERB	▁On ▁his ▁return ▁to ▁London ▁in ▁June , ▁however , ▁he ▁caught ▁a ▁cold ▁which ▁aggravated ▁his ▁em phy s ema ▁and ▁his ▁doctor ▁advised ▁him ▁to ▁go ▁once ▁more ▁to ▁B right on ▁in ▁order ▁to ▁rec up e rate .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN ADP PROPN ADP PROPN PROPN ADV ADV PRON VERB DET ADJ ADJ VERB ADJ NOUN NOUN NOUN NOUN CCONJ ADJ NOUN VERB PRON PART VERB ADV ADV ADP PROPN PROPN PROPN ADP NOUN PART VERB VERB VERB VERB VERB
In October 1939 he caught a feverish cold ; he was altogether melancholy and restless, and when at the end of the year he was asked to make a radio broadcast, he refused because he could think of nothing to say.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	combined-inflection	ADP PROPN NUM PRON VERB DET ADJ NOUN PUNCT PRON VERB ADV ADJ CCONJ NOUN CCONJ ADV ADP DET NOUN ADP DET NOUN PRON VERB VERB PART VERB DET NOUN NOUN PRON VERB ADP PRON VERB VERB ADP NOUN PART VERB	▁In ▁October ▁19 39 ▁he ▁caught ▁a ▁fever ish ▁cold ▁ ; ▁he ▁was ▁altogether ▁me lan cho ly ▁and ▁rest less , ▁and ▁when ▁at ▁the ▁end ▁of ▁the ▁year ▁he ▁was ▁asked ▁to ▁make ▁a ▁radio ▁broadcast , ▁he ▁refused ▁because ▁he ▁could ▁think ▁of ▁nothing ▁to ▁say .	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN NUM NUM PRON VERB DET ADJ ADJ NOUN PUNCT PUNCT PRON VERB ADV ADJ ADJ ADJ ADJ CCONJ NOUN NOUN NOUN CCONJ ADV ADP DET NOUN ADP DET NOUN PRON VERB VERB PART VERB DET NOUN NOUN NOUN PRON VERB ADP PRON VERB VERB ADP NOUN PART VERB VERB
' Except she was always catching colds. '	0 0 0 0 0 1 1 0	catch a cold	figurative	combined-inflection	PUNCT ADP PRON VERB ADV VERB NOUN PUNCT	▁' ▁Except ▁she ▁was ▁always ▁catching ▁cold s . ▁'	0 0 0 0 0 1 1 1 1 0	PUNCT ADP PRON VERB ADV VERB NOUN NOUN NOUN PUNCT
' I did think you could say I had a cold because you know how frightened Gran is of catching colds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	catch a cold	figurative	combined-inflection	PUNCT PRON VERB VERB PRON VERB VERB PRON VERB DET NOUN ADP PRON VERB ADV ADJ PROPN VERB ADP VERB NOUN	▁' ▁I ▁did ▁think ▁you ▁could ▁say ▁I ▁had ▁a ▁cold ▁because ▁you ▁know ▁how ▁f right ened ▁Gran ▁is ▁of ▁catching ▁cold s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PRON VERB VERB PRON VERB VERB PRON VERB DET NOUN ADP PRON VERB ADV ADJ ADJ ADJ PROPN VERB ADP VERB NOUN NOUN NOUN
